          atime         pdf_uu         pdf_vv         pdf_ww         pm1avg           tavg
  2.4336875E+02  0.0000000E+00 -3.5700945E-06  0.0000000E+00  2.1222186E-03  0.0000000E+00
  2.4336875E+02  3.6653350E-22  8.2536370E-06  8.6622289E-22  2.1222187E-03  0.0000000E+00
  2.4336875E+02  7.1604588E-22  2.0053914E-05  1.7189371E-21  2.1222187E-03  0.0000000E+00
  2.4336875E+02  1.0488008E-21  3.1832542E-05  2.5583583E-21  2.1222188E-03  0.0000000E+00
  2.4336875E+02  1.3648849E-21  4.3584977E-05  3.3842517E-21  2.1222189E-03  0.0000000E+00
  2.4336875E+02  1.6646888E-21  5.5317953E-05  4.1971765E-21  2.1222189E-03  0.0000000E+00
  2.4336875E+02  1.9482430E-21  6.7024477E-05  4.9967338E-21  2.1222190E-03  0.0000000E+00
  2.4336875E+02  2.2159268E-21  7.8711609E-05  5.7834914E-21  2.1222191E-03  0.0000000E+00
  2.4336875E+02  2.4677876E-21  9.0372382E-05  6.5570658E-21  2.1222191E-03  0.0000000E+00
  2.4336875E+02  2.7041837E-21  1.0201383E-04  7.3180084E-21  2.1222192E-03  0.0000000E+00
  2.4336875E+02  2.9252431E-21  1.1363249E-04  8.0661726E-21  2.1222193E-03  0.0000000E+00
  2.4336875E+02  3.1311113E-21  1.2522493E-04  8.8014269E-21  2.1222193E-03  0.0000000E+00
  2.4336875E+02  3.3221154E-21  1.3679815E-04  9.5242989E-21  2.1222194E-03  0.0000000E+00
  2.4336875E+02  3.4983436E-21  1.4834524E-04  1.0234441E-20  2.1222195E-03  0.0000000E+00
  2.4336875E+02  3.6601033E-21  1.5987317E-04  1.0932366E-20  2.1222195E-03  0.0000000E+00
  2.4336875E+02  3.8074979E-21  1.7137506E-04  1.1617740E-20  2.1222196E-03  0.0000000E+00
  2.4336875E+02  3.9408152E-21  1.8285786E-04  1.2291060E-20  2.1222197E-03  0.0000000E+00
  2.4336875E+02  4.0601739E-21  1.9431472E-04  1.2952007E-20  2.1222197E-03  0.0000000E+00
  2.4336875E+02  4.1658427E-21  2.0575255E-04  1.3601061E-20  2.1222198E-03  0.0000000E+00
  2.4336875E+02  4.2579802E-21  2.1716794E-04  1.4238108E-20  2.1222198E-03  0.0000000E+00
  2.4336875E+02  4.3367601E-21  2.2855753E-04  1.4863045E-20  2.1222199E-03  0.0000000E+00
  2.4336875E+02  4.4024238E-21  2.3992819E-04  1.5476331E-20  2.1222200E-03  0.0000000E+00
  2.4336875E+02  4.4551250E-21  2.5127314E-04  1.6077681E-20  2.1222200E-03  0.0000000E+00
  2.4336875E+02  4.4950875E-21  2.6259922E-04  1.6667539E-20  2.1222201E-03  0.0000000E+00
  2.4336875E+02  4.5224783E-21  2.7389967E-04  1.7245633E-20  2.1222202E-03  0.0000000E+00
  2.4336875E+02  4.5375039E-21  2.8518132E-04  1.7812393E-20  2.1222202E-03  0.0000000E+00
  2.4336875E+02  4.5403441E-21  2.9643744E-04  1.8367560E-20  2.1222203E-03  0.0000000E+00
  2.4336875E+02  4.5311888E-21  3.0767482E-04  1.8911550E-20  2.1222204E-03  0.0000000E+00
  2.4336875E+02  4.5102221E-21  3.1889012E-04  1.9444274E-20  2.1222204E-03  0.0000000E+00
  2.4336875E+02  4.4776415E-21  3.3008002E-04  1.9965660E-20  2.1222205E-03  0.0000000E+00
  2.4336875E+02  4.4335677E-21  3.4126132E-04  2.0476555E-20  2.1222205E-03  0.0000000E+00
  2.4336875E+02  4.3783815E-21  3.5239055E-04  2.0975074E-20  2.1222206E-03  0.0000000E+00
  2.4336875E+02  4.3119459E-21  3.6353126E-04  2.1464137E-20  2.1222207E-03  0.0000000E+00
  2.4336875E+02  4.2348402E-21  3.7461678E-04  2.1940895E-20  2.1222207E-03  0.0000000E+00
  2.4336875E+02  4.1467824E-21  3.8571370E-04  2.2408291E-20  2.1222208E-03  0.0000000E+00
  2.4336875E+02  4.0484790E-21  3.9675564E-04  2.2863604E-20  2.1222208E-03  0.0000000E+00
  2.4336875E+02  3.9395186E-21  4.0780894E-04  2.3309648E-20  2.1222209E-03  0.0000000E+00
  2.4336875E+02  3.8203594E-21  4.1884045E-04  2.3745118E-20  2.1222210E-03  0.0000000E+00
  2.4336875E+02  3.6915804E-21  4.2981728E-04  2.4168835E-20  2.1222210E-03  0.0000000E+00
  2.4336875E+02  3.5525840E-21  4.4080539E-04  2.4583423E-20  2.1222211E-03  0.0000000E+00
  2.4336875E+02  3.4043771E-21  4.5173902E-04  2.4986476E-20  2.1222211E-03  0.0000000E+00
  2.4336875E+02  3.2462436E-21  4.6268387E-04  2.5380491E-20  2.1222212E-03  0.0000000E+00
  2.4336875E+02  3.0793026E-21  4.7357445E-04  2.5763185E-20  2.1222213E-03  0.0000000E+00
  2.4336875E+02  2.9027238E-21  4.8447621E-04  2.6136934E-20  2.1222213E-03  0.0000000E+00
  2.4336875E+02  2.7177349E-21  4.9532389E-04  2.6499576E-20  2.1222214E-03  0.0000000E+00
