          atime        pres_st        turb_df           diss        visc_df        garbage
  2.4336875E+02 -1.0852873E-06 -6.0391831E-05 -3.0159231E-02  3.0212525E-02  0.0000000E+00
  2.4336875E+02 -1.0540017E-06 -5.9237481E-05 -3.0147117E-02  3.0192397E-02 -1.8871146E-08
  2.4336875E+02 -1.0229953E-06 -5.8093686E-05 -3.0135031E-02  3.0172337E-02 -3.7340766E-08
  2.4336875E+02 -9.9226208E-07 -5.6960206E-05 -3.0122971E-02  3.0152341E-02 -5.5405607E-08
  2.4336875E+02 -9.6181216E-07 -5.5837406E-05 -3.0110940E-02  3.0132418E-02 -7.3052725E-08
  2.4336875E+02 -9.3162660E-07 -5.4724575E-05 -3.0098934E-02  3.0112555E-02 -9.0286122E-08
  2.4336875E+02 -9.0172185E-07 -5.3622309E-05 -3.0086957E-02  3.0092765E-02 -1.0708941E-07
  2.4336875E+02 -8.7207835E-07 -5.2529874E-05 -3.0075004E-02  3.0073034E-02 -1.2346656E-07
  2.4336875E+02 -8.4271225E-07 -5.1447854E-05 -3.0063081E-02  3.0053374E-02 -1.3940163E-07
  2.4336875E+02 -8.1360431E-07 -5.0375529E-05 -3.0051181E-02  3.0033774E-02 -1.5489802E-07
  2.4336875E+02 -7.8476177E-07 -4.9313153E-05 -3.0039308E-02  3.0014239E-02 -1.6994469E-07
  2.4336875E+02 -7.5619154E-07 -4.8260969E-05 -3.0027465E-02  2.9994774E-02 -1.8453110E-07
  2.4336875E+02 -7.2787490E-07 -4.7218275E-05 -3.0015645E-02  2.9975367E-02 -1.9865976E-07
  2.4336875E+02 -6.9982723E-07 -4.6185625E-05 -3.0003854E-02  2.9956030E-02 -2.1231589E-07
  2.4336875E+02 -6.7203012E-07 -4.5162329E-05 -2.9992087E-02  2.9936751E-02 -2.2550138E-07
  2.4336875E+02 -6.4449866E-07 -4.4148931E-05 -2.9980349E-02  2.9917541E-02 -2.3820197E-07
  2.4336875E+02 -6.1721477E-07 -4.3144752E-05 -2.9968634E-02  2.9898388E-02 -2.5041889E-07
  2.4336875E+02 -5.9019323E-07 -4.2150325E-05 -2.9956949E-02  2.9879304E-02 -2.6213840E-07
  2.4336875E+02 -5.6341629E-07 -4.1164982E-05 -2.9945286E-02  2.9860276E-02 -2.7336109E-07
  2.4336875E+02 -5.3689052E-07 -4.0188955E-05 -2.9933650E-02  2.9841310E-02 -2.8407690E-07
  2.4336875E+02 -5.1062223E-07 -3.9222460E-05 -2.9922042E-02  2.9822412E-02 -2.9427633E-07
