          atime          uplus          yplus           Wshr          trash          trash
  2.4336875E+02  0.0000000E+00  0.0000000E+00  3.3978599E-03  0.0000000E+00  0.0000000E+00
  2.4336875E+02  2.3332236E-03  2.3332321E-03  3.3978599E-03  3.3356000E-06  3.3356000E-06
  2.4336875E+02  4.6663601E-03  4.6663943E-03  3.3978599E-03  6.6711000E-06  6.6711000E-06
  2.4336875E+02  6.9997593E-03  6.9998362E-03  3.3978599E-03  1.0007000E-05  1.0007000E-05
  2.4336875E+02  9.3325120E-03  9.3326486E-03  3.3978599E-03  1.3342000E-05  1.3342000E-05
  2.4336875E+02  1.1665947E-02  1.1666161E-02  3.3978599E-03  1.6678000E-05  1.6678000E-05
  2.4336875E+02  1.3998666E-02  1.3998973E-02  3.3978599E-03  2.0013000E-05  2.0013000E-05
  2.4336875E+02  1.6332067E-02  1.6332485E-02  3.3978599E-03  2.3349000E-05  2.3349000E-05
  2.4336875E+02  1.8664751E-02  1.8665297E-02  3.3978599E-03  2.6684000E-05  2.6684000E-05
  2.4336875E+02  2.0998118E-02  2.0998809E-02  3.3978599E-03  3.0020000E-05  3.0020000E-05
  2.4336875E+02  2.3331468E-02  2.3332321E-02  3.3978599E-03  3.3356000E-05  3.3356000E-05
  2.4336875E+02  2.5664102E-02  2.5665133E-02  3.3978599E-03  3.6691000E-05  3.6691000E-05
  2.4336875E+02  2.7997418E-02  2.7998645E-02  3.3978599E-03  4.0027000E-05  4.0027000E-05
  2.4336875E+02  3.0330017E-02  3.0331458E-02  3.3978599E-03  4.3362000E-05  4.3362000E-05
  2.4336875E+02  3.2663300E-02  3.2664970E-02  3.3978599E-03  4.6698000E-05  4.6698000E-05
  2.4336875E+02  3.4995865E-02  3.4997782E-02  3.3978599E-03  5.0033000E-05  5.0033000E-05
  2.4336875E+02  3.7329113E-02  3.7331294E-02  3.3978599E-03  5.3369000E-05  5.3369000E-05
  2.4336875E+02  3.9661645E-02  3.9664106E-02  3.3978599E-03  5.6704000E-05  5.6704000E-05
  2.4336875E+02  4.1994860E-02  4.1997618E-02  3.3978599E-03  6.0040000E-05  6.0040000E-05
  2.4336875E+02  4.4328057E-02  4.4331130E-02  3.3978599E-03  6.3376000E-05  6.3376000E-05
  2.4336875E+02  4.6660538E-02  4.6663943E-02  3.3978599E-03  6.6711000E-05  6.6711000E-05
  2.4336875E+02  4.8993702E-02  4.8997454E-02  3.3978599E-03  7.0047000E-05  7.0047000E-05
  2.4336875E+02  5.1326149E-02  5.1330267E-02  3.3978599E-03  7.3382000E-05  7.3382000E-05
  2.4336875E+02  5.3659279E-02  5.3663779E-02  3.3978599E-03  7.6718000E-05  7.6718000E-05
  2.4336875E+02  5.5991693E-02  5.5996591E-02  3.3978599E-03  8.0053000E-05  8.0053000E-05
  2.4336875E+02  5.8324789E-02  5.8330103E-02  3.3978599E-03  8.3389000E-05  8.3389000E-05
  2.4336875E+02  6.0657169E-02  6.0662916E-02  3.3978599E-03  8.6724000E-05  8.6724000E-05
  2.4336875E+02  6.2990231E-02  6.2996427E-02  3.3978599E-03  9.0060000E-05  9.0060000E-05
  2.4336875E+02  6.5323277E-02  6.5329939E-02  3.3978599E-03  9.3396000E-05  9.3396000E-05
  2.4336875E+02  6.7655606E-02  6.7662752E-02  3.3978599E-03  9.6731000E-05  9.6731000E-05
  2.4336875E+02  6.9990716E-02  6.9998362E-02  3.3978599E-03  1.0007000E-04  1.0007000E-04
  2.4336875E+02  7.2319515E-02  7.2327677E-02  3.3978599E-03  1.0340000E-04  1.0340000E-04
  2.4336875E+02  7.4655291E-02  7.4663987E-02  3.3978599E-03  1.0674000E-04  1.0674000E-04
  2.4336875E+02  7.6984056E-02  7.6993302E-02  3.3978599E-03  1.1007000E-04  1.1007000E-04
  2.4336875E+02  7.9319798E-02  7.9329612E-02  3.3978599E-03  1.1341000E-04  1.1341000E-04
  2.4336875E+02  8.1648530E-02  8.1658927E-02  3.3978599E-03  1.1674000E-04  1.1674000E-04
  2.4336875E+02  8.3984238E-02  8.3995237E-02  3.3978599E-03  1.2008000E-04  1.2008000E-04
  2.4336875E+02  8.6319930E-02  8.6331546E-02  3.3978599E-03  1.2342000E-04  1.2342000E-04
  2.4336875E+02  8.8648611E-02  8.8660861E-02  3.3978599E-03  1.2675000E-04  1.2675000E-04
  2.4336875E+02  9.0984269E-02  9.0997171E-02  3.3978599E-03  1.3009000E-04  1.3009000E-04
  2.4336875E+02  9.3312917E-02  9.3326486E-02  3.3978599E-03  1.3342000E-04  1.3342000E-04
  2.4336875E+02  9.5648541E-02  9.5662796E-02  3.3978599E-03  1.3676000E-04  1.3676000E-04
  2.4336875E+02  9.7977156E-02  9.7992111E-02  3.3978599E-03  1.4009000E-04  1.4009000E-04
  2.4336875E+02  1.0031275E-01  1.0032842E-01  3.3978599E-03  1.4343000E-04  1.4343000E-04
  2.4336875E+02  1.0264133E-01  1.0265774E-01  3.3978599E-03  1.4676000E-04  1.4676000E-04
  2.4336875E+02  1.0497688E-01  1.0499405E-01  3.3978599E-03  1.5010000E-04  1.5010000E-04
  2.4336875E+02  1.0731243E-01  1.0733036E-01  3.3978599E-03  1.5344000E-04  1.5344000E-04
  2.4336875E+02  1.0964096E-01  1.0965967E-01  3.3978599E-03  1.5677000E-04  1.5677000E-04
  2.4336875E+02  1.1197646E-01  1.1199598E-01  3.3978599E-03  1.6011000E-04  1.6011000E-04
  2.4336875E+02  1.1430496E-01  1.1432530E-01  3.3978599E-03  1.6344000E-04  1.6344000E-04
  2.4336875E+02  1.1664043E-01  1.1666161E-01  3.3978599E-03  1.6678000E-04  1.6678000E-04
  2.4336875E+02  1.1896890E-01  1.1899092E-01  3.3978599E-03  1.7011000E-04  1.7011000E-04
  2.4336875E+02  1.2130434E-01  1.2132723E-01  3.3978599E-03  1.7345000E-04  1.7345000E-04
  2.4336875E+02  1.2363277E-01  1.2365654E-01  3.3978599E-03  1.7678000E-04  1.7678000E-04
  2.4336875E+02  1.2596817E-01  1.2599285E-01  3.3978599E-03  1.8012000E-04  1.8012000E-04
  2.4336875E+02  1.2830356E-01  1.2832916E-01  3.3978599E-03  1.8346000E-04  1.8346000E-04
  2.4336875E+02  1.3063194E-01  1.3065848E-01  3.3978599E-03  1.8679000E-04  1.8679000E-04
  2.4336875E+02  1.3296730E-01  1.3299479E-01  3.3978599E-03  1.9013000E-04  1.9013000E-04
  2.4336875E+02  1.3529564E-01  1.3532410E-01  3.3978599E-03  1.9346000E-04  1.9346000E-04
  2.4336875E+02  1.3763097E-01  1.3766041E-01  3.3978599E-03  1.9680000E-04  1.9680000E-04
