          atime           uavg           vavg           wavg         pm1avg           tavg
  7.3212750E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.0687393E-03  0.0000000E+00
  7.3212750E+01  1.3411393E-04 -6.3801323E-13 -1.5470408E-07  2.0687393E-03  0.0000000E+00
  7.3212750E+01  2.6822296E-04 -1.2232312E-12 -3.0940357E-07  2.0687393E-03  0.0000000E+00
  7.3212750E+01  4.0234718E-04 -1.7567640E-12 -4.6412165E-07  2.0687393E-03  0.0000000E+00
  7.3212750E+01  5.3643435E-04 -2.2394337E-12 -6.1879803E-07  2.0687393E-03  0.0000000E+00
  7.3212750E+01  6.7056084E-04 -2.6725211E-12 -7.7352085E-07  2.0687393E-03  0.0000000E+00
  7.3212750E+01  8.0464624E-04 -3.0567635E-12 -9.2819733E-07  2.0687393E-03  0.0000000E+00
  7.3212750E+01  9.3877096E-04 -3.3933779E-12 -1.0829203E-06  2.0687393E-03  0.0000000E+00
  7.3212750E+01  1.0728546E-03 -3.6831386E-12 -1.2375968E-06  2.0687393E-03  0.0000000E+00
  7.3212750E+01  1.2069776E-03 -3.9271850E-12 -1.3923199E-06  2.0687393E-03  0.0000000E+00
  7.3212750E+01  1.3410996E-03 -4.1263790E-12 -1.5470430E-06  2.0687393E-03  0.0000000E+00
  7.3212750E+01  1.4751806E-03 -4.2816258E-12 -1.7017197E-06  2.0687393E-03  0.0000000E+00
  7.3212750E+01  1.6093010E-03 -4.3939535E-12 -1.8564429E-06  2.0687393E-03  0.0000000E+00
  7.3212750E+01  1.7433802E-03 -4.4642191E-12 -2.0111198E-06  2.0687393E-03  0.0000000E+00
  7.3212750E+01  1.8774987E-03 -4.4933793E-12 -2.1658432E-06  2.0687393E-03  0.0000000E+00
  7.3212750E+01  2.0115762E-03 -4.4823209E-12 -2.3205202E-06  2.0687393E-03  0.0000000E+00
  7.3212750E+01  2.1456930E-03 -4.4319320E-12 -2.4752437E-06  2.0687393E-03  0.0000000E+00
  7.3212750E+01  2.2797687E-03 -4.3431271E-12 -2.6299208E-06  2.0687393E-03  0.0000000E+00
  7.3212750E+01  2.4138837E-03 -4.2167280E-12 -2.7846445E-06  2.0687393E-03  0.0000000E+00
  7.3212750E+01  2.5479978E-03 -4.0536209E-12 -2.9393682E-06  2.0687393E-03  0.0000000E+00
  7.3212750E+01  2.6820709E-03 -3.8547265E-12 -3.0940456E-06  2.0687393E-03  0.0000000E+00
  7.3212750E+01  2.8161832E-03 -3.6207715E-12 -3.2487694E-06  2.0687393E-03  0.0000000E+00
  7.3212750E+01  2.9502545E-03 -3.3527320E-12 -3.4034470E-06  2.0687393E-03  0.0000000E+00
  7.3212750E+01  3.0843651E-03 -3.0512742E-12 -3.5581710E-06  2.0687393E-03  0.0000000E+00
  7.3212750E+01  3.2184346E-03 -2.7173960E-12 -3.7128487E-06  2.0687393E-03  0.0000000E+00
  7.3212750E+01  3.3525434E-03 -2.3517052E-12 -3.8675729E-06  2.0687393E-03  0.0000000E+00
  7.3212750E+01  3.4866111E-03 -1.9552195E-12 -4.0222508E-06  2.0687393E-03  0.0000000E+00
  7.3212750E+01  3.6207182E-03 -1.5284907E-12 -4.1769752E-06  2.0687393E-03  0.0000000E+00
  7.3212750E+01  3.7548243E-03 -1.0724138E-12 -4.3316997E-06  2.0687393E-03  0.0000000E+00
  7.3212750E+01  3.8888894E-03 -5.8790972E-13 -4.4863779E-06  2.0687393E-03  0.0000000E+00
  7.3212750E+01  4.0231144E-03 -7.4977117E-14 -4.6412417E-06  2.0687393E-03  0.0000000E+00
  7.3212750E+01  4.1569767E-03  4.6357294E-13 -4.7956881E-06  2.0687393E-03  0.0000000E+00
  7.3212750E+01  4.2912401E-03  1.0300800E-12 -4.9505985E-06  2.0687393E-03  0.0000000E+00
  7.3212750E+01  4.4251006E-03  1.6204183E-12 -5.1050452E-06  2.0687393E-03  0.0000000E+00
  7.3212750E+01  4.5593622E-03  2.2374054E-12 -5.2599558E-06  2.0687393E-03  0.0000000E+00
  7.3212750E+01  4.6932210E-03  2.8766306E-12 -5.4144027E-06  2.0687393E-03  0.0000000E+00
  7.3212750E+01  4.8274808E-03  3.5412227E-12 -5.5693135E-06  2.0687393E-03  0.0000000E+00
  7.3212750E+01  4.9617397E-03  4.2285943E-12 -5.7242244E-06  2.0687393E-03  0.0000000E+00
  7.3212750E+01  5.0955958E-03  4.9358940E-12 -5.8786716E-06  2.0687393E-03  0.0000000E+00
  7.3212750E+01  5.2298529E-03  5.6666850E-12 -6.0335828E-06  2.0687392E-03  0.0000000E+00
  7.3212750E+01  5.3637072E-03  6.4159175E-12 -6.1880302E-06  2.0687392E-03  0.0000000E+00
  7.3212750E+01  5.4979626E-03  7.1874234E-12 -6.3429416E-06  2.0687392E-03  0.0000000E+00
  7.3212750E+01  5.6318151E-03  7.9759257E-12 -6.4973893E-06  2.0687392E-03  0.0000000E+00
  7.3212750E+01  5.7660687E-03  8.7855087E-12 -6.6523009E-06  2.0687392E-03  0.0000000E+00
  7.3212750E+01  5.8999194E-03  9.6106836E-12 -6.8067489E-06  2.0687392E-03  0.0000000E+00
  7.3212750E+01  6.0341712E-03  1.0455771E-11 -6.9616608E-06  2.0687392E-03  0.0000000E+00
  7.3212750E+01  6.1684221E-03  1.1317691E-11 -7.1165728E-06  2.0687392E-03  0.0000000E+00
  7.3212750E+01  6.3022701E-03  1.2193170E-11 -7.2710211E-06  2.0687392E-03  0.0000000E+00
  7.3212750E+01  6.4365192E-03  1.3086856E-11 -7.4259333E-06  2.0687392E-03  0.0000000E+00
  7.3212750E+01  6.5703654E-03  1.3992794E-11 -7.5803819E-06  2.0687392E-03  0.0000000E+00
  7.3212750E+01  6.7046127E-03  1.4915831E-11 -7.7352945E-06  2.0687392E-03  0.0000000E+00
  7.3212750E+01  6.8384572E-03  1.5849855E-11 -7.8897433E-06  2.0687392E-03  0.0000000E+00
  7.3212750E+01  6.9727027E-03  1.6799894E-11 -8.0446561E-06  2.0687392E-03  0.0000000E+00
  7.3212750E+01  7.1065453E-03  1.7759689E-11 -8.1991053E-06  2.0687392E-03  0.0000000E+00
  7.3212750E+01  7.2407890E-03  1.8734441E-11 -8.3540183E-06  2.0687392E-03  0.0000000E+00
  7.3212750E+01  7.3750318E-03  1.9720726E-11 -8.5089316E-06  2.0687392E-03  0.0000000E+00
  7.3212750E+01  7.5088717E-03  2.0714991E-11 -8.6633812E-06  2.0687392E-03  0.0000000E+00
  7.3212750E+01  7.6431127E-03  2.1722666E-11 -8.8182947E-06  2.0687392E-03  0.0000000E+00
  7.3212750E+01  7.7769509E-03  2.2737184E-11 -8.9727446E-06  2.0687392E-03  0.0000000E+00
  7.3212750E+01  7.9111901E-03  2.3764108E-11 -9.1276584E-06  2.0687392E-03  0.0000000E+00
  7.3212750E+01  8.0450264E-03  2.4796773E-11 -9.2821086E-06  2.0687391E-03  0.0000000E+00
  7.3212750E+01  8.1792638E-03  2.5840866E-11 -9.4370227E-06  2.0687391E-03  0.0000000E+00
  7.3212750E+01  8.3130983E-03  2.6889630E-11 -9.5914732E-06  2.0687391E-03  0.0000000E+00
