          atime         ptr_uu         ptr_vv         ptr_ww         pm1avg           tavg
  7.3212750E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.0687393E-03  0.0000000E+00
  7.3212750E+01  1.7890533E-06  8.3271751E-09  8.9339888E-06  2.0687393E-03  0.0000000E+00
  7.3212750E+01  3.5720459E-06  1.5713543E-08  1.7854752E-05  2.0687393E-03  0.0000000E+00
  7.3212750E+01  5.3492504E-06  2.2166638E-08  2.6763644E-05  2.0687393E-03  0.0000000E+00
  7.3212750E+01  7.1199818E-06  2.7690669E-08  3.5657212E-05  2.0687393E-03  0.0000000E+00
  7.3212750E+01  8.8852546E-06  3.2295216E-08  4.4540540E-05  2.0687393E-03  0.0000000E+00
  7.3212750E+01  1.0644017E-05  3.5983951E-08  5.3408321E-05  2.0687393E-03  0.0000000E+00
  7.3212750E+01  1.2397329E-05  3.8765483E-08  6.2265889E-05  2.0687393E-03  0.0000000E+00
  7.3212750E+01  1.4144147E-05  4.0644498E-08  7.1107951E-05  2.0687393E-03  0.0000000E+00
  7.3212750E+01  1.5885523E-05  4.1628442E-08  7.9939829E-05  2.0687393E-03  0.0000000E+00
  7.3212750E+01  1.7620940E-05  4.1722896E-08  8.8758885E-05  2.0687393E-03  0.0000000E+00
  7.3212750E+01  1.9349886E-05  4.0934471E-08  9.7562500E-05  2.0687393E-03  0.0000000E+00
  7.3212750E+01  2.1073404E-05  3.9268898E-08  1.0635597E-04  2.0687393E-03  0.0000000E+00
  7.3212750E+01  2.2790467E-05  3.6733336E-08  1.1513404E-04  2.0687393E-03  0.0000000E+00
  7.3212750E+01  2.4502110E-05  3.3332391E-08  1.2390200E-04  2.0687393E-03  0.0000000E+00
  7.3212750E+01  2.6207314E-05  2.9074189E-08  1.3265459E-04  2.0687393E-03  0.0000000E+00
  7.3212750E+01  2.7907107E-05  2.3962228E-08  1.4139710E-04  2.0687393E-03  0.0000000E+00
  7.3212750E+01  2.9600477E-05  1.8005584E-08  1.5012430E-04  2.0687393E-03  0.0000000E+00
  7.3212750E+01  3.1288445E-05  1.1206662E-08  1.5884143E-04  2.0687393E-03  0.0000000E+00
  7.3212750E+01  3.2970509E-05  3.5730631E-09  1.6754589E-04  2.0687393E-03  0.0000000E+00
  7.3212750E+01  3.4646173E-05 -4.8866474E-09  1.7623511E-04  2.0687393E-03  0.0000000E+00
  7.3212750E+01  3.6316448E-05 -1.4171676E-08  1.8491430E-04  2.0687393E-03  0.0000000E+00
  7.3212750E+01  3.7980339E-05 -2.4270626E-08  1.9357828E-04  2.0687393E-03  0.0000000E+00
  7.3212750E+01  3.9638850E-05 -3.5183761E-08  2.0223227E-04  2.0687393E-03  0.0000000E+00
