          atime        conv_uu        conv_vv        conv_ww         pm1avg           tavg
  1.4637935E+02 -2.6293200E-09 -1.7365822E-11 -4.5685096E-10  2.1215973E-03  0.0000000E+00
  1.4637935E+02 -2.4607073E-09 -1.5856562E-11 -4.2901055E-10  2.1215973E-03  0.0000000E+00
  1.4637935E+02 -2.2969533E-09 -1.4397344E-11 -4.0194767E-10  2.1215973E-03  0.0000000E+00
  1.4637935E+02 -2.1379486E-09 -1.2986999E-11 -3.7564494E-10  2.1215973E-03  0.0000000E+00
  1.4637935E+02 -1.9836697E-09 -1.1625118E-11 -3.5009922E-10  2.1215973E-03  0.0000000E+00
  1.4637935E+02 -1.8339453E-09 -1.0309994E-11 -3.2528290E-10  2.1215973E-03  0.0000000E+00
  1.4637935E+02 -1.6887829E-09 -9.0414952E-12 -3.0119793E-10  2.1215973E-03  0.0000000E+00
  1.4637935E+02 -1.5480140E-09 -7.8179505E-12 -2.7781710E-10  2.1215973E-03  0.0000000E+00
  1.4637935E+02 -1.4116425E-09 -6.6391962E-12 -2.5514182E-10  2.1215973E-03  0.0000000E+00
  1.4637935E+02 -1.2795072E-09 -5.5036393E-12 -2.3314603E-10  2.1215973E-03  0.0000000E+00
  1.4637935E+02 -1.1515713E-09 -4.4107653E-12 -2.1182432E-10  2.1215973E-03  0.0000000E+00
  1.4637935E+02 -1.0277936E-09 -3.3600202E-12 -1.9117063E-10  2.1215973E-03  0.0000000E+00
  1.4637935E+02 -9.0802356E-10 -2.3499225E-12 -1.7116056E-10  2.1215973E-03  0.0000000E+00
  1.4637935E+02 -7.9225737E-10 -1.3802381E-12 -1.5179425E-10  2.1215973E-03  0.0000000E+00
  1.4637935E+02 -6.8035103E-10 -4.4955677E-13 -1.3304838E-10  2.1215973E-03  0.0000000E+00
  1.4637935E+02 -5.7229801E-10  4.4238090E-13 -1.1492261E-10  2.1215973E-03  0.0000000E+00
  1.4637935E+02 -4.6796079E-10  1.2969164E-12 -9.7394671E-11  2.1215973E-03  0.0000000E+00
  1.4637935E+02 -3.6733016E-10  2.1143328E-12 -8.0463779E-11  2.1215973E-03  0.0000000E+00
  1.4637935E+02 -2.7027489E-10  2.8959052E-12 -6.4108646E-11  2.1215972E-03  0.0000000E+00
  1.4637935E+02 -1.7675572E-10  3.6421573E-12 -4.8323437E-11  2.1215972E-03  0.0000000E+00
  1.4637935E+02 -8.6730040E-11  4.3536448E-12 -3.3101773E-11  2.1215972E-03  0.0000000E+00
  1.4637935E+02 -7.5687976E-14  5.0315474E-12 -1.8423803E-11  2.1215972E-03  0.0000000E+00
  1.4637935E+02  8.3222655E-11  5.6762009E-12 -4.2877473E-12  2.1215972E-03  0.0000000E+00
  1.4637935E+02  1.6328136E-10  6.2887245E-12  9.3253199E-12  2.1215972E-03  0.0000000E+00
  1.4637935E+02  2.4011796E-10  6.8694728E-12  2.2417548E-11  2.1215972E-03  0.0000000E+00
  1.4637935E+02  3.1384323E-10  7.4195062E-12  3.5006970E-11  2.1215972E-03  0.0000000E+00
  1.4637935E+02  3.8447678E-10  7.9391966E-12  4.7096085E-11  2.1215972E-03  0.0000000E+00
  1.4637935E+02  4.5212397E-10  8.4295479E-12  5.8702062E-11  2.1215972E-03  0.0000000E+00
  1.4637935E+02  5.1682535E-10  8.8910823E-12  6.9830995E-11  2.1215972E-03  0.0000000E+00
  1.4637935E+02  5.7862417E-10  9.3243470E-12  8.0489421E-11  2.1215972E-03  0.0000000E+00
  1.4637935E+02  6.3766979E-10  9.7306176E-12  9.0702242E-11  2.1215972E-03  0.0000000E+00
  1.4637935E+02  6.9379826E-10  1.0109026E-11  1.0044011E-10  2.1215972E-03  0.0000000E+00
  1.4637935E+02  7.4738754E-10  1.0462364E-11  1.0976768E-10  2.1215972E-03  0.0000000E+00
  1.4637935E+02  7.9817470E-10  1.0789150E-11  1.1863824E-10  2.1215972E-03  0.0000000E+00
  1.4637935E+02  8.4652216E-10  1.1091971E-11  1.2711412E-10  2.1215972E-03  0.0000000E+00
  1.4637935E+02  8.9219680E-10  1.1369630E-11  1.3515346E-10  2.1215972E-03  0.0000000E+00
  1.4637935E+02  9.3552878E-10  1.1624402E-11  1.4281335E-10  2.1215972E-03  0.0000000E+00
  1.4637935E+02  9.7643238E-10  1.1856019E-11  1.5007775E-10  2.1215972E-03  0.0000000E+00
  1.4637935E+02  1.0148502E-09  1.2064478E-11  1.5693523E-10  2.1215972E-03  0.0000000E+00
  1.4637935E+02  1.0510664E-09  1.2251614E-11  1.6343544E-10  2.1215972E-03  0.0000000E+00
  1.4637935E+02  1.0849169E-09  1.2416876E-11  1.6954776E-10  2.1215972E-03  0.0000000E+00
  1.4637935E+02  1.1166570E-09  1.2561821E-11  1.7531713E-10  2.1215972E-03  0.0000000E+00
  1.4637935E+02  1.1461478E-09  1.2686135E-11  1.8071709E-10  2.1215972E-03  0.0000000E+00
  1.4637935E+02  1.1736170E-09  1.2791112E-11  1.8578807E-10  2.1215972E-03  0.0000000E+00
  1.4637935E+02  1.1989498E-09  1.2876659E-11  1.9050756E-10  2.1215972E-03  0.0000000E+00
  1.4637935E+02  1.2223476E-09  1.2943820E-11  1.9491168E-10  2.1215972E-03  0.0000000E+00
  1.4637935E+02  1.2437799E-09  1.2992835E-11  1.9899346E-10  2.1215972E-03  0.0000000E+00
  1.4637935E+02  1.2632389E-09  1.3024151E-11  2.0274966E-10  2.1215972E-03  0.0000000E+00
  1.4637935E+02  1.2808886E-09  1.3038461E-11  2.0621030E-10  2.1215972E-03  0.0000000E+00
  1.4637935E+02  1.2966695E-09  1.3036177E-11  2.0936197E-10  2.1215972E-03  0.0000000E+00
  1.4637935E+02  1.3107223E-09  1.3017776E-11  2.1223086E-10  2.1215972E-03  0.0000000E+00
  1.4637935E+02  1.3230076E-09  1.2983847E-11  2.1480689E-10  2.1215972E-03  0.0000000E+00
  1.4637935E+02  1.3336437E-09  1.2934664E-11  2.1711257E-10  2.1215972E-03  0.0000000E+00
  1.4637935E+02  1.3426104E-09  1.2870985E-11  2.1914101E-10  2.1215971E-03  0.0000000E+00
  1.4637935E+02  1.3500047E-09  1.2792888E-11  2.2091124E-10  2.1215971E-03  0.0000000E+00
  1.4637935E+02  1.3558398E-09  1.2700996E-11  2.2242350E-10  2.1215971E-03  0.0000000E+00
  1.4637935E+02  1.3601469E-09  1.2596090E-11  2.2368104E-10  2.1215971E-03  0.0000000E+00
  1.4637935E+02  1.3629932E-09  1.2477978E-11  2.2469797E-10  2.1215971E-03  0.0000000E+00
  1.4637935E+02  1.3644019E-09  1.2347796E-11  2.2547460E-10  2.1215971E-03  0.0000000E+00
  1.4637935E+02  1.3644216E-09  1.2205184E-11  2.2602195E-10  2.1215971E-03  0.0000000E+00
  1.4637935E+02  1.3630912E-09  1.2051413E-11  2.2634297E-10  2.1215971E-03  0.0000000E+00
  1.4637935E+02  1.3604416E-09  1.1885968E-11  2.2644575E-10  2.1215971E-03  0.0000000E+00
  1.4637935E+02  1.3565266E-09  1.1710241E-11  2.2633571E-10  2.1215971E-03  0.0000000E+00
  1.4637935E+02  1.3513602E-09  1.1523571E-11  2.2601817E-10  2.1215971E-03  0.0000000E+00
  1.4637935E+02  1.3449895E-09  1.1326861E-11  2.2549904E-10  2.1215970E-03  0.0000000E+00
  1.4637935E+02  1.3374750E-09  1.1121126E-11  2.2478654E-10  2.1215970E-03  0.0000000E+00
  1.4637935E+02  1.3288076E-09  1.0905505E-11  2.2388212E-10  2.1215970E-03  0.0000000E+00
  1.4637935E+02  1.3190742E-09  1.0681657E-11  2.2279677E-10  2.1215970E-03  0.0000000E+00
  1.4637935E+02  1.3082511E-09  1.0448601E-11  2.2152950E-10  2.1215970E-03  0.0000000E+00
