          atime             vx             vy             vz             pr        garbage
  1.4637935E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.8077840E-03  0.0000000E+00
  1.4637935E+02  1.3226979E-04  3.2011087E-10 -1.1080878E-06  1.8077808E-03  0.0000000E+00
  1.4637935E+02  2.6453461E-04  5.1535110E-10 -2.2155742E-06  1.8077776E-03  0.0000000E+00
  1.4637935E+02  3.9681429E-04  5.8588032E-10 -3.3226250E-06  1.8077745E-03  0.0000000E+00
  1.4637935E+02  5.2905728E-04  5.3184632E-10 -4.4288089E-06  1.8077713E-03  0.0000000E+00
  1.4637935E+02  6.6133892E-04  3.5335588E-10 -5.5347560E-06  1.8077681E-03  0.0000000E+00
  1.4637935E+02  7.9357990E-04  5.0675895E-11 -6.6398030E-06  1.8077650E-03  0.0000000E+00
  1.4637935E+02  9.2585953E-04 -3.7624023E-10 -7.7446127E-06  1.8077618E-03  0.0000000E+00
  1.4637935E+02  1.0580985E-03 -9.2698489E-10 -8.8485225E-06  1.8077587E-03  0.0000000E+00
  1.4637935E+02  1.1903761E-03 -1.6017408E-09 -9.9521945E-06  1.8077556E-03  0.0000000E+00
  1.4637935E+02  1.3226528E-03 -2.4002136E-09 -1.1055297E-05  1.8077524E-03  0.0000000E+00
  1.4637935E+02  1.4548887E-03 -3.3219608E-09 -1.2157501E-05  1.8077493E-03  0.0000000E+00
  1.4637935E+02  1.5871633E-03 -4.3673967E-09 -1.3259465E-05  1.8077462E-03  0.0000000E+00
  1.4637935E+02  1.7193973E-03 -5.5357288E-09 -1.4360530E-05  1.8077430E-03  0.0000000E+00
  1.4637935E+02  1.8516699E-03 -6.8275184E-09 -1.5461356E-05  1.8077399E-03  0.0000000E+00
  1.4637935E+02  1.9839018E-03 -8.2418321E-09 -1.6561283E-05  1.8077368E-03  0.0000000E+00
  1.4637935E+02  2.1161724E-03 -9.7793918E-09 -1.7660970E-05  1.8077337E-03  0.0000000E+00
  1.4637935E+02  2.2484024E-03 -1.1439117E-08 -1.8759758E-05  1.8077306E-03  0.0000000E+00
  1.4637935E+02  2.3806710E-03 -1.3221869E-08 -1.9858306E-05  1.8077275E-03  0.0000000E+00
  1.4637935E+02  2.5129385E-03 -1.5126980E-08 -2.0956284E-05  1.8077244E-03  0.0000000E+00
  1.4637935E+02  2.6451655E-03 -1.7153715E-08 -2.2053364E-05  1.8077213E-03  0.0000000E+00
  1.4637935E+02  2.7774310E-03 -1.9303144E-08 -2.3150202E-05  1.8077182E-03  0.0000000E+00
  1.4637935E+02  2.9096560E-03 -2.1573785E-08 -2.4246142E-05  1.8077152E-03  0.0000000E+00
  1.4637935E+02  3.0419195E-03 -2.3966896E-08 -2.5341840E-05  1.8077121E-03  0.0000000E+00
  1.4637935E+02  3.1741424E-03 -2.6480879E-08 -2.6436640E-05  1.8077090E-03  0.0000000E+00
  1.4637935E+02  3.3064040E-03 -2.9117093E-08 -2.7531198E-05  1.8077059E-03  0.0000000E+00
  1.4637935E+02  3.4386249E-03 -3.1873828E-08 -2.8624858E-05  1.8077029E-03  0.0000000E+00
  1.4637935E+02  3.5708844E-03 -3.4752553E-08 -2.9718275E-05  1.8076998E-03  0.0000000E+00
  1.4637935E+02  3.7031429E-03 -3.7752310E-08 -3.0811122E-05  1.8076968E-03  0.0000000E+00
  1.4637935E+02  3.8353608E-03 -4.0872033E-08 -3.1903071E-05  1.8076937E-03  0.0000000E+00
  1.4637935E+02  3.9677363E-03 -4.4116396E-08 -3.2995758E-05  1.8076907E-03  0.0000000E+00
  1.4637935E+02  4.0997539E-03 -4.7472348E-08 -3.4084931E-05  1.8076876E-03  0.0000000E+00
  1.4637935E+02  4.2321670E-03 -5.0958942E-08 -3.5176803E-05  1.8076846E-03  0.0000000E+00
  1.4637935E+02  4.3641826E-03 -5.4555172E-08 -3.6264837E-05  1.8076816E-03  0.0000000E+00
  1.4637935E+02  4.4965937E-03 -5.8282428E-08 -3.7355566E-05  1.8076785E-03  0.0000000E+00
  1.4637935E+02  4.6286073E-03 -6.2118304E-08 -3.8442460E-05  1.8076755E-03  0.0000000E+00
  1.4637935E+02  4.7610163E-03 -6.6085058E-08 -3.9532047E-05  1.8076725E-03  0.0000000E+00
  1.4637935E+02  4.8934244E-03 -7.0173030E-08 -4.0621061E-05  1.8076695E-03  0.0000000E+00
  1.4637935E+02  5.0254349E-03 -7.4367468E-08 -4.1706244E-05  1.8076664E-03  0.0000000E+00
  1.4637935E+02  5.1578410E-03 -7.8694047E-08 -4.2794115E-05  1.8076634E-03  0.0000000E+00
  1.4637935E+02  5.2898495E-03 -8.3126666E-08 -4.3878159E-05  1.8076604E-03  0.0000000E+00
  1.4637935E+02  5.4222535E-03 -8.7691796E-08 -4.4964886E-05  1.8076574E-03  0.0000000E+00
  1.4637935E+02  5.5542601E-03 -9.2362024E-08 -4.6047789E-05  1.8076544E-03  0.0000000E+00
  1.4637935E+02  5.6866620E-03 -9.7165155E-08 -4.7133372E-05  1.8076514E-03  0.0000000E+00
  1.4637935E+02  5.8186666E-03 -1.0207179E-07 -4.8215135E-05  1.8076485E-03  0.0000000E+00
  1.4637935E+02  5.9510665E-03 -1.0711291E-07 -4.9299574E-05  1.8076455E-03  0.0000000E+00
  1.4637935E+02  6.0834654E-03 -1.1227215E-07 -5.0383440E-05  1.8076425E-03  0.0000000E+00
  1.4637935E+02  6.2154669E-03 -1.1753387E-07 -5.1463491E-05  1.8076395E-03  0.0000000E+00
  1.4637935E+02  6.3478638E-03 -1.2292962E-07 -5.2546212E-05  1.8076365E-03  0.0000000E+00
  1.4637935E+02  6.4798633E-03 -1.2842687E-07 -5.3625122E-05  1.8076336E-03  0.0000000E+00
