          atime            tkk            imk        garbage        garbage        garbage
  1.4637935E+02  0.0000000E+00  0.0000000E+00  6.9264081E-09  0.0000000E+00  5.9783092E-09
  1.4637935E+02  1.9471613E-09  0.0000000E+00  7.4736756E-09 -1.2509849E-11  5.3921095E-06
  1.4637935E+02  7.7219038E-09  0.0000000E+00  8.0067757E-09 -1.5032174E-11  1.0768156E-05
  1.4637935E+02  1.7323489E-08  0.0000000E+00  8.5260458E-09  1.7012380E-12  1.6134937E-05
  1.4637935E+02  3.0745200E-08  0.0000000E+00  9.0315426E-09  4.6949922E-11  2.1490374E-05
  1.4637935E+02  4.7992742E-08  0.0000000E+00  9.5238062E-09  1.3002159E-10  2.6837531E-05
  1.4637935E+02  6.9053667E-08  0.0000000E+00  1.0002791E-08  2.6015035E-10  3.2173217E-05
  1.4637935E+02  9.3938501E-08  0.0000000E+00  1.0469030E-08  4.4670872E-10  3.7500643E-05
  1.4637935E+02  1.2263022E-07  0.0000000E+00  1.0922487E-08  6.9888246E-10  4.2816628E-05
  1.4637935E+02  1.5514395E-07  0.0000000E+00  1.1363674E-08  1.0261310E-09  4.8124374E-05
  1.4637935E+02  1.9146954E-07  0.0000000E+00  1.1792690E-08  1.4377063E-09  5.3422297E-05
  1.4637935E+02  2.3159232E-07  0.0000000E+00  1.2209644E-08  1.9427662E-09  5.8708828E-05
  1.4637935E+02  2.7553426E-07  0.0000000E+00  1.2615019E-08  2.5509422E-09  6.3987149E-05
  1.4637935E+02  3.2326693E-07  0.0000000E+00  1.3008797E-08  3.2712012E-09  6.9254109E-05
  1.4637935E+02  3.7481688E-07  0.0000000E+00  1.3391439E-08  4.1133177E-09  7.4512879E-05
  1.4637935E+02  4.3015114E-07  0.0000000E+00  1.3762939E-08  5.0861317E-09  7.9760320E-05
  1.4637935E+02  4.8930081E-07  0.0000000E+00  1.4123736E-08  6.1995827E-09  8.4999591E-05
  1.4637935E+02  5.5222837E-07  0.0000000E+00  1.4473829E-08  7.4623617E-09  9.0227564E-05
  1.4637935E+02  6.1896950E-07  0.0000000E+00  1.4813643E-08  8.8845953E-09  9.5447388E-05
  1.4637935E+02  6.8950383E-07  0.0000000E+00  1.5143279E-08  1.0475306E-08  1.0065750E-04
  1.4637935E+02  7.6380646E-07  0.0000000E+00  1.5462850E-08  1.2243321E-08  1.0585637E-04
  1.4637935E+02  8.4191991E-07  0.0000000E+00  1.5772752E-08  1.4199091E-08  1.1104712E-04
  1.4637935E+02  9.2379528E-07  0.0000000E+00  1.6073000E-08  1.6350834E-08  1.1622665E-04
  1.4637935E+02  1.0094796E-06  0.0000000E+00  1.6363973E-08  1.8709244E-08  1.2139807E-04
  1.4637935E+02  1.0989196E-06  0.0000000E+00  1.6645693E-08  2.1282314E-08  1.2655832E-04
  1.4637935E+02  1.1921667E-06  0.0000000E+00  1.6918520E-08  2.4081001E-08  1.3171048E-04
  1.4637935E+02  1.2891631E-06  0.0000000E+00  1.7182482E-08  2.7113048E-08  1.3685148E-04
  1.4637935E+02  1.3899649E-06  0.0000000E+00  1.7437924E-08  3.0389701E-08  1.4198443E-04
  1.4637935E+02  1.4945415E-06  0.0000000E+00  1.7684952E-08  3.3919526E-08  1.4710778E-04
  1.4637935E+02  1.6028578E-06  0.0000000E+00  1.7923677E-08  3.7710791E-08  1.5222003E-04
  1.4637935E+02  1.7150795E-06  0.0000000E+00  1.8154626E-08  4.1778998E-08  1.5732883E-04
  1.4637935E+02  1.8307589E-06  0.0000000E+00  1.8377096E-08  4.6117131E-08  1.6241433E-04
  1.4637935E+02  1.9505559E-06  0.0000000E+00  1.8592526E-08  5.0759542E-08  1.6750555E-04
  1.4637935E+02  2.0737511E-06  0.0000000E+00  1.8799798E-08  5.5687876E-08  1.7257203E-04
  1.4637935E+02  2.2010824E-06  0.0000000E+00  1.9000328E-08  6.0941221E-08  1.7764420E-04
  1.4637935E+02  2.3317854E-06  0.0000000E+00  1.9193080E-08  6.6497577E-08  1.8269170E-04
  1.4637935E+02  2.4666430E-06  0.0000000E+00  1.9379379E-08  7.2399816E-08  1.8774486E-04
  1.4637935E+02  2.6052664E-06  0.0000000E+00  1.9558798E-08  7.8641269E-08  1.9278853E-04
  1.4637935E+02  2.7472217E-06  0.0000000E+00  1.9730989E-08  8.5211213E-08  1.9780765E-04
  1.4637935E+02  2.8933594E-06  0.0000000E+00  1.9897145E-08  9.2158627E-08  2.0283239E-04
  1.4637935E+02  3.0428026E-06  0.0000000E+00  2.0056427E-08  9.9451399E-08  2.0783267E-04
  1.4637935E+02  3.1964467E-06  0.0000000E+00  2.0209943E-08  1.0714286E-07  2.1283853E-04
  1.4637935E+02  3.3533699E-06  0.0000000E+00  2.0356925E-08  1.1519647E-07  2.1782001E-04
  1.4637935E+02  3.5145125E-06  0.0000000E+00  2.0498404E-08  1.2367013E-07  2.2280704E-04
  1.4637935E+02  3.6789078E-06  0.0000000E+00  2.0633680E-08  1.3252262E-07  2.2776978E-04
  1.4637935E+02  3.8475411E-06  0.0000000E+00  2.0763708E-08  1.4181666E-07  2.3273804E-04
  1.4637935E+02  4.0199224E-06  0.0000000E+00  2.0888216E-08  1.5153588E-07  2.3769692E-04
