          atime          uvari          vvari          wvari          pvari          tvari
  1.4637935E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.4623997E-05  0.0000000E+00
  1.4637935E+02  2.8440692E-09 -9.1016585E-14  1.0503444E-09  4.4623100E-05  0.0000000E+00
  1.4637935E+02  1.1248802E-08 -1.7737808E-13  4.1951836E-09  4.4622203E-05  0.0000000E+00
  1.4637935E+02  2.5215548E-08 -2.5877482E-13  9.4316897E-09  4.4621309E-05  0.0000000E+00
  1.4637935E+02  4.4736957E-08 -3.3457678E-13  1.6753777E-08  4.4620416E-05  0.0000000E+00
  1.4637935E+02  6.9823747E-08 -4.0395051E-13  2.6162141E-08  4.4619524E-05  0.0000000E+00
  1.4637935E+02  1.0046022E-07 -4.6570273E-13  3.7647576E-08  4.4618634E-05  0.0000000E+00
  1.4637935E+02  1.3666411E-07 -5.1844351E-13  5.1213410E-08  4.4617745E-05  0.0000000E+00
  1.4637935E+02  1.7841305E-07 -5.6044105E-13  6.6847957E-08  4.4616859E-05  0.0000000E+00
  1.4637935E+02  2.2573144E-07 -5.8974679E-13  8.4557045E-08  4.4615973E-05  0.0000000E+00
  1.4637935E+02  2.7860694E-07 -6.0410014E-13  1.0433275E-07  4.4615089E-05  0.0000000E+00
  1.4637935E+02  3.3702057E-07 -6.0098747E-13  1.2616468E-07  4.4614207E-05  0.0000000E+00
  1.4637935E+02  4.0100671E-07 -5.7762003E-13  1.5006239E-07  4.4613326E-05  0.0000000E+00
  1.4637935E+02  4.7052636E-07 -5.3095696E-13  1.7600803E-07  4.4612447E-05  0.0000000E+00
  1.4637935E+02  5.4562058E-07 -4.5764603E-13  2.0401364E-07  4.4611569E-05  0.0000000E+00
  1.4637935E+02  6.2624372E-07 -3.5414103E-13  2.3405891E-07  4.4610693E-05  0.0000000E+00
  1.4637935E+02  7.1244349E-07 -2.1652199E-13  2.6615835E-07  4.4609818E-05  0.0000000E+00
  1.4637935E+02  8.0416758E-07 -4.0749719E-14  3.0028920E-07  4.4608945E-05  0.0000000E+00
  1.4637935E+02  9.0147038E-07  1.7766904E-13  3.3646844E-07  4.4608073E-05  0.0000000E+00
  1.4637935E+02  1.0043246E-06  4.4334010E-13  3.7468264E-07  4.4607203E-05  0.0000000E+00
  1.4637935E+02  1.1126962E-06  7.6107518E-13  4.1491594E-07  4.4606335E-05  0.0000000E+00
  1.4637935E+02  1.2266497E-06  1.1362407E-12  4.5718898E-07  4.4605468E-05  0.0000000E+00
  1.4637935E+02  1.3461161E-06  1.5740461E-12  5.0147294E-07  4.4604602E-05  0.0000000E+00
  1.4637935E+02  1.4711663E-06  2.0804506E-12  5.4779091E-07  4.4603738E-05  0.0000000E+00
  1.4637935E+02  1.6017249E-06  2.6611036E-12  5.9611164E-07  4.4602876E-05  0.0000000E+00
  1.4637935E+02  1.7378695E-06  3.3225670E-12  6.4646065E-07  4.4602015E-05  0.0000000E+00
  1.4637935E+02  1.8795178E-06  4.0709124E-12  6.9880429E-07  4.4601156E-05  0.0000000E+00
  1.4637935E+02  2.0267543E-06  4.9133156E-12  7.5317051E-07  4.4600298E-05  0.0000000E+00
  1.4637935E+02  2.1795366E-06  5.8565496E-12  8.0954046E-07  4.4599442E-05  0.0000000E+00
  1.4637935E+02  2.3378159E-06  6.9075210E-12  8.6789289E-07  4.4598588E-05  0.0000000E+00
  1.4637935E+02  2.5018363E-06  8.0754540E-12  9.2831456E-07  4.4597734E-05  0.0000000E+00
  1.4637935E+02  2.6709462E-06  9.3632662E-12  9.9056229E-07  4.4596883E-05  0.0000000E+00
  1.4637935E+02  2.8461123E-06  1.0786366E-11  1.0549887E-06  4.4596032E-05  0.0000000E+00
  1.4637935E+02  3.0262853E-06  1.2344455E-11  1.1212047E-06  4.4595185E-05  0.0000000E+00
  1.4637935E+02  3.2125465E-06  1.4055398E-11  1.1896044E-06  4.4594337E-05  0.0000000E+00
  1.4637935E+02  3.4037800E-06  1.5917672E-11  1.2597749E-06  4.4593493E-05  0.0000000E+00
  1.4637935E+02  3.6011339E-06  1.7951467E-11  1.3321342E-06  4.4592648E-05  0.0000000E+00
  1.4637935E+02  3.8040415E-06  2.0160704E-11  1.4064711E-06  4.4591804E-05  0.0000000E+00
  1.4637935E+02  4.0118699E-06  2.2547455E-11  1.4825509E-06  4.4590965E-05  0.0000000E+00
  1.4637935E+02  4.2258666E-06  2.5135797E-11  1.5608271E-06  4.4590125E-05  0.0000000E+00
  1.4637935E+02  4.4447498E-06  2.7920184E-11  1.6408275E-06  4.4589288E-05  0.0000000E+00
  1.4637935E+02  4.6698333E-06  3.0927571E-11  1.7230292E-06  4.4588451E-05  0.0000000E+00
  1.4637935E+02  4.8997688E-06  3.4150388E-11  1.8069368E-06  4.4587618E-05  0.0000000E+00
  1.4637935E+02  5.1359368E-06  3.7618709E-11  1.8930506E-06  4.4586783E-05  0.0000000E+00
  1.4637935E+02  5.3769225E-06  4.1322684E-11  1.9808518E-06  4.4585953E-05  0.0000000E+00
  1.4637935E+02  5.6241726E-06  4.5295760E-11  2.0708643E-06  4.4585122E-05  0.0000000E+00
  1.4637935E+02  5.8769712E-06  4.9538662E-11  2.1628240E-06  4.4584292E-05  0.0000000E+00
  1.4637935E+02  6.1345360E-06  5.4049119E-11  2.2564434E-06  4.4583466E-05  0.0000000E+00
  1.4637935E+02  6.3984133E-06  5.8866140E-11  2.3522816E-06  4.4582640E-05  0.0000000E+00
  1.4637935E+02  6.6670225E-06  6.3972990E-11  2.4497612E-06  4.4581817E-05  0.0000000E+00
  1.4637935E+02  6.9419762E-06  6.9412730E-11  2.5494644E-06  4.4580994E-05  0.0000000E+00
  1.4637935E+02  7.2216275E-06  7.5165365E-11  2.6507909E-06  4.4580174E-05  0.0000000E+00
  1.4637935E+02  7.5076554E-06  8.1278308E-11  2.7543459E-06  4.4579354E-05  0.0000000E+00
  1.4637935E+02  7.7983465E-06  8.7727997E-11  2.8595059E-06  4.4578537E-05  0.0000000E+00
  1.4637935E+02  8.0954463E-06  9.4566498E-11  2.9668994E-06  4.4577720E-05  0.0000000E+00
  1.4637935E+02  8.3980895E-06  1.0178858E-10  3.0762099E-06  4.4576904E-05  0.0000000E+00
  1.4637935E+02  8.7053445E-06  1.0938464E-10  3.1870984E-06  4.4576092E-05  0.0000000E+00
  1.4637935E+02  9.0190562E-06  1.1741433E-10  3.3002275E-06  4.4575279E-05  0.0000000E+00
  1.4637935E+02  9.3373455E-06  1.2584376E-10  3.4149165E-06  4.4574471E-05  0.0000000E+00
  1.4637935E+02  9.6621236E-06  1.3473805E-10  3.5318510E-06  4.4573661E-05  0.0000000E+00
  1.4637935E+02  9.9914450E-06  1.4405857E-10  3.6503274E-06  4.4572855E-05  0.0000000E+00
  1.4637935E+02  1.0327287E-05  1.5387624E-10  3.7710541E-06  4.4572048E-05  0.0000000E+00
  1.4637935E+02  1.0667639E-05  1.6414738E-10  3.8933048E-06  4.4571246E-05  0.0000000E+00
  1.4637935E+02  1.1014543E-05  1.7494907E-10  4.0178105E-06  4.4570442E-05  0.0000000E+00
  1.4637935E+02  1.1366985E-05  1.8626683E-10  4.1442037E-06  4.4569640E-05  0.0000000E+00
  1.4637935E+02  1.1723886E-05  1.9808025E-10  4.2720942E-06  4.4568842E-05  0.0000000E+00
  1.4637935E+02  1.2087387E-05  2.1047635E-10  4.4022469E-06  4.4568043E-05  0.0000000E+00
  1.4637935E+02  1.2455312E-05  2.2339711E-10  4.5338791E-06  4.4567248E-05  0.0000000E+00
  1.4637935E+02  1.2829870E-05  2.3693664E-10  4.6677782E-06  4.4566452E-05  0.0000000E+00
  1.4637935E+02  1.3208817E-05  2.5103050E-10  4.8031391E-06  4.4565660E-05  0.0000000E+00
  1.4637935E+02  1.3594429E-05  2.6578030E-10  4.9407717E-06  4.4564867E-05  0.0000000E+00
  1.4637935E+02  1.3984397E-05  2.8111479E-10  5.0798484E-06  4.4564078E-05  0.0000000E+00
  1.4637935E+02  1.4381061E-05  2.9714346E-10  5.2212015E-06  4.4563288E-05  0.0000000E+00
  1.4637935E+02  1.4783259E-05  3.1383885E-10  5.3644127E-06  4.4562500E-05  0.0000000E+00
  1.4637935E+02  1.5189761E-05  3.3116573E-10  5.5090418E-06  4.4561716E-05  0.0000000E+00
  1.4637935E+02  1.5603008E-05  3.4924620E-10  5.6559541E-06  4.4560930E-05  0.0000000E+00
  1.4637935E+02  1.6020525E-05  3.6799016E-10  5.8042669E-06  4.4560149E-05  0.0000000E+00
  1.4637935E+02  1.6444820E-05  3.8752864E-10  5.9548675E-06  4.4559367E-05  0.0000000E+00
  1.4637935E+02  1.6873350E-05  4.0776323E-10  6.1068511E-06  4.4558589E-05  0.0000000E+00
  1.4637935E+02  1.7308689E-05  4.2883435E-10  6.2611272E-06  4.4557810E-05  0.0000000E+00
  1.4637935E+02  1.7748229E-05  4.5063483E-10  6.4167689E-06  4.4557034E-05  0.0000000E+00
  1.4637935E+02  1.8194611E-05  4.7331491E-10  6.5747077E-06  4.4556258E-05  0.0000000E+00
  1.4637935E+02  1.8646522E-05  4.9682988E-10  6.7344758E-06  4.4555484E-05  0.0000000E+00
  1.4637935E+02  1.9102584E-05  5.2112525E-10  6.8955835E-06  4.4554713E-05  0.0000000E+00
  1.4637935E+02  1.9565534E-05  5.4636688E-10  7.0589952E-06  4.4553942E-05  0.0000000E+00
  1.4637935E+02  2.0032601E-05  5.7242366E-10  7.2237292E-06  4.4553174E-05  0.0000000E+00
  1.4637935E+02  2.0506590E-05  5.9947244E-10  7.3907719E-06  4.4552406E-05  0.0000000E+00
  1.4637935E+02  2.0984660E-05  6.2737172E-10  7.5591196E-06  4.4551641E-05  0.0000000E+00
  1.4637935E+02  2.1469684E-05  6.5630982E-10  7.7297805E-06  4.4550876E-05  0.0000000E+00
  1.4637935E+02  2.1958757E-05  6.8613431E-10  7.9017294E-06  4.4550114E-05  0.0000000E+00
  1.4637935E+02  2.2454814E-05  7.1704551E-10  8.0759960E-06  4.4549352E-05  0.0000000E+00
  1.4637935E+02  2.2956396E-05  7.4897672E-10  8.2520633E-06  4.4548591E-05  0.0000000E+00
  1.4637935E+02  2.3461976E-05  7.8184927E-10  8.4293931E-06  4.4547834E-05  0.0000000E+00
  1.4637935E+02  2.3974588E-05  8.1588237E-10  8.6090472E-06  4.4547077E-05  0.0000000E+00
  1.4637935E+02  2.4491164E-05  8.5089411E-10  8.7899468E-06  4.4546323E-05  0.0000000E+00
  1.4637935E+02  2.5014806E-05  8.8711692E-10  8.9731753E-06  4.4545568E-05  0.0000000E+00
  1.4637935E+02  2.5542376E-05  9.2435619E-10  9.1576322E-06  4.4544817E-05  0.0000000E+00
