          atime           uavg           vavg           wavg         pm1avg           tavg
  2.0139100E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.0670824E-03  0.0000000E+00
  2.0139100E+02  1.6572242E-03 -1.6826443E-08 -1.5541514E-05  2.0670472E-03  0.0000000E+00
  2.0139100E+02  6.6277060E-03 -1.8201909E-07 -6.1879871E-05  2.0669440E-03  0.0000000E+00
  2.0139100E+02  1.4908194E-02 -8.2584261E-07 -1.3815756E-04  2.0667770E-03  0.0000000E+00
  2.0139100E+02  2.6491603E-02 -2.4551682E-06 -2.4293292E-04  2.0665406E-03  0.0000000E+00
  2.0139100E+02  4.1372154E-02 -5.6987973E-06 -3.7425666E-04  2.0661908E-03  0.0000000E+00
  2.0139100E+02  5.9530499E-02 -1.1242780E-05 -5.2961948E-04  2.0655932E-03  0.0000000E+00
  2.0139100E+02  8.0932477E-02 -1.9768978E-05 -7.0608637E-04  2.0644483E-03  0.0000000E+00
  2.0139100E+02  1.0551689E-01 -3.1900147E-05 -9.0037430E-04  2.0622097E-03  0.0000000E+00
  2.0139100E+02  1.3317551E-01 -4.8151642E-05 -1.1088629E-03  2.0580195E-03  0.0000000E+00
  2.0139100E+02  1.6372204E-01 -6.8885914E-05 -1.3274639E-03  2.0506942E-03  0.0000000E+00
  2.0139100E+02  1.9686341E-01 -9.4279245E-05 -1.5514139E-03  2.0387831E-03  0.0000000E+00
  2.0139100E+02  2.3219472E-01 -1.2432958E-04 -1.7751323E-03  2.0206817E-03  0.0000000E+00
  2.0139100E+02  2.6923104E-01 -1.5893184E-04 -1.9922687E-03  1.9947349E-03  0.0000000E+00
  2.0139100E+02  3.0729016E-01 -1.9780371E-04 -2.1950905E-03  1.9594330E-03  0.0000000E+00
  2.0139100E+02  3.4575976E-01 -2.4062616E-04 -2.3764462E-03  1.9133342E-03  0.0000000E+00
  2.0139100E+02  3.8391811E-01 -2.8618269E-04 -2.5295298E-03  1.8556722E-03  0.0000000E+00
  2.0139100E+02  4.2119060E-01 -3.3485966E-04 -2.6500293E-03  1.7853033E-03  0.0000000E+00
  2.0139100E+02  4.5695071E-01 -3.8354980E-04 -2.7357957E-03  1.7028636E-03  0.0000000E+00
  2.0139100E+02  4.9090231E-01 -4.3061178E-04 -2.7851604E-03  1.6085659E-03  0.0000000E+00
  2.0139100E+02  5.2277744E-01 -4.7409835E-04 -2.7975258E-03  1.5030213E-03  0.0000000E+00
  2.0139100E+02  5.5245581E-01 -5.1205104E-04 -2.7738834E-03  1.3869483E-03  0.0000000E+00
  2.0139100E+02  5.7985743E-01 -5.4253039E-04 -2.7170865E-03  1.2615491E-03  0.0000000E+00
