          atime         prd_uu         prd_vv         prd_ww         pm1avg           tavg
  2.0139100E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.0670824E-03  0.0000000E+00
  2.0139100E+02 -2.0850636E-07  1.2337837E-09  6.7856224E-09  2.0670472E-03  0.0000000E+00
  2.0139100E+02 -5.5012136E-08  3.5004264E-09  8.6473675E-09  2.0669440E-03  0.0000000E+00
  2.0139100E+02  5.0315459E-06  3.7690385E-09 -9.3115072E-08  2.0667770E-03  0.0000000E+00
  2.0139100E+02  3.0959379E-05  5.5411885E-10 -5.8110122E-07  2.0665406E-03  0.0000000E+00
  2.0139100E+02  1.1949572E-04 -2.6052052E-09 -2.0199058E-06  2.0661908E-03  0.0000000E+00
  2.0139100E+02  3.5976399E-04  5.5451217E-09 -5.2694080E-06  2.0655932E-03  0.0000000E+00
  2.0139100E+02  9.1245182E-04  4.6340635E-08 -1.1363212E-05  2.0644483E-03  0.0000000E+00
  2.0139100E+02  2.0264287E-03  1.5559147E-07 -2.1260886E-05  2.0622097E-03  0.0000000E+00
  2.0139100E+02  4.0321972E-03  3.9260391E-07 -3.5550613E-05  2.0580195E-03  0.0000000E+00
  2.0139100E+02  7.2950426E-03  8.5305250E-07 -5.4221331E-05  2.0506942E-03  0.0000000E+00
  2.0139100E+02  1.2119011E-02  1.6774173E-06 -7.6621860E-05  2.0387831E-03  0.0000000E+00
  2.0139100E+02  1.8616270E-02  3.0386371E-06 -1.0164729E-04  2.0206817E-03  0.0000000E+00
  2.0139100E+02  2.6588423E-02  5.0939841E-06 -1.2802834E-04  1.9947349E-03  0.0000000E+00
  2.0139100E+02  3.5445403E-02  7.8993406E-06 -1.5432161E-04  1.9594330E-03  0.0000000E+00
  2.0139100E+02  4.4366799E-02  1.1420606E-05 -1.7880960E-04  1.9133342E-03  0.0000000E+00
  2.0139100E+02  5.2577349E-02  1.5910181E-05 -1.9923687E-04  1.8556722E-03  0.0000000E+00
  2.0139100E+02  5.8962682E-02  2.0408392E-05 -2.1449763E-04  1.7853033E-03  0.0000000E+00
  2.0139100E+02  6.3284295E-02  2.4817375E-05 -2.1945149E-04  1.7028636E-03  0.0000000E+00
