          atime         ptr_uu         ptr_vv         ptr_ww         pm1avg           tavg
  2.0139100E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.0670824E-03  0.0000000E+00
  2.0139100E+02  2.7887337E-05 -8.2731674E-08  1.2761471E-04  2.0670472E-03  0.0000000E+00
  2.0139100E+02  1.0445114E-04 -1.0373697E-06  4.9638281E-04  2.0669440E-03  0.0000000E+00
  2.0139100E+02  2.0943012E-04 -4.6054658E-06  1.0665972E-03  2.0667770E-03  0.0000000E+00
  2.0139100E+02  3.1233842E-04 -1.2562553E-05  1.7798546E-03  2.0665406E-03  0.0000000E+00
  2.0139100E+02  3.7698685E-04 -2.5464951E-05  2.5696458E-03  2.0661908E-03  0.0000000E+00
  2.0139100E+02  3.6674795E-04 -4.1617274E-05  3.3720416E-03  2.0655932E-03  0.0000000E+00
  2.0139100E+02  2.5006026E-04 -5.6758286E-05  4.1362481E-03  2.0644483E-03  0.0000000E+00
  2.0139100E+02  4.9656513E-06 -6.4734940E-05  4.8311262E-03  2.0622097E-03  0.0000000E+00
  2.0139100E+02 -3.7799493E-04 -5.9121875E-05  5.4464994E-03  2.0580195E-03  0.0000000E+00
  2.0139100E+02 -8.9488886E-04 -3.5370358E-05  5.9889822E-03  2.0506942E-03  0.0000000E+00
  2.0139100E+02 -1.5296543E-03  7.2801370E-06  6.4739120E-03  2.0387831E-03  0.0000000E+00
  2.0139100E+02 -2.2574516E-03  6.5142812E-05  6.9163702E-03  2.0206817E-03  0.0000000E+00
  2.0139100E+02 -3.0493529E-03  1.3154186E-04  7.3249403E-03  1.9947349E-03  0.0000000E+00
  2.0139100E+02 -3.8732649E-03  2.0021682E-04  7.6984268E-03  1.9594330E-03  0.0000000E+00
  2.0139100E+02 -4.7034447E-03  2.7075625E-04  8.0267358E-03  1.9133342E-03  0.0000000E+00
  2.0139100E+02 -5.5263278E-03  3.5204012E-04  8.2680467E-03  1.8556722E-03  0.0000000E+00
  2.0139100E+02 -6.2744475E-03  3.8420905E-04  8.4685941E-03  1.7853033E-03  0.0000000E+00
  2.0139100E+02 -6.9880186E-03  4.3591848E-04  8.5602781E-03  1.7028636E-03  0.0000000E+00
  2.0139100E+02 -7.6427518E-03  5.1797895E-04  8.5488901E-03  1.6085659E-03  0.0000000E+00
  2.0139100E+02 -8.2195738E-03  6.4346621E-04  8.4461660E-03  1.5030213E-03  0.0000000E+00
  2.0139100E+02 -8.7077895E-03  8.2501290E-04  8.2683908E-03  1.3869483E-03  0.0000000E+00
  2.0139100E+02 -9.1032497E-03  1.0708150E-03  8.0345678E-03  1.2615491E-03  0.0000000E+00
  2.0139100E+02 -9.4092463E-03  1.3821779E-03  7.7630062E-03  1.1280569E-03  0.0000000E+00
  2.0139100E+02 -9.6332636E-03  1.7509474E-03  7.4691860E-03  9.8811002E-04  0.0000000E+00
  2.0139100E+02 -9.7854407E-03  2.1603347E-03  7.1630707E-03  8.4348597E-04  0.0000000E+00
  2.0139100E+02 -9.8760903E-03  2.5879808E-03  6.8481652E-03  6.9611931E-04  0.0000000E+00
