          atime           conv           prod        pres_tr        pres_df        garbage
  2.0139100E+02  8.9602980E-07  0.0000000E+00  0.0000000E+00  2.6023017E-05 -1.8876404E-04
  2.0139100E+02  6.6737622E-07 -1.0024348E-07  7.7709659E-05  1.0196919E-04 -2.1393249E-04
  2.0139100E+02  1.2663009E-07 -2.1432171E-08  2.9989829E-04  3.1917864E-04 -2.7482501E-04
  2.0139100E+02 -4.5012552E-07  2.4711000E-06  6.3571092E-04  6.4766886E-04 -3.3718375E-04
  2.0139100E+02 -1.0501217E-06  1.5189416E-05  1.0398152E-03  1.0433390E-03 -3.6977153E-04
  2.0139100E+02 -2.3390004E-06  5.8736606E-05  1.4605839E-03  1.4557767E-03 -3.6532347E-04
  2.0139100E+02 -5.8521931E-06  1.7725006E-04  1.8485861E-03  1.8362690E-03 -3.4482367E-04
  2.0139100E+02 -1.3812504E-05  4.5056748E-04  2.1647750E-03  2.1455715E-03 -3.4013728E-04
  2.0139100E+02 -2.8601912E-05  1.0026617E-03  2.3856784E-03  2.3590800E-03 -3.6566269E-04
  2.0139100E+02 -5.2085669E-05  1.9985196E-03  2.5046913E-03  2.4687579E-03 -4.0223300E-04
  2.0139100E+02 -8.5023672E-05  3.6208372E-03  2.5293615E-03  2.4816189E-03 -4.1403228E-04
  2.0139100E+02 -1.2665989E-04  6.0220330E-03  2.4757689E-03  2.4150895E-03 -3.9465209E-04
  2.0139100E+02 -1.7429818E-04  9.2588305E-03  2.3620307E-03  2.2898229E-03 -3.9632202E-04
  2.0139100E+02 -2.2250479E-04  1.3232744E-02  2.2035647E-03  2.1214135E-03 -4.6982951E-04
  2.0139100E+02 -2.6210391E-04  1.7649491E-02  2.0126894E-03  1.9155313E-03 -5.0783969E-04
  2.0139100E+02 -2.8329182E-04  2.2099705E-02  1.7970237E-03  1.6718925E-03 -2.8849854E-04
  2.0139100E+02 -2.9367098E-04  2.6197011E-02  1.5468795E-03  1.4193415E-03 -7.9675971E-04
  2.0139100E+02 -2.7140349E-04  2.9384297E-02  1.2891778E-03  1.1353049E-03 -4.2396003E-04
  2.0139100E+02 -2.3462728E-04  3.1544830E-02  1.0040890E-03  8.2874758E-04 -3.1010146E-04
  2.0139100E+02 -1.8695545E-04  3.2651448E-02  7.1205866E-04  5.1604922E-04 -3.3170800E-04
  2.0139100E+02 -1.3279859E-04  3.2761052E-02  4.3502921E-04  2.1876119E-04 -3.9951535E-04
  2.0139100E+02 -7.6841918E-05  3.2010010E-02  1.9280711E-04 -4.1333448E-05 -4.6113242E-04
