          atime         vdf_uu         vdf_vv         vdf_ww         pm1avg           tavg
  2.0139100E+02  4.5117421E-02 -3.4311869E-05  1.7537721E-02  2.0670824E-03  0.0000000E+00
  2.0139100E+02  4.5036185E-02 -2.9999574E-05  1.7171899E-02  2.0670472E-03  0.0000000E+00
  2.0139100E+02  4.4850270E-02 -1.6642131E-05  1.6111523E-02  2.0669440E-03  0.0000000E+00
  2.0139100E+02  4.4679478E-02  7.0006543E-06  1.4460686E-02  2.0667770E-03  0.0000000E+00
  2.0139100E+02  4.4575451E-02  4.2791999E-05  1.2372121E-02  2.0665406E-03  0.0000000E+00
  2.0139100E+02  4.4391104E-02  9.2608245E-05  1.0022653E-02  2.0661908E-03  0.0000000E+00
  2.0139100E+02  4.3732337E-02  1.5708653E-04  7.5942514E-03  2.0655932E-03  0.0000000E+00
  2.0139100E+02  4.2034385E-02  2.3409550E-04  5.2582471E-03  2.0644483E-03  0.0000000E+00
  2.0139100E+02  3.8734814E-02  3.1763086E-04  3.1655785E-03  2.0622097E-03  0.0000000E+00
  2.0139100E+02  3.3454711E-02  3.9818080E-04  1.4355567E-03  2.0580195E-03  0.0000000E+00
  2.0139100E+02  2.6098917E-02  4.6522846E-04  1.3775419E-04  2.0506942E-03  0.0000000E+00
  2.0139100E+02  1.6868393E-02  5.1135467E-04 -7.2916567E-04  2.0387831E-03  0.0000000E+00
  2.0139100E+02  6.3187047E-03  5.3542751E-04 -1.2401758E-03  2.0206817E-03  0.0000000E+00
  2.0139100E+02 -4.3333676E-03  5.4103171E-04 -1.4975753E-03  1.9947349E-03  0.0000000E+00
  2.0139100E+02 -1.2758507E-02  5.2884103E-04 -1.5371168E-03  1.9594330E-03  0.0000000E+00
  2.0139100E+02 -1.6667741E-02  4.9312656E-04 -1.3198054E-03  1.9133342E-03  0.0000000E+00
  2.0139100E+02 -2.1545473E-02  4.6254919E-04 -1.2644385E-03  1.8556722E-03  0.0000000E+00
  2.0139100E+02 -2.0372239E-02  3.9541449E-04 -1.1243389E-03  1.7853033E-03  0.0000000E+00
  2.0139100E+02 -1.8003480E-02  3.3697134E-04 -9.5376400E-04  1.7028636E-03  0.0000000E+00
  2.0139100E+02 -1.5090886E-02  2.8588231E-04 -7.9965051E-04  1.6085659E-03  0.0000000E+00
  2.0139100E+02 -1.2129507E-02  2.4031955E-04 -6.8775372E-04  1.5030213E-03  0.0000000E+00
  2.0139100E+02 -9.4291679E-03  1.9809159E-04 -6.2281364E-04  1.3869483E-03  0.0000000E+00
  2.0139100E+02 -7.1359868E-03  1.5719711E-04 -5.9347489E-04  1.2615491E-03  0.0000000E+00
  2.0139100E+02 -5.2633392E-03  1.1609499E-04 -5.7971080E-04  1.1280569E-03  0.0000000E+00
  2.0139100E+02 -3.7586663E-03  7.4235146E-05 -5.6192789E-04  9.8811002E-04  0.0000000E+00
  2.0139100E+02 -2.5580105E-03  3.2245340E-05 -5.2860965E-04  8.4348597E-04  0.0000000E+00
  2.0139100E+02 -1.6262739E-03 -8.0017784E-06 -4.8013077E-04  6.9611931E-04  0.0000000E+00
  2.0139100E+02 -9.5967191E-04 -4.3621205E-05 -4.2659609E-04  5.4808123E-04  0.0000000E+00
  2.0139100E+02 -5.4558463E-04 -7.1327772E-05 -3.7919573E-04  4.0122239E-04  0.0000000E+00
  2.0139100E+02 -3.0348811E-04 -8.8130435E-05 -3.3845002E-04  2.5739823E-04  0.0000000E+00
  2.0139100E+02 -6.3927727E-05 -9.2139816E-05 -2.8772469E-04  1.1792286E-04  0.0000000E+00
  2.0139100E+02  2.8196665E-04 -8.2676903E-05 -2.1017545E-04 -1.6139191E-05  0.0000000E+00
  2.0139100E+02  2.4096875E-04 -5.9053892E-05 -1.5943094E-04 -1.4369802E-04  0.0000000E+00
  2.0139100E+02  4.1928578E-04 -7.2605282E-05 -1.9357137E-04 -2.6353396E-04  0.0000000E+00
  2.0139100E+02  7.0669571E-04 -6.3295320E-05 -1.5345403E-04 -3.7499437E-04  0.0000000E+00
  2.0139100E+02  9.5228620E-04 -4.4140519E-05 -9.2652648E-05 -4.7748410E-04  0.0000000E+00
  2.0139100E+02  1.0829072E-03 -2.4275022E-05 -4.1107724E-05 -5.7094264E-04  0.0000000E+00
  2.0139100E+02  1.0846548E-03 -9.1599868E-06 -1.0582566E-05 -6.5587257E-04  0.0000000E+00
  2.0139100E+02  9.8241943E-04 -1.1314756E-06 -8.2278337E-07 -7.3276917E-04  0.0000000E+00
  2.0139100E+02  8.2004188E-04  3.1411085E-08 -5.1346002E-06 -8.0247625E-04  0.0000000E+00
  2.0139100E+02  6.4227406E-04 -3.7864489E-06 -1.5432636E-05 -8.6593522E-04  0.0000000E+00
  2.0139100E+02  4.8355140E-04 -9.8967781E-06 -2.5471660E-05 -9.2375734E-04  0.0000000E+00
  2.0139100E+02  3.6107744E-04 -1.5668738E-05 -3.2271893E-05 -9.7653623E-04  0.0000000E+00
  2.0139100E+02  2.7601944E-04 -1.9252473E-05 -3.5523103E-05 -1.0247785E-03  0.0000000E+00
  2.0139100E+02  2.2088789E-04 -2.0002332E-05 -3.5512645E-05 -1.0686125E-03  0.0000000E+00
  2.0139100E+02  1.8829708E-04 -1.8541145E-05 -3.0882991E-05 -1.1082695E-03  0.0000000E+00
  2.0139100E+02  1.7775169E-04 -1.6182686E-05 -1.8316806E-05 -1.1437621E-03  0.0000000E+00
  2.0139100E+02  1.8844964E-04 -1.3667068E-05  2.1031967E-06 -1.1745659E-03  0.0000000E+00
  2.0139100E+02  1.8424919E-04 -8.9363889E-06  1.1090031E-05 -1.1994619E-03  0.0000000E+00
  2.0139100E+02  1.8710799E-04 -5.5078597E-06 -3.3003560E-05 -1.2190715E-03  0.0000000E+00
  2.0139100E+02  2.0620714E-04  6.0083272E-06 -1.1924983E-05 -1.2328724E-03  0.0000000E+00
  2.0139100E+02  2.0293860E-04  1.6450188E-05  1.9801765E-05 -1.2416259E-03  0.0000000E+00
  2.0139100E+02  1.7316182E-04  2.1795283E-05  3.8755702E-05 -1.2463744E-03  0.0000000E+00
  2.0139100E+02  1.3007789E-04  2.1470473E-05  4.0992907E-05 -1.2481172E-03  0.0000000E+00
  2.0139100E+02  9.0605359E-05  1.6940375E-05  3.2509438E-05 -1.2476920E-03  0.0000000E+00
  2.0139100E+02  6.6314174E-05  1.0464677E-05  2.1769524E-05 -1.2456581E-03  0.0000000E+00
  2.0139100E+02  5.8527635E-05  4.0474702E-06  1.4686413E-05 -1.2422396E-03  0.0000000E+00
  2.0139100E+02  5.9094548E-05 -1.1578861E-06  1.2617142E-05 -1.2373386E-03  0.0000000E+00
  2.0139100E+02  5.4764124E-05 -5.0562610E-06  1.2819265E-05 -1.2306721E-03  0.0000000E+00
  2.0139100E+02  3.4696260E-05 -8.5315186E-06  1.0931884E-05 -1.2218487E-03  0.0000000E+00
  2.0139100E+02 -1.9251634E-06 -1.2897803E-05  4.4250150E-06 -1.2104634E-03  0.0000000E+00
  2.0139100E+02 -4.0508019E-05 -1.9009303E-05 -4.6275437E-06 -1.1964066E-03  0.0000000E+00
  2.0139100E+02 -5.4903495E-05 -2.6390542E-05 -1.0159020E-05 -1.1796132E-03  0.0000000E+00
  2.0139100E+02 -2.3540940E-05 -3.2225914E-05 -8.7461711E-06 -1.1600705E-03  0.0000000E+00
  2.0139100E+02  3.0341342E-05 -3.0710121E-05 -1.6980150E-05 -1.1376681E-03  0.0000000E+00
  2.0139100E+02 -6.9602953E-06 -3.7001439E-05 -4.8098252E-05 -1.1142833E-03  0.0000000E+00
  2.0139100E+02 -5.4031387E-07 -3.3429668E-05 -2.6578603E-05 -1.0878968E-03  0.0000000E+00
  2.0139100E+02  7.1995633E-06 -2.7564351E-05  9.4255438E-08 -1.0592280E-03  0.0000000E+00
