          atime         tdf_uu         tdf_vv         tdf_ww         pm1avg           tavg
  2.0139100E+02 -1.4931855E-04  8.7047963E-07 -4.4161351E-06  2.0670824E-03  0.0000000E+00
  2.0139100E+02 -1.1725279E-04  7.0261966E-07 -3.9535382E-06  2.0670472E-03  0.0000000E+00
  2.0139100E+02 -4.0823502E-05  2.8122409E-07 -2.5752789E-06  2.0669440E-03  0.0000000E+00
  2.0139100E+02  3.9130332E-05 -1.7812099E-07 -8.2045504E-07  2.0667770E-03  0.0000000E+00
  2.0139100E+02  1.0780848E-04 -4.1480395E-07 -9.1789885E-07  2.0665406E-03  0.0000000E+00
  2.0139100E+02  2.2974733E-04 -2.5321629E-07 -7.6938392E-06  2.0661908E-03  0.0000000E+00
  2.0139100E+02  5.7792648E-04  2.5935914E-07 -2.8329985E-05  2.0655932E-03  0.0000000E+00
  2.0139100E+02  1.4107330E-03  7.6291378E-07 -7.0696184E-05  2.0644483E-03  0.0000000E+00
  2.0139100E+02  2.9828902E-03  6.2110489E-07 -1.4096322E-04  2.0622097E-03  0.0000000E+00
  2.0139100E+02  5.4015429E-03 -8.3423803E-07 -2.4189128E-04  2.0580195E-03  0.0000000E+00
  2.0139100E+02  8.4697317E-03 -3.7921765E-06 -3.7292119E-04  2.0506942E-03  0.0000000E+00
  2.0139100E+02  1.1592569E-02 -7.2011448E-06 -5.3165207E-04  2.0387831E-03  0.0000000E+00
  2.0139100E+02  1.3838926E-02 -7.9070382E-06 -7.1389761E-04  2.0206817E-03  0.0000000E+00
  2.0139100E+02  1.4219296E-02  2.3875297E-08 -9.0849096E-04  1.9947349E-03  0.0000000E+00
  2.0139100E+02  1.2153914E-02  2.5307302E-05 -1.0878612E-03  1.9594330E-03  0.0000000E+00
  2.0139100E+02  7.8944483E-03  7.8499505E-05 -1.2221810E-03  1.9133342E-03  0.0000000E+00
  2.0139100E+02  2.2869516E-03  1.6969569E-04 -1.3946196E-03  1.8556722E-03  0.0000000E+00
  2.0139100E+02 -4.6624676E-03  2.7663058E-04 -1.3529031E-03  1.7853033E-03  0.0000000E+00
  2.0139100E+02 -1.0426484E-02  4.1402615E-04 -1.2734684E-03  1.7028636E-03  0.0000000E+00
  2.0139100E+02 -1.4812035E-02  5.4646742E-04 -1.1413220E-03  1.6085659E-03  0.0000000E+00
  2.0139100E+02 -1.7728778E-02  6.4145589E-04 -9.5968674E-04  1.5030213E-03  0.0000000E+00
  2.0139100E+02 -1.9211874E-02  6.7323945E-04 -7.4762666E-04  1.3869483E-03  0.0000000E+00
  2.0139100E+02 -1.9406170E-02  6.2552616E-04 -5.3521635E-04  1.2615491E-03  0.0000000E+00
  2.0139100E+02 -1.8549337E-02  4.9345974E-04 -3.5445768E-04  1.1280569E-03  0.0000000E+00
  2.0139100E+02 -1.6933488E-02  2.8404225E-04 -2.3025694E-04  9.8811002E-04  0.0000000E+00
  2.0139100E+02 -1.4862504E-02  1.4672993E-05 -1.7110167E-04  8.4348597E-04  0.0000000E+00
  2.0139100E+02 -1.2608770E-02 -2.9001207E-04 -1.6369201E-04  6.9611931E-04  0.0000000E+00
  2.0139100E+02 -1.0379795E-02 -6.0276729E-04 -1.7379969E-04  5.4808123E-04  0.0000000E+00
  2.0139100E+02 -8.2980489E-03 -8.9997760E-04 -1.5635912E-04  4.0122239E-04  0.0000000E+00
  2.0139100E+02 -6.4160785E-03 -1.1662906E-03 -7.6570885E-05  2.5739823E-04  0.0000000E+00
  2.0139100E+02 -4.7513256E-03 -1.3982654E-03  5.8505180E-05  1.1792286E-04  0.0000000E+00
  2.0139100E+02 -3.3594368E-03 -1.6005795E-03  1.6161855E-04 -1.6139191E-05  0.0000000E+00
  2.0139100E+02 -2.4154497E-03 -1.7720294E-03  3.0099511E-05 -1.4369802E-04  0.0000000E+00
  2.0139100E+02 -1.1659143E-03 -1.8288525E-03  1.7513467E-04 -2.6353396E-04  0.0000000E+00
  2.0139100E+02 -2.1951285E-04 -1.8391147E-03  2.4712828E-04 -3.7499437E-04  0.0000000E+00
  2.0139100E+02  4.8523652E-04 -1.7781589E-03  2.8928042E-04 -4.7748410E-04  0.0000000E+00
  2.0139100E+02  1.0201548E-03 -1.6477753E-03  3.2340105E-04 -5.7094264E-04  0.0000000E+00
  2.0139100E+02  1.4500017E-03 -1.4685349E-03  3.5545754E-04 -6.5587257E-04  0.0000000E+00
  2.0139100E+02  1.8163784E-03 -1.2722112E-03  3.8164950E-04 -7.3276917E-04  0.0000000E+00
  2.0139100E+02  2.1330799E-03 -1.0920443E-03  3.9487424E-04 -8.0247625E-04  0.0000000E+00
  2.0139100E+02  2.3865205E-03 -9.5487337E-04  3.9008434E-04 -8.6593522E-04  0.0000000E+00
  2.0139100E+02  2.5444809E-03 -8.7573915E-04  3.6812409E-04 -9.2375734E-04  0.0000000E+00
  2.0139100E+02  2.5756176E-03 -8.5328517E-04  3.3722289E-04 -9.7653623E-04  0.0000000E+00
  2.0139100E+02  2.4702125E-03 -8.7006503E-04  3.1127428E-04 -1.0247785E-03  0.0000000E+00
  2.0139100E+02  2.2594594E-03 -8.9635150E-04  3.0483141E-04 -1.0686125E-03  0.0000000E+00
  2.0139100E+02  2.0178162E-03 -8.9874521E-04  3.2402245E-04 -1.1082695E-03  0.0000000E+00
  2.0139100E+02  1.8347015E-03 -8.5245463E-04  3.5475911E-04 -1.1437621E-03  0.0000000E+00
  2.0139100E+02  1.7302773E-03 -7.5736574E-04  3.4817662E-04 -1.1745659E-03  0.0000000E+00
  2.0139100E+02  1.4794125E-03 -6.5471534E-04  2.0685655E-04 -1.1994619E-03  0.0000000E+00
  2.0139100E+02  1.3661851E-03 -4.4741103E-04  3.2419413E-04 -1.2190715E-03  0.0000000E+00
  2.0139100E+02  1.3023169E-03 -2.6963411E-04  3.1715251E-04 -1.2328724E-03  0.0000000E+00
  2.0139100E+02  1.2433063E-03 -1.3866028E-04  2.5293344E-04 -1.2416259E-03  0.0000000E+00
  2.0139100E+02  1.1795594E-03 -5.5484500E-05  1.7083628E-04 -1.2463744E-03  0.0000000E+00
  2.0139100E+02  1.1170431E-03 -1.2765305E-05  8.9076808E-05 -1.2481172E-03  0.0000000E+00
  2.0139100E+02  1.0626188E-03  6.9749440E-07  1.1182546E-05 -1.2476920E-03  0.0000000E+00
