          atime            tkk            imb            div        garbage        garbage
  2.0139100E+02  0.0000000E+00 -5.3124478E-04 -1.8876404E-04  0.0000000E+00  2.6023017E-05
  2.0139100E+02  3.4871507E-07 -4.9410945E-04 -2.1393249E-04 -1.0024348E-07  1.0196919E-04
  2.0139100E+02  4.9805409E-06 -3.8405597E-04 -2.7482501E-04 -2.1432171E-08  3.1917864E-04
  2.0139100E+02  2.4444120E-05 -2.1390787E-04 -3.3718375E-04  2.4711000E-06  6.4766886E-04
  2.0139100E+02  7.5664129E-05 -2.4560845E-05 -3.6977153E-04  1.5189416E-05  1.0433390E-03
  2.0139100E+02  1.8111902E-04  1.1290153E-04 -3.6532347E-04  5.8736606E-05  1.4557767E-03
  2.0139100E+02  3.6767844E-04  1.2619540E-04 -3.4482367E-04  1.7725006E-04  1.8362690E-03
  2.0139100E+02  6.6507849E-04 -4.2635593E-06 -3.4013728E-04  4.5056748E-04  2.1455715E-03
  2.0139100E+02  1.1035907E-03 -2.0451539E-04 -3.6566269E-04  1.0026617E-03  2.3590800E-03
  2.0139100E+02  1.7103286E-03 -3.3082100E-04 -4.0223300E-04  1.9985196E-03  2.4687579E-03
  2.0139100E+02  2.5036960E-03 -2.8260054E-04 -4.1403228E-04  3.6208372E-03  2.4816189E-03
  2.0139100E+02  3.4865140E-03 -1.4826259E-04 -3.9465209E-04  6.0220330E-03  2.4150895E-03
  2.0139100E+02  4.6401379E-03 -2.1851746E-04 -3.9632202E-04  9.2588305E-03  2.2898229E-03
  2.0139100E+02  5.9230571E-03 -6.7301988E-04 -4.6982951E-04  1.3232744E-02  2.1214135E-03
  2.0139100E+02  7.2702890E-03 -1.0186616E-03 -5.0783969E-04  1.7649491E-02  1.9155313E-03
  2.0139100E+02  8.6130775E-03 -3.6624906E-04 -2.8849854E-04  2.2099705E-02  1.6718925E-03
  2.0139100E+02  9.8824583E-03 -2.0265761E-03 -7.9675971E-04  2.6197011E-02  1.4193415E-03
  2.0139100E+02  1.1027775E-02 -1.9522391E-03 -4.2396003E-04  2.9384297E-02  1.1353049E-03
  2.0139100E+02  1.1990631E-02 -1.6480841E-03 -3.1010146E-04  3.1544830E-02  8.2874758E-04
  2.0139100E+02  1.2770723E-02 -1.3654731E-03 -3.3170800E-04  3.2651448E-02  5.1604922E-04
  2.0139100E+02  1.3372396E-02 -1.2404893E-03 -3.9951535E-04  3.2761052E-02  2.1876119E-04
  2.0139100E+02  1.3806747E-02 -1.3005780E-03 -4.6113242E-04  3.2010010E-02 -4.1333448E-05
  2.0139100E+02  1.4088738E-02 -1.4932192E-03 -4.9682633E-04  3.0593540E-02 -2.4600920E-04
  2.0139100E+02  1.4237538E-02 -1.7294530E-03 -5.0976831E-04  2.8732762E-02 -3.8601144E-04
  2.0139100E+02  1.4273784E-02 -1.9300947E-03 -5.1277288E-04  2.6643702E-02 -4.6311754E-04
  2.0139100E+02  1.4218477E-02 -2.0611894E-03 -5.1607489E-04  2.4503081E-02 -4.9039077E-04
  2.0139100E+02  1.4091317E-02 -2.1432239E-03 -5.2016627E-04  2.2427877E-02 -4.8809509E-04
  2.0139100E+02  1.3909647E-02 -2.2260157E-03 -5.1716399E-04  2.0471788E-02 -4.7595708E-04
  2.0139100E+02  1.3687474E-02 -2.3342642E-03 -5.0108304E-04  1.8638088E-02 -4.6342484E-04
  2.0139100E+02  1.3435868E-02 -2.4136007E-03 -4.8149284E-04  1.6917693E-02 -4.4291532E-04
