          atime          uplus          yplus           Wshr          trash          trash
  2.0139100E+02  0.0000000E+00  0.0000000E+00  3.2250394E-03  0.0000000E+00  0.0000000E+00
  2.0139100E+02  2.9183196E-02  2.9184591E-02  3.2250394E-03  3.7649000E-05  3.7649000E-05
  2.0139100E+02  1.1671177E-01  1.1673371E-01  3.2250394E-03  1.5059000E-04  1.5059000E-04
  2.0139100E+02  2.6252832E-01  2.6263729E-01  3.2250394E-03  3.3881000E-04  3.3881000E-04
  2.0139100E+02  4.6650787E-01  4.6684958E-01  3.2250394E-03  6.0225000E-04  6.0225000E-04
  2.0139100E+02  7.2854836E-01  7.2940160E-01  3.2250394E-03  9.4095000E-04  9.4095000E-04
  2.0139100E+02  1.0483087E+00  1.0502081E+00  3.2250394E-03  1.3548000E-03  1.3548000E-03
  2.0139100E+02  1.4251870E+00  1.4291915E+00  3.2250394E-03  1.8437000E-03  1.8437000E-03
  2.0139100E+02  1.8581052E+00  1.8663131E+00  3.2250394E-03  2.4076000E-03  2.4076000E-03
  2.0139100E+02  2.3451569E+00  2.3615729E+00  3.2250394E-03  3.0465000E-03  3.0465000E-03
  2.0139100E+02  2.8830615E+00  2.9148933E+00  3.2250394E-03  3.7603000E-03  3.7603000E-03
  2.0139100E+02  3.4666578E+00  3.5260418E+00  3.2250394E-03  4.5487000E-03  4.5487000E-03
  2.0139100E+02  4.0888155E+00  4.1948635E+00  3.2250394E-03  5.4115000E-03  5.4115000E-03
  2.0139100E+02  4.7409951E+00  4.9219783E+00  3.2250394E-03  6.3495000E-03  6.3495000E-03
  2.0139100E+02  5.4111830E+00  5.7060685E+00  3.2250394E-03  7.3610000E-03  7.3610000E-03
  2.0139100E+02  6.0885964E+00  6.5482970E+00  3.2250394E-03  8.4475000E-03  8.4475000E-03
  2.0139100E+02  6.7605264E+00  7.4475008E+00  3.2250394E-03  9.6075000E-03  9.6075000E-03
  2.0139100E+02  7.4168544E+00  8.4044553E+00  3.2250394E-03  1.0842000E-02  1.0842000E-02
  2.0139100E+02  8.0465484E+00  9.4176099E+00  3.2250394E-03  1.2149000E-02  1.2149000E-02
  2.0139100E+02  8.6443939E+00  1.0488128E+01  3.2250394E-03  1.3530000E-02  1.3530000E-02
  2.0139100E+02  9.2056729E+00  1.1615233E+01  3.2250394E-03  1.4984000E-02  1.4984000E-02
  2.0139100E+02  9.7282675E+00  1.2799702E+01  3.2250394E-03  1.6512000E-02  1.6512000E-02
  2.0139100E+02  1.0210770E+01  1.4039983E+01  3.2250394E-03  1.8112000E-02  1.8112000E-02
  2.0139100E+02  1.0654325E+01  1.5336852E+01  3.2250394E-03  1.9785000E-02  1.9785000E-02
  2.0139100E+02  1.1060683E+01  1.6689533E+01  3.2250394E-03  2.1530000E-02  2.1530000E-02
  2.0139100E+02  1.1432669E+01  1.8098028E+01  3.2250394E-03  2.3347000E-02  2.3347000E-02
  2.0139100E+02  1.1773442E+01  1.9562335E+01  3.2250394E-03  2.5236000E-02  2.5236000E-02
  2.0139100E+02  1.2085968E+01  2.1081679E+01  3.2250394E-03  2.7196000E-02  2.7196000E-02
  2.0139100E+02  1.2373247E+01  2.2656836E+01  3.2250394E-03  2.9228000E-02  2.9228000E-02
  2.0139100E+02  1.2637455E+01  2.4286256E+01  3.2250394E-03  3.1330000E-02  3.1330000E-02
  2.0139100E+02  1.2880843E+01  2.5970712E+01  3.2250394E-03  3.3503000E-02  3.3503000E-02
  2.0139100E+02  1.3105262E+01  2.7710207E+01  3.2250394E-03  3.5747000E-02  3.5747000E-02
  2.0139100E+02  1.3312040E+01  2.9503188E+01  3.2250394E-03  3.8060000E-02  3.8060000E-02
  2.0139100E+02  1.3503197E+01  3.1350432E+01  3.2250394E-03  4.0443000E-02  4.0443000E-02
  2.0139100E+02  1.3679485E+01  3.3251163E+01  3.2250394E-03  4.2895000E-02  4.2895000E-02
  2.0139100E+02  1.3842330E+01  3.5205381E+01  3.2250394E-03  4.5416000E-02  4.5416000E-02
  2.0139100E+02  1.3993013E+01  3.7212311E+01  3.2250394E-03  4.8005000E-02  4.8005000E-02
  2.0139100E+02  1.4132974E+01  3.9274278E+01  3.2250394E-03  5.0665000E-02  5.0665000E-02
  2.0139100E+02  1.4263149E+01  4.1386632E+01  3.2250394E-03  5.3390000E-02  5.3390000E-02
  2.0139100E+02  1.4384807E+01  4.3549372E+01  3.2250394E-03  5.6180000E-02  5.6180000E-02
  2.0139100E+02  1.4499387E+01  4.5766375E+01  3.2250394E-03  5.9040000E-02  5.9040000E-02
  2.0139100E+02  1.4607878E+01  4.8033764E+01  3.2250394E-03  6.1965000E-02  6.1965000E-02
  2.0139100E+02  1.4711430E+01  5.0351539E+01  3.2250394E-03  6.4955000E-02  6.4955000E-02
  2.0139100E+02  1.4811238E+01  5.2723577E+01  3.2250394E-03  6.8015000E-02  6.8015000E-02
  2.0139100E+02  1.4907843E+01  5.5142125E+01  3.2250394E-03  7.1135000E-02  7.1135000E-02
  2.0139100E+02  1.5002068E+01  5.7611060E+01  3.2250394E-03  7.4320000E-02  7.4320000E-02
  2.0139100E+02  1.5094502E+01  6.0134257E+01  3.2250394E-03  7.7575000E-02  7.7575000E-02
  2.0139100E+02  1.5185193E+01  6.2703965E+01  3.2250394E-03  8.0890000E-02  8.0890000E-02
  2.0139100E+02  1.5274623E+01  6.5320183E+01  3.2250394E-03  8.4265000E-02  8.4265000E-02
  2.0139100E+02  1.5363642E+01  6.7986787E+01  3.2250394E-03  8.7705000E-02  8.7705000E-02
  2.0139100E+02  1.5451240E+01  7.0703778E+01  3.2250394E-03  9.1210000E-02  9.1210000E-02
  2.0139100E+02  1.5537308E+01  7.3463404E+01  3.2250394E-03  9.4770000E-02  9.4770000E-02
  2.0139100E+02  1.5622204E+01  7.6273416E+01  3.2250394E-03  9.8395000E-02  9.8395000E-02
  2.0139100E+02  1.5705896E+01  7.9129938E+01  3.2250394E-03  1.0208000E-01  1.0208000E-01
  2.0139100E+02  1.5788569E+01  8.2036847E+01  3.2250394E-03  1.0583000E-01  1.0583000E-01
  2.0139100E+02  1.5869961E+01  8.4982515E+01  3.2250394E-03  1.0963000E-01  1.0963000E-01
  2.0139100E+02  1.5950359E+01  8.7974693E+01  3.2250394E-03  1.1349000E-01  1.1349000E-01
  2.0139100E+02  1.6030032E+01  9.1021134E+01  3.2250394E-03  1.1742000E-01  1.1742000E-01
  2.0139100E+02  1.6108658E+01  9.4106334E+01  3.2250394E-03  1.2140000E-01  1.2140000E-01
  2.0139100E+02  1.6186357E+01  9.7230292E+01  3.2250394E-03  1.2543000E-01  1.2543000E-01
