          atime           uavg           vavg           wavg         pm1avg           tavg
  7.8507600E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.8925311E-02  0.0000000E+00
  7.8507600E+01 -5.0890781E-04  4.1264360E-08 -6.4704652E-06  4.8925749E-02  0.0000000E+00
  7.8507600E+01 -2.0305710E-03  6.4010423E-07 -2.5910561E-05  4.8927057E-02  0.0000000E+00
  7.8507600E+01 -4.5497389E-03  3.2404649E-06 -5.8407270E-05  4.8929164E-02  0.0000000E+00
  7.8507600E+01 -8.0399755E-03  1.0308604E-05 -1.0409928E-04  4.8931768E-02  0.0000000E+00
  7.8507600E+01 -1.2464564E-02  2.5420663E-05 -1.6320267E-04  4.8934060E-02  0.0000000E+00
  7.8507600E+01 -1.7771413E-02  5.3348032E-05 -2.3596786E-04  4.8934343E-02  0.0000000E+00
  7.8507600E+01 -2.3892372E-02  1.0012157E-04 -3.2270359E-04  4.8929592E-02  0.0000000E+00
  7.8507600E+01 -3.0739710E-02  1.7300201E-04 -4.2376816E-04  4.8914952E-02  0.0000000E+00
  7.8507600E+01 -3.8201053E-02  2.8025514E-04 -5.3952526E-04  4.8883300E-02  0.0000000E+00
  7.8507600E+01 -4.6132389E-02  4.3058732E-04 -6.7021981E-04  4.8824957E-02  0.0000000E+00
  7.8507600E+01 -5.4353174E-02  6.3218180E-04 -8.1579113E-04  4.8727747E-02  0.0000000E+00
  7.8507600E+01 -6.2648715E-02  8.9140871E-04 -9.7568317E-04  4.8577445E-02  0.0000000E+00
  7.8507600E+01 -7.0780806E-02  1.2116182E-03 -1.1487724E-03  4.8358510E-02  0.0000000E+00
  7.8507600E+01 -7.8466694E-02  1.5903826E-03 -1.3325333E-03  4.8056359E-02  0.0000000E+00
  7.8507600E+01 -8.5441080E-02  2.0202963E-03 -1.5240158E-03  4.7657660E-02  0.0000000E+00
  7.8507600E+01 -9.1426818E-02  2.4862484E-03 -1.7188187E-03  4.7153894E-02  0.0000000E+00
  7.8507600E+01 -9.6189750E-02  2.9679598E-03 -1.9122675E-03  4.6540837E-02  0.0000000E+00
  7.8507600E+01 -9.9527302E-02  3.4391940E-03 -2.0988504E-03  4.5821842E-02  0.0000000E+00
  7.8507600E+01 -1.0130254E-01  3.8721014E-03 -2.2735882E-03  4.5004613E-02  0.0000000E+00
  7.8507600E+01 -1.0142922E-01  4.2372810E-03 -2.4314409E-03  4.4103824E-02  0.0000000E+00
  7.8507600E+01 -9.9878571E-02  4.5072460E-03 -2.5679640E-03  4.3137400E-02  0.0000000E+00
  7.8507600E+01 -9.6676351E-02  4.6571394E-03 -2.6788696E-03  4.2128023E-02  0.0000000E+00
  7.8507600E+01 -9.1888739E-02  4.6669965E-03 -2.7606964E-03  4.1097641E-02  0.0000000E+00
  7.8507600E+01 -8.5620138E-02  4.5216262E-03 -2.8107450E-03  4.0068958E-02  0.0000000E+00
  7.8507600E+01 -7.7996837E-02  4.2109555E-03 -2.8279007E-03  3.9062010E-02  0.0000000E+00
  7.8507600E+01 -6.9160003E-02  3.7294703E-03 -2.8132716E-03  3.8093758E-02  0.0000000E+00
  7.8507600E+01 -5.9262628E-02  3.0761357E-03 -2.7707961E-03  3.7177695E-02  0.0000000E+00
  7.8507600E+01 -4.8447523E-02  2.2528500E-03 -2.7083262E-03  3.6322106E-02  0.0000000E+00
  7.8507600E+01 -3.6867219E-02  1.2656994E-03 -2.6371135E-03  3.5532263E-02  0.0000000E+00
  7.8507600E+01 -2.4647089E-02  1.2183184E-04 -2.5696714E-03  3.4808192E-02  0.0000000E+00
  7.8507600E+01 -1.1902637E-02 -1.1696797E-03 -2.5171282E-03  3.4146943E-02  0.0000000E+00
  7.8507600E+01  1.2569714E-03 -2.5976254E-03 -2.4864268E-03  3.3543356E-02  0.0000000E+00
  7.8507600E+01  1.4758577E-02 -4.1524057E-03 -2.4790126E-03  3.2989523E-02  0.0000000E+00
  7.8507600E+01  2.8536183E-02 -5.8234938E-03 -2.4917009E-03  3.2477137E-02  0.0000000E+00
  7.8507600E+01  4.2546189E-02 -7.6015181E-03 -2.5181040E-03  3.1997416E-02  0.0000000E+00
  7.8507600E+01  5.6756668E-02 -9.4764665E-03 -2.5519689E-03  3.1542068E-02  0.0000000E+00
  7.8507600E+01  7.1168447E-02 -1.1440006E-02 -2.5908896E-03  3.1102655E-02  0.0000000E+00
  7.8507600E+01  8.5739445E-02 -1.3475302E-02 -2.6376891E-03  3.0672934E-02  0.0000000E+00
  7.8507600E+01  1.0046655E-01 -1.5568901E-02 -2.6994156E-03  3.0246408E-02  0.0000000E+00
  7.8507600E+01  1.1538310E-01 -1.7712143E-02 -2.7836485E-03  2.9816822E-02  0.0000000E+00
  7.8507600E+01  1.3048712E-01 -1.9892078E-02 -2.8927772E-03  2.9381119E-02  0.0000000E+00
  7.8507600E+01  1.4581410E-01 -2.2101908E-02 -3.0219536E-03  2.8937767E-02  0.0000000E+00
  7.8507600E+01  1.6141964E-01 -2.4338067E-02 -3.1620834E-03  2.8487134E-02  0.0000000E+00
  7.8507600E+01  1.7727683E-01 -2.6583671E-02 -3.3079071E-03  2.8033538E-02  0.0000000E+00
  7.8507600E+01  1.9343113E-01 -2.8831822E-02 -3.4569727E-03  2.7580725E-02  0.0000000E+00
  7.8507600E+01  2.0993015E-01 -3.1075231E-02 -3.6010941E-03  2.7133905E-02  0.0000000E+00
  7.8507600E+01  2.2675563E-01 -3.3295628E-02 -3.7222882E-03  2.6701353E-02  0.0000000E+00
  7.8507600E+01  2.4395483E-01 -3.5479657E-02 -3.7969290E-03  2.6290318E-02  0.0000000E+00
  7.8507600E+01  2.6161160E-01 -3.7612966E-02 -3.8062447E-03  2.5907203E-02  0.0000000E+00
  7.8507600E+01  2.7977718E-01 -3.9674074E-02 -3.7488183E-03  2.5558555E-02  0.0000000E+00
  7.8507600E+01  2.9843179E-01 -4.1636580E-02 -3.6291295E-03  2.5251885E-02  0.0000000E+00
  7.8507600E+01  3.1762985E-01 -4.3487510E-02 -3.4558607E-03  2.4992419E-02  0.0000000E+00
  7.8507600E+01  3.3732766E-01 -4.5205387E-02 -3.2455903E-03  2.4786233E-02  0.0000000E+00
  7.8507600E+01  3.5753064E-01 -4.6772196E-02 -3.0208920E-03  2.4638669E-02  0.0000000E+00
  7.8507600E+01  3.7813746E-01 -4.8161734E-02 -2.8046546E-03  2.4554686E-02  0.0000000E+00
  7.8507600E+01  3.9918031E-01 -4.9360118E-02 -2.6061935E-03  2.4535936E-02  0.0000000E+00
  7.8507600E+01  4.2068483E-01 -5.0355146E-02 -2.4119119E-03  2.4582006E-02  0.0000000E+00
  7.8507600E+01  4.4250252E-01 -5.1131545E-02 -2.1883067E-03  2.4690461E-02  0.0000000E+00
  7.8507600E+01  4.6457678E-01 -5.1682215E-02 -1.9133859E-03  2.4857585E-02  0.0000000E+00
  7.8507600E+01  4.8697374E-01 -5.1999413E-02 -1.6266804E-03  2.5076332E-02  0.0000000E+00
  7.8507600E+01  5.0946246E-01 -5.2068547E-02 -1.3510848E-03  2.5333599E-02  0.0000000E+00
  7.8507600E+01  5.3201527E-01 -5.1884157E-02 -1.0812622E-03  2.5618114E-02  0.0000000E+00
