          atime        conv_uu        conv_vv        conv_ww         pm1avg           tavg
  7.8507600E+01  1.2107250E-09 -2.0312050E-11  6.1144807E-10  4.8925311E-02  0.0000000E+00
  7.8507600E+01 -5.0956524E-09  2.5003532E-10 -6.3735264E-09  4.8925749E-02  0.0000000E+00
  7.8507600E+01 -1.3062982E-07  2.5224688E-11 -1.7302009E-07  4.8927057E-02  0.0000000E+00
  7.8507600E+01 -1.4412376E-06 -1.3373154E-09 -1.9293719E-06  4.8929164E-02  0.0000000E+00
  7.8507600E+01 -7.9052404E-06 -8.0751162E-09 -1.0689112E-05  4.8931768E-02  0.0000000E+00
  7.8507600E+01 -2.8980704E-05 -5.0714773E-08 -3.9777208E-05  4.8934060E-02  0.0000000E+00
  7.8507600E+01 -8.2243419E-05 -2.2377257E-07 -1.1512248E-04  4.8934343E-02  0.0000000E+00
  7.8507600E+01 -1.9464120E-04 -7.7222183E-07 -2.7943624E-04  4.8929592E-02  0.0000000E+00
  7.8507600E+01 -4.0055369E-04 -2.2593300E-06 -5.9415001E-04  4.8914952E-02  0.0000000E+00
  7.8507600E+01 -7.3542413E-04 -5.8045583E-06 -1.1376446E-03  4.8883300E-02  0.0000000E+00
  7.8507600E+01 -1.2252807E-03 -1.3285421E-05 -1.9989297E-03  4.8824957E-02  0.0000000E+00
  7.8507600E+01 -1.8699031E-03 -2.7873348E-05 -3.2599771E-03  4.8727747E-02  0.0000000E+00
  7.8507600E+01 -2.6306993E-03 -5.4185978E-05 -4.9783928E-03  4.8577445E-02  0.0000000E+00
  7.8507600E+01 -3.4311249E-03 -9.8526625E-05 -7.1686810E-03  4.8358510E-02  0.0000000E+00
  7.8507600E+01 -4.1659984E-03 -1.6865035E-04 -9.7762615E-03  4.8056359E-02  0.0000000E+00
  7.8507600E+01 -4.7320621E-03 -2.7336413E-04 -1.2685656E-02  4.7657660E-02  0.0000000E+00
  7.8507600E+01 -5.0580693E-03 -4.2042797E-04 -1.5715549E-02  4.7153894E-02  0.0000000E+00
  7.8507600E+01 -5.1256035E-03 -6.1515409E-04 -1.8650648E-02  4.6540837E-02  0.0000000E+00
  7.8507600E+01 -4.9769212E-03 -8.5712549E-04 -2.1260022E-02  4.5821842E-02  0.0000000E+00
  7.8507600E+01 -4.6932698E-03 -1.1415241E-03 -2.3337533E-02  4.5004613E-02  0.0000000E+00
  7.8507600E+01 -4.3806877E-03 -1.4567392E-03 -2.4716045E-02  4.4103824E-02  0.0000000E+00
  7.8507600E+01 -4.1296387E-03 -1.7831626E-03 -2.5290289E-02  4.3137400E-02  0.0000000E+00
