          atime          uvcov          vwcov          wucov         pm1avg           tavg
  7.8507600E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.8925311E-02  0.0000000E+00
  7.8507600E+01  6.0293071E-12 -3.8038475E-12  1.3599321E-08  4.8925749E-02  0.0000000E+00
  7.8507600E+01  3.5670201E-10 -2.8067360E-10  2.1554266E-07  4.8927057E-02  0.0000000E+00
  7.8507600E+01  3.8083759E-09 -3.2326535E-09  1.0741744E-06  4.8929164E-02  0.0000000E+00
  7.8507600E+01  1.9388533E-08 -1.7974276E-08  3.3204272E-06  4.8931768E-02  0.0000000E+00
  7.8507600E+01  6.4050972E-08 -6.7170801E-08  7.8784080E-06  4.8934060E-02  0.0000000E+00
  7.8507600E+01  1.5507603E-07 -1.9481523E-07  1.5768115E-05  4.8934343E-02  0.0000000E+00
  7.8507600E+01  2.8444094E-07 -4.7290413E-07  2.7987562E-05  4.8929592E-02  0.0000000E+00
  7.8507600E+01  3.6715033E-07 -1.0039198E-06  4.5369826E-05  4.8914952E-02  0.0000000E+00
  7.8507600E+01  1.6011858E-07 -1.9150694E-06  6.8407401E-05  4.8883300E-02  0.0000000E+00
  7.8507600E+01 -8.4052388E-07 -3.3397541E-06  9.7034478E-05  4.8824957E-02  0.0000000E+00
  7.8507600E+01 -3.5057638E-06 -5.3858122E-06  1.3039571E-04  4.8727747E-02  0.0000000E+00
  7.8507600E+01 -9.1510579E-06 -8.0940581E-06  1.6666750E-04  4.8577445E-02  0.0000000E+00
  7.8507600E+01 -1.9579118E-05 -1.1400477E-05  2.0309102E-04  4.8358510E-02  0.0000000E+00
  7.8507600E+01 -3.7023783E-05 -1.5092551E-05  2.3606251E-04  4.8056359E-02  0.0000000E+00
  7.8507600E+01 -6.4182027E-05 -1.8822868E-05  2.6182197E-04  4.7657660E-02  0.0000000E+00
  7.8507600E+01 -1.0407455E-04 -2.2120618E-05  2.7691374E-04  4.7153894E-02  0.0000000E+00
  7.8507600E+01 -1.6018437E-04 -2.4489105E-05  2.7892061E-04  4.6540837E-02  0.0000000E+00
  7.8507600E+01 -2.3631424E-04 -2.5487480E-05  2.6678754E-04  4.5821842E-02  0.0000000E+00
  7.8507600E+01 -3.3698793E-04 -2.4813410E-05  2.4087537E-04  4.5004613E-02  0.0000000E+00
  7.8507600E+01 -4.6724913E-04 -2.2313313E-05  2.0266999E-04  4.4103824E-02  0.0000000E+00
  7.8507600E+01 -6.3281229E-04 -1.7997678E-05  1.5437923E-04  4.3137400E-02  0.0000000E+00
  7.8507600E+01 -8.3915635E-04 -1.2085938E-05  9.8850162E-05  4.2128023E-02  0.0000000E+00
  7.8507600E+01 -1.0915545E-03 -5.0393659E-06  3.9383440E-05  4.1097641E-02  0.0000000E+00
  7.8507600E+01 -1.3937627E-03  2.3925597E-06 -1.9939894E-05  4.0068958E-02  0.0000000E+00
  7.8507600E+01 -1.7478970E-03  9.2635295E-06 -7.4433508E-05  3.9062010E-02  0.0000000E+00
  7.8507600E+01 -2.1540929E-03  1.4523763E-05 -1.1903880E-04  3.8093758E-02  0.0000000E+00
  7.8507600E+01 -2.6102809E-03  1.7211407E-05 -1.4898206E-04  3.7177695E-02  0.0000000E+00
  7.8507600E+01 -3.1130858E-03  1.6549518E-05 -1.6042816E-04  3.6322106E-02  0.0000000E+00
  7.8507600E+01 -3.6569777E-03  1.2302213E-05 -1.5173581E-04  3.5532263E-02  0.0000000E+00
  7.8507600E+01 -4.2363160E-03  4.9584063E-06 -1.2453745E-04  3.4808192E-02  0.0000000E+00
  7.8507600E+01 -4.8450945E-03 -4.4150400E-06 -8.3954604E-05  3.4146943E-02  0.0000000E+00
  7.8507600E+01 -5.4774051E-03 -1.4618729E-05 -3.7693325E-05  3.3543356E-02  0.0000000E+00
  7.8507600E+01 -6.1294191E-03 -2.4904620E-05  6.4984943E-06  3.2989523E-02  0.0000000E+00
  7.8507600E+01 -6.7982803E-03 -3.5282735E-05  4.3314327E-05  3.2477137E-02  0.0000000E+00
  7.8507600E+01 -7.4828147E-03 -4.6222562E-05  6.9939856E-05  3.1997416E-02  0.0000000E+00
  7.8507600E+01 -8.1828357E-03 -5.8314648E-05  8.7101197E-05  3.1542068E-02  0.0000000E+00
  7.8507600E+01 -8.9001158E-03 -7.1913276E-05  9.7190750E-05  3.1102655E-02  0.0000000E+00
  7.8507600E+01 -9.6337835E-03 -8.6466348E-05  1.0190831E-04  3.0672934E-02  0.0000000E+00
  7.8507600E+01 -1.0382734E-02 -1.0016031E-04  1.0171500E-04  3.0246408E-02  0.0000000E+00
  7.8507600E+01 -1.1144347E-02 -1.1020631E-04  9.7069227E-05  2.9816822E-02  0.0000000E+00
  7.8507600E+01 -1.1912216E-02 -1.1466817E-04  9.1437352E-05  2.9381119E-02  0.0000000E+00
  7.8507600E+01 -1.2683549E-02 -1.1402801E-04  9.0792816E-05  2.8937767E-02  0.0000000E+00
  7.8507600E+01 -1.3459003E-02 -1.1055744E-04  9.9717570E-05  2.8487134E-02  0.0000000E+00
  7.8507600E+01 -1.4237648E-02 -1.0713824E-04  1.2185682E-04  2.8033538E-02  0.0000000E+00
  7.8507600E+01 -1.5022179E-02 -1.0500123E-04  1.5636299E-04  2.7580725E-02  0.0000000E+00
  7.8507600E+01 -1.5812250E-02 -1.0292341E-04  1.9566474E-04  2.7133905E-02  0.0000000E+00
  7.8507600E+01 -1.6600519E-02 -9.9041241E-05  2.2851679E-04  2.6701353E-02  0.0000000E+00
