          atime             vx             vy             vz             pr        garbage
  7.8507600E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  6.1947767E-02  0.0000000E+00
  7.8507600E+01 -5.7873275E-04  3.8010684E-08  2.9921573E-05  6.1946026E-02  0.0000000E+00
  7.8507600E+01 -2.3097910E-03  5.9033011E-07  1.1933580E-04  6.1940994E-02  0.0000000E+00
  7.8507600E+01 -5.1776743E-03  2.9959677E-06  2.6718313E-04  6.1933175E-02  0.0000000E+00
  7.8507600E+01 -9.1553687E-03  9.5629666E-06  4.7164446E-04  6.1923236E-02  0.0000000E+00
  7.8507600E+01 -1.4205294E-02  2.3677415E-05  7.3027146E-04  6.1911760E-02  0.0000000E+00
  7.8507600E+01 -2.0273291E-02  4.9916073E-05  1.0399256E-03  6.1898964E-02  0.0000000E+00
  7.8507600E+01 -2.7287413E-02  9.4140668E-05  1.3972474E-03  6.1884367E-02  0.0000000E+00
  7.8507600E+01 -3.5153215E-02  1.6349767E-04  1.7993330E-03  6.1866467E-02  0.0000000E+00
  7.8507600E+01 -4.3747034E-02  2.6621387E-04  2.2447117E-03  6.1842581E-02  0.0000000E+00
  7.8507600E+01 -5.2906736E-02  4.1104383E-04  2.7344218E-03  6.1808549E-02  0.0000000E+00
  7.8507600E+01 -6.2425117E-02  6.0628588E-04  3.2730047E-03  6.1759126E-02  0.0000000E+00
  7.8507600E+01 -7.2052378E-02  8.5847914E-04  3.8690293E-03  6.1687873E-02  0.0000000E+00
  7.8507600E+01 -8.1509727E-02  1.1711970E-03  4.5349318E-03  6.1587760E-02  0.0000000E+00
  7.8507600E+01 -9.0467568E-02  1.5423682E-03  5.2828179E-03  6.1452486E-02  0.0000000E+00
  7.8507600E+01 -9.8621317E-02  1.9651364E-03  6.1264414E-03  6.1276769E-02  0.0000000E+00
  7.8507600E+01 -1.0566077E-01  2.4252842E-03  7.0746890E-03  6.1058536E-02  0.0000000E+00
  7.8507600E+01 -1.1133547E-01  2.9037768E-03  8.1340623E-03  6.0798872E-02  0.0000000E+00
  7.8507600E+01 -1.1543870E-01  3.3759040E-03  9.3016084E-03  6.0506132E-02  0.0000000E+00
  7.8507600E+01 -1.1784306E-01  3.8156083E-03  1.0567464E-02  6.0188588E-02  0.0000000E+00
  7.8507600E+01 -1.1847368E-01  4.1951956E-03  1.1906805E-02  5.9861698E-02  0.0000000E+00
  7.8507600E+01 -1.1731120E-01  4.4886626E-03  1.3283693E-02  5.9542732E-02  0.0000000E+00
  7.8507600E+01 -1.1438277E-01  4.6723018E-03  1.4649939E-02  5.9248749E-02  0.0000000E+00
  7.8507600E+01 -1.0974797E-01  4.7271070E-03  1.5957747E-02  5.8997569E-02  0.0000000E+00
  7.8507600E+01 -1.0349685E-01  4.6388355E-03  1.7165093E-02  5.8809578E-02  0.0000000E+00
  7.8507600E+01 -9.5735244E-02  4.3989872E-03  1.8246169E-02  5.8702833E-02  0.0000000E+00
  7.8507600E+01 -8.6577780E-02  4.0045644E-03  1.9189911E-02  5.8687694E-02  0.0000000E+00
  7.8507600E+01 -7.6146127E-02  3.4582963E-03  1.9995373E-02  5.8788498E-02  0.0000000E+00
  7.8507600E+01 -6.4553302E-02  2.7673522E-03  2.0662376E-02  5.9012848E-02  0.0000000E+00
  7.8507600E+01 -5.1929448E-02  1.9458098E-03  2.1188275E-02  5.9361102E-02  0.0000000E+00
