          atime         prd_uu         prd_vv         prd_ww         pm1avg           tavg
  7.8507600E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.8925311E-02  0.0000000E+00
  7.8507600E+01  1.6030266E-09 -1.0431809E-12  1.0043749E-12  4.8925749E-02  0.0000000E+00
  7.8507600E+01  1.0115574E-07  2.8233965E-11  5.5475586E-11  4.8927057E-02  0.0000000E+00
  7.8507600E+01  1.1353927E-06  6.5045073E-10  5.9856775E-10  4.8929164E-02  0.0000000E+00
  7.8507600E+01  6.2439975E-06  5.3397928E-09  3.2582112E-09  4.8931768E-02  0.0000000E+00
  7.8507600E+01  2.3140133E-05  2.3246530E-08  1.2098215E-08  4.8934060E-02  0.0000000E+00
  7.8507600E+01  6.6494097E-05  5.5723782E-08  3.5149467E-08  4.8934343E-02  0.0000000E+00
  7.8507600E+01  1.5944246E-04  1.8086684E-08  8.6119037E-08  4.8929592E-02  0.0000000E+00
  7.8507600E+01  3.3271888E-04 -4.9600239E-07  1.8621879E-07  4.8914952E-02  0.0000000E+00
  7.8507600E+01  6.1952524E-04 -2.7338977E-06  3.6587516E-07  4.8883300E-02  0.0000000E+00
  7.8507600E+01  1.0446971E-03 -9.6809362E-06  6.6533551E-07  4.8824957E-02  0.0000000E+00
  7.8507600E+01  1.6094084E-03 -2.7253303E-05  1.1320277E-06  4.8727747E-02  0.0000000E+00
  7.8507600E+01  2.2753179E-03 -6.5564851E-05  1.8105999E-06  4.8577445E-02  0.0000000E+00
  7.8507600E+01  2.9612622E-03 -1.3947198E-04  2.7272645E-06  4.8358510E-02  0.0000000E+00
  7.8507600E+01  3.5531761E-03 -2.6750718E-04  3.8667065E-06  4.8056359E-02  0.0000000E+00
  7.8507600E+01  3.9401658E-03 -4.6998227E-04  5.1616858E-06  4.7657660E-02  0.0000000E+00
  7.8507600E+01  4.0562688E-03 -7.6429857E-04  6.4804654E-06  4.7153894E-02  0.0000000E+00
  7.8507600E+01  3.9172471E-03 -1.1621234E-03  7.6347588E-06  4.6540837E-02  0.0000000E+00
  7.8507600E+01  3.6301328E-03 -1.6657108E-03  8.3913872E-06  4.5821842E-02  0.0000000E+00
  7.8507600E+01  3.3744538E-03 -2.2704769E-03  8.5232787E-06  4.5004613E-02  0.0000000E+00
  7.8507600E+01  3.3613518E-03 -2.9659749E-03  7.8759860E-06  4.4103824E-02  0.0000000E+00
  7.8507600E+01  3.7917519E-03 -3.7409099E-03  6.4227972E-06  4.3137400E-02  0.0000000E+00
  7.8507600E+01  4.8183689E-03 -4.5825541E-03  4.2921130E-06  4.2128023E-02  0.0000000E+00
  7.8507600E+01  6.5243495E-03 -5.4791403E-03  1.7426299E-06  4.1097641E-02  0.0000000E+00
  7.8507600E+01  8.9166597E-03 -6.4143375E-03 -8.9602914E-07  4.0068958E-02  0.0000000E+00
  7.8507600E+01  1.1934196E-02 -7.3661028E-03 -3.3099378E-06  3.9062010E-02  0.0000000E+00
  7.8507600E+01  1.5462233E-02 -8.3044503E-03 -5.2758717E-06  3.8093758E-02  0.0000000E+00
  7.8507600E+01  1.9353656E-02 -9.1918803E-03 -6.6479943E-06  3.7177695E-02  0.0000000E+00
  7.8507600E+01  2.3456106E-02 -9.9860396E-03 -7.3531200E-06  3.6322106E-02  0.0000000E+00
  7.8507600E+01  2.7621073E-02 -1.0640815E-02 -7.3527353E-06  3.5532263E-02  0.0000000E+00
  7.8507600E+01  3.1733654E-02 -1.1112870E-02 -6.5985781E-06  3.4808192E-02  0.0000000E+00
  7.8507600E+01  3.5718362E-02 -1.1364889E-02 -5.0179820E-06  3.4146943E-02  0.0000000E+00
  7.8507600E+01  3.9542835E-02 -1.1370698E-02 -2.5819225E-06  3.3543356E-02  0.0000000E+00
  7.8507600E+01  4.3218556E-02 -1.1117502E-02  4.9417586E-07  3.2989523E-02  0.0000000E+00
  7.8507600E+01  4.6785272E-02 -1.0603865E-02  3.7402989E-06  3.2477137E-02  0.0000000E+00
  7.8507600E+01  5.0313525E-02 -9.8360847E-03  6.5283644E-06  3.1997416E-02  0.0000000E+00
  7.8507600E+01  5.3899883E-02 -8.8376399E-03  8.4663981E-06  3.1542068E-02  0.0000000E+00
  7.8507600E+01  5.7642171E-02 -7.6440645E-03  9.2530395E-06  3.1102655E-02  0.0000000E+00
  7.8507600E+01  6.1616439E-02 -6.2943250E-03  8.5450866E-06  3.0672934E-02  0.0000000E+00
  7.8507600E+01  6.5893952E-02 -4.8106496E-03  6.1693869E-06  3.0246408E-02  0.0000000E+00
  7.8507600E+01  7.0544598E-02 -3.1919294E-03  2.5407497E-06  2.9816822E-02  0.0000000E+00
  7.8507600E+01  7.5631740E-02 -1.4348861E-03 -9.1816458E-07  2.9381119E-02  0.0000000E+00
  7.8507600E+01  8.1139364E-02  4.2557897E-04 -2.9464678E-06  2.8937767E-02  0.0000000E+00
  7.8507600E+01  8.7090153E-02  2.3446683E-03 -3.2389183E-06  2.8487134E-02  0.0000000E+00
  7.8507600E+01  9.3472667E-02  4.2556453E-03 -2.6716120E-06  2.8033538E-02  0.0000000E+00
  7.8507600E+01  1.0031335E-01  6.1210335E-03 -1.8183581E-06  2.7580725E-02  0.0000000E+00
  7.8507600E+01  1.0767948E-01  7.9102073E-03 -1.0674924E-06  2.7133905E-02  0.0000000E+00
  7.8507600E+01  1.1568184E-01  9.5746709E-03 -5.9792707E-07  2.6701353E-02  0.0000000E+00
  7.8507600E+01  1.2452177E-01  1.1050575E-02 -3.0676965E-07  2.6290318E-02  0.0000000E+00
  7.8507600E+01  1.3434472E-01  1.2262445E-02  6.8361073E-08  2.5907203E-02  0.0000000E+00
  7.8507600E+01  1.4497566E-01  1.3168797E-02  1.0525097E-06  2.5558555E-02  0.0000000E+00
  7.8507600E+01  1.5599336E-01  1.3763957E-02  3.2856409E-06  2.5251885E-02  0.0000000E+00
  7.8507600E+01  1.6696784E-01  1.4055493E-02  6.7983939E-06  2.4992419E-02  0.0000000E+00
  7.8507600E+01  1.7769630E-01  1.4019853E-02  1.0491875E-05  2.4786233E-02  0.0000000E+00
  7.8507600E+01  1.8809136E-01  1.3639520E-02  1.2867565E-05  2.4638669E-02  0.0000000E+00
  7.8507600E+01  1.9795362E-01  1.2922118E-02  1.3271314E-05  2.4554686E-02  0.0000000E+00
  7.8507600E+01  2.0703840E-01  1.1896580E-02  1.2685609E-05  2.4535936E-02  0.0000000E+00
  7.8507600E+01  2.1502821E-01  1.0617052E-02  1.2618391E-05  2.4582006E-02  0.0000000E+00
  7.8507600E+01  2.2158289E-01  9.1493376E-03  1.2853268E-05  2.4690461E-02  0.0000000E+00
  7.8507600E+01  2.2661640E-01  7.5257245E-03  9.7829796E-06  2.4857585E-02  0.0000000E+00
  7.8507600E+01  2.3029295E-01  5.7180888E-03  5.7512149E-06  2.5076332E-02  0.0000000E+00
  7.8507600E+01  2.3187973E-01  3.7941516E-03  2.8863398E-06  2.5333599E-02  0.0000000E+00
  7.8507600E+01  2.3047045E-01  1.8869508E-03  1.3970482E-06  2.5618114E-02  0.0000000E+00
  7.8507600E+01  2.2551573E-01  1.5038342E-04  6.8108286E-07  2.5917972E-02  0.0000000E+00
  7.8507600E+01  2.1725706E-01 -1.3025491E-03  9.6376589E-08  2.6217469E-02  0.0000000E+00
  7.8507600E+01  2.0636040E-01 -2.4736815E-03 -6.3470439E-07  2.6507018E-02  0.0000000E+00
