          atime         ptr_uu         ptr_vv         ptr_ww         pm1avg           tavg
  7.8507600E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.8925311E-02  0.0000000E+00
  7.8507600E+01  4.4949329E-04 -1.4308277E-07  3.1779382E-04  4.8925749E-02  0.0000000E+00
  7.8507600E+01  1.7835957E-03 -2.1581925E-06  1.2571051E-03  4.8927057E-02  0.0000000E+00
  7.8507600E+01  3.9594391E-03 -1.0498803E-05  2.7763618E-03  4.8929164E-02  0.0000000E+00
  7.8507600E+01  6.9055472E-03 -3.1506658E-05  4.8078352E-03  4.8931768E-02  0.0000000E+00
  7.8507600E+01  1.0522996E-02 -7.1913374E-05  7.2610233E-03  4.8934060E-02  0.0000000E+00
  7.8507600E+01  1.4680227E-02 -1.3729947E-04  1.0023109E-02  4.8934343E-02  0.0000000E+00
  7.8507600E+01  1.9209642E-02 -2.3049857E-04  1.2962214E-02  4.8929592E-02  0.0000000E+00
  7.8507600E+01  2.3900162E-02 -3.4961981E-04  1.5929014E-02  4.8914952E-02  0.0000000E+00
  7.8507600E+01  2.8489194E-02 -4.8624906E-04  1.8758247E-02  4.8883300E-02  0.0000000E+00
  7.8507600E+01  3.2659404E-02 -6.2348668E-04  2.1272011E-02  4.8824957E-02  0.0000000E+00
  7.8507600E+01  3.6050373E-02 -7.3118537E-04  2.3288720E-02  4.8727747E-02  0.0000000E+00
  7.8507600E+01  3.8292894E-02 -7.7026134E-04  2.4640181E-02  4.8577445E-02  0.0000000E+00
  7.8507600E+01  3.9061358E-02 -6.9352958E-04  2.5192809E-02  4.8358510E-02  0.0000000E+00
  7.8507600E+01  3.8133720E-02 -4.5412817E-04  2.4869581E-02  4.8056359E-02  0.0000000E+00
  7.8507600E+01  3.5445198E-02 -2.3057233E-05  2.3671272E-02  4.7657660E-02  0.0000000E+00
  7.8507600E+01  3.1113622E-02  6.0065921E-04  2.1685208E-02  4.7153894E-02  0.0000000E+00
  7.8507600E+01  2.5417387E-02  1.3954170E-03  1.9074271E-02  4.6540837E-02  0.0000000E+00
  7.8507600E+01  1.8769310E-02  2.3018053E-03  1.6065332E-02  4.5821842E-02  0.0000000E+00
  7.8507600E+01  1.1622615E-02  3.2485275E-03  1.2906747E-02  4.5004613E-02  0.0000000E+00
  7.8507600E+01  4.4174902E-03  4.1701284E-03  9.8505185E-03  4.4103824E-02  0.0000000E+00
  7.8507600E+01 -2.5042080E-03  5.0376512E-03  7.1150369E-03  4.3137400E-02  0.0000000E+00
  7.8507600E+01 -8.9104528E-03  5.8544482E-03  4.8728277E-03  4.2128023E-02  0.0000000E+00
  7.8507600E+01 -1.4701682E-02  6.6493483E-03  3.2288968E-03  4.1097641E-02  0.0000000E+00
  7.8507600E+01 -1.9853249E-02  7.4534812E-03  2.2300429E-03  4.0068958E-02  0.0000000E+00
  7.8507600E+01 -2.4395398E-02  8.2652390E-03  1.8699965E-03  3.9062010E-02  0.0000000E+00
  7.8507600E+01 -2.8381588E-02  9.0461245E-03  2.1069174E-03  3.8093758E-02  0.0000000E+00
  7.8507600E+01 -3.1861064E-02  9.7196122E-03  2.8749171E-03  3.7177695E-02  0.0000000E+00
  7.8507600E+01 -3.4891170E-02  1.0185314E-02  4.0992070E-03  3.6322106E-02  0.0000000E+00
  7.8507600E+01 -3.7531096E-02  1.0360711E-02  5.6973019E-03  3.5532263E-02  0.0000000E+00
  7.8507600E+01 -3.9849676E-02  1.0205956E-02  7.5842652E-03  3.4808192E-02  0.0000000E+00
  7.8507600E+01 -4.1924189E-02  9.7385635E-03  9.6728005E-03  3.4146943E-02  0.0000000E+00
  7.8507600E+01 -4.3842263E-02  9.0430236E-03  1.1876574E-02  3.3543356E-02  0.0000000E+00
  7.8507600E+01 -4.5697125E-02  8.2699947E-03  1.4125121E-02  3.2989523E-02  0.0000000E+00
  7.8507600E+01 -4.7599629E-02  7.5530022E-03  1.6365782E-02  3.2477137E-02  0.0000000E+00
  7.8507600E+01 -4.9648833E-02  7.0410929E-03  1.8554161E-02  3.1997416E-02  0.0000000E+00
  7.8507600E+01 -5.1866990E-02  6.7948373E-03  2.0650472E-02  3.1542068E-02  0.0000000E+00
  7.8507600E+01 -5.4242916E-02  6.8252697E-03  2.2622334E-02  3.1102655E-02  0.0000000E+00
  7.8507600E+01 -5.6796544E-02  7.1225793E-03  2.4437400E-02  3.0672934E-02  0.0000000E+00
  7.8507600E+01 -5.9577054E-02  7.6572515E-03  2.6078284E-02  3.0246408E-02  0.0000000E+00
  7.8507600E+01 -6.2605262E-02  8.3952522E-03  2.7546336E-02  2.9816822E-02  0.0000000E+00
  7.8507600E+01 -6.5865581E-02  9.3924553E-03  2.8867634E-02  2.9381119E-02  0.0000000E+00
  7.8507600E+01 -6.9278863E-02  1.0572277E-02  3.0129071E-02  2.8937767E-02  0.0000000E+00
  7.8507600E+01 -7.2855955E-02  1.2217682E-02  3.1425828E-02  2.8487134E-02  0.0000000E+00
  7.8507600E+01 -7.6608756E-02  1.4431807E-02  3.2877703E-02  2.8033538E-02  0.0000000E+00
  7.8507600E+01 -8.0636654E-02  1.7307229E-02  3.4620837E-02  2.7580725E-02  0.0000000E+00
  7.8507600E+01 -8.5021126E-02  2.0863729E-02  3.6746947E-02  2.7133905E-02  0.0000000E+00
  7.8507600E+01 -8.9760697E-02  2.4983814E-02  3.9253077E-02  2.6701353E-02  0.0000000E+00
  7.8507600E+01 -9.4814690E-02  2.9443965E-02  4.2039780E-02  2.6290318E-02  0.0000000E+00
  7.8507600E+01 -1.0016656E-01  3.4013473E-02  4.4917787E-02  2.5907203E-02  0.0000000E+00
  7.8507600E+01 -1.0564093E-01  3.8282107E-02  4.7754408E-02  2.5558555E-02  0.0000000E+00
  7.8507600E+01 -1.1104138E-01  4.2117907E-02  5.0392570E-02  2.5251885E-02  0.0000000E+00
  7.8507600E+01 -1.1621270E-01  4.5464846E-02  5.2741187E-02  2.4992419E-02  0.0000000E+00
  7.8507600E+01 -1.2106883E-01  4.8242131E-02  5.4702022E-02  2.4786233E-02  0.0000000E+00
  7.8507600E+01 -1.2552676E-01  5.0343394E-02  5.6223851E-02  2.4638669E-02  0.0000000E+00
  7.8507600E+01 -1.2941248E-01  5.1630736E-02  5.7327587E-02  2.4554686E-02  0.0000000E+00
  7.8507600E+01 -1.3255676E-01  5.2053963E-02  5.8098676E-02  2.4535936E-02  0.0000000E+00
  7.8507600E+01 -1.3489478E-01  5.1762112E-02  5.8542134E-02  2.4582006E-02  0.0000000E+00
  7.8507600E+01 -1.3650961E-01  5.0907046E-02  5.8517118E-02  2.4690461E-02  0.0000000E+00
  7.8507600E+01 -1.3758230E-01  4.9519791E-02  5.7865755E-02  2.4857585E-02  0.0000000E+00
  7.8507600E+01 -1.3826496E-01  4.7588452E-02  5.6576327E-02  2.5076332E-02  0.0000000E+00
