          atime         tdf_uu         tdf_vv         tdf_ww         pm1avg           tavg
  7.8507600E+01 -6.8937013E-09  4.1155626E-10  4.5144708E-11  4.8925311E-02  0.0000000E+00
  7.8507600E+01  3.4760681E-08 -1.0350466E-09  2.5897171E-08  4.8925749E-02  0.0000000E+00
  7.8507600E+01  1.1913926E-06  9.3330474E-11  5.3183633E-07  4.8927057E-02  0.0000000E+00
  7.8507600E+01  1.2868311E-05  1.3301893E-08  5.7950161E-06  4.8929164E-02  0.0000000E+00
  7.8507600E+01  6.8069307E-05  1.0567781E-07  3.1286797E-05  4.8931768E-02  0.0000000E+00
  7.8507600E+01  2.3869016E-04  6.4158695E-07  1.1213461E-04  4.8934060E-02  0.0000000E+00
  7.8507600E+01  6.3959993E-04  2.7924680E-06  3.0916217E-04  4.8934343E-02  0.0000000E+00
  7.8507600E+01  1.4075687E-03  9.5133801E-06  7.0566386E-04  4.8929592E-02  0.0000000E+00
  7.8507600E+01  2.6468050E-03  2.6931861E-05  1.3883188E-03  4.8914952E-02  0.0000000E+00
  7.8507600E+01  4.3529888E-03  6.5424089E-05  2.4123131E-03  4.8883300E-02  0.0000000E+00
  7.8507600E+01  6.3561685E-03  1.3902739E-04  3.7639446E-03  4.8824957E-02  0.0000000E+00
  7.8507600E+01  8.3110383E-03  2.6455894E-04  5.3135676E-03  4.8727747E-02  0.0000000E+00
  7.8507600E+01  9.8066571E-03  4.5738916E-04  6.8336004E-03  4.8577445E-02  0.0000000E+00
  7.8507600E+01  1.0525156E-02  7.3055474E-04  8.0479099E-03  4.8358510E-02  0.0000000E+00
  7.8507600E+01  1.0402360E-02  1.0945948E-03  8.7027129E-03  4.8056359E-02  0.0000000E+00
  7.8507600E+01  9.7149478E-03  1.5612889E-03  8.6540015E-03  4.7657660E-02  0.0000000E+00
  7.8507600E+01  9.0154196E-03  2.1419803E-03  7.9093335E-03  4.7153894E-02  0.0000000E+00
  7.8507600E+01  8.9118500E-03  2.8454754E-03  6.6125304E-03  4.6540837E-02  0.0000000E+00
