          atime           conv           prod        pres_tr        pres_df        garbage
  7.8507600E+01  9.0093053E-10  0.0000000E+00  0.0000000E+00  1.1448787E-06  4.9984407E-05
  7.8507600E+01 -5.6095717E-09  8.0149388E-10  3.8357201E-04  3.8463593E-04  4.9346086E-05
  7.8507600E+01 -1.5181234E-07  5.0619726E-08  1.5192713E-03  1.5201155E-03  4.7829973E-05
  7.8507600E+01 -1.6859734E-06  5.6832087E-07  3.3626510E-03  3.3631758E-03  4.7193905E-05
  7.8507600E+01 -9.3012139E-06  3.1262978E-06  5.8409379E-03  5.8410683E-03  4.8831209E-05
  7.8507600E+01 -3.4404314E-05  1.1587739E-05  8.8560528E-03  8.8557614E-03  5.0178591E-05
  7.8507600E+01 -9.8794837E-05  3.3292485E-05  1.2283018E-02  1.2282379E-02  5.0077446E-05
  7.8507600E+01 -2.3742483E-04  7.9773333E-05  1.5970679E-02  1.5969887E-02  5.2974287E-05
  7.8507600E+01 -4.9848152E-04  1.6620455E-04  1.9739778E-02  1.9739057E-02  5.4465850E-05
  7.8507600E+01 -9.3943665E-04  3.0857861E-04  2.3380596E-02  2.3380552E-02  5.0257420E-05
  7.8507600E+01 -1.6187479E-03  5.1784076E-04  2.6653964E-02  2.6654689E-02  5.7686667E-05
  7.8507600E+01 -2.5788768E-03  7.9164355E-04  2.9303954E-02  2.9305703E-02  5.8312045E-05
  7.8507600E+01 -3.8316390E-03  1.1057818E-03  3.1081407E-02  3.1083662E-02  5.4134362E-05
  7.8507600E+01 -5.3491663E-03  1.4122588E-03  3.1780318E-02  3.1781511E-02  5.4053824E-05
  7.8507600E+01 -7.0554552E-03  1.6447678E-03  3.1274587E-02  3.1273448E-02  5.0362019E-05
  7.8507600E+01 -8.8455413E-03  1.7376726E-03  2.9546706E-02  2.9544413E-02  4.3035733E-05
  7.8507600E+01 -1.0597023E-02  1.6492253E-03  2.6699745E-02  2.6699758E-02  4.9294656E-05
  7.8507600E+01 -1.2195703E-02  1.3813792E-03  2.2943537E-02  2.2948389E-02  4.7795527E-05
  7.8507600E+01 -1.3547034E-02  9.8640671E-04  1.8568223E-02  1.8577125E-02  4.5778681E-05
  7.8507600E+01 -1.4586163E-02  5.5625007E-04  1.3888944E-02  1.3902519E-02  4.4579957E-05
  7.8507600E+01 -1.5276736E-02  2.0162644E-04  9.2190686E-03  9.2356685E-03  5.0982294E-05
  7.8507600E+01 -1.5601545E-02  2.8632394E-05  4.8242401E-03  4.8409539E-03  5.2574209E-05
  7.8507600E+01 -1.5548558E-02  1.2005344E-04  9.0841158E-04  9.2363021E-04  4.9706673E-05
  7.8507600E+01 -1.5112770E-02  5.2347591E-04 -2.4117182E-03 -2.4011148E-03  4.5659258E-05
  7.8507600E+01 -1.4305206E-02  1.2507131E-03 -5.0848623E-03 -5.0870932E-03  3.1588422E-05
  7.8507600E+01 -1.3151686E-02  2.2823915E-03 -7.1300815E-03 -7.1437578E-03  2.2595293E-05
  7.8507600E+01 -1.1702132E-02  3.5762535E-03 -8.6142728E-03 -8.6392293E-03 -2.5462448E-06
  7.8507600E+01 -1.0022319E-02  5.0775637E-03 -9.6332675E-03 -9.6604414E-03 -2.3342507E-05
  7.8507600E+01 -8.1942926E-03  6.7313564E-03 -1.0303324E-02 -1.0320920E-02 -4.3901742E-05
  7.8507600E+01 -6.3104898E-03  8.4864526E-03 -1.0736542E-02 -1.0732502E-02 -5.1534647E-05
  7.8507600E+01 -4.4588373E-03  1.0307093E-02 -1.1029727E-02 -1.0999468E-02 -3.8341330E-05
  7.8507600E+01 -2.7183338E-03  1.2174228E-02 -1.1256413E-02 -1.1210868E-02 -1.3442653E-05
  7.8507600E+01 -1.1522898E-03  1.4084778E-02 -1.1461333E-02 -1.1424536E-02  6.2523158E-06
  7.8507600E+01  2.0299910E-04  1.6050774E-02 -1.1651005E-02 -1.1637334E-02  3.0715911E-05
  7.8507600E+01  1.3325546E-03  1.8092573E-02 -1.1840422E-02 -1.1848745E-02  4.0451389E-05
  7.8507600E+01  2.2307826E-03  2.0241984E-02 -1.2026789E-02 -1.2047938E-02  3.2556790E-05
  7.8507600E+01  2.8934380E-03  2.2535355E-02 -1.2210840E-02 -1.2234484E-02  1.2080635E-05
  7.8507600E+01  3.3148797E-03  2.5003680E-02 -1.2397656E-02 -1.2412763E-02 -9.0358432E-06
  7.8507600E+01  3.4847642E-03  2.7665329E-02 -1.2618282E-02 -1.2629516E-02 -3.1251020E-05
  7.8507600E+01  3.4002023E-03  3.0544736E-02 -1.2920759E-02 -1.2939965E-02 -5.5556789E-05
  7.8507600E+01  3.0753038E-03  3.3677605E-02 -1.3331837E-02 -1.3348237E-02 -7.0495587E-05
  7.8507600E+01  2.5433288E-03  3.7097968E-02 -1.3802746E-02 -1.3821558E-02 -9.8822302E-05
  7.8507600E+01  1.8128958E-03  4.0780998E-02 -1.4288758E-02 -1.4282421E-02 -3.4272330E-05
  7.8507600E+01  9.0615853E-04  4.4715791E-02 -1.4606223E-02 -1.4609455E-02 -1.0666193E-05
  7.8507600E+01 -1.9571325E-04  4.8862820E-02 -1.4649623E-02 -1.4644494E-02  4.8395213E-05
  7.8507600E+01 -1.5672781E-03  5.3216283E-02 -1.4354294E-02 -1.4342541E-02  8.2060586E-05
  7.8507600E+01 -3.2405578E-03  5.7794308E-02 -1.3705225E-02 -1.3696070E-02  6.0792807E-05
  7.8507600E+01 -5.1337361E-03  6.2627955E-02 -1.2761903E-02 -1.2756589E-02  9.4101246E-06
  7.8507600E+01 -7.0620090E-03  6.7786018E-02 -1.1665473E-02 -1.1671174E-02 -4.5075327E-05
  7.8507600E+01 -8.8276241E-03  7.3303615E-02 -1.0617649E-02 -1.0629272E-02 -5.6222242E-05
  7.8507600E+01 -1.0368745E-02  7.9072754E-02 -9.8022080E-03 -9.8034002E-03 -8.6766093E-06
  7.8507600E+01 -1.1516795E-02  8.4880299E-02 -9.2654494E-03 -9.2914990E-03  2.9512537E-05
  7.8507600E+01 -1.2066464E-02  9.0515067E-02 -9.0033330E-03 -9.0008771E-03  4.1181957E-05
  7.8507600E+01 -1.2115465E-02  9.5863323E-02 -9.0623399E-03 -9.0357006E-03  2.9134764E-05
