          atime        pres_st        turb_df           diss        visc_df        garbage
  7.8507600E+01  1.1456773E-06 -3.2185001E-09 -9.5615398E-02  9.5618509E-02  0.0000000E+00
  7.8507600E+01  1.1371947E-06  2.9811403E-08 -9.4994853E-02  9.4610860E-02  8.0149388E-10
  7.8507600E+01  1.1191393E-06  8.6166112E-07 -9.3162642E-02  9.1640500E-02  5.0619726E-08
  7.8507600E+01  1.1206892E-06  9.3383143E-06 -9.0201407E-02  8.6829756E-02  5.6832087E-07
  7.8507600E+01  1.1605143E-06  4.9730891E-05 -8.6232736E-02  8.0328953E-02  3.1262978E-06
  7.8507600E+01  1.1946576E-06  1.7573318E-04 -8.1396125E-02  7.2315037E-02  1.1587739E-05
  7.8507600E+01  1.2212881E-06  4.7577728E-04 -7.5837463E-02  6.2951811E-02  3.3292485E-05
  7.8507600E+01  1.3043313E-06  1.0613730E-03 -6.9702427E-02  5.2343407E-02  7.9773333E-05
  7.8507600E+01  1.3408520E-06  2.0310278E-03 -6.3147811E-02  4.0730460E-02  1.6620455E-04
  7.8507600E+01  1.2987692E-06  3.4153630E-03 -5.6368149E-02  2.8329819E-02  3.0857861E-04
  7.8507600E+01  1.3685327E-06  5.1295702E-03 -4.9625428E-02  1.5709039E-02  5.1784076E-04
  7.8507600E+01  1.2795311E-06  6.9445824E-03 -4.3254102E-02  3.6373856E-03  7.9164355E-04
  7.8507600E+01  9.6662575E-07  8.5488233E-03 -3.7626749E-02 -6.9176521E-03  1.1057818E-03
  7.8507600E+01  5.6642591E-07  9.6518103E-03 -3.3076686E-02 -1.5067860E-02  1.4122588E-03
  7.8507600E+01  8.9055121E-08  1.0099834E-02 -2.9825166E-02 -2.0193688E-02  1.6447678E-03
  7.8507600E+01 -3.0937826E-07  9.9651191E-03 -2.7897122E-02 -2.2145504E-02  1.7376726E-03
  7.8507600E+01 -9.7587420E-08  9.5333667E-03 -2.7145315E-02 -2.1284494E-02  1.6492253E-03
  7.8507600E+01  5.2464194E-07  9.1849279E-03 -2.7284872E-02 -1.8399465E-02  1.3813792E-03
  7.8507600E+01  1.5996090E-06  9.2512735E-03 -2.7973363E-02 -1.4350709E-02  9.8640671E-04
  7.8507600E+01  2.9875072E-06  9.8931831E-03 -2.8899796E-02 -9.9988354E-03  5.5625007E-04
  7.8507600E+01  3.8594241E-06  1.1126927E-02 -2.9821529E-02 -5.9745067E-03  2.0162644E-04
  7.8507600E+01  3.6388418E-06  1.2855363E-02 -3.0578785E-02 -2.6843605E-03  2.8632394E-05
  7.8507600E+01  2.5011013E-06  1.4905583E-02 -3.1096822E-02 -3.1525009E-04  1.2005344E-04
  7.8507600E+01  5.2480692E-07  1.7096899E-02 -3.1374778E-02  1.1372589E-03  5.2347591E-04
  7.8507600E+01 -2.3058573E-06  1.9280668E-02 -3.1458926E-02  1.7920663E-03  1.2507131E-03
  7.8507600E+01 -3.5894774E-06  2.1344680E-02 -3.1429622E-02  1.8514694E-03  2.2823915E-03
  7.8507600E+01 -4.9306012E-06  2.3238469E-02 -3.1376558E-02  1.5301675E-03  3.5762535E-03
  7.8507600E+01 -4.3555564E-06  2.4981724E-02 -3.1380465E-02  1.0258267E-03  5.0775637E-03
  7.8507600E+01 -2.6763709E-06  2.6618449E-02 -3.1492276E-02  4.4683256E-04  6.7313564E-03
  7.8507600E+01  2.3883061E-08  2.8131756E-02 -3.1738084E-02 -1.4504204E-04  8.4864526E-03
  7.8507600E+01  3.5085280E-06  2.9452362E-02 -3.2132659E-02 -6.8952272E-04  1.0307093E-02
  7.8507600E+01  5.9154331E-06  3.0497743E-02 -3.2686918E-02 -1.1215999E-03  1.2174228E-02
  7.8507600E+01  5.7445467E-06  3.1238898E-02 -3.3401031E-02 -1.3918049E-03  1.4084778E-02
  7.8507600E+01  8.2893989E-06  3.1734077E-02 -3.4256131E-02 -1.4688422E-03  1.6050774E-02
  7.8507600E+01  7.2095110E-06  3.1951687E-02 -3.5260418E-02 -1.4354275E-03  1.8092573E-02
  7.8507600E+01  6.6502761E-06  3.1908344E-02 -3.6358548E-02 -1.2968647E-03  2.0241984E-02
  7.8507600E+01  3.0553560E-06  3.1574905E-02 -3.7553889E-02 -1.1298432E-03  2.2535355E-02
  7.8507600E+01 -6.3927120E-07  3.0945292E-02 -3.8821737E-02 -1.0386501E-03  2.5003680E-02
  7.8507600E+01 -4.4228335E-06  3.0047225E-02 -4.0126126E-02 -1.0862133E-03  2.7665329E-02
  7.8507600E+01 -7.6244187E-06  2.8883091E-02 -4.1448243E-02 -1.2529856E-03  3.0544736E-02
  7.8507600E+01 -4.8250932E-06  2.7356790E-02 -4.2785924E-02 -1.4269318E-03  3.3677605E-02
  7.8507600E+01 -6.5749110E-06  2.5295317E-02 -4.4094387E-02 -1.4077848E-03  3.7097968E-02
  7.8507600E+01  3.8347128E-06  2.2528680E-02 -4.5616550E-02 -1.1461891E-03  4.0780998E-02
  7.8507600E+01  4.6458388E-06  1.9105370E-02 -4.7057772E-02 -7.5028701E-04  4.4715791E-02
  7.8507600E+01  6.8882663E-06  1.5052139E-02 -4.8490775E-02 -3.3773495E-04  4.8862820E-02
  7.8507600E+01  7.3780516E-06  1.0176543E-02 -4.9897344E-02 -2.0561470E-05  5.3216283E-02
  7.8507600E+01  5.5260140E-06  4.4550313E-03 -5.1246788E-02  1.4732012E-04  5.7794308E-02
  7.8507600E+01  3.4954538E-06 -1.9270810E-03 -5.2528310E-02  1.4997892E-04  6.2627955E-02
  7.8507600E+01  7.5159552E-07 -8.7662557E-03 -5.3719904E-02 -4.7996762E-05  6.7786018E-02
  7.8507600E+01  4.4326049E-06 -1.5740519E-02 -5.4630220E-02 -5.3381437E-04  7.3303615E-02
  7.8507600E+01  2.3505238E-06 -2.2432490E-02 -5.5512121E-02 -1.1437060E-03  7.9072754E-02
  7.8507600E+01  5.6082533E-06 -2.8791644E-02 -5.6046381E-02 -1.7562811E-03  8.4880299E-02
  7.8507600E+01  6.7193194E-06 -3.4373977E-02 -5.6476535E-02 -1.9505848E-03  9.0515067E-02
  7.8507600E+01  5.3618298E-06 -3.9311285E-02 -5.6909332E-02 -1.7787779E-03  9.5863323E-02
  7.8507600E+01  4.1161322E-06 -4.3743372E-02 -5.7236803E-02 -1.5622543E-03  1.0087187E-01
  7.8507600E+01  2.9463001E-06 -4.7525960E-02 -5.7333121E-02 -1.6158394E-03  1.0544451E-01
  7.8507600E+01  2.4975903E-06 -5.0324115E-02 -5.7177973E-02 -2.0273905E-03  1.0947383E-01
  7.8507600E+01  8.0795200E-06 -5.1702220E-02 -5.6684307E-02 -2.5111296E-03  1.1282894E-01
  7.8507600E+01  6.6729188E-06 -5.1366059E-02 -5.5930304E-02 -3.0688554E-03  1.1537254E-01
  7.8507600E+01  6.2870914E-06 -4.8851568E-02 -5.4721003E-02 -3.6392881E-03  1.1707595E-01
  7.8507600E+01  3.7709642E-06 -4.4729057E-02 -5.3417731E-02 -3.5678513E-03  1.1800840E-01
  7.8507600E+01  2.4725197E-06 -3.9703120E-02 -5.2193430E-02 -2.9350343E-03  1.1783839E-01
  7.8507600E+01  4.0310187E-06 -3.4042431E-02 -5.0843377E-02 -2.1772991E-03  1.1617940E-01
  7.8507600E+01  4.1002880E-06 -2.7797763E-02 -4.9240129E-02 -1.7244629E-03  1.1283340E-01
  7.8507600E+01  2.7238728E-06 -2.1118583E-02 -4.7495317E-02 -1.5830436E-03  1.0797730E-01
  7.8507600E+01  5.8150957E-06 -1.4176229E-02 -4.5683307E-02 -1.3048310E-03  1.0194304E-01
  7.8507600E+01  3.3954043E-06 -6.8754057E-03 -4.3663181E-02 -1.1284739E-03  9.5048488E-02
  7.8507600E+01  3.9878494E-06  1.0994464E-03 -4.1513814E-02 -7.9540867E-04  8.7640048E-02
  7.8507600E+01  3.5370927E-06  8.5057244E-03 -3.9254155E-02 -3.1226263E-04  8.0200774E-02
  7.8507600E+01  4.3636193E-06  1.4396841E-02 -3.7114464E-02  5.8555033E-05  7.2971725E-02
  7.8507600E+01  3.9540651E-06  1.8435709E-02 -3.5054060E-02  3.7011896E-04  6.6024365E-02
  7.8507600E+01  1.8491465E-06  2.0905919E-02 -3.3064952E-02  6.1092203E-04  5.9449624E-02
  7.8507600E+01  9.1916999E-07  2.2375096E-02 -3.1164239E-02  7.5459661E-04  5.3262051E-02
  7.8507600E+01  3.2892854E-06  2.3215924E-02 -2.9324396E-02  8.7170630E-04  4.7554821E-02
  7.8507600E+01  2.4488581E-06  2.3781880E-02 -2.7378534E-02  8.5696400E-04  4.2429101E-02
  7.8507600E+01  1.7850767E-06  2.3802275E-02 -2.5681637E-02  9.0793740E-04  3.7950809E-02
  7.8507600E+01  1.7552862E-06  2.2470979E-02 -2.4070051E-02  9.9949495E-04  3.4057637E-02
  7.8507600E+01  2.0062604E-06  2.0152793E-02 -2.2658921E-02  9.3930000E-04  3.0695760E-02
  7.8507600E+01  1.3874382E-06  1.7680039E-02 -2.1428057E-02  8.0505781E-04  2.7864230E-02
  7.8507600E+01  1.1176778E-06  1.5530520E-02 -2.0345607E-02  6.6065158E-04  2.5555682E-02
  7.8507600E+01  1.3296671E-06  1.3689248E-02 -1.9391701E-02  5.3925080E-04  2.3699757E-02
  7.8507600E+01 -2.5429470E-07  1.1999748E-02 -1.8546145E-02  4.8700287E-04  2.2196401E-02
  7.8507600E+01  3.5281799E-06  1.0522850E-02 -1.7729261E-02  3.8481504E-04  2.0936358E-02
  7.8507600E+01 -1.1063608E-07  9.0619469E-03 -1.7057630E-02  3.9043090E-04  1.9901002E-02
  7.8507600E+01  1.3971301E-06  7.1869069E-03 -1.6382263E-02  4.9816216E-04  1.8966173E-02
  7.8507600E+01  7.0676860E-07  5.3173281E-03 -1.5732471E-02  4.2414559E-04  1.8167931E-02
  7.8507600E+01 -4.6286592E-08  3.8476526E-03 -1.5167974E-02  2.7695730E-04  1.7564615E-02
  7.8507600E+01  4.4076428E-07  2.7422901E-03 -1.4697472E-02  1.5760082E-04  1.7159031E-02
  7.8507600E+01  4.8538661E-07  1.7682454E-03 -1.4297628E-02  8.1022948E-05  1.6881653E-02
  7.8507600E+01  1.5456604E-07  9.0056244E-04 -1.3944506E-02  4.4235588E-05  1.6625014E-02
  7.8507600E+01  1.0474857E-06  2.9963017E-04 -1.3601254E-02  6.3939440E-05  1.6326434E-02
  7.8507600E+01  9.8504631E-07 -1.9449475E-04 -1.3264099E-02  4.3431600E-05  1.6043294E-02
  7.8507600E+01  1.4388821E-07 -8.6587961E-04 -1.2917064E-02  7.5487234E-05  1.5808189E-02
  7.8507600E+01  8.0064004E-08 -1.6042389E-03 -1.2547582E-02  5.4514119E-05  1.5597959E-02
  7.8507600E+01  3.3399448E-07 -2.1290056E-03 -1.2190049E-02 -1.5951299E-05  1.5403468E-02
  7.8507600E+01  2.3827935E-07 -2.3476835E-03 -1.1848531E-02 -1.0014165E-04  1.5218462E-02
  7.8507600E+01  2.5430672E-07 -2.2949086E-03 -1.1524317E-02 -1.7883347E-04  1.5029990E-02
  7.8507600E+01  3.1947601E-07 -2.0390812E-03 -1.1223538E-02 -2.3034589E-04  1.4813995E-02
  7.8507600E+01 -1.3242344E-07 -1.6613178E-03 -1.0942590E-02 -2.2043652E-04  1.4542537E-02
  7.8507600E+01  5.1374265E-07 -1.3330906E-03 -1.0658386E-02 -1.9324846E-04  1.4199856E-02
  7.8507600E+01  4.5697180E-08 -1.1150145E-03 -1.0390943E-02 -1.0289850E-04  1.3811851E-02
  7.8507600E+01  3.5817304E-07 -9.9895243E-04 -1.0092258E-02 -1.8774331E-05  1.3414923E-02
  7.8507600E+01  9.7231374E-08 -9.5664889E-04 -9.7940178E-03  1.7684302E-05  1.3032746E-02
  7.8507600E+01 -5.9934218E-08 -9.9678699E-04 -9.5045445E-03  3.1745580E-05  1.2666261E-02
  7.8507600E+01  1.5401866E-07 -1.0346262E-03 -9.2296452E-03  3.8235032E-05  1.2308900E-02
  7.8507600E+01  2.2128768E-07 -9.1876294E-04 -8.9720162E-03  2.9024087E-05  1.1958946E-02
  7.8507600E+01 -7.7393374E-08 -5.6869483E-04 -8.7177346E-03 -4.8380068E-06  1.1617616E-02
  7.8507600E+01  1.1717215E-06 -1.5974877E-04 -8.4423461E-03 -4.9197666E-05  1.1289283E-02
  7.8507600E+01 -1.8518261E-07  1.1179421E-04 -8.2272033E-03  6.2975423E-06  1.0945337E-02
  7.8507600E+01  2.0588164E-07  3.0915328E-04 -7.9869047E-03  5.6595470E-05  1.0578653E-02
  7.8507600E+01  1.3977873E-07  4.8158391E-04 -7.7556655E-03  8.4702666E-05  1.0190601E-02
  7.8507600E+01  1.8548220E-08  5.7037780E-04 -7.5390701E-03  8.5378993E-05  9.7955409E-03
  7.8507600E+01  8.7923564E-08  6.0683914E-04 -7.3316649E-03  5.3610208E-05  9.4120265E-03
  7.8507600E+01  9.3654307E-08  6.5433665E-04 -7.1355023E-03  4.3773657E-07  9.0630434E-03
  7.8507600E+01 -1.3460876E-08  6.9528528E-04 -6.9571911E-03 -3.5557950E-05  8.7624269E-03
  7.8507600E+01  1.2970566E-07  6.7425111E-04 -6.7843863E-03 -1.1806995E-05  8.5066449E-03
  7.8507600E+01  1.1712389E-07  5.8436856E-04 -6.6225823E-03  2.6586620E-05  8.2686319E-03
  7.8507600E+01  4.6005916E-08  5.4485249E-04 -6.4388072E-03  4.5819437E-05  8.0195080E-03
  7.8507600E+01  5.1567354E-08  5.5893230E-04 -6.2412985E-03  3.7233194E-05  7.7488066E-03
  7.8507600E+01  1.7369307E-08  5.7317644E-04 -6.0490694E-03  1.9791684E-05  7.4637688E-03
  7.8507600E+01 -1.0589722E-09  5.6431460E-04 -5.8668127E-03  4.6403108E-06  7.1759976E-03
  7.8507600E+01  6.3362303E-08  5.4104572E-04 -5.6938066E-03 -1.2094417E-05  6.8928144E-03
  7.8507600E+01  6.3628870E-08  5.3994309E-04 -5.5307759E-03 -3.2708345E-05  6.6190652E-03
  7.8507600E+01 -4.7191165E-08  5.9897221E-04 -5.3737142E-03 -4.2588214E-05  6.3583965E-03
  7.8507600E+01  1.5876527E-07  7.0486632E-04 -5.2138336E-03 -3.6036674E-05  6.1126519E-03
  7.8507600E+01 -2.0716176E-08  7.9909710E-04 -5.0672687E-03 -2.5605611E-05  5.8856413E-03
  7.8507600E+01  3.3977251E-08  8.7537674E-04 -4.9177167E-03 -8.1733578E-06  5.6692575E-03
  7.8507600E+01  2.0228455E-08  9.0544705E-04 -4.7736905E-03  4.0843062E-07  5.4585777E-03
  7.8507600E+01  3.8913465E-09  8.7837395E-04 -4.6352775E-03 -2.6351947E-08  5.2506255E-03
