          atime          uplus          yplus           Wshr          trash          trash
  7.8507600E+01  0.0000000E+00  0.0000000E+00  2.8303852E-03  0.0000000E+00  0.0000000E+00
  7.8507600E+01  9.5664640E-03  9.5742357E-03  2.8303852E-03  3.7649000E-05  3.7649000E-05
  7.8507600E+01  3.8170756E-02  3.8295417E-02  2.8303852E-03  1.5059000E-04  1.5059000E-04
  7.8507600E+01  8.5526261E-02  8.6160238E-02  2.8303852E-03  3.3881000E-04  3.3881000E-04
  7.8507600E+01  1.5113615E-01  1.5315369E-01  2.8303852E-03  6.0225000E-04  6.0225000E-04
  7.8507600E+01  2.3431038E-01  2.3928596E-01  2.8303852E-03  9.4095000E-04  9.4095000E-04
  7.8507600E+01  3.3406999E-01  3.4452906E-01  2.8303852E-03  1.3548000E-03  1.3548000E-03
  7.8507600E+01  4.4913418E-01  4.6885756E-01  2.8303852E-03  1.8437000E-03  1.8437000E-03
  7.8507600E+01  5.7785418E-01  6.1225876E-01  2.8303852E-03  2.4076000E-03  2.4076000E-03
  7.8507600E+01  7.1811810E-01  7.7473264E-01  2.8303852E-03  3.0465000E-03  3.0465000E-03
  7.8507600E+01  8.6721944E-01  9.5625378E-01  2.8303852E-03  3.7603000E-03  3.7603000E-03
  7.8507600E+01  1.0217651E+00  1.1567459E+00  2.8303852E-03  4.5487000E-03  4.5487000E-03
  7.8507600E+01  1.1777200E+00  1.3761581E+00  2.8303852E-03  5.4115000E-03  5.4115000E-03
  7.8507600E+01  1.3306074E+00  1.6146939E+00  2.8303852E-03  6.3495000E-03  6.3495000E-03
  7.8507600E+01  1.4751127E+00  1.8719209E+00  2.8303852E-03  7.3610000E-03  7.3610000E-03
  7.8507600E+01  1.6062496E+00  2.1482206E+00  2.8303852E-03  8.4475000E-03  8.4475000E-03
  7.8507600E+01  1.7188088E+00  2.4432115E+00  2.8303852E-03  9.6075000E-03  9.6075000E-03
  7.8507600E+01  1.8083889E+00  2.7571480E+00  2.8303852E-03  1.0842000E-02  1.0842000E-02
  7.8507600E+01  1.8711819E+00  3.0895214E+00  2.8303852E-03  1.2149000E-02  1.2149000E-02
  7.8507600E+01  1.9046138E+00  3.4407131E+00  2.8303852E-03  1.3530000E-02  1.3530000E-02
  7.8507600E+01  1.9070630E+00  3.8104690E+00  2.8303852E-03  1.4984000E-02  1.4984000E-02
  7.8507600E+01  1.8779890E+00  4.1990433E+00  2.8303852E-03  1.6512000E-02  1.6512000E-02
  7.8507600E+01  1.8178755E+00  4.6059273E+00  2.8303852E-03  1.8112000E-02  1.8112000E-02
  7.8507600E+01  1.7279670E+00  5.0313754E+00  2.8303852E-03  1.9785000E-02  1.9785000E-02
  7.8507600E+01  1.6102268E+00  5.4751333E+00  2.8303852E-03  2.1530000E-02  2.1530000E-02
  7.8507600E+01  1.4661110E+00  5.9372010E+00  2.8303852E-03  2.3347000E-02  2.3347000E-02
  7.8507600E+01  1.3029412E+00  6.4175785E+00  2.8303852E-03  2.5236000E-02  2.5236000E-02
  7.8507600E+01  1.1125240E+00  6.9160114E+00  2.8303852E-03  2.7196000E-02  2.7196000E-02
  7.8507600E+01  9.1121382E-01  7.4327542E+00  2.8303852E-03  2.9228000E-02  2.9228000E-02
  7.8507600E+01  7.0047357E-01  7.9672981E+00  2.8303852E-03  3.1330000E-02  3.1330000E-02
  7.8507600E+01  4.6266278E-01  8.5198974E+00  2.8303852E-03  3.3503000E-02  3.3503000E-02
  7.8507600E+01  2.1715901E-01  9.0905523E+00  2.8303852E-03  3.5747000E-02  3.5747000E-02
  7.8507600E+01  9.2998241E-02  9.6787540E+00  2.8303852E-03  3.8060000E-02  3.8060000E-02
  7.8507600E+01  2.8135325E-01  1.0284757E+01  2.8303852E-03  4.0443000E-02  4.0443000E-02
  7.8507600E+01  5.3837757E-01  1.0908307E+01  2.8303852E-03  4.2895000E-02  4.2895000E-02
  7.8507600E+01  8.0114273E-01  1.1549403E+01  2.8303852E-03  4.5416000E-02  4.5416000E-02
  7.8507600E+01  1.0679170E+00  1.2207793E+01  2.8303852E-03  4.8005000E-02  4.8005000E-02
  7.8507600E+01  1.3385837E+00  1.2884237E+01  2.8303852E-03  5.0665000E-02  5.0665000E-02
  7.8507600E+01  1.6123661E+00  1.3577212E+01  2.8303852E-03  5.3390000E-02  5.3390000E-02
  7.8507600E+01  1.8891143E+00  1.4286716E+01  2.8303852E-03  5.6180000E-02  5.6180000E-02
  7.8507600E+01  2.1694201E+00  1.5014021E+01  2.8303852E-03  5.9040000E-02  5.9040000E-02
  7.8507600E+01  2.4533057E+00  1.5757856E+01  2.8303852E-03  6.1965000E-02  6.1965000E-02
  7.8507600E+01  2.7413848E+00  1.6518220E+01  2.8303852E-03  6.4955000E-02  6.4955000E-02
  7.8507600E+01  3.0347081E+00  1.7296386E+01  2.8303852E-03  6.8015000E-02  6.8015000E-02
  7.8507600E+01  3.3327658E+00  1.8089810E+01  2.8303852E-03  7.1135000E-02  7.1135000E-02
  7.8507600E+01  3.6364108E+00  1.8899764E+01  2.8303852E-03  7.4320000E-02  7.4320000E-02
  7.8507600E+01  3.9465348E+00  1.9727518E+01  2.8303852E-03  7.7575000E-02  7.7575000E-02
  7.8507600E+01  4.2627887E+00  2.0570531E+01  2.8303852E-03  8.0890000E-02  8.0890000E-02
  7.8507600E+01  4.5860548E+00  2.1428802E+01  2.8303852E-03  8.4265000E-02  8.4265000E-02
  7.8507600E+01  4.9179056E+00  2.2303603E+01  2.8303852E-03  8.7705000E-02  8.7705000E-02
  7.8507600E+01  5.2593068E+00  2.3194933E+01  2.8303852E-03  9.1210000E-02  9.1210000E-02
  7.8507600E+01  5.6098909E+00  2.4100250E+01  2.8303852E-03  9.4770000E-02  9.4770000E-02
  7.8507600E+01  5.9706861E+00  2.5022097E+01  2.8303852E-03  9.8395000E-02  9.8395000E-02
  7.8507600E+01  6.3408764E+00  2.5959202E+01  2.8303852E-03  1.0208000E-01  1.0208000E-01
  7.8507600E+01  6.7205683E+00  2.6912836E+01  2.8303852E-03  1.0583000E-01  1.0583000E-01
  7.8507600E+01  7.1078601E+00  2.7879186E+01  2.8303852E-03  1.0963000E-01  1.0963000E-01
  7.8507600E+01  7.5033567E+00  2.8860793E+01  2.8303852E-03  1.1349000E-01  1.1349000E-01
  7.8507600E+01  7.9075368E+00  2.9860202E+01  2.8303852E-03  1.1742000E-01  1.1742000E-01
  7.8507600E+01  8.3176048E+00  3.0872326E+01  2.8303852E-03  1.2140000E-01  1.2140000E-01
  7.8507600E+01  8.7324963E+00  3.1897166E+01  2.8303852E-03  1.2543000E-01  1.2543000E-01
  7.8507600E+01  9.1534581E+00  3.2939806E+01  2.8303852E-03  1.2953000E-01  1.2953000E-01
  7.8507600E+01  9.5761500E+00  3.3992618E+01  2.8303852E-03  1.3367000E-01  1.3367000E-01
  7.8507600E+01  1.0000051E+01  3.5060689E+01  2.8303852E-03  1.3787000E-01  1.3787000E-01
  7.8507600E+01  1.0422403E+01  3.6146561E+01  2.8303852E-03  1.4214000E-01  1.4214000E-01
  7.8507600E+01  1.0835273E+01  3.7240062E+01  2.8303852E-03  1.4644000E-01  1.4644000E-01
  7.8507600E+01  1.1239153E+01  3.8351364E+01  2.8303852E-03  1.5081000E-01  1.5081000E-01
  7.8507600E+01  1.1629510E+01  3.9475381E+01  2.8303852E-03  1.5523000E-01  1.5523000E-01
  7.8507600E+01  1.2003735E+01  4.0612113E+01  2.8303852E-03  1.5970000E-01  1.5970000E-01
  7.8507600E+01  1.2359940E+01  4.1761560E+01  2.8303852E-03  1.6422000E-01  1.6422000E-01
  7.8507600E+01  1.2697534E+01  4.2923723E+01  2.8303852E-03  1.6879000E-01  1.6879000E-01
  7.8507600E+01  1.3017331E+01  4.4101144E+01  2.8303852E-03  1.7342000E-01  1.7342000E-01
  7.8507600E+01  1.3317670E+01  4.5286193E+01  2.8303852E-03  1.7808000E-01  1.7808000E-01
  7.8507600E+01  1.3600823E+01  4.6486501E+01  2.8303852E-03  1.8280000E-01  1.8280000E-01
  7.8507600E+01  1.3866304E+01  4.7699524E+01  2.8303852E-03  1.8757000E-01  1.8757000E-01
  7.8507600E+01  1.4114436E+01  4.8925263E+01  2.8303852E-03  1.9239000E-01  1.9239000E-01
  7.8507600E+01  1.4345693E+01  5.0161173E+01  2.8303852E-03  1.9725000E-01  1.9725000E-01
  7.8507600E+01  1.4561299E+01  5.1407255E+01  2.8303852E-03  2.0215000E-01  2.0215000E-01
  7.8507600E+01  1.4762772E+01  5.2666053E+01  2.8303852E-03  2.0710000E-01  2.0710000E-01
  7.8507600E+01  1.4951504E+01  5.3937565E+01  2.8303852E-03  2.1210000E-01  2.1210000E-01
  7.8507600E+01  1.5128715E+01  5.5216707E+01  2.8303852E-03  2.1713000E-01  2.1713000E-01
  7.8507600E+01  1.5297304E+01  5.6508564E+01  2.8303852E-03  2.2221000E-01  2.2221000E-01
  7.8507600E+01  1.5459175E+01  5.7813136E+01  2.8303852E-03  2.2734000E-01  2.2734000E-01
  7.8507600E+01  1.5615087E+01  5.9125337E+01  2.8303852E-03  2.3250000E-01  2.3250000E-01
  7.8507600E+01  1.5766344E+01  6.0447710E+01  2.8303852E-03  2.3770000E-01  2.3770000E-01
  7.8507600E+01  1.5914050E+01  6.1782798E+01  2.8303852E-03  2.4295000E-01  2.4295000E-01
  7.8507600E+01  1.6057953E+01  6.3125515E+01  2.8303852E-03  2.4823000E-01  2.4823000E-01
  7.8507600E+01  1.6199317E+01  6.4478405E+01  2.8303852E-03  2.5355000E-01  2.5355000E-01
  7.8507600E+01  1.6339462E+01  6.5841466E+01  2.8303852E-03  2.5891000E-01  2.5891000E-01
  7.8507600E+01  1.6479194E+01  6.7212157E+01  2.8303852E-03  2.6430000E-01  2.6430000E-01
  7.8507600E+01  1.6619094E+01  6.8593020E+01  2.8303852E-03  2.6973000E-01  2.6973000E-01
  7.8507600E+01  1.6758734E+01  6.9984054E+01  2.8303852E-03  2.7520000E-01  2.7520000E-01
  7.8507600E+01  1.6897306E+01  7.1380175E+01  2.8303852E-03  2.8069000E-01  2.8069000E-01
  7.8507600E+01  1.7035736E+01  7.2786468E+01  2.8303852E-03  2.8622000E-01  2.8622000E-01
  7.8507600E+01  1.7174442E+01  7.4202933E+01  2.8303852E-03  2.9179000E-01  2.9179000E-01
  7.8507600E+01  1.7313095E+01  7.5624484E+01  2.8303852E-03  2.9738000E-01  2.9738000E-01
  7.8507600E+01  1.7452245E+01  7.7056208E+01  2.8303852E-03  3.0301000E-01  3.0301000E-01
  7.8507600E+01  1.7591370E+01  7.8493017E+01  2.8303852E-03  3.0866000E-01  3.0866000E-01
  7.8507600E+01  1.7730579E+01  7.9937455E+01  2.8303852E-03  3.1434000E-01  3.1434000E-01
  7.8507600E+01  1.7869579E+01  8.1389523E+01  2.8303852E-03  3.2005000E-01  3.2005000E-01
  7.8507600E+01  1.8007915E+01  8.2849219E+01  2.8303852E-03  3.2579000E-01  3.2579000E-01
  7.8507600E+01  1.8144968E+01  8.4314002E+01  2.8303852E-03  3.3155000E-01  3.3155000E-01
  7.8507600E+01  1.8281083E+01  8.5788956E+01  2.8303852E-03  3.3735000E-01  3.3735000E-01
  7.8507600E+01  1.8415635E+01  8.7266454E+01  2.8303852E-03  3.4316000E-01  3.4316000E-01
  7.8507600E+01  1.8548991E+01  8.8749038E+01  2.8303852E-03  3.4899000E-01  3.4899000E-01
  7.8507600E+01  1.8681681E+01  9.0241794E+01  2.8303852E-03  3.5486000E-01  3.5486000E-01
  7.8507600E+01  1.8813055E+01  9.1737092E+01  2.8303852E-03  3.6074000E-01  3.6074000E-01
  7.8507600E+01  1.8943376E+01  9.3237477E+01  2.8303852E-03  3.6664000E-01  3.6664000E-01
  7.8507600E+01  1.9072731E+01  9.4742948E+01  2.8303852E-03  3.7256000E-01  3.7256000E-01
  7.8507600E+01  1.9201326E+01  9.6256048E+01  2.8303852E-03  3.7851000E-01  3.7851000E-01
  7.8507600E+01  1.9328397E+01  9.7771691E+01  2.8303852E-03  3.8447000E-01  3.8447000E-01
  7.8507600E+01  1.9453770E+01  9.9292420E+01  2.8303852E-03  3.9045000E-01  3.9045000E-01
  7.8507600E+01  1.9576854E+01  1.0081569E+02  2.8303852E-03  3.9644000E-01  3.9644000E-01
  7.8507600E+01  1.9697836E+01  1.0234659E+02  2.8303852E-03  4.0246000E-01  4.0246000E-01
  7.8507600E+01  1.9816184E+01  1.0387749E+02  2.8303852E-03  4.0848000E-01  4.0848000E-01
  7.8507600E+01  1.9932700E+01  1.0541348E+02  2.8303852E-03  4.1452000E-01  4.1452000E-01
  7.8507600E+01  2.0047804E+01  1.0695201E+02  2.8303852E-03  4.2057000E-01  4.2057000E-01
  7.8507600E+01  2.0161953E+01  1.0849309E+02  2.8303852E-03  4.2663000E-01  4.2663000E-01
  7.8507600E+01  2.0275366E+01  1.1003924E+02  2.8303852E-03  4.3271000E-01  4.3271000E-01
  7.8507600E+01  2.0387277E+01  1.1158540E+02  2.8303852E-03  4.3879000E-01  4.3879000E-01
  7.8507600E+01  2.0497680E+01  1.1313665E+02  2.8303852E-03  4.4489000E-01  4.4489000E-01
  7.8507600E+01  2.0605998E+01  1.1468790E+02  2.8303852E-03  4.5099000E-01  4.5099000E-01
  7.8507600E+01  2.0712361E+01  1.1624168E+02  2.8303852E-03  4.5710000E-01  4.5710000E-01
