          atime         vdf_uu         vdf_vv         vdf_ww         pm1avg           tavg
  7.8507600E+01  1.0173892E-01 -1.5441688E-08  8.9498112E-02  4.8925311E-02  0.0000000E+00
  7.8507600E+01  1.0054167E-01  4.8830454E-07  8.8679558E-02  4.8925749E-02  0.0000000E+00
  7.8507600E+01  9.7004031E-02  7.5459523E-06  8.6269424E-02  4.8927057E-02  0.0000000E+00
  7.8507600E+01  9.1242416E-02  3.7053086E-05  8.2380043E-02  4.8929164E-02  0.0000000E+00
  7.8507600E+01  8.3385078E-02  1.1299543E-04  7.7159834E-02  4.8931768E-02  0.0000000E+00
  7.8507600E+01  7.3582120E-02  2.6391572E-04  7.0784039E-02  4.8934060E-02  0.0000000E+00
  7.8507600E+01  6.1970287E-02  5.1838314E-04  6.3414951E-02  4.8934343E-02  0.0000000E+00
  7.8507600E+01  4.8636911E-02  8.9977578E-04  5.5150127E-02  4.8929592E-02  0.0000000E+00
  7.8507600E+01  3.3911637E-02  1.4203531E-03  4.6128930E-02  4.8914952E-02  0.0000000E+00
  7.8507600E+01  1.8177222E-02  2.0756089E-03  3.6406807E-02  4.8883300E-02  0.0000000E+00
  7.8507600E+01  2.3691194E-03  2.8390772E-03  2.6209882E-02  4.8824957E-02  0.0000000E+00
  7.8507600E+01 -1.2255041E-02  3.6601735E-03  1.5869639E-02  4.8727747E-02  0.0000000E+00
  7.8507600E+01 -2.4188383E-02  4.4669565E-03  5.8861226E-03  4.8577445E-02  0.0000000E+00
  7.8507600E+01 -3.2130724E-02  5.1751383E-03 -3.1801336E-03  4.8358510E-02  0.0000000E+00
  7.8507600E+01 -3.5320471E-02  5.6982571E-03 -1.0765162E-02  4.8056359E-02  0.0000000E+00
  7.8507600E+01 -3.3792248E-02  5.9668136E-03 -1.6465574E-02  4.7657660E-02  0.0000000E+00
  7.8507600E+01 -2.8408163E-02  5.9385220E-03 -2.0099347E-02  4.7153894E-02  0.0000000E+00
  7.8507600E+01 -2.0654762E-02  5.6155779E-03 -2.1759746E-02  4.6540837E-02  0.0000000E+00
  7.8507600E+01 -1.2033098E-02  5.0377488E-03 -2.1706069E-02  4.5821842E-02  0.0000000E+00
  7.8507600E+01 -3.9179363E-03  4.2832699E-03 -2.0363005E-02  4.5004613E-02  0.0000000E+00
  7.8507600E+01  2.7757349E-03  3.4366243E-03 -1.8161373E-02  4.4103824E-02  0.0000000E+00
  7.8507600E+01  7.5543327E-03  2.5717815E-03 -1.5494835E-02  4.3137400E-02  0.0000000E+00
  7.8507600E+01  1.0309270E-02  1.7494514E-03 -1.2689222E-02  4.2128023E-02  0.0000000E+00
  7.8507600E+01  1.1239825E-02  1.0103583E-03 -9.9756655E-03  4.1097641E-02  0.0000000E+00
  7.8507600E+01  1.0705667E-02  3.8054767E-04 -7.5020818E-03  4.0068958E-02  0.0000000E+00
  7.8507600E+01  9.1556383E-03 -1.1908544E-04 -5.3336140E-03  3.9062010E-02  0.0000000E+00
  7.8507600E+01  7.0353639E-03 -4.8339483E-04 -3.4916340E-03  3.8093758E-02  0.0000000E+00
  7.8507600E+01  4.7382953E-03 -7.1973973E-04 -1.9669021E-03  3.7177695E-02  0.0000000E+00
  7.8507600E+01  2.4888993E-03 -8.5053331E-04 -7.4470084E-04  3.6322106E-02  0.0000000E+00
  7.8507600E+01  4.2059910E-04 -9.0296405E-04  1.9228087E-04  3.5532263E-02  0.0000000E+00
  7.8507600E+01 -1.3562732E-03 -8.9706135E-04  8.7428913E-04  3.4808192E-02  0.0000000E+00
  7.8507600E+01 -2.7479269E-03 -8.3513026E-04  1.3398573E-03  3.4146943E-02  0.0000000E+00
  7.8507600E+01 -3.6880471E-03 -7.0752555E-04  1.6119628E-03  3.3543356E-02  0.0000000E+00
  7.8507600E+01 -4.0681417E-03 -5.2933116E-04  1.6597885E-03  3.2989523E-02  0.0000000E+00
  7.8507600E+01 -4.0524215E-03 -3.2655329E-04  1.5081197E-03  3.2477137E-02  0.0000000E+00
  7.8507600E+01 -3.6495961E-03 -1.5190900E-04  1.2077758E-03  3.1997416E-02  0.0000000E+00
  7.8507600E+01 -3.0853761E-03 -2.6859268E-05  8.5254891E-04  3.1542068E-02  0.0000000E+00
  7.8507600E+01 -2.6252349E-03  2.7490240E-05  5.2044455E-04  3.1102655E-02  0.0000000E+00
  7.8507600E+01 -2.4497341E-03 -6.7905579E-06  2.8409801E-04  3.0672934E-02  0.0000000E+00
  7.8507600E+01 -2.5190962E-03 -1.2613023E-04  1.3925528E-04  3.0246408E-02  0.0000000E+00
