          atime           uavg           vavg           wavg         pm1avg           tavg
  2.0799350E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.2723083E-02  0.0000000E+00
  2.0799350E+02 -6.1158217E-04  2.6288545E-08  1.6988026E-06  2.2723404E-02  0.0000000E+00
  2.0799350E+02 -2.4323926E-03  4.5007815E-07  6.7960059E-06  2.2724345E-02  0.0000000E+00
  2.0799350E+02 -5.4207026E-03  2.2657960E-06  1.5293905E-05  2.2725830E-02  0.0000000E+00
  2.0799350E+02 -9.5063591E-03  6.9962249E-06  2.7193644E-05  2.2727699E-02  0.0000000E+00
  2.0799350E+02 -1.4592899E-02  1.6496811E-05  4.2500417E-05  2.2729641E-02  0.0000000E+00
  2.0799350E+02 -2.0553487E-02  3.2675748E-05  6.1210328E-05  2.2731077E-02  0.0000000E+00
  2.0799350E+02 -2.7233255E-02  5.7146498E-05  8.3314627E-05  2.2730983E-02  0.0000000E+00
  2.0799350E+02 -3.4449831E-02  9.0812858E-05  1.0879638E-04  2.2727662E-02  0.0000000E+00
  2.0799350E+02 -4.1993979E-02  1.3339241E-04  1.3762200E-04  2.2718489E-02  0.0000000E+00
  2.0799350E+02 -4.9630244E-02  1.8288818E-04  1.6972224E-04  2.2699682E-02  0.0000000E+00
  2.0799350E+02 -5.7101612E-02  2.3506895E-04  2.0497363E-04  2.2666188E-02  0.0000000E+00
  2.0799350E+02 -6.4141341E-02  2.8306484E-04  2.4320222E-04  2.2611715E-02  0.0000000E+00
  2.0799350E+02 -7.0489542E-02  3.1713811E-04  2.8422875E-04  2.2528901E-02  0.0000000E+00
  2.0799350E+02 -7.5884323E-02  3.2457754E-04  3.2775594E-04  2.2410112E-02  0.0000000E+00
  2.0799350E+02 -8.0113559E-02  2.9017183E-04  3.7371319E-04  2.2247523E-02  0.0000000E+00
  2.0799350E+02 -8.2994883E-02  1.9664146E-04  4.2216057E-04  2.2034465E-02  0.0000000E+00
  2.0799350E+02 -8.4410810E-02  2.6293654E-05  4.7394059E-04  2.1765805E-02  0.0000000E+00
  2.0799350E+02 -8.4284335E-02 -2.3911661E-04  5.2950470E-04  2.1438256E-02  0.0000000E+00
  2.0799350E+02 -8.2608958E-02 -6.1688981E-04  5.9112976E-04  2.1050610E-02  0.0000000E+00
  2.0799350E+02 -7.9420741E-02 -1.1209106E-03  6.6071608E-04  2.0604898E-02  0.0000000E+00
  2.0799350E+02 -7.4781918E-02 -1.7630634E-03  7.3914730E-04  2.0104553E-02  0.0000000E+00
  2.0799350E+02 -6.8786094E-02 -2.5508224E-03  8.2576268E-04  1.9555830E-02  0.0000000E+00
  2.0799350E+02 -6.1531840E-02 -3.4895087E-03  9.1851234E-04  1.8965554E-02  0.0000000E+00
  2.0799350E+02 -5.3131028E-02 -4.5800015E-03  1.0137107E-03  1.8342390E-02  0.0000000E+00
  2.0799350E+02 -4.3689564E-02 -5.8204628E-03  1.1064094E-03  1.7695361E-02  0.0000000E+00
  2.0799350E+02 -3.3304511E-02 -7.2062642E-03  1.1907565E-03  1.7033744E-02  0.0000000E+00
  2.0799350E+02 -2.2065363E-02 -8.7296763E-03  1.2605724E-03  1.6367024E-02  0.0000000E+00
  2.0799350E+02 -1.0034356E-02 -1.0382691E-02  1.3102214E-03  1.5703609E-02  0.0000000E+00
  2.0799350E+02  2.7250144E-03 -1.2153497E-02  1.3352795E-03  1.5052376E-02  0.0000000E+00
  2.0799350E+02  1.6182529E-02 -1.4031652E-02  1.3333977E-03  1.4420737E-02  0.0000000E+00
  2.0799350E+02  3.0316612E-02 -1.6005003E-02  1.3045857E-03  1.3815992E-02  0.0000000E+00
  2.0799350E+02  4.5108575E-02 -1.8058861E-02  1.2510558E-03  1.3245248E-02  0.0000000E+00
  2.0799350E+02  6.0580110E-02 -2.0180690E-02  1.1755924E-03  1.2713461E-02  0.0000000E+00
  2.0799350E+02  7.6742320E-02 -2.2354795E-02  1.0841896E-03  1.2226883E-02  0.0000000E+00
  2.0799350E+02  9.3627476E-02 -2.4565281E-02  9.8171720E-04  1.1789545E-02  0.0000000E+00
  2.0799350E+02  1.1126709E-01 -2.6793399E-02  8.7170169E-04  1.1405485E-02  0.0000000E+00
  2.0799350E+02  1.2972215E-01 -2.9023206E-02  7.5924727E-04  1.1078202E-02  0.0000000E+00
  2.0799350E+02  1.4899238E-01 -3.1230763E-02  6.4954093E-04  1.0812171E-02  0.0000000E+00
  2.0799350E+02  1.6911808E-01 -3.3397033E-02  5.4553173E-04  1.0610661E-02  0.0000000E+00
  2.0799350E+02  1.9017478E-01 -3.5506273E-02  4.4701201E-04  1.0476335E-02  0.0000000E+00
  2.0799350E+02  2.1216040E-01 -3.7534847E-02  3.5095637E-04  1.0411795E-02  0.0000000E+00
  2.0799350E+02  2.3509994E-01 -3.9462849E-02  2.5174513E-04  1.0418306E-02  0.0000000E+00
  2.0799350E+02  2.5904463E-01 -4.1272990E-02  1.4286755E-04  1.0496165E-02  0.0000000E+00
  2.0799350E+02  2.8390918E-01 -4.2939113E-02  2.0030838E-05  1.0643887E-02  0.0000000E+00
  2.0799350E+02  3.0970079E-01 -4.4444143E-02 -1.1732771E-04  1.0858893E-02  0.0000000E+00
  2.0799350E+02  3.3639884E-01 -4.5770113E-02 -2.6369572E-04  1.1137715E-02  0.0000000E+00
  2.0799350E+02  3.6382418E-01 -4.6893900E-02 -4.0688733E-04  1.1474697E-02  0.0000000E+00
  2.0799350E+02  3.9184104E-01 -4.7799022E-02 -5.3337534E-04  1.1864900E-02  0.0000000E+00
  2.0799350E+02  4.2031900E-01 -4.8472391E-02 -6.3873299E-04  1.2305759E-02  0.0000000E+00
