          atime         prd_uu         prd_vv         prd_ww         pm1avg           tavg
  2.0799350E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.2723083E-02  0.0000000E+00
  2.0799350E+02  6.3402918E-08  3.6234386E-10 -9.0338840E-12  2.2723404E-02  0.0000000E+00
  2.0799350E+02  2.6400859E-07  8.4636030E-10 -2.5383328E-11  2.2724345E-02  0.0000000E+00
  2.0799350E+02  1.1242887E-06  6.1862681E-10 -1.6856312E-11  2.2725830E-02  0.0000000E+00
  2.0799350E+02  4.7213967E-06 -2.5139982E-10  6.9250368E-11  2.2727699E-02  0.0000000E+00
  2.0799350E+02  1.5180757E-05 -5.3453276E-09  3.0223687E-10  2.2729641E-02  0.0000000E+00
  2.0799350E+02  3.7345096E-05 -4.2454293E-08  7.5736567E-10  2.2731077E-02  0.0000000E+00
  2.0799350E+02  7.2894568E-05 -2.1274310E-07  1.4951438E-09  2.2730983E-02  0.0000000E+00
  2.0799350E+02  1.1437828E-04 -7.7560769E-07  2.5297040E-09  2.2727662E-02  0.0000000E+00
  2.0799350E+02  1.3914375E-04 -2.2555211E-06  3.7925961E-09  2.2718489E-02  0.0000000E+00
  2.0799350E+02  1.0653725E-04 -5.5139001E-06  5.1100703E-09  2.2699682E-02  0.0000000E+00
  2.0799350E+02 -3.7614896E-05 -1.1665241E-05  6.2251667E-09  2.2666188E-02  0.0000000E+00
  2.0799350E+02 -3.4650333E-04 -2.1659538E-05  6.8943158E-09  2.2611715E-02  0.0000000E+00
  2.0799350E+02 -8.4889790E-04 -3.5352238E-05  7.0410833E-09  2.2528901E-02  0.0000000E+00
  2.0799350E+02 -1.5192692E-03 -4.9922297E-05  6.8148233E-09  2.2410112E-02  0.0000000E+00
  2.0799350E+02 -2.2613398E-03 -5.8240229E-05  6.0841042E-09  2.2247523E-02  0.0000000E+00
  2.0799350E+02 -2.9107696E-03 -4.8369894E-05  2.2676284E-09  2.2034465E-02  0.0000000E+00
  2.0799350E+02 -3.2591047E-03 -1.8392023E-06 -8.4434677E-09  2.1765805E-02  0.0000000E+00
  2.0799350E+02 -3.0897478E-03  1.0264453E-04 -3.6503624E-08  2.1438256E-02  0.0000000E+00
  2.0799350E+02 -2.2541331E-03  2.9041365E-04 -1.0339329E-07  2.1050610E-02  0.0000000E+00
  2.0799350E+02 -6.6054770E-04  5.8516831E-04 -2.1668426E-07  2.0604898E-02  0.0000000E+00
  2.0799350E+02  1.7177362E-03  1.0042582E-03 -3.6907587E-07  2.0104553E-02  0.0000000E+00
  2.0799350E+02  4.8416917E-03  1.5558395E-03 -5.3843218E-07  1.9555830E-02  0.0000000E+00
  2.0799350E+02  8.6309344E-03  2.2396275E-03 -6.9161189E-07  1.8965554E-02  0.0000000E+00
  2.0799350E+02  1.2977170E-02  3.0453384E-03 -7.9013497E-07  1.8342390E-02  0.0000000E+00
  2.0799350E+02  1.7775184E-02  3.9546176E-03 -7.9924157E-07  1.7695361E-02  0.0000000E+00
  2.0799350E+02  2.2943636E-02  4.9423627E-03 -6.9828471E-07  1.7033744E-02  0.0000000E+00
  2.0799350E+02  2.8437080E-02  5.9784160E-03 -4.9167579E-07  1.6367024E-02  0.0000000E+00
  2.0799350E+02  3.4257083E-02  7.0316727E-03 -2.1736974E-07  1.5703609E-02  0.0000000E+00
  2.0799350E+02  4.0427458E-02  8.0698780E-03  4.9201868E-08  1.5052376E-02  0.0000000E+00
  2.0799350E+02  4.6992918E-02  9.0644814E-03  2.0235317E-07  1.4420737E-02  0.0000000E+00
  2.0799350E+02  5.3997353E-02  9.9891556E-03  1.2742851E-07  1.3815992E-02  0.0000000E+00
  2.0799350E+02  6.1510276E-02  1.0818787E-02 -2.5408938E-07  1.3245248E-02  0.0000000E+00
  2.0799350E+02  6.9710912E-02  1.1531674E-02 -8.1008325E-07  1.2713461E-02  0.0000000E+00
  2.0799350E+02  7.8589460E-02  1.2105509E-02 -1.7047801E-06  1.2226883E-02  0.0000000E+00
  2.0799350E+02  8.8333738E-02  1.2508821E-02 -2.8194857E-06  1.1789545E-02  0.0000000E+00
  2.0799350E+02  9.8970100E-02  1.2729767E-02 -3.4941672E-06  1.1405485E-02  0.0000000E+00
  2.0799350E+02  1.1051802E-01  1.2760739E-02 -3.6118541E-06  1.1078202E-02  0.0000000E+00
  2.0799350E+02  1.2292655E-01  1.2598274E-02 -3.3919025E-06  1.0812171E-02  0.0000000E+00
  2.0799350E+02  1.3612919E-01  1.2243632E-02 -3.1871201E-06  1.0610661E-02  0.0000000E+00
  2.0799350E+02  1.5003438E-01  1.1700667E-02 -3.3054470E-06  1.0476335E-02  0.0000000E+00
  2.0799350E+02  1.6444134E-01  1.0978168E-02 -3.8844192E-06  1.0411795E-02  0.0000000E+00
  2.0799350E+02  1.7910122E-01  1.0087303E-02 -4.8322607E-06  1.0418306E-02  0.0000000E+00
  2.0799350E+02  1.9370883E-01  9.0399437E-03 -5.8525412E-06  1.0496165E-02  0.0000000E+00
  2.0799350E+02  2.0780419E-01  7.8556906E-03 -6.5376527E-06  1.0643887E-02  0.0000000E+00
  2.0799350E+02  2.2092212E-01  6.5520820E-03 -6.5388235E-06  1.0858893E-02  0.0000000E+00
  2.0799350E+02  2.3253096E-01  5.1505190E-03 -5.7312174E-06  1.1137715E-02  0.0000000E+00
  2.0799350E+02  2.4202870E-01  3.6862516E-03 -4.3367515E-06  1.1474697E-02  0.0000000E+00
  2.0799350E+02  2.4891373E-01  2.2024299E-03 -2.8562067E-06  1.1864900E-02  0.0000000E+00
  2.0799350E+02  2.5285519E-01  7.5950762E-04 -1.6592946E-06  1.2305759E-02  0.0000000E+00
  2.0799350E+02  2.5344001E-01 -6.5458474E-04 -4.3382716E-07  1.2783452E-02  0.0000000E+00
  2.0799350E+02  2.5027594E-01 -1.9179448E-03 -8.2788015E-09  1.3291442E-02  0.0000000E+00
  2.0799350E+02  2.4370910E-01 -3.0227543E-03  2.0669584E-07  1.3820068E-02  0.0000000E+00
  2.0799350E+02  2.3416091E-01 -3.9760438E-03  5.0342476E-07  1.4355795E-02  0.0000000E+00
  2.0799350E+02  2.2208147E-01 -4.7798654E-03  8.7135011E-07  1.4887567E-02  0.0000000E+00
  2.0799350E+02  2.0802808E-01 -5.4283645E-03  1.1657572E-06  1.5402340E-02  0.0000000E+00
  2.0799350E+02  1.9249907E-01 -5.9204843E-03  1.2446621E-06  1.5891304E-02  0.0000000E+00
  2.0799350E+02  1.7598993E-01 -6.2561950E-03  1.0485214E-06  1.6346002E-02  0.0000000E+00
  2.0799350E+02  1.5911749E-01 -6.4384013E-03  6.3781098E-07  1.6755437E-02  0.0000000E+00
  2.0799350E+02  1.4238842E-01 -6.4797090E-03  1.7475469E-07  1.7112564E-02  0.0000000E+00
  2.0799350E+02  1.2618288E-01 -6.3990597E-03 -1.3900206E-07  1.7413339E-02  0.0000000E+00
  2.0799350E+02  1.1101426E-01 -6.2222366E-03 -1.4259483E-07  1.7652017E-02  0.0000000E+00
  2.0799350E+02  9.7116757E-02 -5.9771135E-03  1.8773413E-07  1.7828758E-02  0.0000000E+00
  2.0799350E+02  8.4681351E-02 -5.6895499E-03  6.8817433E-07  1.7944608E-02  0.0000000E+00
  2.0799350E+02  7.3918068E-02 -5.3804081E-03  1.0200098E-06  1.8001569E-02  0.0000000E+00
  2.0799350E+02  6.4698181E-02 -5.0467773E-03  8.4885760E-07  1.8003787E-02  0.0000000E+00
  2.0799350E+02  5.6816788E-02 -4.6691091E-03  1.4857377E-07  1.7954408E-02  0.0000000E+00
  2.0799350E+02  5.0120406E-02 -4.2993159E-03 -4.2971641E-07  1.7859773E-02  0.0000000E+00
  2.0799350E+02  4.4657609E-02 -3.9539172E-03 -5.9117375E-07  1.7723840E-02  0.0000000E+00
  2.0799350E+02  4.0198273E-02 -3.6291961E-03 -4.4769757E-07  1.7552212E-02  0.0000000E+00
  2.0799350E+02  3.6548953E-02 -3.3206927E-03 -1.4359260E-07  1.7349455E-02  0.0000000E+00
  2.0799350E+02  3.3581269E-02 -3.0277286E-03  1.7583170E-07  1.7121770E-02  0.0000000E+00
  2.0799350E+02  3.1154441E-02 -2.7476187E-03  3.9745809E-07  1.6872537E-02  0.0000000E+00
  2.0799350E+02  2.9179713E-02 -2.4822315E-03  4.4968355E-07  1.6606971E-02  0.0000000E+00
  2.0799350E+02  2.7579320E-02 -2.2343225E-03  3.1292878E-07  1.6329680E-02  0.0000000E+00
  2.0799350E+02  2.6291116E-02 -2.0077759E-03  1.7335873E-08  1.6045472E-02  0.0000000E+00
  2.0799350E+02  2.5258645E-02 -1.8054637E-03 -3.6899169E-07  1.5757889E-02  0.0000000E+00
  2.0799350E+02  2.4431633E-02 -1.6284061E-03 -7.5860664E-07  1.5468910E-02  0.0000000E+00
  2.0799350E+02  2.3768773E-02 -1.4757981E-03 -1.0636704E-06  1.5179985E-02  0.0000000E+00
  2.0799350E+02  2.3237400E-02 -1.3448272E-03 -1.2180634E-06  1.4892650E-02  0.0000000E+00
  2.0799350E+02  2.2809677E-02 -1.2300514E-03 -1.1980785E-06  1.4605511E-02  0.0000000E+00
  2.0799350E+02  2.2474556E-02 -1.1277409E-03 -1.0280861E-06  1.4318662E-02  0.0000000E+00
  2.0799350E+02  2.2242240E-02 -1.0404153E-03 -7.7747656E-07  1.4035293E-02  0.0000000E+00
  2.0799350E+02  2.2104971E-02 -9.7367349E-04 -5.3842136E-07  1.3752458E-02  0.0000000E+00
  2.0799350E+02  2.1982712E-02 -9.1858596E-04 -1.3502143E-07  1.3472960E-02  0.0000000E+00
  2.0799350E+02  2.1826004E-02 -8.7009532E-04  5.4665324E-08  1.3197693E-02  0.0000000E+00
  2.0799350E+02  2.1611657E-02 -8.2491745E-04 -1.0282162E-07  1.2925357E-02  0.0000000E+00
  2.0799350E+02  2.1334889E-02 -7.8139214E-04 -5.5525388E-07  1.2655647E-02  0.0000000E+00
  2.0799350E+02  2.1002031E-02 -7.3900073E-04 -1.1544331E-06  1.2389097E-02  0.0000000E+00
  2.0799350E+02  2.0622538E-02 -6.9772618E-04 -1.7312438E-06  1.2125474E-02  0.0000000E+00
  2.0799350E+02  2.0206163E-02 -6.5794616E-04 -2.1429436E-06  1.1865148E-02  0.0000000E+00
  2.0799350E+02  1.9761396E-02 -6.2020080E-04 -2.3044264E-06  1.1609366E-02  0.0000000E+00
  2.0799350E+02  1.9289539E-02 -5.8456644E-04 -2.2025149E-06  1.1357323E-02  0.0000000E+00
  2.0799350E+02  1.8789909E-02 -5.5096775E-04 -1.8867305E-06  1.1108906E-02  0.0000000E+00
  2.0799350E+02  1.8262328E-02 -5.1911057E-04 -1.4546085E-06  1.0864539E-02  0.0000000E+00
  2.0799350E+02  1.7704890E-02 -4.8821755E-04 -1.0178487E-06  1.0622566E-02  0.0000000E+00
  2.0799350E+02  1.7125936E-02 -4.5768178E-04 -6.7334047E-07  1.0382843E-02  0.0000000E+00
  2.0799350E+02  1.6542437E-02 -4.2698870E-04 -4.6381257E-07  1.0143909E-02  0.0000000E+00
  2.0799350E+02  1.5989565E-02 -3.9637485E-04 -3.5343925E-07  9.9050456E-03  0.0000000E+00
  2.0799350E+02  1.5509878E-02 -3.6918774E-04 -2.3146659E-07  9.6656185E-03  0.0000000E+00
  2.0799350E+02  1.4995279E-02 -3.4400443E-04 -1.6249399E-07  9.4255811E-03  0.0000000E+00
  2.0799350E+02  1.4436018E-02 -3.1544865E-04 -1.2639684E-07  9.1860465E-03  0.0000000E+00
  2.0799350E+02  1.3864009E-02 -2.8618917E-04 -8.3360916E-08  8.9488650E-03  0.0000000E+00
  2.0799350E+02  1.3300705E-02 -2.5818512E-04 -2.1175535E-08  8.7143304E-03  0.0000000E+00
  2.0799350E+02  1.2760056E-02 -2.3272560E-04  5.6177554E-08  8.4822858E-03  0.0000000E+00
  2.0799350E+02  1.2254425E-02 -2.1067103E-04  1.3673132E-07  8.2543896E-03  0.0000000E+00
  2.0799350E+02  1.1786794E-02 -1.9211394E-04  2.0851982E-07  8.0305342E-03  0.0000000E+00
  2.0799350E+02  1.1356455E-02 -1.7674184E-04  2.6349769E-07  7.8109006E-03  0.0000000E+00
  2.0799350E+02  1.0958538E-02 -1.6394328E-04  3.0002580E-07  7.5952972E-03  0.0000000E+00
  2.0799350E+02  1.0587881E-02 -1.5307353E-04  3.2287131E-07  7.3847075E-03  0.0000000E+00
  2.0799350E+02  1.0236311E-02 -1.4349532E-04  3.4178209E-07  7.1792031E-03  0.0000000E+00
  2.0799350E+02  9.8971699E-03 -1.3480163E-04  3.6753927E-07  6.9797646E-03  0.0000000E+00
  2.0799350E+02  9.5634894E-03 -1.2677229E-04  4.0693479E-07  6.7865435E-03  0.0000000E+00
  2.0799350E+02  9.2333408E-03 -1.1940089E-04  4.5561215E-07  6.6012876E-03  0.0000000E+00
  2.0799350E+02  8.9048106E-03 -1.1251907E-04  4.9087324E-07  6.4237954E-03  0.0000000E+00
  2.0799350E+02  8.5804880E-03 -1.0546092E-04  4.6248025E-07  6.2539047E-03  0.0000000E+00
  2.0799350E+02  8.2515924E-03 -9.7921855E-05  2.7752887E-07  6.0908626E-03  0.0000000E+00
  2.0799350E+02  7.9125574E-03 -8.9747501E-05  1.2215962E-07  5.9336757E-03  0.0000000E+00
  2.0799350E+02  7.5842924E-03 -8.1657909E-05  3.6350300E-08  5.7818185E-03  0.0000000E+00
  2.0799350E+02  7.2728959E-03 -7.4475251E-05  3.4549799E-09  5.6341381E-03  0.0000000E+00
  2.0799350E+02  6.9791077E-03 -6.8660318E-05  6.0893631E-09  5.4906504E-03  0.0000000E+00
  2.0799350E+02  6.6984008E-03 -6.4277971E-05  2.8535523E-08  5.3508751E-03  0.0000000E+00
  2.0799350E+02  6.4257750E-03 -6.1134402E-05  5.8417094E-08  5.2148140E-03  0.0000000E+00
