          atime         pst_uu         pst_vv         pst_ww         pm1avg           tavg
  2.0799350E+02  2.9340418E-17 -1.2307807E-05  1.1093256E-33  2.2723083E-02  0.0000000E+00
  2.0799350E+02 -6.0913141E-04  1.0097406E-03 -4.0899700E-04  2.2723404E-02  0.0000000E+00
  2.0799350E+02 -2.4059932E-03  4.0225412E-03 -1.6157782E-03  2.2724345E-02  0.0000000E+00
  2.0799350E+02 -5.3004630E-03  8.8706094E-03 -3.5609584E-03  2.2725830E-02  0.0000000E+00
  2.0799350E+02 -9.1463310E-03  1.5307179E-02 -6.1490499E-03  2.2727699E-02  0.0000000E+00
  2.0799350E+02 -1.3749796E-02  2.3013275E-02 -9.2552442E-03  2.2729641E-02  0.0000000E+00
  2.0799350E+02 -1.8874212E-02  3.1607277E-02 -1.2729823E-02  2.2731077E-02  0.0000000E+00
  2.0799350E+02 -2.4252448E-02  4.0662833E-02 -1.6407571E-02  2.2730983E-02  0.0000000E+00
  2.0799350E+02 -2.9598236E-02  4.9722787E-02 -2.0116107E-02  2.2727662E-02  0.0000000E+00
  2.0799350E+02 -3.4618043E-02  5.8316202E-02 -2.3683809E-02  2.2718489E-02  0.0000000E+00
  2.0799350E+02 -3.9023564E-02  6.5982598E-02 -2.6947047E-02  2.2699682E-02  0.0000000E+00
  2.0799350E+02 -4.2547806E-02  7.2307107E-02 -2.9758466E-02  2.2666188E-02  0.0000000E+00
  2.0799350E+02 -4.4964912E-02  7.6957034E-02 -3.1996683E-02  2.2611715E-02  0.0000000E+00
  2.0799350E+02 -4.6108547E-02  7.9695518E-02 -3.3574811E-02  2.2528901E-02  0.0000000E+00
  2.0799350E+02 -4.5886256E-02  8.0358555E-02 -3.4441806E-02  2.2410112E-02  0.0000000E+00
  2.0799350E+02 -4.4297728E-02  7.8875192E-02 -3.4594991E-02  2.2247523E-02  0.0000000E+00
  2.0799350E+02 -4.1437095E-02  7.5486096E-02 -3.4071950E-02  2.2034465E-02  0.0000000E+00
  2.0799350E+02 -3.7474926E-02  7.0491979E-02 -3.2950673E-02  2.1765805E-02  0.0000000E+00
  2.0799350E+02 -3.2658444E-02  6.3989070E-02 -3.1348205E-02  2.1438256E-02  0.0000000E+00
  2.0799350E+02 -2.7236176E-02  5.6596200E-02 -2.9383971E-02  2.1050610E-02  0.0000000E+00
  2.0799350E+02 -2.1461281E-02  4.8651876E-02 -2.7193509E-02  2.0604898E-02  0.0000000E+00
  2.0799350E+02 -1.5557143E-02  4.0484639E-02 -2.4912832E-02  2.0104553E-02  0.0000000E+00
  2.0799350E+02 -9.7215185E-03  3.2415616E-02 -2.2677627E-02  1.9555830E-02  0.0000000E+00
  2.0799350E+02 -4.0936128E-03  2.4705621E-02 -2.0607416E-02  1.8965554E-02  0.0000000E+00
  2.0799350E+02  1.2309950E-03  1.7565289E-02 -1.8807400E-02  1.8342390E-02  0.0000000E+00
  2.0799350E+02  6.2087565E-03  1.1131961E-02 -1.7361121E-02  1.7695361E-02  0.0000000E+00
  2.0799350E+02  1.0836864E-02  5.4753254E-03 -1.6330833E-02  1.7033744E-02  0.0000000E+00
  2.0799350E+02  1.5140503E-02  6.0844906E-04 -1.5758315E-02  1.6367024E-02  0.0000000E+00
  2.0799350E+02  1.9168313E-02 -3.5043495E-03 -1.5665686E-02  1.5703609E-02  0.0000000E+00
  2.0799350E+02  2.2973318E-02 -6.9180713E-03 -1.6058297E-02  1.5052376E-02  0.0000000E+00
  2.0799350E+02  2.6622371E-02 -9.7065589E-03 -1.6925301E-02  1.4420737E-02  0.0000000E+00
  2.0799350E+02  3.0194389E-02 -1.1959220E-02 -1.8238033E-02  1.3815992E-02  0.0000000E+00
  2.0799350E+02  3.3795234E-02 -1.3823058E-02 -1.9941441E-02  1.3245248E-02  0.0000000E+00
  2.0799350E+02  3.7536734E-02 -1.5515323E-02 -2.1978195E-02  1.2713461E-02  0.0000000E+00
  2.0799350E+02  4.1363976E-02 -1.6963363E-02 -2.4369150E-02  1.2226883E-02  0.0000000E+00
  2.0799350E+02  4.5493372E-02 -1.8524389E-02 -2.6947511E-02  1.1789545E-02  0.0000000E+00
  2.0799350E+02  4.9947943E-02 -2.0262554E-02 -2.9666915E-02  1.1405485E-02  0.0000000E+00
