          atime         ptr_uu         ptr_vv         ptr_ww         pm1avg           tavg
  2.0799350E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.2723083E-02  0.0000000E+00
  2.0799350E+02  5.6845995E-04 -1.8834378E-07  4.0899699E-04  2.2723404E-02  0.0000000E+00
  2.0799350E+02  2.2408875E-03 -3.3333324E-06  1.6157782E-03  2.2724345E-02  0.0000000E+00
  2.0799350E+02  4.9200662E-03 -1.6487299E-05  3.5609583E-03  2.2725830E-02  0.0000000E+00
  2.0799350E+02  8.4485612E-03 -4.9275523E-05  6.1490499E-03  2.2727699E-02  0.0000000E+00
  2.0799350E+02  1.2617819E-02 -1.1128764E-04  9.2552441E-03  2.2729641E-02  0.0000000E+00
  2.0799350E+02  1.7174278E-02 -2.0935585E-04  1.2729823E-02  2.2731077E-02  0.0000000E+00
  2.0799350E+02  2.1832941E-02 -3.4555612E-04  1.6407571E-02  2.2730983E-02  0.0000000E+00
  2.0799350E+02  2.6290565E-02 -5.1650586E-04  2.0116107E-02  2.2727662E-02  0.0000000E+00
  2.0799350E+02  3.0240116E-02 -7.1425167E-04  2.3683809E-02  2.2718489E-02  0.0000000E+00
  2.0799350E+02  3.3387018E-02 -9.2860021E-04  2.6947047E-02  2.2699682E-02  0.0000000E+00
  2.0799350E+02  3.5469681E-02 -1.1504022E-03  2.9758466E-02  2.2666188E-02  0.0000000E+00
  2.0799350E+02  3.6283064E-02 -1.3749044E-03  3.1996683E-02  2.2611715E-02  0.0000000E+00
  2.0799350E+02  3.5698311E-02 -1.6039968E-03  3.3574811E-02  2.2528901E-02  0.0000000E+00
  2.0799350E+02  3.3683259E-02 -1.8453235E-03  3.4441806E-02  2.2410112E-02  0.0000000E+00
  2.0799350E+02  3.0305012E-02 -2.1115939E-03  3.4594990E-02  2.2247523E-02  0.0000000E+00
  2.0799350E+02  2.5732821E-02 -2.4168003E-03  3.4071949E-02  2.2034465E-02  0.0000000E+00
  2.0799350E+02  2.0198915E-02 -2.7875493E-03  3.2950672E-02  2.1765805E-02  0.0000000E+00
  2.0799350E+02  1.4014278E-02 -3.2380837E-03  3.1348205E-02  2.1438256E-02  0.0000000E+00
  2.0799350E+02  7.4507172E-03 -3.7789207E-03  2.9383971E-02  2.1050610E-02  0.0000000E+00
  2.0799350E+02  7.6864872E-04 -4.4164757E-03  2.7193509E-02  2.0604898E-02  0.0000000E+00
  2.0799350E+02 -5.8164433E-03 -5.1445411E-03  2.4912832E-02  2.0104553E-02  0.0000000E+00
  2.0799350E+02 -1.2127335E-02 -5.9388516E-03  2.2677627E-02  1.9555830E-02  0.0000000E+00
