          atime         tdf_uu         tdf_vv         tdf_ww         pm1avg           tavg
  2.0799350E+02  2.9548848E-05  5.7758521E-07  8.4382310E-06  2.2723083E-02  0.0000000E+00
  2.0799350E+02  2.3837810E-05  4.5784902E-07  6.7879172E-06  2.2723404E-02  0.0000000E+00
  2.0799350E+02  1.0190789E-05  1.8440132E-07  3.0458085E-06  2.2724345E-02  0.0000000E+00
  2.0799350E+02 -9.4175882E-07 -5.8228291E-08  2.0871168E-06  2.2725830E-02  0.0000000E+00
  2.0799350E+02  7.6263994E-06 -1.1708537E-07  1.5304753E-05  2.2727699E-02  0.0000000E+00
  2.0799350E+02  5.8832767E-05  1.7453950E-07  6.2696256E-05  2.2729641E-02  0.0000000E+00
  2.0799350E+02  1.7891424E-04  1.5105378E-06  1.7111674E-04  2.2731077E-02  0.0000000E+00
  2.0799350E+02  3.9308064E-04  6.3163371E-06  3.6629476E-04  2.2730983E-02  0.0000000E+00
  2.0799350E+02  7.1972032E-04  2.0654334E-05  6.5821320E-04  2.2727662E-02  0.0000000E+00
  2.0799350E+02  1.1648204E-03  5.6503906E-05  1.0225727E-03  2.2718489E-02  0.0000000E+00
  2.0799350E+02  1.7200114E-03  1.3366962E-04  1.3847388E-03  2.2699682E-02  0.0000000E+00
  2.0799350E+02  2.3695537E-03  2.8019538E-04  1.6161852E-03  2.2666188E-02  0.0000000E+00
  2.0799350E+02  3.1117802E-03  5.3018604E-04  1.5542175E-03  2.2611715E-02  0.0000000E+00
  2.0799350E+02  3.9958361E-03  9.1874009E-04  1.0498154E-03  2.2528901E-02  0.0000000E+00
  2.0799350E+02  5.1556910E-03  1.4722153E-03  4.1023236E-05  2.2410112E-02  0.0000000E+00
  2.0799350E+02  6.8113190E-03  2.2032031E-03 -1.3884115E-03  2.2247523E-02  0.0000000E+00
  2.0799350E+02  9.1129263E-03  3.1085076E-03 -3.0262305E-03  2.2034465E-02  0.0000000E+00
  2.0799350E+02  1.2018149E-02  4.1696110E-03 -4.7086522E-03  2.1765805E-02  0.0000000E+00
  2.0799350E+02  1.5465927E-02  5.3390757E-03 -6.0180174E-03  2.1438256E-02  0.0000000E+00
  2.0799350E+02  1.9098695E-02  6.5735186E-03 -6.7817850E-03  2.1050610E-02  0.0000000E+00
  2.0799350E+02  2.2609902E-02  7.8140058E-03 -6.9350683E-03  2.0604898E-02  0.0000000E+00
  2.0799350E+02  2.5731168E-02  8.9994655E-03 -6.4704512E-03  2.0104553E-02  0.0000000E+00
  2.0799350E+02  2.8248972E-02  1.0065776E-02 -5.4412486E-03  1.9555830E-02  0.0000000E+00
  2.0799350E+02  3.0037855E-02  1.0953487E-02 -3.9554737E-03  1.8965554E-02  0.0000000E+00
  2.0799350E+02  3.1061740E-02  1.1607098E-02 -2.1663528E-03  1.8342390E-02  0.0000000E+00
  2.0799350E+02  3.1374334E-02  1.1979353E-02 -2.5191194E-04  1.7695361E-02  0.0000000E+00
  2.0799350E+02  3.1096939E-02  1.2032253E-02  1.6075207E-03  1.7033744E-02  0.0000000E+00
  2.0799350E+02  3.0382874E-02  1.1738479E-02  3.2532306E-03  1.6367024E-02  0.0000000E+00
  2.0799350E+02  2.9369660E-02  1.1081927E-02  4.5725393E-03  1.5703609E-02  0.0000000E+00
  2.0799350E+02  2.8135682E-02  1.0060099E-02  5.5078104E-03  1.5052376E-02  0.0000000E+00
  2.0799350E+02  2.6675223E-02  8.6849106E-03  6.0563374E-03  1.4420737E-02  0.0000000E+00
  2.0799350E+02  2.4937040E-02  6.9900418E-03  6.2384150E-03  1.3815992E-02  0.0000000E+00
  2.0799350E+02  2.2974561E-02  5.0450458E-03  6.0349436E-03  1.3245248E-02  0.0000000E+00
