          atime           conv           prod        pres_tr        pres_df        garbage
  2.0799350E+02  1.1730828E-06  0.0000000E+00  0.0000000E+00 -7.6248679E-06 -7.7175404E-05
  2.0799350E+02  9.4278922E-07  3.1878114E-08  4.8863430E-04  4.8303455E-04 -6.5147471E-05
  2.0799350E+02  3.1541507E-07  1.3241478E-07  1.9266662E-03  1.9256752E-03 -3.7868114E-05
  2.0799350E+02 -9.6391302E-07  5.6244522E-07  4.2322686E-03  4.2350810E-03 -1.5272600E-05
  2.0799350E+02 -4.6878002E-06  2.3606073E-06  7.2741678E-03  7.2770428E-03 -1.3376841E-05
  2.0799350E+02 -1.5852307E-05  7.5878571E-06  1.0880888E-02  1.0879744E-02 -3.1276185E-05
  2.0799350E+02 -4.4262155E-05  1.8651700E-05  1.4847372E-02  1.4840691E-02 -5.0579261E-05
  2.0799350E+02 -1.0550075E-04  3.6341660E-05  1.8947478E-02  1.8937166E-02 -5.0068342E-05
  2.0799350E+02 -2.2072392E-04  5.6802603E-05  2.2945083E-02  2.2934181E-02 -2.6507962E-05
  2.0799350E+02 -4.1489109E-04  6.8446009E-05  2.6604836E-02  2.6593572E-02 -3.5185535E-06
  2.0799350E+02 -7.1326290E-04  5.0514228E-05  2.9702732E-02  2.9686805E-02 -1.3087733E-05
  2.0799350E+02 -1.1364662E-03 -2.4636956E-05  3.2038873E-02  3.2013515E-02 -5.4357719E-05
  2.0799350E+02 -1.6952375E-03 -1.8407799E-04  3.3452421E-02  3.3420573E-02 -6.8518134E-05
  2.0799350E+02 -2.3865800E-03 -4.4212155E-04  3.3834562E-02  3.3808686E-02  8.0076030E-06
  2.0799350E+02 -3.1887914E-03 -7.8459236E-04  3.3139870E-02  3.3123526E-02  9.3932920E-05
  2.0799350E+02 -4.0668374E-03 -1.1597870E-03  3.1394204E-02  3.1355824E-02 -7.7942362E-05
  2.0799350E+02 -4.9722285E-03 -1.4795686E-03  2.8693985E-02  2.8650548E-02 -1.0859812E-04
  2.0799350E+02 -5.8483178E-03 -1.6304762E-03  2.5181019E-02  2.5189098E-02  2.4813832E-04
  2.0799350E+02 -6.6527166E-03 -1.4935699E-03  2.1062200E-02  2.1041460E-02 -6.1317711E-05
  2.0799350E+02 -7.3393655E-03 -9.8191143E-04  1.6527884E-02  1.6517458E-02 -9.6763934E-05
  2.0799350E+02 -7.8682870E-03 -3.7798038E-05  1.1772841E-02  1.1789269E-02 -2.5342963E-05
  2.0799350E+02 -8.2172745E-03  1.3608127E-03  6.9759239E-03  7.0188778E-03  4.2401158E-05
  2.0799350E+02 -8.3806176E-03  3.1984964E-03  2.3057199E-03  2.3649342E-03  5.4327688E-05
  2.0799350E+02 -8.3685128E-03  5.4349352E-03 -2.1053011E-03 -2.0429357E-03  8.3245298E-06
  2.0799350E+02 -8.2025330E-03  8.0108593E-03 -6.1494452E-03 -6.0940939E-03 -6.5115771E-05
  2.0799350E+02 -7.9113281E-03  1.0864501E-02 -9.7528343E-03 -9.7083501E-03 -1.2514583E-04
  2.0799350E+02 -7.5261168E-03  1.3942650E-02 -1.2870207E-02 -1.2834050E-02 -1.4235411E-04
  2.0799350E+02 -7.0777582E-03  1.7207502E-02 -1.5480215E-02 -1.5446791E-02 -1.1380209E-04
  2.0799350E+02 -6.5946693E-03  2.0644269E-02 -1.7585914E-02 -1.7552404E-02 -6.5204140E-05
