          atime        pres_st        turb_df           diss        visc_df        garbage
  2.0799350E+02 -6.1539034E-06  1.9282332E-05 -1.0756217E-01  1.0708669E-01  0.0000000E+00
  2.0799350E+02 -4.1939184E-06  1.5541788E-05 -1.0659989E-01  1.0567675E-01  3.1878114E-08
  2.0799350E+02  3.8486383E-07  6.7104992E-06 -1.0377114E-01  1.0152101E-01  1.3241478E-07
  2.0799350E+02  4.5940324E-06  5.4356483E-07 -9.9242992E-02  9.4832897E-02  5.6244522E-07
  2.0799350E+02  5.8989218E-06  1.1407034E-05 -9.3273267E-02  8.5944529E-02  2.3606073E-06
  2.0799350E+02  4.1174685E-06  6.0851782E-05 -8.6181182E-02  7.5276352E-02  7.5878571E-06
  2.0799350E+02  1.6210998E-06  1.7577076E-04 -7.8326073E-02  6.3326096E-02  1.8651700E-05
  2.0799350E+02  1.4069879E-06  3.8284587E-04 -7.0081390E-02  5.0653194E-02  3.6341660E-05
  2.0799350E+02  4.2216249E-06  6.9929393E-04 -6.1818986E-02  3.7870602E-02  5.6802603E-05
  2.0799350E+02  7.1753997E-06  1.1219485E-03 -5.3898873E-02  2.5624615E-02  6.8446009E-05
  2.0799350E+02  5.9932452E-06  1.6192099E-03 -4.6658700E-02  1.4547994E-02  5.0514228E-05
  2.0799350E+02  4.1727117E-07  2.1329672E-03 -4.0392403E-02  5.1808632E-03 -2.4636956E-05
  2.0799350E+02 -2.2801541E-06  2.5980918E-03 -3.5314406E-02 -2.1118962E-03 -1.8407799E-04
  2.0799350E+02  6.0799942E-06  2.9821958E-03 -3.1520071E-02 -7.1647841E-03 -4.4212155E-04
  2.0799350E+02  1.5246832E-05  3.3344648E-03 -2.8972171E-02 -9.9346094E-03 -7.8459236E-04
  2.0799350E+02 -8.7637551E-06  3.8130553E-03 -2.7484248E-02 -1.0521927E-02 -1.1597870E-03
  2.0799350E+02 -1.1474622E-05  4.5976017E-03 -2.6776949E-02 -9.7791787E-03 -1.4795686E-03
  2.0799350E+02  3.3189916E-05  5.7395540E-03 -2.6596626E-02 -8.6979716E-03 -1.6304762E-03
  2.0799350E+02 -8.7900237E-06  7.3934926E-03 -2.6630027E-02 -7.0173122E-03 -1.4935699E-03
  2.0799350E+02 -1.1973851E-05  9.4452142E-03 -2.6739901E-02 -5.6102950E-03 -9.8191143E-04
  2.0799350E+02 -1.4575774E-06  1.1744420E-02 -2.6893948E-02 -4.4828130E-03 -3.7798038E-05
  2.0799350E+02  7.3318436E-06  1.4130091E-02 -2.7084996E-02 -3.6160018E-03  1.3608127E-03
  2.0799350E+02  8.2351080E-06  1.6436750E-02 -2.7327770E-02 -2.9708993E-03  3.1984964E-03
  2.0799350E+02  2.2960831E-06  1.8517934E-02 -2.7652727E-02 -2.4896754E-03  5.4349352E-03
  2.0799350E+02 -5.5580116E-06  2.0251242E-02 -2.8095397E-02 -2.1065023E-03  8.0108593E-03
  2.0799350E+02 -1.0201837E-05  2.1550887E-02 -2.8685962E-02 -1.7580673E-03  1.0864501E-02
  2.0799350E+02 -9.3216584E-06  2.2368357E-02 -2.9439865E-02 -1.3977375E-03  1.3942650E-02
  2.0799350E+02 -4.6814168E-06  2.2687292E-02 -3.0352416E-02 -1.0091138E-03  1.7207502E-02
  2.0799350E+02 -8.6132713E-07  2.2512063E-02 -3.1401707E-02 -6.1419876E-04  2.0644269E-02
  2.0799350E+02 -1.5251458E-06  2.1851795E-02 -3.2554582E-02 -2.7184437E-04  2.4248692E-02
  2.0799350E+02 -4.7442541E-06  2.0708235E-02 -3.3781841E-02 -5.3185490E-05  2.8028801E-02
  2.0799350E+02 -1.4322663E-06  1.9082748E-02 -3.5063431E-02  1.5416692E-05  3.1993318E-02
  2.0799350E+02  1.5367610E-05  1.7027275E-02 -3.6373082E-02  6.3678104E-05  3.6164404E-02
  2.0799350E+02  2.1608020E-05  1.4646177E-02 -3.7753155E-02  2.9561792E-04  4.0620888E-02
  2.0799350E+02  1.5731282E-05  1.1715221E-02 -3.9221899E-02 -9.6784018E-05  4.5346632E-02
  2.0799350E+02  1.0735967E-05  8.5580725E-03 -4.0312418E-02 -4.1785311E-04  5.0419870E-02
  2.0799350E+02  9.2368309E-06  5.1375211E-03 -4.1262166E-02 -7.0656723E-04  5.5848186E-02
  2.0799350E+02  1.0587863E-05  1.4681186E-03 -4.2184182E-02 -9.7574083E-04  6.1637573E-02
  2.0799350E+02  1.2783347E-05 -2.3842395E-03 -4.3102159E-02 -1.2281280E-03  6.7760718E-02
  2.0799350E+02  1.4017558E-05 -6.3411851E-03 -4.3994711E-02 -1.4710038E-03  7.4184817E-02
  2.0799350E+02  1.3647083E-05 -1.0326804E-02 -4.4828132E-02 -1.7222280E-03  8.0865870E-02
  2.0799350E+02  1.2412289E-05 -1.4257266E-02 -4.5575397E-02 -2.0072766E-03  8.7707812E-02
  2.0799350E+02  1.1901899E-05 -1.8066216E-02 -4.6231492E-02 -2.3506816E-03  9.4591845E-02
