          atime          uvari          vvari          wvari          pvari          tvari
  2.0799350E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.9073539E-04  0.0000000E+00
  2.0799350E+02  3.9467105E-07  1.1672280E-10  3.5992888E-07  8.9052283E-04  0.0000000E+00
  2.0799350E+02  5.9857101E-06  4.2447262E-10  5.5478197E-06  8.8989514E-04  0.0000000E+00
  2.0799350E+02  2.9349470E-05  2.7599114E-09  2.7420899E-05  8.8888260E-04  0.0000000E+00
  2.0799350E+02  8.9358851E-05  2.3198927E-08  8.4219311E-05  8.8753672E-04  0.0000000E+00
  2.0799350E+02  2.0835322E-04  1.3188946E-07  1.9848410E-04  8.8593053E-04  0.0000000E+00
  2.0799350E+02  4.0855225E-04  5.4136106E-07  3.9431725E-04  8.8416068E-04  0.0000000E+00
  2.0799350E+02  7.0836857E-04  1.7590451E-06  6.9440472E-04  8.8234731E-04  0.0000000E+00
  2.0799350E+02  1.1191270E-03  4.8052652E-06  1.1170375E-03  8.8063522E-04  0.0000000E+00
  2.0799350E+02  1.6427391E-03  1.1476546E-05  1.6733840E-03  8.7919639E-04  0.0000000E+00
  2.0799350E+02  2.2707284E-03  2.4607123E-05  2.3651507E-03  8.7823436E-04  0.0000000E+00
  2.0799350E+02  2.9851524E-03  4.8259331E-05  3.1830801E-03  8.7798863E-04  0.0000000E+00
  2.0799350E+02  3.7619225E-03  8.7785359E-05  4.1070915E-03  8.7873716E-04  0.0000000E+00
  2.0799350E+02  4.5762674E-03  1.4977146E-04  5.1085852E-03  8.8079732E-04  0.0000000E+00
  2.0799350E+02  5.4051340E-03  2.4146168E-04  6.1495947E-03  8.8450772E-04  0.0000000E+00
  2.0799350E+02  6.2368315E-03  3.7065226E-04  7.1930440E-03  8.9023049E-04  0.0000000E+00
  2.0799350E+02  7.0682158E-03  5.4448947E-04  8.2009745E-03  8.9834127E-04  0.0000000E+00
  2.0799350E+02  7.9078713E-03  7.6931760E-04  9.1438416E-03  9.0912106E-04  0.0000000E+00
  2.0799350E+02  8.7672935E-03  1.0496602E-03  9.9935942E-03  9.2290817E-04  0.0000000E+00
  2.0799350E+02  9.6641560E-03  1.3881679E-03  1.0738342E-02  9.3998912E-04  0.0000000E+00
  2.0799350E+02  1.0612162E-02  1.7847659E-03  1.1371847E-02  9.6045106E-04  0.0000000E+00
  2.0799350E+02  1.1621936E-02  2.2378356E-03  1.1894025E-02  9.8435149E-04  0.0000000E+00
  2.0799350E+02  1.2697413E-02  2.7428964E-03  1.2308826E-02  1.0116359E-03  0.0000000E+00
  2.0799350E+02  1.3840273E-02  3.2946419E-03  1.2625760E-02  1.0422244E-03  0.0000000E+00
  2.0799350E+02  1.5047752E-02  3.8858141E-03  1.2857528E-02  1.0759256E-03  0.0000000E+00
  2.0799350E+02  1.6316251E-02  4.5086347E-03  1.3019738E-02  1.1124898E-03  0.0000000E+00
  2.0799350E+02  1.7642331E-02  5.1549774E-03  1.3129547E-02  1.1516001E-03  0.0000000E+00
  2.0799350E+02  1.9023347E-02  5.8164468E-03  1.3204686E-02  1.1928672E-03  0.0000000E+00
  2.0799350E+02  2.0460176E-02  6.4856704E-03  1.3262868E-02  1.2359169E-03  0.0000000E+00
  2.0799350E+02  2.1953330E-02  7.1547258E-03  1.3321175E-02  1.2803135E-03  0.0000000E+00
  2.0799350E+02  2.3506004E-02  7.8170311E-03  1.3395996E-02  1.3257115E-03  0.0000000E+00
  2.0799350E+02  2.5119986E-02  8.4658917E-03  1.3502457E-02  1.3717738E-03  0.0000000E+00
  2.0799350E+02  2.6795347E-02  9.0944593E-03  1.3652744E-02  1.4181101E-03  0.0000000E+00
  2.0799350E+02  2.8537609E-02  9.6978266E-03  1.3851925E-02  1.4643272E-03  0.0000000E+00
  2.0799350E+02  3.0350365E-02  1.0269304E-02  1.4107350E-02  1.5101303E-03  0.0000000E+00
  2.0799350E+02  3.2229782E-02  1.0804493E-02  1.4418141E-02  1.5550073E-03  0.0000000E+00
  2.0799350E+02  3.4164950E-02  1.1298602E-02  1.4773395E-02  1.5986464E-03  0.0000000E+00
  2.0799350E+02  3.6151934E-02  1.1747243E-02  1.5164551E-02  1.6406654E-03  0.0000000E+00
  2.0799350E+02  3.8181151E-02  1.2144495E-02  1.5582882E-02  1.6804187E-03  0.0000000E+00
  2.0799350E+02  4.0245688E-02  1.2485897E-02  1.6020991E-02  1.7172624E-03  0.0000000E+00
  2.0799350E+02  4.2337857E-02  1.2767960E-02  1.6472138E-02  1.7505291E-03  0.0000000E+00
  2.0799350E+02  4.4436170E-02  1.2986893E-02  1.6927260E-02  1.7793759E-03  0.0000000E+00
  2.0799350E+02  4.6515364E-02  1.3140627E-02  1.7376949E-02  1.8030123E-03  0.0000000E+00
  2.0799350E+02  4.8545909E-02  1.3228403E-02  1.7811189E-02  1.8206875E-03  0.0000000E+00
  2.0799350E+02  5.0482045E-02  1.3250411E-02  1.8216663E-02  1.8316183E-03  0.0000000E+00
  2.0799350E+02  5.2284024E-02  1.3208645E-02  1.8581455E-02  1.8351942E-03  0.0000000E+00
  2.0799350E+02  5.3909915E-02  1.3105913E-02  1.8893245E-02  1.8308634E-03  0.0000000E+00
  2.0799350E+02  5.5312426E-02  1.2946544E-02  1.9139053E-02  1.8182241E-03  0.0000000E+00
  2.0799350E+02  5.6454588E-02  1.2735463E-02  1.9308744E-02  1.7970314E-03  0.0000000E+00
  2.0799350E+02  5.7304195E-02  1.2477428E-02  1.9394294E-02  1.7671192E-03  0.0000000E+00
  2.0799350E+02  5.7847089E-02  1.2184608E-02  1.9405980E-02  1.7278711E-03  0.0000000E+00
  2.0799350E+02  5.7994261E-02  1.1864176E-02  1.9316022E-02  1.6800156E-03  0.0000000E+00
  2.0799350E+02  5.7777988E-02  1.1523247E-02  1.9143423E-02  1.6246618E-03  0.0000000E+00
  2.0799350E+02  5.7222201E-02  1.1172647E-02  1.8918112E-02  1.5630343E-03  0.0000000E+00
  2.0799350E+02  5.6337292E-02  1.0822512E-02  1.8666380E-02  1.4962556E-03  0.0000000E+00
  2.0799350E+02  5.5138262E-02  1.0484411E-02  1.8408638E-02  1.4258744E-03  0.0000000E+00
  2.0799350E+02  5.3641824E-02  1.0166640E-02  1.8154246E-02  1.3530385E-03  0.0000000E+00
  2.0799350E+02  5.1875166E-02  9.8764027E-03  1.7903257E-02  1.2789009E-03  0.0000000E+00
