          atime           uavg           vavg           wavg         pm1avg           tavg
  7.8507600E+01  6.5221341E-07  1.5407520E-11 -3.3885679E-09 -1.6610282E-01  0.0000000E+00
  7.8507600E+01  5.1840375E-01  5.2392852E-02 -3.7738783E-03 -1.5595039E-01  0.0000000E+00
  7.8507600E+01  7.4169503E-01  9.0771240E-02 -7.9025188E-03 -1.3835731E-01  0.0000000E+00
  7.8507600E+01  7.9565496E-01  9.4868182E-02 -9.9294074E-03 -1.2275543E-01  0.0000000E+00
  7.8507600E+01  8.1157279E-01  8.9800871E-02 -9.9371825E-03 -1.1106183E-01  0.0000000E+00
  7.8507600E+01  8.1905755E-01  8.2961400E-02 -9.0837253E-03 -1.0210151E-01  0.0000000E+00
  7.8507600E+01  8.2425643E-01  7.6210162E-02 -8.2503399E-03 -9.4979763E-02  0.0000000E+00
  7.8507600E+01  8.2890850E-01  6.9989779E-02 -7.9395892E-03 -8.9197737E-02  0.0000000E+00
  7.8507600E+01  8.3392917E-01  6.4274284E-02 -8.3383691E-03 -8.4401720E-02  0.0000000E+00
  7.8507600E+01  8.3940190E-01  5.9046662E-02 -9.3625478E-03 -8.0317187E-02  0.0000000E+00
  7.8507600E+01  8.4509855E-01  5.4239897E-02 -1.0648012E-02 -7.6772222E-02  0.0000000E+00
  7.8507600E+01  8.5086358E-01  4.9747206E-02 -1.1791320E-02 -7.3619448E-02  0.0000000E+00
  7.8507600E+01  8.5656782E-01  4.5525253E-02 -1.2622512E-02 -7.0759602E-02  0.0000000E+00
  7.8507600E+01  8.6221140E-01  4.1586332E-02 -1.3200579E-02 -6.8142782E-02  0.0000000E+00
  7.8507600E+01  8.6805115E-01  3.7940798E-02 -1.3652496E-02 -6.5718719E-02  0.0000000E+00
  7.8507600E+01  8.7441069E-01  3.4642014E-02 -1.4137153E-02 -6.3448271E-02  0.0000000E+00
  7.8507600E+01  8.8143773E-01  3.1763560E-02 -1.4791401E-02 -6.1309144E-02  0.0000000E+00
  7.8507600E+01  8.8900351E-01  2.9287425E-02 -1.5619857E-02 -5.9265877E-02  0.0000000E+00
  7.8507600E+01  8.9682109E-01  2.7147406E-02 -1.6538328E-02 -5.7294737E-02  0.0000000E+00
  7.8507600E+01  9.0466359E-01  2.5254271E-02 -1.7398417E-02 -5.5378103E-02  0.0000000E+00
  7.8507600E+01  9.1245635E-01  2.3545741E-02 -1.8011305E-02 -5.3514610E-02  0.0000000E+00
  7.8507600E+01  9.2034828E-01  2.1974182E-02 -1.8283953E-02 -5.1696253E-02  0.0000000E+00
  7.8507600E+01  9.2839406E-01  2.0474789E-02 -1.8255822E-02 -4.9920196E-02  0.0000000E+00
  7.8507600E+01  9.3642215E-01  1.8991058E-02 -1.8030754E-02 -4.8195321E-02  0.0000000E+00
  7.8507600E+01  9.4424656E-01  1.7497173E-02 -1.7705795E-02 -4.6523742E-02  0.0000000E+00
  7.8507600E+01  9.5183043E-01  1.6017944E-02 -1.7305895E-02 -4.4911273E-02  0.0000000E+00
  7.8507600E+01  9.5930256E-01  1.4624373E-02 -1.6826602E-02 -4.3369959E-02  0.0000000E+00
  7.8507600E+01  9.6673224E-01  1.3367773E-02 -1.6318291E-02 -4.1894826E-02  0.0000000E+00
  7.8507600E+01  9.7402421E-01  1.2233730E-02 -1.5808043E-02 -4.0480678E-02  0.0000000E+00
  7.8507600E+01  9.8107570E-01  1.1179186E-02 -1.5282577E-02 -3.9118191E-02  0.0000000E+00
  7.8507600E+01  9.8775975E-01  1.0183487E-02 -1.4737320E-02 -3.7807075E-02  0.0000000E+00
  7.8507600E+01  9.9404946E-01  9.2419668E-03 -1.4184377E-02 -3.6546435E-02  0.0000000E+00
  7.8507600E+01  1.0000228E+00  8.3479985E-03 -1.3646662E-02 -3.5340116E-02  0.0000000E+00
  7.8507600E+01  1.0057710E+00  7.4921243E-03 -1.3152996E-02 -3.4194499E-02  0.0000000E+00
  7.8507600E+01  1.0113908E+00  6.6772417E-03 -1.2721944E-02 -3.3102329E-02  0.0000000E+00
  7.8507600E+01  1.0169628E+00  5.9131288E-03 -1.2386072E-02 -3.2052280E-02  0.0000000E+00
  7.8507600E+01  1.0225220E+00  5.2155051E-03 -1.2152754E-02 -3.1037261E-02  0.0000000E+00
  7.8507600E+01  1.0281308E+00  4.5947265E-03 -1.1988892E-02 -3.0047617E-02  0.0000000E+00
  7.8507600E+01  1.0338662E+00  4.0548582E-03 -1.1848239E-02 -2.9080180E-02  0.0000000E+00
  7.8507600E+01  1.0397457E+00  3.5853475E-03 -1.1723281E-02 -2.8138485E-02  0.0000000E+00
  7.8507600E+01  1.0457583E+00  3.1503161E-03 -1.1619803E-02 -2.7221173E-02  0.0000000E+00
  7.8507600E+01  1.0518630E+00  2.7085176E-03 -1.1494897E-02 -2.6332245E-02  0.0000000E+00
  7.8507600E+01  1.0580547E+00  2.2293189E-03 -1.1303300E-02 -2.5472732E-02  0.0000000E+00
  7.8507600E+01  1.0642895E+00  1.6921242E-03 -1.1047686E-02 -2.4647428E-02  0.0000000E+00
  7.8507600E+01  1.0705321E+00  1.0920501E-03 -1.0776436E-02 -2.3852801E-02  0.0000000E+00
  7.8507600E+01  1.0767226E+00  4.5643906E-04 -1.0546255E-02 -2.3080864E-02  0.0000000E+00
  7.8507600E+01  1.0827861E+00 -1.5257458E-04 -1.0362700E-02 -2.2329793E-02  0.0000000E+00
  7.8507600E+01  1.0887392E+00 -6.9153608E-04 -1.0188180E-02 -2.1594725E-02  0.0000000E+00
  7.8507600E+01  1.0946120E+00 -1.1459612E-03 -9.9997265E-03 -2.0873867E-02  0.0000000E+00
  7.8507600E+01  1.1003890E+00 -1.5178595E-03 -9.7795016E-03 -2.0168792E-02  0.0000000E+00
  7.8507600E+01  1.1060955E+00 -1.8224440E-03 -9.5157789E-03 -1.9477333E-02  0.0000000E+00
  7.8507600E+01  1.1117513E+00 -2.0779966E-03 -9.2189774E-03 -1.8798182E-02  0.0000000E+00
  7.8507600E+01  1.1173771E+00 -2.2990442E-03 -8.9217633E-03 -1.8129454E-02  0.0000000E+00
  7.8507600E+01  1.1229318E+00 -2.4915366E-03 -8.6649158E-03 -1.7474148E-02  0.0000000E+00
  7.8507600E+01  1.1283714E+00 -2.6619638E-03 -8.4595672E-03 -1.6831692E-02  0.0000000E+00
  7.8507600E+01  1.1336581E+00 -2.8136274E-03 -8.2811940E-03 -1.6203437E-02  0.0000000E+00
  7.8507600E+01  1.1387520E+00 -2.9374680E-03 -8.0997407E-03 -1.5595707E-02  0.0000000E+00
  7.8507600E+01  1.1436755E+00 -3.0221048E-03 -7.8915627E-03 -1.5009786E-02  0.0000000E+00
  7.8507600E+01  1.1484651E+00 -3.0680762E-03 -7.6401393E-03 -1.4446428E-02  0.0000000E+00
  7.8507600E+01  1.1531292E+00 -3.0892631E-03 -7.3361340E-03 -1.3909059E-02  0.0000000E+00
  7.8507600E+01  1.1576920E+00 -3.1050769E-03 -6.9707335E-03 -1.3396610E-02  0.0000000E+00
  7.8507600E+01  1.1621550E+00 -3.1288584E-03 -6.5364564E-03 -1.2907615E-02  0.0000000E+00
  7.8507600E+01  1.1665232E+00 -3.1614171E-03 -6.0277517E-03 -1.2438402E-02  0.0000000E+00
  7.8507600E+01  1.1707708E+00 -3.2010373E-03 -5.4510534E-03 -1.1986827E-02  0.0000000E+00
  7.8507600E+01  1.1749068E+00 -3.2446765E-03 -4.8195190E-03 -1.1549714E-02  0.0000000E+00
  7.8507600E+01  1.1789551E+00 -3.2911243E-03 -4.1407235E-03 -1.1125317E-02  0.0000000E+00
  7.8507600E+01  1.1829199E+00 -3.3443035E-03 -3.4239341E-03 -1.0714640E-02  0.0000000E+00
  7.8507600E+01  1.1868191E+00 -3.4111004E-03 -2.6757638E-03 -1.0316112E-02  0.0000000E+00
  7.8507600E+01  1.1906507E+00 -3.4977040E-03 -1.9069975E-03 -9.9285125E-03  0.0000000E+00
  7.8507600E+01  1.1943713E+00 -3.6051716E-03 -1.1352152E-03 -9.5532563E-03  0.0000000E+00
  7.8507600E+01  1.1979529E+00 -3.7290319E-03 -3.6907244E-04 -9.1893602E-03  0.0000000E+00
  7.8507600E+01  1.2013921E+00 -3.8623318E-03  3.7721394E-04 -8.8362094E-03  0.0000000E+00
  7.8507600E+01  1.2046874E+00 -3.9994738E-03  1.0837050E-03 -8.4948570E-03  0.0000000E+00
  7.8507600E+01  1.2078663E+00 -4.1366300E-03  1.7484058E-03 -8.1637934E-03  0.0000000E+00
  7.8507600E+01  1.2109517E+00 -4.2704749E-03  2.3687287E-03 -7.8416124E-03  0.0000000E+00
  7.8507600E+01  1.2139685E+00 -4.3978963E-03  2.9392535E-03 -7.5260094E-03  0.0000000E+00
  7.8507600E+01  1.2169172E+00 -4.5167879E-03  3.4502163E-03 -7.2165070E-03  0.0000000E+00
  7.8507600E+01  1.2198056E+00 -4.6293709E-03  3.8997047E-03 -6.9112545E-03  0.0000000E+00
  7.8507600E+01  1.2226361E+00 -4.7396911E-03  4.2938138E-03 -6.6093084E-03  0.0000000E+00
  7.8507600E+01  1.2254014E+00 -4.8490520E-03  4.6338309E-03 -6.3127650E-03  0.0000000E+00
  7.8507600E+01  1.2281206E+00 -4.9552880E-03  4.9070058E-03 -6.0223925E-03  0.0000000E+00
  7.8507600E+01  1.2308277E+00 -5.0516366E-03  5.0901300E-03 -5.7392218E-03  0.0000000E+00
  7.8507600E+01  1.2335262E+00 -5.1305179E-03  5.1653098E-03 -5.4652731E-03  0.0000000E+00
  7.8507600E+01  1.2362129E+00 -5.1873390E-03  5.1378136E-03 -5.1998731E-03  0.0000000E+00
  7.8507600E+01  1.2388674E+00 -5.2200394E-03  5.0358628E-03 -4.9416270E-03  0.0000000E+00
  7.8507600E+01  1.2414780E+00 -5.2283283E-03  4.9005356E-03 -4.6876899E-03  0.0000000E+00
  7.8507600E+01  1.2440322E+00 -5.2126576E-03  4.7713553E-03 -4.4364258E-03  0.0000000E+00
  7.8507600E+01  1.2465395E+00 -5.1733904E-03  4.6673269E-03 -4.1857279E-03  0.0000000E+00
  7.8507600E+01  1.2489975E+00 -5.1134815E-03  4.5994712E-03 -3.9342974E-03  0.0000000E+00
  7.8507600E+01  1.2513824E+00 -5.0411827E-03  4.5785881E-03 -3.6834694E-03  0.0000000E+00
  7.8507600E+01  1.2536868E+00 -4.9680156E-03  4.6102501E-03 -3.4345100E-03  0.0000000E+00
  7.8507600E+01  1.2559079E+00 -4.9046498E-03  4.6916897E-03 -3.1891542E-03  0.0000000E+00
  7.8507600E+01  1.2580333E+00 -4.8577264E-03  4.8098565E-03 -2.9502336E-03  0.0000000E+00
  7.8507600E+01  1.2600632E+00 -4.8271810E-03  4.9445857E-03 -2.7186796E-03  0.0000000E+00
