          atime          uvcov          vwcov          wucov         pm1avg           tavg
  7.8507600E+01 -3.0160039E-14 -6.9068905E-16 -4.5448235E-16 -1.6610282E-01  0.0000000E+00
  7.8507600E+01  1.5232730E-03  4.3373331E-05  2.3320148E-04 -1.5595039E-01  0.0000000E+00
  7.8507600E+01  8.1173909E-04  3.7452459E-05  5.8683717E-04 -1.3835731E-01  0.0000000E+00
  7.8507600E+01 -1.0283253E-03 -1.3619639E-04  5.4648689E-04 -1.2275543E-01  0.0000000E+00
  7.8507600E+01 -2.4709904E-03 -1.6704317E-04  4.6420036E-04 -1.1106183E-01  0.0000000E+00
  7.8507600E+01 -3.6385498E-03 -5.6198983E-05  5.0234162E-04 -1.0210151E-01  0.0000000E+00
  7.8507600E+01 -4.5742752E-03  6.4217504E-05  6.4531583E-04 -9.4979763E-02  0.0000000E+00
  7.8507600E+01 -5.3520156E-03  1.0303516E-04  7.4164832E-04 -8.9197737E-02  0.0000000E+00
  7.8507600E+01 -6.0807007E-03  7.1854337E-05  7.2938433E-04 -8.4401720E-02  0.0000000E+00
  7.8507600E+01 -6.7837377E-03  1.5061913E-05  6.0056929E-04 -8.0317187E-02  0.0000000E+00
  7.8507600E+01 -7.4440458E-03 -1.7377202E-05  4.2228587E-04 -7.6772222E-02  0.0000000E+00
  7.8507600E+01 -8.0396230E-03 -7.7297514E-06  2.3319579E-04 -7.3619448E-02  0.0000000E+00
  7.8507600E+01 -8.5473336E-03  2.6253275E-05  1.1680235E-05 -7.0759602E-02  0.0000000E+00
  7.8507600E+01 -8.9424900E-03  6.3953684E-05 -2.0675658E-04 -6.8142782E-02  0.0000000E+00
  7.8507600E+01 -9.2318875E-03  8.1463129E-05 -3.9710524E-04 -6.5718719E-02  0.0000000E+00
  7.8507600E+01 -9.4495469E-03  7.0090113E-05 -5.4611872E-04 -6.3448271E-02  0.0000000E+00
  7.8507600E+01 -9.6308332E-03  5.4684606E-05 -6.2585184E-04 -6.1309144E-02  0.0000000E+00
  7.8507600E+01 -9.8093344E-03  4.5850378E-05 -6.1748714E-04 -5.9265877E-02  0.0000000E+00
  7.8507600E+01 -9.9882606E-03  3.2763383E-05 -5.3832114E-04 -5.7294737E-02  0.0000000E+00
  7.8507600E+01 -1.0141000E-02 -1.1364584E-06 -4.3236572E-04 -5.5378103E-02  0.0000000E+00
  7.8507600E+01 -1.0233736E-02 -6.5676548E-05 -3.2158708E-04 -5.3514610E-02  0.0000000E+00
  7.8507600E+01 -1.0237449E-02 -1.5910914E-04 -2.0457570E-04 -5.1696253E-02  0.0000000E+00
  7.8507600E+01 -1.0149539E-02 -2.5314918E-04 -5.8315203E-05 -4.9920196E-02  0.0000000E+00
  7.8507600E+01 -9.9936716E-03 -3.1700497E-04  9.7236784E-05 -4.8195321E-02  0.0000000E+00
  7.8507600E+01 -9.8130577E-03 -3.4345060E-04  2.2960951E-04 -4.6523742E-02  0.0000000E+00
  7.8507600E+01 -9.6420919E-03 -3.4174213E-04  3.3038999E-04 -4.4911273E-02  0.0000000E+00
