          atime         prd_uu         prd_vv         prd_ww         pm1avg           tavg
  7.8507600E+01 -4.7199179E-11  1.3653244E-13  6.4978195E-15 -1.6610282E-01  0.0000000E+00
  7.8507600E+01  3.5894253E-01  1.2959508E-02 -1.4068683E-03 -1.5595039E-01  0.0000000E+00
  7.8507600E+01  1.6825298E-01 -9.7938167E-04 -9.8454812E-03 -1.3835731E-01  0.0000000E+00
  7.8507600E+01 -5.4443577E-03 -3.6882464E-03 -1.5069296E-02 -1.2275543E-01  0.0000000E+00
  7.8507600E+01 -4.7570768E-02  1.2088608E-03 -1.4215827E-02 -1.1106183E-01  0.0000000E+00
  7.8507600E+01 -5.4949206E-02  5.6140615E-03 -1.2449997E-02 -1.0210151E-01  0.0000000E+00
  7.8507600E+01 -5.0099016E-02  7.8634690E-03 -1.0726123E-02 -9.4979763E-02  0.0000000E+00
  7.8507600E+01 -4.4429766E-02  9.2974228E-03 -8.8419651E-03 -8.9197737E-02  0.0000000E+00
  7.8507600E+01 -3.7936208E-02  1.0225959E-02 -7.3972295E-03 -8.4401720E-02  0.0000000E+00
  7.8507600E+01 -3.1687632E-02  1.0645545E-02 -6.5044751E-03 -8.0317187E-02  0.0000000E+00
  7.8507600E+01 -2.6669046E-02  1.0990546E-02 -6.0278327E-03 -7.6772222E-02  0.0000000E+00
  7.8507600E+01 -2.2945687E-02  1.1288129E-02 -5.7174167E-03 -7.3619448E-02  0.0000000E+00
  7.8507600E+01 -1.9970015E-02  1.1326621E-02 -5.4414557E-03 -7.0759602E-02  0.0000000E+00
  7.8507600E+01 -1.6803139E-02  1.1016784E-02 -5.1129433E-03 -6.8142782E-02  0.0000000E+00
  7.8507600E+01 -1.2624241E-02  1.0204230E-02 -4.5025862E-03 -6.5718719E-02  0.0000000E+00
  7.8507600E+01 -7.2052530E-03  8.6956532E-03 -3.3605303E-03 -6.3448271E-02  0.0000000E+00
  7.8507600E+01 -1.8070627E-03  6.8131343E-03 -1.8691630E-03 -6.1309144E-02  0.0000000E+00
  7.8507600E+01  2.3632149E-03  5.0376204E-03 -4.3990851E-04 -5.9265877E-02  0.0000000E+00
  7.8507600E+01  5.2535760E-03  3.6285252E-03  5.2562344E-04 -5.7294737E-02  0.0000000E+00
  7.8507600E+01  7.3775119E-03  2.6580952E-03  8.7868269E-04 -5.5378103E-02  0.0000000E+00
  7.8507600E+01  9.7818295E-03  1.9793846E-03  7.7891537E-04 -5.3514610E-02  0.0000000E+00
  7.8507600E+01  1.2494992E-02  1.6151880E-03  3.2949475E-04 -5.1696253E-02  0.0000000E+00
  7.8507600E+01  1.4590684E-02  1.6904376E-03 -5.0599494E-04 -4.9920196E-02  0.0000000E+00
  7.8507600E+01  1.5311328E-02  2.0435649E-03 -1.4168875E-03 -4.8195321E-02  0.0000000E+00
  7.8507600E+01  1.4908002E-02  2.3636742E-03 -2.0033038E-03 -4.6523742E-02  0.0000000E+00
  7.8507600E+01  1.4732464E-02  2.3661612E-03 -2.1603754E-03 -4.4911273E-02  0.0000000E+00
  7.8507600E+01  1.5393119E-02  1.9506552E-03 -1.9063703E-03 -4.3369959E-02  0.0000000E+00
  7.8507600E+01  1.5672409E-02  1.4462840E-03 -1.4299157E-03 -4.1894826E-02  0.0000000E+00
  7.8507600E+01  1.5248959E-02  1.1615592E-03 -1.0689061E-03 -4.0480678E-02  0.0000000E+00
  7.8507600E+01  1.4183860E-02  1.0590564E-03 -8.1322505E-04 -3.9118191E-02  0.0000000E+00
  7.8507600E+01  1.2741267E-02  9.8428609E-04 -5.5075278E-04 -3.7807075E-02  0.0000000E+00
  7.8507600E+01  1.1390586E-02  8.7980473E-04 -3.1258383E-04 -3.6546435E-02  0.0000000E+00
  7.8507600E+01  1.0632565E-02  8.1873600E-04 -2.4451766E-04 -3.5340116E-02  0.0000000E+00
  7.8507600E+01  1.0303018E-02  7.8621577E-04 -2.6740817E-04 -3.4194499E-02  0.0000000E+00
  7.8507600E+01  1.0317617E-02  7.0448128E-04 -2.5395836E-04 -3.3102329E-02  0.0000000E+00
  7.8507600E+01  1.0495423E-02  5.6448681E-04 -1.4690971E-04 -3.2052280E-02  0.0000000E+00
  7.8507600E+01  1.0782668E-02  3.6627418E-04  4.6831682E-05 -3.1037261E-02  0.0000000E+00
  7.8507600E+01  1.1264209E-02  1.1641318E-04  2.6683722E-04 -3.0047617E-02  0.0000000E+00
  7.8507600E+01  1.1955957E-02 -1.3054887E-04  4.3893416E-04 -2.9080180E-02  0.0000000E+00
  7.8507600E+01  1.2575320E-02 -2.6239131E-04  5.2341574E-04 -2.8138485E-02  0.0000000E+00
  7.8507600E+01  1.2898792E-02 -2.0336987E-04  4.6929476E-04 -2.7221173E-02  0.0000000E+00
  7.8507600E+01  1.3073072E-02 -9.1417392E-06  2.9221115E-04 -2.6332245E-02  0.0000000E+00
  7.8507600E+01  1.3190090E-02  2.8518041E-04 -1.1624106E-05 -2.5472732E-02  0.0000000E+00
  7.8507600E+01  1.3220350E-02  6.3345639E-04 -4.0470235E-04 -2.4647428E-02  0.0000000E+00
  7.8507600E+01  1.3088834E-02  9.2461860E-04 -7.5133386E-04 -2.3852801E-02  0.0000000E+00
  7.8507600E+01  1.2776486E-02  1.0029404E-03 -8.5341488E-04 -2.3080864E-02  0.0000000E+00
  7.8507600E+01  1.2420861E-02  8.1748784E-04 -6.5207423E-04 -2.2329793E-02  0.0000000E+00
  7.8507600E+01  1.2145496E-02  5.2286468E-04 -3.3851900E-04 -2.1594725E-02  0.0000000E+00
  7.8507600E+01  1.1871928E-02  2.1660308E-04  2.7610305E-06 -2.0873867E-02  0.0000000E+00
  7.8507600E+01  1.1585526E-02 -3.6224425E-05  3.0817085E-04 -2.0168792E-02  0.0000000E+00
  7.8507600E+01  1.1328796E-02 -2.1101674E-04  5.2946386E-04 -1.9477333E-02  0.0000000E+00
  7.8507600E+01  1.1115305E-02 -3.1423158E-04  6.5318117E-04 -1.8798182E-02  0.0000000E+00
  7.8507600E+01  1.0888008E-02 -3.7395889E-04  7.0721079E-04 -1.8129454E-02  0.0000000E+00
  7.8507600E+01  1.0541740E-02 -4.1417814E-04  7.3749701E-04 -1.7474148E-02  0.0000000E+00
  7.8507600E+01  1.0038484E-02 -4.3466216E-04  7.6698416E-04 -1.6831692E-02  0.0000000E+00
  7.8507600E+01  9.4519148E-03 -4.6467946E-04  8.2878881E-04 -1.6203437E-02  0.0000000E+00
  7.8507600E+01  8.9117551E-03 -5.4632229E-04  9.5270578E-04 -1.5595707E-02  0.0000000E+00
  7.8507600E+01  8.4619287E-03 -6.5241576E-04  1.1001924E-03 -1.5009786E-02  0.0000000E+00
  7.8507600E+01  8.0962601E-03 -7.2873795E-04  1.2075411E-03 -1.4446428E-02  0.0000000E+00
  7.8507600E+01  7.7957920E-03 -7.4070342E-04  1.2332747E-03 -1.3909059E-02  0.0000000E+00
  7.8507600E+01  7.5339799E-03 -6.9425040E-04  1.1833706E-03 -1.3396610E-02  0.0000000E+00
  7.8507600E+01  7.2839631E-03 -6.2728430E-04  1.1018174E-03 -1.2907615E-02  0.0000000E+00
  7.8507600E+01  7.0365454E-03 -5.6977787E-04  1.0245980E-03 -1.2438402E-02  0.0000000E+00
  7.8507600E+01  6.7718141E-03 -5.2140726E-04  9.5344756E-04 -1.1986827E-02  0.0000000E+00
  7.8507600E+01  6.5362309E-03 -4.8328629E-04  8.8918574E-04 -1.1549714E-02  0.0000000E+00
  7.8507600E+01  6.3494390E-03 -4.4161573E-04  8.2018467E-04 -1.1125317E-02  0.0000000E+00
  7.8507600E+01  6.1946435E-03 -3.8304869E-04  7.3452280E-04 -1.0714640E-02  0.0000000E+00
  7.8507600E+01  6.0324207E-03 -3.0438345E-04  6.3095285E-04 -1.0316112E-02  0.0000000E+00
  7.8507600E+01  5.8188276E-03 -2.1550750E-04  5.2327565E-04 -9.9285125E-03  0.0000000E+00
  7.8507600E+01  5.5282087E-03 -1.3450567E-04  4.3458936E-04 -9.5532563E-03  0.0000000E+00
  7.8507600E+01  5.1840810E-03 -7.3134871E-05  3.7636363E-04 -9.1893602E-03  0.0000000E+00
  7.8507600E+01  4.8561438E-03 -3.2666347E-05  3.3742455E-04 -8.8362094E-03  0.0000000E+00
  7.8507600E+01  4.5712899E-03 -4.9430939E-06  3.0764941E-04 -8.4948570E-03  0.0000000E+00
  7.8507600E+01  4.3337001E-03  1.1588220E-05  2.8375711E-04 -8.1637934E-03  0.0000000E+00
  7.8507600E+01  4.1367643E-03  1.6822992E-05  2.6473012E-04 -7.8416124E-03  0.0000000E+00
  7.8507600E+01  3.9697698E-03  1.3839973E-05  2.4821050E-04 -7.5260094E-03  0.0000000E+00
  7.8507600E+01  3.8178593E-03  1.0381583E-05  2.2967391E-04 -7.2165070E-03  0.0000000E+00
  7.8507600E+01  3.6623706E-03  1.5449709E-05  2.0463992E-04 -6.9112545E-03  0.0000000E+00
  7.8507600E+01  3.4998061E-03  2.9759268E-05  1.7524133E-04 -6.6093084E-03  0.0000000E+00
  7.8507600E+01  3.3499553E-03  4.2521821E-05  1.4760925E-04 -6.3127650E-03  0.0000000E+00
  7.8507600E+01  3.2304442E-03  4.2419134E-05  1.2716424E-04 -6.0223925E-03  0.0000000E+00
  7.8507600E+01  3.1380895E-03  2.4255181E-05  1.1757217E-04 -5.7392218E-03  0.0000000E+00
  7.8507600E+01  3.0450635E-03 -6.9956591E-06  1.2181975E-04 -5.4652731E-03  0.0000000E+00
  7.8507600E+01  2.9263387E-03 -4.4636579E-05  1.4144446E-04 -5.1998731E-03  0.0000000E+00
  7.8507600E+01  2.7791416E-03 -8.3972001E-05  1.7543556E-04 -4.9416270E-03  0.0000000E+00
  7.8507600E+01  2.6248813E-03 -1.2318180E-04  2.1966233E-04 -4.6876899E-03  0.0000000E+00
