          atime         pst_uu         pst_vv         pst_ww         pm1avg           tavg
  7.8507600E+01 -1.9335473E-06  1.2481788E-04  2.1326556E-08 -1.6610282E-01  0.0000000E+00
  7.8507600E+01 -1.2645099E-01  6.2069533E-02  6.4421900E-02 -1.5595039E-01  0.0000000E+00
  7.8507600E+01  3.3594765E-02 -1.0181467E-01  6.8336420E-02 -1.3835731E-01  0.0000000E+00
  7.8507600E+01  1.5805721E-02 -6.0069297E-02  4.4143790E-02 -1.2275543E-01  0.0000000E+00
  7.8507600E+01  9.9400574E-03 -3.3910235E-02  2.4060480E-02 -1.1106183E-01  0.0000000E+00
  7.8507600E+01  9.0458028E-03 -1.8942177E-02  9.8930443E-03 -1.0210151E-01  0.0000000E+00
  7.8507600E+01  8.2853008E-03 -1.0427954E-02  2.1207772E-03 -9.4979763E-02  0.0000000E+00
  7.8507600E+01  7.5842707E-03 -5.7511415E-03 -1.8222439E-03 -8.9197737E-02  0.0000000E+00
  7.8507600E+01  7.2572341E-03 -3.7164163E-03 -3.5644829E-03 -8.4401720E-02  0.0000000E+00
  7.8507600E+01  7.4170299E-03 -2.4987591E-03 -4.9549797E-03 -8.0317187E-02  0.0000000E+00
  7.8507600E+01  8.1429187E-03 -2.1641463E-03 -6.0145551E-03 -7.6772222E-02  0.0000000E+00
  7.8507600E+01  9.2098477E-03 -2.5441606E-03 -6.6850558E-03 -7.3619448E-02  0.0000000E+00
  7.8507600E+01  1.0370273E-02 -3.8303711E-03 -6.5210244E-03 -7.0759602E-02  0.0000000E+00
  7.8507600E+01  1.1214058E-02 -5.8726990E-03 -5.2742917E-03 -6.8142782E-02  0.0000000E+00
  7.8507600E+01  1.2106411E-02 -8.0361239E-03 -3.9840875E-03 -6.5718719E-02  0.0000000E+00
  7.8507600E+01  1.3428503E-02 -9.5720383E-03 -3.7876501E-03 -6.3448271E-02  0.0000000E+00
  7.8507600E+01  1.4883397E-02 -1.0285272E-02 -4.5552510E-03 -6.1309144E-02  0.0000000E+00
  7.8507600E+01  1.6226752E-02 -1.0572215E-02 -5.6298555E-03 -5.9265877E-02  0.0000000E+00
  7.8507600E+01  1.7265560E-02 -1.0940992E-02 -6.3121125E-03 -5.7294737E-02  0.0000000E+00
  7.8507600E+01  1.7854824E-02 -1.1591227E-02 -6.2615743E-03 -5.5378103E-02  0.0000000E+00
  7.8507600E+01  1.8003301E-02 -1.1689959E-02 -6.3231256E-03 -5.3514610E-02  0.0000000E+00
  7.8507600E+01  1.7737069E-02 -1.1001864E-02 -6.7491641E-03 -5.1696253E-02  0.0000000E+00
  7.8507600E+01  1.7121042E-02 -1.0376662E-02 -6.7500009E-03 -4.9920196E-02  0.0000000E+00
  7.8507600E+01  1.6284269E-02 -9.7688476E-03 -6.5041444E-03 -4.8195321E-02  0.0000000E+00
  7.8507600E+01  1.5422389E-02 -8.6471678E-03 -6.7493531E-03 -4.6523742E-02  0.0000000E+00
  7.8507600E+01  1.4725682E-02 -7.3225644E-03 -7.3805419E-03 -4.4911273E-02  0.0000000E+00
  7.8507600E+01  1.4101958E-02 -6.0653150E-03 -8.0263914E-03 -4.3369959E-02  0.0000000E+00
  7.8507600E+01  1.3409093E-02 -5.2117900E-03 -8.1870585E-03 -4.1894826E-02  0.0000000E+00
  7.8507600E+01  1.2689424E-02 -5.1870934E-03 -7.4986051E-03 -4.0480678E-02  0.0000000E+00
  7.8507600E+01  1.2015107E-02 -5.5395988E-03 -6.4709111E-03 -3.9118191E-02  0.0000000E+00
  7.8507600E+01  1.1424371E-02 -5.6716583E-03 -5.7452446E-03 -3.7807075E-02  0.0000000E+00
  7.8507600E+01  1.0928229E-02 -5.4093506E-03 -5.5078546E-03 -3.6546435E-02  0.0000000E+00
  7.8507600E+01  1.0638394E-02 -5.0487705E-03 -5.5785539E-03 -3.5340116E-02  0.0000000E+00
  7.8507600E+01  1.0702937E-02 -4.7334123E-03 -5.9577407E-03 -3.4194499E-02  0.0000000E+00
  7.8507600E+01  1.0928870E-02 -4.5536511E-03 -6.3623415E-03 -3.3102329E-02  0.0000000E+00
  7.8507600E+01  1.1079322E-02 -4.3774440E-03 -6.6899046E-03 -3.2052280E-02  0.0000000E+00
  7.8507600E+01  1.1085227E-02 -4.1723132E-03 -6.9069469E-03 -3.1037261E-02  0.0000000E+00
  7.8507600E+01  1.0999897E-02 -4.1890010E-03 -6.8128767E-03 -3.0047617E-02  0.0000000E+00
  7.8507600E+01  1.0892855E-02 -4.7366969E-03 -6.1635374E-03 -2.9080180E-02  0.0000000E+00
  7.8507600E+01  1.0835982E-02 -5.5693465E-03 -5.2744277E-03 -2.8138485E-02  0.0000000E+00
  7.8507600E+01  1.0866059E-02 -6.3679946E-03 -4.5011031E-03 -2.7221173E-02  0.0000000E+00
  7.8507600E+01  1.0897227E-02 -7.0133809E-03 -3.8803474E-03 -2.6332245E-02  0.0000000E+00
  7.8507600E+01  1.0852283E-02 -7.4115825E-03 -3.4342365E-03 -2.5472732E-02  0.0000000E+00
  7.8507600E+01  1.0807937E-02 -7.4508459E-03 -3.3515871E-03 -2.4647428E-02  0.0000000E+00
  7.8507600E+01  1.0857186E-02 -7.1727573E-03 -3.6819982E-03 -2.3852801E-02  0.0000000E+00
  7.8507600E+01  1.0951156E-02 -6.8395941E-03 -4.1113882E-03 -2.3080864E-02  0.0000000E+00
  7.8507600E+01  1.0969307E-02 -6.5741188E-03 -4.3929769E-03 -2.2329793E-02  0.0000000E+00
  7.8507600E+01  1.0868607E-02 -6.2103210E-03 -4.6567232E-03 -2.1594725E-02  0.0000000E+00
  7.8507600E+01  1.0665814E-02 -5.7926170E-03 -4.8700817E-03 -2.0873867E-02  0.0000000E+00
  7.8507600E+01  1.0366134E-02 -5.5208689E-03 -4.8414030E-03 -2.0168792E-02  0.0000000E+00
  7.8507600E+01  9.9957384E-03 -5.4713111E-03 -4.5201417E-03 -1.9477333E-02  0.0000000E+00
  7.8507600E+01  9.5707544E-03 -5.4918337E-03 -4.0761918E-03 -1.8798182E-02  0.0000000E+00
  7.8507600E+01  9.0795273E-03 -5.3429215E-03 -3.7364359E-03 -1.8129454E-02  0.0000000E+00
  7.8507600E+01  8.5123389E-03 -4.9283746E-03 -3.5851238E-03 -1.7474148E-02  0.0000000E+00
  7.8507600E+01  7.9264708E-03 -4.3608389E-03 -3.5673352E-03 -1.6831692E-02  0.0000000E+00
  7.8507600E+01  7.3895360E-03 -3.7213599E-03 -3.6703998E-03 -1.6203437E-02  0.0000000E+00
  7.8507600E+01  6.9395905E-03 -3.0157717E-03 -3.9260274E-03 -1.5595707E-02  0.0000000E+00
  7.8507600E+01  6.6047829E-03 -2.3169252E-03 -4.2899688E-03 -1.5009786E-02  0.0000000E+00
  7.8507600E+01  6.3817206E-03 -1.7213805E-03 -4.6633904E-03 -1.4446428E-02  0.0000000E+00
  7.8507600E+01  6.2339364E-03 -1.2905491E-03 -4.9469381E-03 -1.3909059E-02  0.0000000E+00
  7.8507600E+01  6.1096700E-03 -1.0322114E-03 -5.0798270E-03 -1.3396610E-02  0.0000000E+00
  7.8507600E+01  5.9720173E-03 -9.2889176E-04 -5.0438935E-03 -1.2907615E-02  0.0000000E+00
  7.8507600E+01  5.8137531E-03 -9.5981386E-04 -4.8526580E-03 -1.2438402E-02  0.0000000E+00
  7.8507600E+01  5.6718351E-03 -1.1146852E-03 -4.5553271E-03 -1.1986827E-02  0.0000000E+00
  7.8507600E+01  5.5306182E-03 -1.3644743E-03 -4.1644897E-03 -1.1549714E-02  0.0000000E+00
  7.8507600E+01  5.3468321E-03 -1.6554662E-03 -3.6899061E-03 -1.1125317E-02  0.0000000E+00
  7.8507600E+01  5.0918514E-03 -1.9181536E-03 -3.1727337E-03 -1.0714640E-02  0.0000000E+00
  7.8507600E+01  4.7645445E-03 -2.0965661E-03 -2.6681230E-03 -1.0316112E-02  0.0000000E+00
  7.8507600E+01  4.3950056E-03 -2.1796828E-03 -2.2168414E-03 -9.9285125E-03  0.0000000E+00
  7.8507600E+01  4.0388262E-03 -2.2087612E-03 -1.8321375E-03 -9.5532563E-03  0.0000000E+00
  7.8507600E+01  3.7477382E-03 -2.2276606E-03 -1.5215333E-03 -9.1893602E-03  0.0000000E+00
