          atime         ptr_uu         ptr_vv         ptr_ww         pm1avg           tavg
  7.8507600E+01 -7.1236842E-08 -9.6874603E-12 -7.4333528E-09 -1.6610282E-01  0.0000000E+00
  7.8507600E+01 -4.6299547E-02 -2.6790541E-02 -6.1100033E-02 -1.5595039E-01  0.0000000E+00
  7.8507600E+01  4.0413122E-02  4.5428082E-03 -7.0483561E-02 -1.3835731E-01  0.0000000E+00
  7.8507600E+01  8.0295183E-02  3.0002650E-02 -4.6771542E-02 -1.2275543E-01  0.0000000E+00
  7.8507600E+01  8.4833111E-02  3.5446023E-02 -2.4962304E-02 -1.1106183E-01  0.0000000E+00
  7.8507600E+01  7.9306729E-02  3.2989944E-02 -9.1695164E-03 -1.0210151E-01  0.0000000E+00
  7.8507600E+01  7.3449087E-02  2.5954844E-02  3.9557683E-04 -9.4979763E-02  0.0000000E+00
  7.8507600E+01  6.3583049E-02  2.0202977E-02  5.2236351E-03 -8.9197737E-02  0.0000000E+00
  7.8507600E+01  5.3344364E-02  1.7710968E-02  7.9030727E-03 -8.4401720E-02  0.0000000E+00
  7.8507600E+01  4.6454631E-02  1.7165681E-02  9.5908389E-03 -8.0317187E-02  0.0000000E+00
  7.8507600E+01  4.0230448E-02  1.7375994E-02  1.1001113E-02 -7.6772222E-02  0.0000000E+00
  7.8507600E+01  3.4346341E-02  1.7767254E-02  1.1910705E-02 -7.3619448E-02  0.0000000E+00
  7.8507600E+01  2.9126041E-02  1.7764066E-02  1.1883688E-02 -7.0759602E-02  0.0000000E+00
  7.8507600E+01  2.4578742E-02  1.6723778E-02  1.1507887E-02 -6.8142782E-02  0.0000000E+00
  7.8507600E+01  2.0501965E-02  1.4813521E-02  1.1178257E-02 -6.5718719E-02  0.0000000E+00
  7.8507600E+01  1.6520628E-02  1.2850453E-02  1.0449372E-02 -6.3448271E-02  0.0000000E+00
  7.8507600E+01  1.2641713E-02  1.1440498E-02  8.8593706E-03 -6.1309144E-02  0.0000000E+00
  7.8507600E+01  8.6995855E-03  1.0786263E-02  6.6315597E-03 -5.9265877E-02  0.0000000E+00
  7.8507600E+01  4.6747260E-03  1.0123807E-02  4.7652579E-03 -5.7294737E-02  0.0000000E+00
  7.8507600E+01  8.3924373E-04  8.3749161E-03  4.2234561E-03 -5.5378103E-02  0.0000000E+00
  7.8507600E+01 -2.7238226E-03  5.9231478E-03  5.0220287E-03 -5.3514610E-02  0.0000000E+00
  7.8507600E+01 -5.6251393E-03  3.7671443E-03  6.4767923E-03 -5.1696253E-02  0.0000000E+00
  7.8507600E+01 -7.4092337E-03  1.9572179E-03  7.8122727E-03 -4.9920196E-02  0.0000000E+00
  7.8507600E+01 -8.0276517E-03  6.3105488E-04  8.4295257E-03 -4.8195321E-02  0.0000000E+00
  7.8507600E+01 -7.8930889E-03  2.3125486E-05  8.2153425E-03 -4.6523742E-02  0.0000000E+00
  7.8507600E+01 -7.3850704E-03  3.0909838E-04  7.6247765E-03 -4.4911273E-02  0.0000000E+00
  7.8507600E+01 -6.8122726E-03  1.4626333E-03  7.0356921E-03 -4.3369959E-02  0.0000000E+00
  7.8507600E+01 -6.5356682E-03  2.9710468E-03  6.7322085E-03 -4.1894826E-02  0.0000000E+00
  7.8507600E+01 -6.7020168E-03  4.1364133E-03  6.7657862E-03 -4.0480678E-02  0.0000000E+00
  7.8507600E+01 -7.1064159E-03  4.7824519E-03  6.9373166E-03 -3.9118191E-02  0.0000000E+00
  7.8507600E+01 -7.4124883E-03  5.1143865E-03  7.0640211E-03 -3.7807075E-02  0.0000000E+00
  7.8507600E+01 -7.3960900E-03  5.5283868E-03  6.9687663E-03 -3.6546435E-02  0.0000000E+00
  7.8507600E+01 -7.2310702E-03  6.0442801E-03  6.3134446E-03 -3.5340116E-02  0.0000000E+00
  7.8507600E+01 -7.2627265E-03  6.2890480E-03  5.4677129E-03 -3.4194499E-02  0.0000000E+00
  7.8507600E+01 -7.5223152E-03  6.0706054E-03  4.9615924E-03 -3.3102329E-02  0.0000000E+00
  7.8507600E+01 -7.9661716E-03  5.4122574E-03  4.8208884E-03 -3.2052280E-02  0.0000000E+00
  7.8507600E+01 -8.4663479E-03  4.5235486E-03  4.9136419E-03 -3.1037261E-02  0.0000000E+00
  7.8507600E+01 -8.8922072E-03  3.6857869E-03  5.1007787E-03 -3.0047617E-02  0.0000000E+00
  7.8507600E+01 -9.1990984E-03  3.0358630E-03  5.2156216E-03 -2.9080180E-02  0.0000000E+00
  7.8507600E+01 -9.4395662E-03  2.5759872E-03  5.2597789E-03 -2.8138485E-02  0.0000000E+00
  7.8507600E+01 -9.6032893E-03  2.3239812E-03  5.4287632E-03 -2.7221173E-02  0.0000000E+00
  7.8507600E+01 -9.6841083E-03  2.3523013E-03  5.6785727E-03 -2.6332245E-02  0.0000000E+00
  7.8507600E+01 -9.7367099E-03  2.6025528E-03  5.8464849E-03 -2.5472732E-02  0.0000000E+00
  7.8507600E+01 -9.8377490E-03  3.0413562E-03  5.7342961E-03 -2.4647428E-02  0.0000000E+00
  7.8507600E+01 -1.0010079E-02  3.5699451E-03  5.2915599E-03 -2.3852801E-02  0.0000000E+00
  7.8507600E+01 -1.0164602E-02  4.0066102E-03  4.7192388E-03 -2.3080864E-02  0.0000000E+00
  7.8507600E+01 -1.0187424E-02  4.2956459E-03  4.2838554E-03 -2.2329793E-02  0.0000000E+00
  7.8507600E+01 -1.0003603E-02  4.4963755E-03  3.9959646E-03 -2.1594725E-02  0.0000000E+00
  7.8507600E+01 -9.6555953E-03  4.5100261E-03  3.8518496E-03 -2.0873867E-02  0.0000000E+00
