          atime           conv           prod        pres_tr        pres_df        garbage
  7.8507600E+01  3.9852323E-07 -2.3528075E-11 -3.9339941E-08  6.4936185E-05  6.1452830E-05
  7.8507600E+01 -1.4065111E-01  1.8524759E-01 -6.7095060E-02 -6.7744471E-02  2.0219730E-05
  7.8507600E+01 -9.5677444E-02  7.8714057E-02 -1.2763816E-02 -1.2239177E-02  5.8257597E-05
  7.8507600E+01 -5.9463069E-02 -1.2100950E-02  3.1763146E-02  2.9823563E-02 -5.9892621E-05
  7.8507600E+01 -3.6115859E-02 -3.0288867E-02  4.7658415E-02  4.6171619E-02  4.5151203E-05
  7.8507600E+01 -2.7674733E-02 -3.0892571E-02  5.1563578E-02  5.0971111E-02 -1.6650666E-06
  7.8507600E+01 -2.5812443E-02 -2.6480835E-02  4.9899754E-02  4.9892959E-02 -1.0937822E-05
  7.8507600E+01 -2.0573544E-02 -2.1987154E-02  4.4504830E-02  4.4227990E-02  5.4426535E-06
  7.8507600E+01 -2.1069431E-02 -1.7553739E-02  3.9479203E-02  3.8794536E-02 -1.1832573E-05
  7.8507600E+01 -2.4202406E-02 -1.3773281E-02  3.6605575E-02  3.5969647E-02 -1.8354474E-05
  7.8507600E+01 -2.7596751E-02 -1.0853167E-02  3.4303777E-02  3.4002170E-02 -1.7891350E-05
  7.8507600E+01 -3.0767445E-02 -8.6874875E-03  3.2012150E-02  3.1927231E-02 -9.6843224E-06
  7.8507600E+01 -3.2343522E-02 -7.0424245E-03  2.9386897E-02  2.9329466E-02  9.4387039E-06
  7.8507600E+01 -3.2359592E-02 -5.4496492E-03  2.6405204E-02  2.6342900E-02  3.3533498E-05
  7.8507600E+01 -3.1264146E-02 -3.4612986E-03  2.3246872E-02  2.3245838E-02  4.3099576E-05
  7.8507600E+01 -2.9659951E-02 -9.3506506E-04  1.9910226E-02  1.9972265E-02  3.4407501E-05
  7.8507600E+01 -2.8049816E-02  1.5684543E-03  1.6470791E-02  1.6639297E-02  2.1436896E-05
  7.8507600E+01 -2.6331629E-02  3.4804634E-03  1.3058704E-02  1.3369896E-02  1.2340670E-05
  7.8507600E+01 -2.4484530E-02  4.7038623E-03  9.7818957E-03  1.0143332E-02  6.2275462E-06
  7.8507600E+01 -2.2408994E-02  5.4571449E-03  6.7188080E-03  6.9782471E-03  1.0114300E-06
  7.8507600E+01 -1.9578016E-02  6.2700647E-03  4.1106769E-03  4.1729456E-03 -4.8918658E-06
  7.8507600E+01 -1.6268448E-02  7.2198376E-03  2.3093987E-03  2.3651103E-03 -6.9792676E-06
  7.8507600E+01 -1.2802377E-02  7.8875633E-03  1.1801285E-03  1.2795893E-03 -2.8106211E-06
  7.8507600E+01 -9.9920245E-03  7.9690027E-03  5.1646443E-04  5.6967880E-04  5.6384531E-06
  7.8507600E+01 -7.7678975E-03  7.6341862E-03  1.7268950E-04  1.3070311E-04  1.2934251E-05
  7.8507600E+01 -5.0816939E-03  7.4691252E-03  2.7440228E-04  2.0370891E-04  1.1287930E-05
  7.8507600E+01 -1.8610666E-03  7.7187020E-03  8.4302639E-04  7.9515887E-04  5.1257169E-06
  7.8507600E+01  2.9282610E-05  7.8443886E-03  1.5837936E-03  1.5975787E-03  5.1224781E-06
  7.8507600E+01 -1.7790218E-04  7.6708061E-03  2.1000914E-03  2.1240349E-03  1.8627681E-06
  7.8507600E+01 -1.5196790E-03  7.2148459E-03  2.3066763E-03  2.2993948E-03  2.2987517E-06
  7.8507600E+01 -1.9726939E-03  6.5874000E-03  2.3829596E-03  2.4099058E-03  3.7339622E-06
  7.8507600E+01 -1.4927216E-03  5.9789035E-03  2.5505316E-03  2.6435002E-03  5.5116641E-06
  7.8507600E+01 -1.4155464E-03  5.6033917E-03  2.5633273E-03  2.6442617E-03  5.5348450E-06
  7.8507600E+01 -1.2049157E-03  5.4109126E-03  2.2470172E-03  2.3158925E-03  5.8919603E-06
  7.8507600E+01 -4.7430864E-04  5.3840700E-03  1.7549413E-03  1.8106620E-03  6.4386731E-06
  7.8507600E+01  2.9228959E-04  5.4565002E-03  1.1334871E-03  1.1930115E-03  5.9867994E-06
  7.8507600E+01  8.6058287E-04  5.5978871E-03  4.8542129E-04  5.3884648E-04  2.9835485E-06
  7.8507600E+01  1.3581824E-03  5.8237297E-03 -5.2820773E-05 -3.2593989E-05 -9.9057201E-07
  7.8507600E+01  1.9230835E-03  6.1321713E-03 -4.7380689E-04 -4.5033032E-04 -3.6895016E-06
  7.8507600E+01  2.1307769E-03  6.4181724E-03 -8.0190010E-04 -7.6622992E-04 -3.8961705E-06
  7.8507600E+01  1.5500527E-03  6.5823587E-03 -9.2527243E-04 -8.8330637E-04 -1.5191909E-06
  7.8507600E+01  1.0264623E-03  6.6780706E-03 -8.2661718E-04 -8.1922669E-04  1.7493043E-06
  7.8507600E+01  6.8494353E-04  6.7318232E-03 -6.4383609E-04 -6.6341106E-04  3.2319302E-06
  7.8507600E+01  4.8842861E-04  6.7245522E-03 -5.3104840E-04 -5.5940310E-04  2.7522179E-06
  7.8507600E+01  3.9324155E-04  6.6310592E-03 -5.7428675E-04 -6.1163928E-04  1.2150979E-06
  7.8507600E+01  2.7804210E-04  6.4630060E-03 -7.1937664E-04 -7.4669582E-04  8.7066455E-08
  7.8507600E+01  2.2705804E-04  6.2931371E-03 -8.0396108E-04 -8.0773335E-04  1.1056906E-06
  7.8507600E+01  7.8142217E-04  6.1649211E-03 -7.5563132E-04 -7.5370267E-04  7.8152656E-07
  7.8507600E+01  8.6963421E-04  6.0456460E-03 -6.4685978E-04 -6.2892450E-04  1.5578586E-06
  7.8507600E+01  7.8168490E-04  5.9287362E-03 -6.1344505E-04 -5.7900928E-04  1.9309257E-06
  7.8507600E+01  9.1543472E-04  5.8236217E-03 -6.9424478E-04 -6.5664851E-04  2.1428367E-06
  7.8507600E+01  1.2061026E-03  5.7271275E-03 -8.4349770E-04 -8.2844756E-04  1.3644482E-06
  7.8507600E+01  1.3164281E-03  5.6106301E-03 -9.8837907E-04 -9.9878334E-04  8.4949982E-08
  7.8507600E+01  1.0849606E-03  5.4325293E-03 -1.0639953E-03 -1.0695936E-03 -5.7975903E-07
  7.8507600E+01  8.3040976E-04  5.1854032E-03 -1.0396786E-03 -1.0478493E-03 -8.5162431E-07
  7.8507600E+01  4.6306164E-04  4.9080121E-03 -9.3713048E-04 -9.3211278E-04 -1.1118561E-06
  7.8507600E+01  4.7002128E-04  4.6590693E-03 -8.5621918E-04 -8.4841990E-04 -1.1042941E-06
  7.8507600E+01  4.3474618E-04  4.4548527E-03 -8.2683833E-04 -8.2432688E-04 -1.0555678E-06
  7.8507600E+01  2.4461856E-04  4.2875316E-03 -8.2412961E-04 -8.2868242E-04 -1.5251452E-06
  7.8507600E+01  1.9774274E-04  4.1441816E-03 -8.2616378E-04 -8.3444947E-04 -1.7753834E-06
  7.8507600E+01  3.4896244E-04  4.0115501E-03 -8.4001736E-04 -8.4480506E-04 -1.1841782E-06
  7.8507600E+01  2.9233486E-04  3.8792481E-03 -9.0106044E-04 -8.9545557E-04 -3.8398100E-07
  7.8507600E+01  3.9663995E-04  3.7456828E-03 -1.0473421E-03 -1.0382376E-03  6.4061194E-07
  7.8507600E+01  2.1665331E-04  3.6019272E-03 -1.2143746E-03 -1.2010304E-03  9.1140878E-07
  7.8507600E+01  2.5104872E-05  3.4710652E-03 -1.3590472E-03 -1.3506055E-03  8.2703480E-07
  7.8507600E+01 -6.6905740E-05  3.3640040E-03 -1.4431689E-03 -1.4388909E-03  7.2989674E-07
  7.8507600E+01 -1.5768303E-04  3.2730588E-03 -1.4384483E-03 -1.4350762E-03  4.8205869E-07
  7.8507600E+01 -2.9379809E-04  3.1794950E-03 -1.3370908E-03 -1.3374377E-03 -7.2236147E-08
  7.8507600E+01 -4.4011733E-04  3.0632979E-03 -1.1497201E-03 -1.1549909E-03 -7.5928395E-07
  7.8507600E+01 -5.1744234E-04  2.9141462E-03 -9.0319495E-04 -9.0199998E-04 -1.0362131E-06
  7.8507600E+01 -3.1812040E-04  2.7436549E-03 -6.3942951E-04 -6.2935509E-04 -7.2788407E-07
  7.8507600E+01 -2.9728015E-04  2.5804510E-03 -4.0069131E-04 -3.8573216E-04 -2.9243896E-07
  7.8507600E+01 -1.6549437E-04  2.4369981E-03 -2.2705017E-04 -2.1031499E-04 -1.3501521E-07
  7.8507600E+01 -1.0604118E-04  2.3145227E-03 -1.3133484E-04 -1.1609178E-04 -2.2411670E-07
  7.8507600E+01 -2.5297641E-04  2.2091587E-03 -1.1355099E-04 -1.0327805E-04 -3.2053932E-07
  7.8507600E+01 -3.5326226E-04  2.1159101E-03 -1.6542072E-04 -1.6222276E-04 -3.9662034E-07
  7.8507600E+01 -2.4574151E-04  2.0289574E-03 -2.6137334E-04 -2.6495334E-04 -3.2635687E-07
  7.8507600E+01 -2.5165626E-04  1.9412301E-03 -3.5484295E-04 -3.6349252E-04  1.1481987E-07
  7.8507600E+01 -5.6289407E-04  1.8524033E-03 -3.9746154E-04 -4.0903853E-04 -9.7998850E-08
  7.8507600E+01 -1.9876267E-04  1.7700432E-03 -3.8014175E-04 -3.8763022E-04  5.4909092E-07
  7.8507600E+01  1.6349172E-05  1.7000138E-03 -3.1086790E-04 -3.1900184E-04  2.7730747E-07
  7.8507600E+01  1.7518827E-04  1.6399584E-03 -2.2549276E-04 -2.3077913E-04  2.6201185E-07
  7.8507600E+01  4.6198579E-04  1.5799438E-03 -1.6699182E-04 -1.6919202E-04  3.2081218E-07
  7.8507600E+01  6.1953239E-04  1.5115733E-03 -1.6694664E-04 -1.6875086E-04  2.2172020E-07
  7.8507600E+01  4.6125895E-04  1.4353026E-03 -2.2722896E-04 -2.2960680E-04  2.9585302E-08
  7.8507600E+01  3.7986646E-04  1.3606809E-03 -3.1262128E-04 -3.1267742E-04 -2.2396883E-07
