          atime            tkk            imk        garbage        garbage        garbage
  7.8507600E+01 -1.1347564E-13  0.0000000E+00  6.1452830E-05 -2.3528075E-11  6.4936185E-05
  7.8507600E+01  1.7678425E-02  0.0000000E+00  2.0219730E-05  1.8524759E-01 -6.7744471E-02
  7.8507600E+01  3.0643189E-02  0.0000000E+00  5.8257597E-05  7.8714057E-02 -1.2239177E-02
  7.8507600E+01  3.2129144E-02  0.0000000E+00 -5.9892621E-05 -1.2100950E-02  2.9823563E-02
  7.8507600E+01  3.2187224E-02  0.0000000E+00  4.5151203E-05 -3.0288867E-02  4.6171619E-02
  7.8507600E+01  3.2218895E-02  0.0000000E+00 -1.6650666E-06 -3.0892571E-02  5.0971111E-02
  7.8507600E+01  3.2237481E-02  0.0000000E+00 -1.0937822E-05 -2.6480835E-02  4.9892959E-02
  7.8507600E+01  3.2246599E-02  0.0000000E+00  5.4426535E-06 -2.1987154E-02  4.4227990E-02
  7.8507600E+01  3.2311847E-02  0.0000000E+00 -1.1832573E-05 -1.7553739E-02  3.8794536E-02
  7.8507600E+01  3.2435800E-02  0.0000000E+00 -1.8354474E-05 -1.3773281E-02  3.5969647E-02
  7.8507600E+01  3.2625347E-02  0.0000000E+00 -1.7891350E-05 -1.0853167E-02  3.4002170E-02
  7.8507600E+01  3.2904054E-02  0.0000000E+00 -9.6843224E-06 -8.6874875E-03  3.1927231E-02
  7.8507600E+01  3.3205253E-02  0.0000000E+00  9.4387039E-06 -7.0424245E-03  2.9329466E-02
  7.8507600E+01  3.3455063E-02  0.0000000E+00  3.3533498E-05 -5.4496492E-03  2.6342900E-02
  7.8507600E+01  3.3615749E-02  0.0000000E+00  4.3099576E-05 -3.4612986E-03  2.3245838E-02
  7.8507600E+01  3.3679567E-02  0.0000000E+00  3.4407501E-05 -9.3506506E-04  1.9972265E-02
  7.8507600E+01  3.3680840E-02  0.0000000E+00  2.1436896E-05  1.5684543E-03  1.6639297E-02
  7.8507600E+01  3.3620450E-02  0.0000000E+00  1.2340670E-05  3.4804634E-03  1.3369896E-02
  7.8507600E+01  3.3487579E-02  0.0000000E+00  6.2275462E-06  4.7038623E-03  1.0143332E-02
  7.8507600E+01  3.3296028E-02  0.0000000E+00  1.0114300E-06  5.4571449E-03  6.9782471E-03
  7.8507600E+01  3.3032747E-02  0.0000000E+00 -4.8918658E-06  6.2700647E-03  4.1729456E-03
  7.8507600E+01  3.2676186E-02  0.0000000E+00 -6.9792676E-06  7.2198376E-03  2.3651103E-03
  7.8507600E+01  3.2236943E-02  0.0000000E+00 -2.8106211E-06  7.8875633E-03  1.2795893E-03
  7.8507600E+01  3.1769849E-02  0.0000000E+00  5.6384531E-06  7.9690027E-03  5.6967880E-04
  7.8507600E+01  3.1303924E-02  0.0000000E+00  1.2934251E-05  7.6341862E-03  1.3070311E-04
  7.8507600E+01  3.0796475E-02  0.0000000E+00  1.1287930E-05  7.4691252E-03  2.0370891E-04
