          atime          uvari          vvari          wvari          pvari          tvari
  7.8507600E+01 -1.6271053E-13 -1.0468093E-15 -6.3193944E-14  1.7041307E-03  0.0000000E+00
  7.8507600E+01  2.4146118E-02  3.4264082E-04  1.0868092E-02  1.4353312E-03  0.0000000E+00
  7.8507600E+01  3.2701179E-02  1.7037153E-03  2.6881483E-02  1.0392068E-03  0.0000000E+00
  7.8507600E+01  3.0148725E-02  3.8452852E-03  3.0264278E-02  8.4768470E-04  0.0000000E+00
  7.8507600E+01  2.9228323E-02  6.0459308E-03  2.9100194E-02  7.8534035E-04  0.0000000E+00
  7.8507600E+01  2.8898900E-02  7.9543233E-03  2.7584567E-02  7.7419244E-04  0.0000000E+00
  7.8507600E+01  2.8697924E-02  9.4983481E-03  2.6278690E-02  7.8270521E-04  0.0000000E+00
  7.8507600E+01  2.8557450E-02  1.0775508E-02  2.5160240E-02  7.9736397E-04  0.0000000E+00
  7.8507600E+01  2.8553336E-02  1.1864260E-02  2.4206099E-02  8.1052431E-04  0.0000000E+00
  7.8507600E+01  2.8656143E-02  1.2780809E-02  2.3434648E-02  8.2090026E-04  0.0000000E+00
  7.8507600E+01  2.8830182E-02  1.3529596E-02  2.2890915E-02  8.2917616E-04  0.0000000E+00
  7.8507600E+01  2.9132155E-02  1.4120976E-02  2.2554977E-02  8.3722187E-04  0.0000000E+00
  7.8507600E+01  2.9540254E-02  1.4559929E-02  2.2310323E-02  8.4637816E-04  0.0000000E+00
  7.8507600E+01  2.9977971E-02  1.4856053E-02  2.2076102E-02  8.5632915E-04  0.0000000E+00
  7.8507600E+01  3.0370717E-02  1.5031076E-02  2.1829705E-02  8.6614779E-04  0.0000000E+00
  7.8507600E+01  3.0660463E-02  1.5113358E-02  2.1585313E-02  8.7501431E-04  0.0000000E+00
  7.8507600E+01  3.0874318E-02  1.5116454E-02  2.1370909E-02  8.8193401E-04  0.0000000E+00
  7.8507600E+01  3.1025827E-02  1.5036489E-02  2.1178585E-02  8.8521426E-04  0.0000000E+00
  7.8507600E+01  3.1110446E-02  1.4883260E-02  2.0981451E-02  8.8290001E-04  0.0000000E+00
  7.8507600E+01  3.1139375E-02  1.4682593E-02  2.0770087E-02  8.7400510E-04  0.0000000E+00
  7.8507600E+01  3.1069267E-02  1.4467183E-02  2.0529044E-02  8.5898326E-04  0.0000000E+00
  7.8507600E+01  3.0858538E-02  1.4265107E-02  2.0228726E-02  8.3871373E-04  0.0000000E+00
  7.8507600E+01  3.0522133E-02  1.4078778E-02  1.9872975E-02  8.1380979E-04  0.0000000E+00
  7.8507600E+01  3.0144541E-02  1.3891861E-02  1.9503296E-02  7.8588203E-04  0.0000000E+00
  7.8507600E+01  2.9772336E-02  1.3683969E-02  1.9151543E-02  7.5742453E-04  0.0000000E+00
  7.8507600E+01  2.9333962E-02  1.3452918E-02  1.8806070E-02  7.2998255E-04  0.0000000E+00
  7.8507600E+01  2.8785933E-02  1.3218991E-02  1.8436954E-02  7.0409462E-04  0.0000000E+00
  7.8507600E+01  2.8207409E-02  1.2992682E-02  1.8048667E-02  6.8003475E-04  0.0000000E+00
  7.8507600E+01  2.7648406E-02  1.2772043E-02  1.7667384E-02  6.5767771E-04  0.0000000E+00
  7.8507600E+01  2.7143989E-02  1.2550018E-02  1.7312139E-02  6.3630241E-04  0.0000000E+00
  7.8507600E+01  2.6725650E-02  1.2321526E-02  1.6958821E-02  6.1506185E-04  0.0000000E+00
  7.8507600E+01  2.6379201E-02  1.2088115E-02  1.6572410E-02  5.9404751E-04  0.0000000E+00
  7.8507600E+01  2.6048933E-02  1.1857331E-02  1.6171046E-02  5.7457521E-04  0.0000000E+00
  7.8507600E+01  2.5684208E-02  1.1643005E-02  1.5809577E-02  5.5799324E-04  0.0000000E+00
  7.8507600E+01  2.5245981E-02  1.1455037E-02  1.5517386E-02  5.4437809E-04  0.0000000E+00
  7.8507600E+01  2.4739844E-02  1.1290336E-02  1.5289891E-02  5.3266046E-04  0.0000000E+00
  7.8507600E+01  2.4209408E-02  1.1141664E-02  1.5103204E-02  5.2152169E-04  0.0000000E+00
  7.8507600E+01  2.3673959E-02  1.1003492E-02  1.4932545E-02  5.1015462E-04  0.0000000E+00
  7.8507600E+01  2.3110551E-02  1.0876027E-02  1.4772109E-02  4.9870354E-04  0.0000000E+00
  7.8507600E+01  2.2526818E-02  1.0757966E-02  1.4639276E-02  4.8768918E-04  0.0000000E+00
  7.8507600E+01  2.1959473E-02  1.0642667E-02  1.4547705E-02  4.7735990E-04  0.0000000E+00
  7.8507600E+01  2.1436204E-02  1.0527434E-02  1.4474723E-02  4.6786236E-04  0.0000000E+00
  7.8507600E+01  2.0971310E-02  1.0415639E-02  1.4381046E-02  4.5919893E-04  0.0000000E+00
  7.8507600E+01  2.0560207E-02  1.0305899E-02  1.4232460E-02  4.5107577E-04  0.0000000E+00
  7.8507600E+01  2.0185086E-02  1.0193353E-02  1.4017190E-02  4.4299191E-04  0.0000000E+00
  7.8507600E+01  1.9833074E-02  1.0077975E-02  1.3752195E-02  4.3462137E-04  0.0000000E+00
  7.8507600E+01  1.9495915E-02  9.9650277E-03  1.3467725E-02  4.2596525E-04  0.0000000E+00
  7.8507600E+01  1.9153565E-02  9.8538627E-03  1.3175725E-02  4.1701769E-04  0.0000000E+00
  7.8507600E+01  1.8791517E-02  9.7412174E-03  1.2890518E-02  4.0772126E-04  0.0000000E+00
  7.8507600E+01  1.8411041E-02  9.6249328E-03  1.2619121E-02  3.9794261E-04  0.0000000E+00
  7.8507600E+01  1.8012555E-02  9.5034677E-03  1.2357586E-02  3.8750300E-04  0.0000000E+00
  7.8507600E+01  1.7600352E-02  9.3759287E-03  1.2099592E-02  3.7631558E-04  0.0000000E+00
  7.8507600E+01  1.7187844E-02  9.2411486E-03  1.1840323E-02  3.6443945E-04  0.0000000E+00
  7.8507600E+01  1.6801295E-02  9.0988058E-03  1.1583295E-02  3.5215158E-04  0.0000000E+00
  7.8507600E+01  1.6459391E-02  8.9488961E-03  1.1340638E-02  3.3968476E-04  0.0000000E+00
  7.8507600E+01  1.6163226E-02  8.7953037E-03  1.1119584E-02  3.2730556E-04  0.0000000E+00
  7.8507600E+01  1.5901588E-02  8.6472731E-03  1.0916338E-02  3.1534309E-04  0.0000000E+00
  7.8507600E+01  1.5667167E-02  8.5109278E-03  1.0724215E-02  3.0394460E-04  0.0000000E+00
  7.8507600E+01  1.5455548E-02  8.3868910E-03  1.0535225E-02  2.9323696E-04  0.0000000E+00
  7.8507600E+01  1.5260418E-02  8.2723603E-03  1.0342038E-02  2.8340806E-04  0.0000000E+00
  7.8507600E+01  1.5069753E-02  8.1631480E-03  1.0138574E-02  2.7452092E-04  0.0000000E+00
  7.8507600E+01  1.4873674E-02  8.0572226E-03  9.9253053E-03  2.6650227E-04  0.0000000E+00
  7.8507600E+01  1.4677060E-02  7.9535717E-03  9.7107277E-03  2.5906265E-04  0.0000000E+00
  7.8507600E+01  1.4485333E-02  7.8525067E-03  9.5058865E-03  2.5185220E-04  0.0000000E+00
  7.8507600E+01  1.4292171E-02  7.7553728E-03  9.3155915E-03  2.4463153E-04  0.0000000E+00
  7.8507600E+01  1.4094526E-02  7.6628224E-03  9.1413997E-03  2.3723675E-04  0.0000000E+00
  7.8507600E+01  1.3897787E-02  7.5734009E-03  8.9825077E-03  2.2971896E-04  0.0000000E+00
