          atime        conv_uu        conv_vv        conv_ww         pm1avg           tavg
  2.0799350E+02 -5.2691632E-07  3.7048522E-07  5.0362880E-06 -8.4116403E-02  0.0000000E+00
  2.0799350E+02 -2.0355615E-03  1.1483825E-04 -5.5173416E-03 -8.3523519E-02  0.0000000E+00
  2.0799350E+02  1.2002532E-03  6.0986023E-04 -3.1255254E-02 -8.2266432E-02  0.0000000E+00
  2.0799350E+02  1.5274809E-02 -8.0829175E-04 -5.5195725E-02 -8.0429800E-02  0.0000000E+00
  2.0799350E+02  2.2567559E-02 -5.4121410E-03 -6.0780640E-02 -7.8449917E-02  0.0000000E+00
  2.0799350E+02  1.6998852E-02 -1.1139337E-02 -5.4196528E-02 -7.6577742E-02  0.0000000E+00
  2.0799350E+02  7.3747608E-03 -1.5925743E-02 -4.3877622E-02 -7.4857711E-02  0.0000000E+00
  2.0799350E+02 -3.0141807E-03 -1.9026023E-02 -3.4390679E-02 -7.3235418E-02  0.0000000E+00
  2.0799350E+02 -1.1970113E-02 -2.0517481E-02 -2.7418778E-02 -7.1635461E-02  0.0000000E+00
  2.0799350E+02 -1.8702983E-02 -2.0612121E-02 -2.2765756E-02 -6.9996317E-02  0.0000000E+00
  2.0799350E+02 -2.3319375E-02 -1.9630687E-02 -2.0130956E-02 -6.8274457E-02  0.0000000E+00
  2.0799350E+02 -2.6405794E-02 -1.8020767E-02 -1.9103246E-02 -6.6451041E-02  0.0000000E+00
  2.0799350E+02 -2.8566397E-02 -1.6172588E-02 -1.8974831E-02 -6.4535137E-02  0.0000000E+00
  2.0799350E+02 -2.9885685E-02 -1.4252693E-02 -1.8725711E-02 -6.2559026E-02  0.0000000E+00
  2.0799350E+02 -3.0012503E-02 -1.2232858E-02 -1.7502512E-02 -6.0563377E-02  0.0000000E+00
  2.0799350E+02 -2.9297937E-02 -1.0230034E-02 -1.5586860E-02 -5.8573726E-02  0.0000000E+00
  2.0799350E+02 -2.7888495E-02 -8.3471692E-03 -1.4141557E-02 -5.6602816E-02  0.0000000E+00
  2.0799350E+02 -2.5606381E-02 -6.6710408E-03 -1.2217436E-02 -5.4656926E-02  0.0000000E+00
  2.0799350E+02 -2.2907423E-02 -5.3027327E-03 -1.0113878E-02 -5.2745672E-02  0.0000000E+00
  2.0799350E+02 -2.0175233E-02 -4.2838147E-03 -8.5002205E-03 -5.0877670E-02  0.0000000E+00
