          atime             vx             vy             vz             pr        garbage
  2.0799350E+02  2.5350330E-05  7.8064575E-11  4.7250512E-08 -8.4366418E-02  0.0000000E+00
  2.0799350E+02  2.9661283E-01  4.8099547E-03  5.3306505E-04 -8.3791178E-02  0.0000000E+00
  2.0799350E+02  5.3419628E-01  1.3591869E-02  5.5068998E-04 -8.2548220E-02  0.0000000E+00
  2.0799350E+02  6.7942187E-01  2.0363493E-02 -3.1396807E-04 -8.0725363E-02  0.0000000E+00
  2.0799350E+02  7.5452726E-01  2.3928546E-02 -1.6680074E-03 -7.8741241E-02  0.0000000E+00
  2.0799350E+02  7.9216971E-01  2.5345517E-02 -2.9484084E-03 -7.6831930E-02  0.0000000E+00
  2.0799350E+02  8.1230945E-01  2.5625815E-02 -3.9985175E-03 -7.5038599E-02  0.0000000E+00
  2.0799350E+02  8.2446952E-01  2.5340459E-02 -4.9296794E-03 -7.3311301E-02  0.0000000E+00
  2.0799350E+02  8.3312506E-01  2.4791437E-02 -5.7656250E-03 -7.1584134E-02  0.0000000E+00
  2.0799350E+02  8.4032668E-01  2.4146418E-02 -6.4855325E-03 -6.9807427E-02  0.0000000E+00
  2.0799350E+02  8.4710735E-01  2.3474670E-02 -7.0228305E-03 -6.7950022E-02  0.0000000E+00
  2.0799350E+02  8.5394479E-01  2.2810453E-02 -7.3301047E-03 -6.6006292E-02  0.0000000E+00
  2.0799350E+02  8.6098995E-01  2.2180973E-02 -7.4180406E-03 -6.4000370E-02  0.0000000E+00
  2.0799350E+02  8.6820922E-01  2.1601889E-02 -7.3410459E-03 -6.1982025E-02  0.0000000E+00
  2.0799350E+02  8.7546807E-01  2.1058122E-02 -7.1348187E-03 -6.0006578E-02  0.0000000E+00
  2.0799350E+02  8.8258949E-01  2.0493037E-02 -6.7295876E-03 -5.8102434E-02  0.0000000E+00
  2.0799350E+02  8.8941626E-01  1.9908891E-02 -6.1251337E-03 -5.6273995E-02  0.0000000E+00
  2.0799350E+02  8.9604742E-01  1.9306830E-02 -5.3433252E-03 -5.4507362E-02  0.0000000E+00
  2.0799350E+02  9.0262824E-01  1.8713100E-02 -4.4229914E-03 -5.2785465E-02  0.0000000E+00
  2.0799350E+02  9.0924462E-01  1.8161819E-02 -3.4466473E-03 -5.1088912E-02  0.0000000E+00
  2.0799350E+02  9.1592471E-01  1.7670827E-02 -2.5226245E-03 -4.9402864E-02  0.0000000E+00
