          atime         prd_uu         prd_vv         prd_ww         pm1avg           tavg
  2.0799350E+02 -1.1127209E-08  1.4927749E-10 -1.2018979E-11 -8.4116403E-02  0.0000000E+00
  2.0799350E+02  4.1026779E-02 -2.4192510E-04 -3.7338573E-05 -8.3523519E-02  0.0000000E+00
  2.0799350E+02  1.3837588E-01 -2.5758203E-03 -1.2823505E-04 -8.2266432E-02  0.0000000E+00
  2.0799350E+02  1.3071456E-01 -5.7269181E-03 -5.8259268E-05 -8.0429800E-02  0.0000000E+00
  2.0799350E+02  7.6443090E-02 -6.7939637E-03  6.3516093E-05 -7.8449917E-02  0.0000000E+00
  2.0799350E+02  3.9129032E-02 -6.1098550E-03 -4.3971216E-05 -7.6577742E-02  0.0000000E+00
  2.0799350E+02  1.8761606E-02 -5.0268814E-03 -6.2208709E-05 -7.4857711E-02  0.0000000E+00
  2.0799350E+02  8.8537299E-03 -4.2216905E-03  2.2765187E-04 -7.3235418E-02  0.0000000E+00
  2.0799350E+02  4.3165582E-03 -3.7902168E-03  5.8418670E-04 -7.1635461E-02  0.0000000E+00
  2.0799350E+02  3.1388219E-03 -3.6381015E-03  8.7835829E-04 -6.9996317E-02  0.0000000E+00
  2.0799350E+02  3.9935319E-03 -3.6172000E-03  9.8510766E-04 -6.8274457E-02  0.0000000E+00
  2.0799350E+02  5.7639518E-03 -3.6481797E-03  9.2710248E-04 -6.6451041E-02  0.0000000E+00
  2.0799350E+02  7.6677842E-03 -3.7340642E-03  8.3279705E-04 -6.4535137E-02  0.0000000E+00
  2.0799350E+02  9.3947366E-03 -3.8996363E-03  8.0246466E-04 -6.2559026E-02  0.0000000E+00
  2.0799350E+02  1.1056887E-02 -4.1169190E-03  8.1070804E-04 -6.0563377E-02  0.0000000E+00
  2.0799350E+02  1.2804636E-02 -4.2596188E-03  7.1406807E-04 -5.8573726E-02  0.0000000E+00
  2.0799350E+02  1.4391004E-02 -4.4042433E-03  6.3980398E-04 -5.6602816E-02  0.0000000E+00
  2.0799350E+02  1.5511342E-02 -4.4960490E-03  5.9597092E-04 -5.4656926E-02  0.0000000E+00
  2.0799350E+02  1.6111936E-02 -4.4295600E-03  4.6412998E-04 -5.2745672E-02  0.0000000E+00
