          atime         ptr_uu         ptr_vv         ptr_ww         pm1avg           tavg
  2.0799350E+02  7.6334811E-07  1.3312284E-08  2.7314131E-06 -8.4116403E-02  0.0000000E+00
  2.0799350E+02 -3.9749635E-04 -2.8315988E-04  1.3638844E-02 -8.3523519E-02  0.0000000E+00
  2.0799350E+02 -3.6335910E-03  1.2032531E-03  1.2166771E-02 -8.2266432E-02  0.0000000E+00
  2.0799350E+02 -1.9504837E-03  3.1183623E-03  5.9276896E-03 -8.0429800E-02  0.0000000E+00
  2.0799350E+02  6.7475659E-04  5.2720639E-03 -2.3301536E-03 -7.8449917E-02  0.0000000E+00
  2.0799350E+02  2.1124108E-03  9.2676145E-03 -9.7896296E-03 -7.6577742E-02  0.0000000E+00
  2.0799350E+02  2.8864716E-03  1.5005989E-02 -1.4456205E-02 -7.4857711E-02  0.0000000E+00
  2.0799350E+02  3.4657316E-03  2.0645393E-02 -1.5671437E-02 -7.3235418E-02  0.0000000E+00
  2.0799350E+02  3.8578593E-03  2.4721813E-02 -1.4186400E-02 -7.1635461E-02  0.0000000E+00
  2.0799350E+02  3.8994025E-03  2.6625290E-02 -1.1330098E-02 -6.9996317E-02  0.0000000E+00
  2.0799350E+02  3.5630432E-03  2.7092931E-02 -8.3344595E-03 -6.8274457E-02  0.0000000E+00
  2.0799350E+02  2.9350287E-03  2.7026471E-02 -5.9548867E-03 -6.6451041E-02  0.0000000E+00
  2.0799350E+02  2.1471036E-03  2.6847791E-02 -4.2210192E-03 -6.4535137E-02  0.0000000E+00
  2.0799350E+02  1.3046595E-03  2.6201006E-02 -2.5341639E-03 -6.2559026E-02  0.0000000E+00
  2.0799350E+02  4.4250677E-04  2.4259233E-02 -2.6464289E-04 -6.0563377E-02  0.0000000E+00
  2.0799350E+02 -4.7960073E-04  2.1065322E-02  2.3705916E-03 -5.8573726E-02  0.0000000E+00
  2.0799350E+02 -1.2942237E-03  1.7122571E-02  5.1955459E-03 -5.6602816E-02  0.0000000E+00
