          atime        pres_st        turb_df           diss        visc_df        garbage
  2.0799350E+02  4.9499187E-06 -1.4568293E-05 -1.0742675E-01  1.0804379E-01 -5.4949753E-09
  2.0799350E+02  6.3307962E-06  8.5910663E-03 -7.5531208E-02  3.6441503E-02  2.0373758E-02
  2.0799350E+02  4.6432168E-06 -2.4236981E-04 -4.6368199E-02 -4.1628529E-02  6.7835911E-02
  2.0799350E+02  1.1594403E-05 -1.8588036E-02 -3.8269914E-02 -2.9213649E-02  6.2464691E-02
  2.0799350E+02 -8.9993294E-06 -1.6544124E-02 -3.3288293E-02 -9.3816141E-03  3.4856321E-02
  2.0799350E+02 -1.9530033E-05 -1.0268553E-02 -2.9189769E-02 -2.0257014E-03  1.6487603E-02
  2.0799350E+02 -2.4721169E-05 -7.9727040E-03 -2.7171782E-02  1.3994693E-04  6.8362579E-03
  2.0799350E+02 -4.2809984E-06 -9.9231083E-03 -2.6152525E-02  4.1380996E-04  2.4298456E-03
  2.0799350E+02  2.0589162E-05 -1.3156476E-02 -2.5539961E-02  5.8692368E-04  5.5526405E-04
  2.0799350E+02  4.0096679E-05 -1.6763581E-02 -2.4999847E-02  3.9263427E-04  1.8953933E-04
  2.0799350E+02  5.0243998E-05 -1.9619193E-02 -2.4511812E-02  3.0709691E-04  6.8071981E-04
  2.0799350E+02  5.6715230E-05 -2.1528691E-02 -2.3943975E-02  1.4987772E-04  1.5214373E-03
  2.0799350E+02  5.4050103E-05 -2.2989690E-02 -2.3153043E-02 -2.7008858E-04  2.3832585E-03
  2.0799350E+02  4.5296159E-05 -2.3951469E-02 -2.2234885E-02 -7.7750328E-04  3.1487824E-03
  2.0799350E+02  4.0617685E-05 -2.3629013E-02 -2.1500673E-02 -8.0793978E-04  3.8753380E-03
  2.0799350E+02  2.1156382E-05 -2.2481908E-02 -2.0934441E-02 -4.2664237E-04  4.6295428E-03
  2.0799350E+02  2.6032469E-05 -2.0753708E-02 -2.0072226E-02 -3.4461592E-04  5.3132825E-03
  2.0799350E+02  2.7965328E-05 -1.7787741E-02 -1.9061190E-02 -2.8610888E-04  5.8056320E-03
  2.0799350E+02  2.3610198E-05 -1.4211966E-02 -1.8085945E-02 -2.8621865E-04  6.0732531E-03
  2.0799350E+02  1.5265731E-05 -1.0938666E-02 -1.7175756E-02 -2.5197928E-04  6.1633562E-03
  2.0799350E+02  7.1700984E-06 -8.2384820E-03 -1.6320487E-02 -1.7817009E-04  6.1711754E-03
  2.0799350E+02  2.5175438E-06 -5.8024804E-03 -1.5518348E-02 -1.4873627E-04  6.1961250E-03
  2.0799350E+02  1.8263686E-06 -3.2849711E-03 -1.4779314E-02 -2.3196838E-04  6.2990248E-03
  2.0799350E+02  3.2893222E-06 -8.1978373E-04 -1.4108051E-02 -3.7758805E-04  6.4727863E-03
  2.0799350E+02  5.7373739E-06  9.9727657E-04 -1.3490235E-02 -4.2388670E-04  6.6389498E-03
  2.0799350E+02  1.4847844E-05  2.1670820E-03 -1.2906113E-02 -3.2306443E-04  6.6824633E-03
  2.0799350E+02  9.5131289E-06  3.4284456E-03 -1.2310724E-02 -3.7009747E-04  6.5444895E-03
  2.0799350E+02  3.5404135E-07  5.0861043E-03 -1.1677329E-02 -3.2862390E-04  6.3151559E-03
  2.0799350E+02 -1.0198084E-06  6.6545368E-03 -1.1045257E-02 -1.9536297E-04  5.9925450E-03
  2.0799350E+02 -8.0555895E-07  7.5872447E-03 -1.0445658E-02 -3.0152153E-05  5.6044042E-03
  2.0799350E+02 -1.6318443E-06  7.8037468E-03 -9.9032319E-03  1.1391634E-04  5.2049796E-03
  2.0799350E+02 -3.4730196E-06  7.4485736E-03 -9.4294875E-03  2.0820871E-04  4.8525861E-03
  2.0799350E+02 -4.9447239E-06  6.7368505E-03 -9.0217099E-03  2.5115762E-04  4.5914406E-03
  2.0799350E+02 -4.6293315E-06  5.8662256E-03 -8.6666707E-03  2.6076391E-04  4.4393619E-03
  2.0799350E+02 -2.1091348E-06  4.9773426E-03 -8.3469810E-03  2.6195584E-04  4.3826019E-03
  2.0799350E+02  1.6149006E-06  4.1450604E-03 -8.0479865E-03  2.7376993E-04  4.3790757E-03
  2.0799350E+02  4.6409651E-06  3.3826178E-03 -7.7631027E-03  3.0131704E-04  4.3712554E-03
  2.0799350E+02  5.9429779E-06  2.6409450E-03 -7.4954878E-03  3.3749787E-04  4.3099940E-03
  2.0799350E+02  8.7280604E-06  1.7853207E-03 -7.2539540E-03  3.7943157E-04  4.1905449E-03
  2.0799350E+02  9.1307342E-06  7.8174632E-04 -6.9852962E-03  3.0882230E-04  4.1214819E-03
  2.0799350E+02  5.3817902E-06  3.0109891E-04 -6.6647490E-03  2.0047262E-04  4.0605836E-03
  2.0799350E+02  5.1090466E-06 -2.0039686E-05 -6.3700939E-03  1.4400629E-04  3.9780908E-03
  2.0799350E+02  4.9758796E-06 -3.4117615E-04 -6.1138350E-03  1.0283272E-04  3.8994345E-03
  2.0799350E+02  3.7451584E-06 -6.3860502E-04 -5.8950535E-03  7.1783818E-05  3.8359591E-03
  2.0799350E+02  1.6234996E-06 -8.4524463E-04 -5.7080511E-03  5.5019580E-05  3.7877672E-03
  2.0799350E+02 -4.4933208E-07 -9.2338778E-04 -5.5468489E-03  5.4448937E-05  3.7474661E-03
  2.0799350E+02 -1.4726180E-06 -8.8651665E-04 -5.4066280E-03  6.6046012E-05  3.7042851E-03
  2.0799350E+02 -9.2521732E-07 -7.8633138E-04 -5.2831999E-03  8.1441989E-05  3.6480407E-03
  2.0799350E+02  9.1882298E-07 -6.8114168E-04 -5.1715936E-03  9.2172770E-05  3.5724199E-03
  2.0799350E+02  2.9928372E-06 -6.0177101E-04 -5.0648476E-03  9.3962637E-05  3.4770580E-03
  2.0799350E+02  3.8515483E-06 -5.3112259E-04 -4.9540921E-03  8.8424096E-05  3.3678803E-03
  2.0799350E+02  2.5897707E-06 -4.1355685E-04 -4.8310113E-03  7.9554094E-05  3.2551849E-03
  2.0799350E+02  3.5906852E-07 -2.1022966E-04 -4.6937714E-03  6.2406814E-05  3.1489373E-03
  2.0799350E+02  2.5756253E-06 -1.6540688E-05 -4.5575016E-03  1.3232301E-06  3.0507511E-03
  2.0799350E+02  2.0584129E-06  2.0686653E-04 -4.4323225E-03 -8.0125441E-05  2.9709922E-03
  2.0799350E+02 -8.6820860E-07  3.7192977E-04 -4.3139461E-03 -7.6742636E-05  2.9410428E-03
  2.0799350E+02  2.6160654E-07  3.9209344E-04 -4.1961279E-03 -6.9485361E-05  2.9213158E-03
  2.0799350E+02  1.1347934E-06  4.0890790E-04 -4.0696559E-03 -7.3883939E-05  2.8931614E-03
  2.0799350E+02  8.5403039E-07  4.7111464E-04 -3.9381319E-03 -9.0722977E-05  2.8506143E-03
  2.0799350E+02 -2.8195000E-08  5.8012500E-04 -3.8096381E-03 -1.1295284E-04  2.7950720E-03
  2.0799350E+02 -7.2142304E-07  7.1938038E-04 -3.6914945E-03 -1.3104807E-04  2.7312357E-03
  2.0799350E+02 -7.9532787E-07  8.7038176E-04 -3.5876952E-03 -1.3686107E-04  2.6642443E-03
  2.0799350E+02 -3.1863345E-07  1.0187599E-03 -3.4983804E-03 -1.2603559E-04  2.5978567E-03
  2.0799350E+02  3.0662021E-07  1.1537570E-03 -3.4206979E-03 -9.9044997E-05  2.5335321E-03
  2.0799350E+02  6.6092031E-07  1.2644916E-03 -3.3504125E-03 -6.0919703E-05  2.4702618E-03
  2.0799350E+02  6.1869338E-07  1.3363766E-03 -3.2836167E-03 -1.9728775E-05  2.4050033E-03
  2.0799350E+02  5.0074602E-07  1.3510631E-03 -3.2179012E-03  1.6119783E-05  2.3335692E-03
  2.0799350E+02  9.1319383E-07  1.2932794E-03 -3.1523387E-03  4.1695258E-05  2.2518231E-03
  2.0799350E+02  2.1183380E-06  1.1679381E-03 -3.0856387E-03  6.0412301E-05  2.1570334E-03
  2.0799350E+02  2.7829495E-06  1.0308807E-03 -3.0118278E-03  8.9886118E-05  2.0492383E-03
  2.0799350E+02  8.8372411E-07  9.2163458E-04 -2.9166885E-03  1.3146369E-04  1.9339312E-03
  2.0799350E+02  1.0851177E-06  7.9700011E-04 -2.8193898E-03  1.1768084E-04  1.8286902E-03
  2.0799350E+02  3.5318490E-07  8.1604651E-04 -2.7291005E-03  1.1647368E-04  1.7338562E-03
  2.0799350E+02 -1.1953194E-07  8.6887411E-04 -2.6451947E-03  1.1754711E-04  1.6466005E-03
  2.0799350E+02 -1.1020362E-07  9.1197911E-04 -2.5656882E-03  1.1355461E-04  1.5644138E-03
  2.0799350E+02  1.8340059E-07  9.3931607E-04 -2.4889363E-03  1.0133946E-04  1.4854403E-03
  2.0799350E+02  4.8636261E-07  9.6142002E-04 -2.4144321E-03  8.1846979E-05  1.4086235E-03
  2.0799350E+02  6.2405097E-07  9.9150982E-04 -2.3429053E-03  5.9076413E-05  1.3336977E-03
  2.0799350E+02  5.7319236E-07  1.0374939E-03 -2.2759274E-03  3.8440822E-05  1.2610525E-03
  2.0799350E+02  4.2623004E-07  1.0987996E-03 -2.2152226E-03  2.4903490E-05  1.1915013E-03
  2.0799350E+02  3.0861952E-07  1.1669479E-03 -2.1618897E-03  2.1259273E-05  1.1259844E-03
  2.0799350E+02  2.8871223E-07  1.2287937E-03 -2.1157363E-03  2.6929353E-05  1.0652354E-03
  2.0799350E+02  3.1987760E-07  1.2713551E-03 -2.0749284E-03  3.7637857E-05  1.0094426E-03
  2.0799350E+02  2.5481803E-07  1.2871457E-03 -2.0362284E-03  4.6329515E-05  9.5802431E-04
  2.0799350E+02 -2.9709590E-08  1.2789930E-03 -1.9956066E-03  4.5774181E-05  9.0900443E-04
  2.0799350E+02 -3.5633434E-07  1.2629899E-03 -1.9504606E-03  3.2976689E-05  8.5939228E-04
  2.0799350E+02  2.2019353E-07  1.2690652E-03 -1.9022727E-03  1.6144146E-05  8.0474113E-04
  2.0799350E+02  8.1781183E-07  1.2480425E-03 -1.8575879E-03  1.7101188E-05  7.3967988E-04
  2.0799350E+02 -3.1212167E-07  1.1947157E-03 -1.8116007E-03  1.4221462E-05  6.7830423E-04
  2.0799350E+02 -8.1373844E-08  1.2260448E-03 -1.7665959E-03  1.0834166E-05  6.2347056E-04
  2.0799350E+02  3.4333932E-07  1.2893734E-03 -1.7241784E-03  1.3771689E-05  5.7139765E-04
  2.0799350E+02  5.4120687E-07  1.3464495E-03 -1.6849175E-03  2.4124815E-05  5.2005829E-04
  2.0799350E+02  4.9085298E-07  1.3766965E-03 -1.6487795E-03  3.9650845E-05  4.6871824E-04
  2.0799350E+02  3.3017045E-07  1.3764372E-03 -1.6154523E-03  5.6686819E-05  4.1752536E-04
