          atime            tkk            imb            div        garbage        garbage
  2.0799350E+02 -1.1213540E-10  6.0177735E-04  4.8048358E-18 -5.4949753E-09  3.9330198E-06
  2.0799350E+02  6.3927039E-03  7.3245786E-05  0.0000000E+00  2.0373758E-02  6.4946227E-03
  2.0799350E+02  1.7678960E-02 -8.1240069E-04  0.0000000E+00  6.7835911E-02  4.8102574E-03
  2.0799350E+02  2.4173340E-02  3.0548040E-04  0.0000000E+00  6.2464691E-02  3.5878602E-03
  2.0799350E+02  2.6439885E-02 -7.3676463E-04  0.0000000E+00  3.4856321E-02  1.8677098E-03
  2.0799350E+02  2.7149488E-02 -3.2715899E-05  0.0000000E+00  1.6487603E-02  8.0011407E-04
  2.0799350E+02  2.7478338E-02 -2.3585194E-04  0.0000000E+00  6.8362579E-03  1.6679869E-03
  2.0799350E+02  2.7804496E-02 -7.9669292E-04  0.0000000E+00  2.4298456E-03  4.1827137E-03
  2.0799350E+02  2.8204845E-02 -4.0442689E-04 -2.4068089E-19  5.5526405E-04  7.3030436E-03
  2.0799350E+02  2.8688340E-02 -5.4352700E-04  0.0000000E+00  1.8953933E-04  9.8541098E-03
  2.0799350E+02  2.9214849E-02 -4.4192220E-04  0.0000000E+00  6.8071981E-04  1.1452543E-02
  2.0799350E+02  2.9740713E-02 -3.3140582E-05  0.0000000E+00  1.5214373E-03  1.2256868E-02
  2.0799350E+02  3.0222440E-02  2.1428255E-04  0.0000000E+00  2.3832585E-03  1.2579082E-02
  2.0799350E+02  3.0603016E-02  1.0272009E-04  0.0000000E+00  3.1487824E-03  1.2606065E-02
  2.0799350E+02  3.0823844E-02  3.0197671E-05  0.0000000E+00  3.8753380E-03  1.2268819E-02
  2.0799350E+02  3.0896767E-02 -1.7787698E-04  0.0000000E+00  4.6295428E-03  1.1393203E-02
  2.0799350E+02  3.0864536E-02 -1.5670984E-04  0.0000000E+00  5.3132825E-03  1.0440655E-02
  2.0799350E+02  3.0745253E-02  2.2597897E-04  0.0000000E+00  5.8056320E-03  9.2981558E-03
  2.0799350E+02  3.0548990E-02  6.3416781E-04  0.0000000E+00  6.0732531E-03  7.9954005E-03
  2.0799350E+02  3.0281889E-02  8.5882614E-04  0.0000000E+00  6.1633562E-03  6.6273786E-03
  2.0799350E+02  2.9951833E-02  8.2600469E-04  0.0000000E+00  6.1711754E-03  5.2462285E-03
  2.0799350E+02  2.9568509E-02  5.9001654E-04  0.0000000E+00  6.1961250E-03  3.8977637E-03
  2.0799350E+02  2.9140730E-02  3.0030169E-04  0.0000000E+00  6.2990248E-03  2.6981969E-03
  2.0799350E+02  2.8673901E-02  1.3056790E-04  0.0000000E+00  6.4727863E-03  1.8465886E-03
  2.0799350E+02  2.8170520E-02  1.5880038E-04  0.0000000E+00  6.6389498E-03  1.4685469E-03
  2.0799350E+02  2.7636584E-02  1.8673315E-04  0.0000000E+00  6.6824633E-03  1.1867048E-03
  2.0799350E+02  2.7086701E-02 -3.9742676E-05  0.0000000E+00  6.5444895E-03  1.0278534E-03
  2.0799350E+02  2.6505846E-02  4.6073342E-05  0.0000000E+00  6.3151559E-03  5.4438829E-04
  2.0799350E+02  2.5906222E-02  1.0245919E-04  0.0000000E+00  5.9925450E-03  3.9534044E-05
  2.0799350E+02  2.5304271E-02  1.0747510E-04  0.0000000E+00  5.6044042E-03 -7.5585015E-05
  2.0799350E+02  2.4711662E-02  1.5262818E-04  6.2395732E-21  5.2049796E-03  1.8291470E-04
  2.0799350E+02  2.4137238E-02  2.7366651E-04  0.0000000E+00  4.8525861E-03  6.2571684E-04
  2.0799350E+02  2.3587406E-02  4.1491705E-04  0.0000000E+00  4.5914406E-03  1.0542074E-03
  2.0799350E+02  2.3066267E-02  4.7718869E-04  0.0000000E+00  4.4393619E-03  1.3483323E-03
  2.0799350E+02  2.2575726E-02  3.9926652E-04  0.0000000E+00  4.3826019E-03  1.4922078E-03
  2.0799350E+02  2.2115857E-02  2.2302282E-04  0.0000000E+00  4.3790757E-03  1.5512829E-03
  2.0799350E+02  2.1685780E-02  9.2170566E-05  0.0000000E+00  4.3712554E-03  1.6148508E-03
  2.0799350E+02  2.1285303E-02  1.3468517E-04  0.0000000E+00  4.3099940E-03  1.7177074E-03
  2.0799350E+02  2.0917596E-02  1.7891986E-04  0.0000000E+00  4.1905449E-03  1.7547566E-03
  2.0799350E+02  2.0594447E-02 -1.5006992E-04  0.0000000E+00  4.1214819E-03  1.6800532E-03
  2.0799350E+02  2.0305828E-02  1.0310710E-05  0.0000000E+00  4.0605836E-03  1.5945160E-03
  2.0799350E+02  2.0039664E-02  1.8955056E-04  0.0000000E+00  3.9780908E-03  1.4465753E-03
  2.0799350E+02  1.9788727E-02  2.2626178E-04  0.0000000E+00  3.8994345E-03  1.3188683E-03
  2.0799350E+02  1.9545631E-02  1.7022628E-04  0.0000000E+00  3.8359591E-03  1.2469275E-03
  2.0799350E+02  1.9304254E-02  1.1603358E-04  0.0000000E+00  3.7877672E-03  1.2308391E-03
  2.0799350E+02  1.9060570E-02  1.1878436E-04  0.0000000E+00  3.7474661E-03  1.2478770E-03
  2.0799350E+02  1.8812967E-02  1.7154870E-04  0.0000000E+00  3.7042851E-03  1.2651045E-03
  2.0799350E+02  1.8562117E-02  2.2426756E-04  0.0000000E+00  3.6480407E-03  1.2509378E-03
  2.0799350E+02  1.8310483E-02  2.2378647E-04  0.0000000E+00  3.5724199E-03  1.1846653E-03
  2.0799350E+02  1.8061536E-02  1.5471006E-04  0.0000000E+00  3.4770580E-03  1.0629145E-03
  2.0799350E+02  1.7818746E-02  6.0766278E-05  0.0000000E+00  3.3678803E-03  9.0206147E-04
  2.0799350E+02  1.7584442E-02  2.6368767E-05  0.0000000E+00  3.2551849E-03  7.3557637E-04
  2.0799350E+02  1.7358593E-02  9.8067149E-05  0.0000000E+00  3.1489373E-03  6.0529721E-04
  2.0799350E+02  1.7137603E-02  1.2557224E-04  0.0000000E+00  3.0507511E-03  5.4562655E-04
  2.0799350E+02  1.6918298E-02  2.8397179E-05  0.0000000E+00  2.9709922E-03  4.9777397E-04
  2.0799350E+02  1.6690625E-02  8.1065016E-05  0.0000000E+00  2.9410428E-03  4.6661938E-04
  2.0799350E+02  1.6457005E-02  1.4284190E-04 -4.1854066E-19  2.9213158E-03  4.3525314E-04
  2.0799350E+02  1.6220145E-02  2.2283556E-04  0.0000000E+00  2.8931614E-03  3.6830486E-04
  2.0799350E+02  1.5977460E-02  2.9488899E-04  0.0000000E+00  2.8506143E-03  2.6719447E-04
  2.0799350E+02  1.5725232E-02  3.3412038E-04  0.0000000E+00  2.7950720E-03  1.4928317E-04
  2.0799350E+02  1.5460815E-02  3.3355756E-04  0.0000000E+00  2.7312357E-03  3.4551791E-05
  2.0799350E+02  1.5183603E-02  3.0579486E-04  0.0000000E+00  2.6642443E-03 -6.1564306E-05
  2.0799350E+02  1.4895062E-02  2.7473373E-04  0.0000000E+00  2.5978567E-03 -1.3065991E-04
  2.0799350E+02  1.4598132E-02  2.6246744E-04  0.0000000E+00  2.5335321E-03 -1.7064011E-04
  2.0799350E+02  1.4296310E-02  2.7637034E-04  0.0000000E+00  2.4702618E-03 -1.8327201E-04
  2.0799350E+02  1.3992710E-02  3.0145213E-04  2.6584939E-20  2.4050033E-03 -1.7148392E-04
  2.0799350E+02  1.3689419E-02  3.0303709E-04  0.0000000E+00  2.3335692E-03 -1.3788803E-04
  2.0799350E+02  1.3387434E-02  2.4483042E-04  0.0000000E+00  2.2518231E-03 -8.6002615E-05
  2.0799350E+02  1.3087512E-02  1.2742919E-04  0.0000000E+00  2.1570334E-03 -2.5649687E-05
  2.0799350E+02  1.2792218E-02  5.2341374E-05  0.0000000E+00  2.0492383E-03  1.5995829E-05
  2.0799350E+02  1.2509132E-02  1.2042731E-04  0.0000000E+00  1.9339312E-03  4.8262611E-06
  2.0799350E+02  1.2240692E-02  6.7280680E-05  0.0000000E+00  1.8286902E-03 -3.4711052E-06
  2.0799350E+02  1.1985951E-02  1.3467774E-04  0.0000000E+00  1.7338562E-03 -1.9205923E-05
  2.0799350E+02  1.1745341E-02  2.0998059E-04  0.0000000E+00  1.6466005E-03 -2.2830742E-05
  2.0799350E+02  1.1518098E-02  2.4893983E-04  0.0000000E+00  1.5644138E-03 -9.5439301E-06
  2.0799350E+02  1.1302398E-02  2.4663742E-04  0.0000000E+00  1.4854403E-03  1.6464836E-05
  2.0799350E+02  1.1095637E-02  2.1652087E-04  0.0000000E+00  1.4086235E-03  4.6575527E-05
  2.0799350E+02  1.0894825E-02  1.7639679E-04  0.0000000E+00  1.3336977E-03  7.1201761E-05
  2.0799350E+02  1.0697017E-02  1.4025239E-04  0.0000000E+00  1.2610525E-03  8.2254439E-05
  2.0799350E+02  1.0499723E-02  1.1477328E-04  0.0000000E+00  1.1915013E-03  7.4701631E-05
  2.0799350E+02  1.0301248E-02  9.9425837E-05  0.0000000E+00  1.1259844E-03  4.7321288E-05
  2.0799350E+02  1.0100891E-02  8.8972695E-05  0.0000000E+00  1.0652354E-03  2.7434049E-06
  2.0799350E+02  9.8989409E-03  7.7289547E-05  0.0000000E+00  1.0094426E-03 -5.3121790E-05
  2.0799350E+02  9.6967987E-03  6.1383783E-05  0.0000000E+00  9.5802431E-04 -1.1206830E-04
  2.0799350E+02  9.4949287E-03  4.4286176E-05  0.0000000E+00  9.0900443E-04 -1.6554084E-04
  2.0799350E+02  9.2941248E-03  3.6165409E-05  0.0000000E+00  8.5939228E-04 -2.0579914E-04
  2.0799350E+02  9.0926573E-03  5.1935039E-05  0.0000000E+00  8.0474113E-04 -2.2842062E-04
  2.0799350E+02  8.8875471E-03  5.2848751E-05  0.0000000E+00  7.3967988E-04 -2.3732969E-04
  2.0799350E+02  8.6823714E-03  2.4279499E-05  0.0000000E+00  6.7830423E-04 -2.3168925E-04
  2.0799350E+02  8.4749161E-03  3.3360240E-05 -5.3168646E-19  6.2347056E-04 -2.1799054E-04
  2.0799350E+02  8.2660115E-03  5.5319027E-05  0.0000000E+00  5.7139765E-04 -2.0616734E-04
  2.0799350E+02  8.0576655E-03  7.4993948E-05  0.0000000E+00  5.2005829E-04 -1.9949215E-04
  2.0799350E+02  7.8523290E-03  8.5067576E-05  0.0000000E+00  4.6871824E-04 -1.9717422E-04
  2.0799350E+02  7.6523751E-03  8.4152158E-05  0.0000000E+00  4.1752536E-04 -1.9649004E-04
  2.0799350E+02  7.4597670E-03  7.4832909E-05  0.0000000E+00  3.6715244E-04 -1.9444408E-04
  2.0799350E+02  7.2758849E-03  6.1776758E-05  0.0000000E+00  3.1849794E-04 -1.8895750E-04
  2.0799350E+02  7.1014876E-03  5.0013913E-05  0.0000000E+00  2.7244822E-04 -1.7958223E-04
  2.0799350E+02  6.9367798E-03  4.3499584E-05  0.0000000E+00  2.2970535E-04 -1.6773832E-04
  2.0799350E+02  6.7815591E-03  4.4063227E-05  0.0000000E+00  1.9068432E-04 -1.5647211E-04
  2.0799350E+02  6.6354151E-03  5.0852668E-05  1.1107913E-19  1.5548341E-04 -1.4973276E-04
  2.0799350E+02  0.0000000E+00 -1.3798988E-04 -1.5424325E-06  0.0000000E+00  9.7506424E-06
  2.0799350E+02  2.3024711E-03 -1.0957776E-04  2.8904118E-09  4.0241142E-03  1.6900598E-03
  2.0799350E+02  8.5221873E-03  3.2812376E-05  0.0000000E+00  3.0450399E-02 -4.6361606E-03
  2.0799350E+02  1.6277788E-02 -1.7068839E-04  0.0000000E+00  7.3379859E-02 -9.5834934E-03
  2.0799350E+02  2.2029027E-02  4.4921617E-04  0.0000000E+00  9.3395719E-02 -1.0678426E-02
  2.0799350E+02  2.4826360E-02 -7.4670999E-04  0.0000000E+00  8.1225830E-02 -9.9862474E-03
  2.0799350E+02  2.5712565E-02 -5.8063103E-04  0.0000000E+00  5.8341177E-02 -8.9730637E-03
