          atime          uvari          vvari          wvari          pvari          tvari
  2.0799350E+02 -2.9651795E-10  1.0488252E-11  6.1758890E-11  5.5606304E-04  0.0000000E+00
  2.0799350E+02  9.2708990E-03  4.0133430E-05  3.4743753E-03  5.5365346E-04  0.0000000E+00
  2.0799350E+02  2.5000803E-02  4.0385725E-04  9.9532590E-03  5.5516044E-04  0.0000000E+00
  2.0799350E+02  3.1361569E-02  1.3371260E-03  1.5647985E-02  5.5569635E-04  0.0000000E+00
  2.0799350E+02  3.1050043E-02  2.7706372E-03  1.9059091E-02  5.5870879E-04  0.0000000E+00
  2.0799350E+02  2.9425927E-02  4.4660397E-03  2.0407008E-02  5.6668186E-04  0.0000000E+00
  2.0799350E+02  2.8289894E-02  6.2011602E-03  2.0465621E-02  5.7919665E-04  0.0000000E+00
  2.0799350E+02  2.7825318E-02  7.8263106E-03  1.9957364E-02  5.9470394E-04  0.0000000E+00
  2.0799350E+02  2.7801425E-02  9.2499931E-03  1.9358271E-02  6.1080797E-04  0.0000000E+00
  2.0799350E+02  2.8086672E-02  1.0421378E-02  1.8868629E-02  6.2467841E-04  0.0000000E+00
  2.0799350E+02  2.8573239E-02  1.1318959E-02  1.8537500E-02  6.3260820E-04  0.0000000E+00
  2.0799350E+02  2.9172902E-02  1.1953943E-02  1.8354581E-02  6.3202046E-04  0.0000000E+00
  2.0799350E+02  2.9809888E-02  1.2362060E-02  1.8272932E-02  6.2311135E-04  0.0000000E+00
  2.0799350E+02  3.0408350E-02  1.2586903E-02  1.8210778E-02  6.0914431E-04  0.0000000E+00
  2.0799350E+02  3.0899612E-02  1.2665479E-02  1.8082598E-02  5.9458040E-04  0.0000000E+00
  2.0799350E+02  3.1270509E-02  1.2628581E-02  1.7894444E-02  5.8110726E-04  0.0000000E+00
  2.0799350E+02  3.1524128E-02  1.2505017E-02  1.7699928E-02  5.6821246E-04  0.0000000E+00
  2.0799350E+02  3.1678783E-02  1.2324051E-02  1.7487671E-02  5.5577869E-04  0.0000000E+00
  2.0799350E+02  3.1742561E-02  1.2110253E-02  1.7245166E-02  5.4348369E-04  0.0000000E+00
  2.0799350E+02  3.1713507E-02  1.1882203E-02  1.6968067E-02  5.3081331E-04  0.0000000E+00
  2.0799350E+02  3.1590990E-02  1.1654443E-02  1.6658233E-02  5.1748986E-04  0.0000000E+00
  2.0799350E+02  3.1377289E-02  1.1436688E-02  1.6323042E-02  5.0351118E-04  0.0000000E+00
  2.0799350E+02  3.1074825E-02  1.1232017E-02  1.5974619E-02  4.8898118E-04  0.0000000E+00
