          atime        conv_uu        conv_vv        conv_ww         pm1avg           tavg
  2.0799350E+02  3.3774608E-06  6.4234854E-08  1.9701688E-07 -5.1768939E-02  0.0000000E+00
  2.0799350E+02  1.6228781E-03  1.5935626E-04  1.0186828E-03 -5.1810476E-02  0.0000000E+00
  2.0799350E+02  7.2879473E-03  1.2310787E-03  1.6386182E-03 -5.1832752E-02  0.0000000E+00
  2.0799350E+02  1.6379684E-02  3.1016194E-03 -2.8377080E-03 -5.1839544E-02  0.0000000E+00
  2.0799350E+02  2.3662551E-02  4.2027374E-03 -1.1660749E-02 -5.1809062E-02  0.0000000E+00
  2.0799350E+02  3.2891866E-02  3.4649256E-03 -2.0117384E-02 -5.1753684E-02  0.0000000E+00
  2.0799350E+02  3.6268922E-02  9.2025443E-04 -2.4226520E-02 -5.1705599E-02  0.0000000E+00
  2.0799350E+02  3.3555744E-02 -2.6871755E-03 -2.4047868E-02 -5.1690854E-02  0.0000000E+00
  2.0799350E+02  2.6202452E-02 -6.4383543E-03 -2.1650696E-02 -5.1704730E-02  0.0000000E+00
  2.0799350E+02  1.8012383E-02 -9.7361869E-03 -1.8885758E-02 -5.1713309E-02  0.0000000E+00
  2.0799350E+02  1.0577440E-02 -1.2204151E-02 -1.6455754E-02 -5.1676756E-02  0.0000000E+00
  2.0799350E+02  3.9587666E-03 -1.3676411E-02 -1.4430843E-02 -5.1554776E-02  0.0000000E+00
  2.0799350E+02 -1.7298085E-03 -1.4188541E-02 -1.3074045E-02 -5.1314032E-02  0.0000000E+00
  2.0799350E+02 -6.4918351E-03 -1.3906208E-02 -1.2568825E-02 -5.0939513E-02  0.0000000E+00
  2.0799350E+02 -1.0704367E-02 -1.3053041E-02 -1.2623359E-02 -5.0430306E-02  0.0000000E+00
  2.0799350E+02 -1.3704088E-02 -1.1960758E-02 -1.3117942E-02 -4.9795416E-02  0.0000000E+00
  2.0799350E+02 -1.6326881E-02 -1.0498083E-02 -1.3243191E-02 -4.9052061E-02  0.0000000E+00
  2.0799350E+02 -1.7170691E-02 -8.9292972E-03 -1.2963408E-02 -4.8221614E-02  0.0000000E+00
  2.0799350E+02 -1.6533827E-02 -7.4103068E-03 -1.2406023E-02 -4.7328864E-02  0.0000000E+00
  2.0799350E+02 -1.5565814E-02 -5.9822807E-03 -1.1454573E-02 -4.6384967E-02  0.0000000E+00
  2.0799350E+02 -1.4845679E-02 -4.7594124E-03 -1.0117895E-02 -4.5405385E-02  0.0000000E+00
  2.0799350E+02 -1.4236900E-02 -3.8667859E-03 -8.5949510E-03 -4.4398823E-02  0.0000000E+00
  2.0799350E+02 -1.3408740E-02 -3.3252524E-03 -7.1764427E-03 -4.3370604E-02  0.0000000E+00
  2.0799350E+02 -1.2377233E-02 -2.9733479E-03 -6.0806424E-03 -4.2327541E-02  0.0000000E+00
  2.0799350E+02 -1.1423643E-02 -2.5581375E-03 -5.3005071E-03 -4.1269159E-02  0.0000000E+00
