          atime         pdf_uu         pdf_vv         pdf_ww         pm1avg           tavg
  2.0799350E+02  1.2418605E-02 -1.2369545E-02 -1.6646291E-06 -5.1768939E-02  0.0000000E+00
  2.0799350E+02  1.1577723E-02 -7.2360801E-03 -8.0995914E-04 -5.1810476E-02  0.0000000E+00
  2.0799350E+02  3.1112019E-03 -1.1136538E-02 -9.1452532E-04 -5.1832752E-02  0.0000000E+00
  2.0799350E+02 -7.3115163E-03 -1.1294100E-02 -2.3539523E-04 -5.1839544E-02  0.0000000E+00
  2.0799350E+02 -1.2201500E-02 -9.3458473E-03  3.6965360E-04 -5.1809062E-02  0.0000000E+00
  2.0799350E+02 -1.2785467E-02 -7.6224223E-03  5.3307787E-04 -5.1753684E-02  0.0000000E+00
  2.0799350E+02 -1.1655755E-02 -6.6588310E-03  4.5357981E-04 -5.1705599E-02  0.0000000E+00
  2.0799350E+02 -1.0507248E-02 -5.5213986E-03 -4.0433807E-04 -5.1690854E-02  0.0000000E+00
  2.0799350E+02 -9.2605446E-03 -3.0832681E-03 -1.9321172E-03 -5.1704730E-02  0.0000000E+00
  2.0799350E+02 -8.0814697E-03  4.1891785E-04 -3.2182217E-03 -5.1713309E-02  0.0000000E+00
  2.0799350E+02 -6.8045579E-03  4.0010701E-03 -3.6316816E-03 -5.1676756E-02  0.0000000E+00
  2.0799350E+02 -5.4401649E-03  6.7692396E-03 -3.0160863E-03 -5.1554776E-02  0.0000000E+00
  2.0799350E+02 -4.1832605E-03  8.4788185E-03 -1.7927217E-03 -5.1314032E-02  0.0000000E+00
  2.0799350E+02 -3.1688661E-03  9.6917594E-03 -8.8795389E-04 -5.0939513E-02  0.0000000E+00
  2.0799350E+02 -2.3684255E-03  1.1062438E-02 -1.0824360E-03 -5.0430306E-02  0.0000000E+00
  2.0799350E+02 -1.8358051E-03  1.2210859E-02 -1.9877033E-03 -4.9795416E-02  0.0000000E+00
  2.0799350E+02 -1.3996391E-03  1.2511426E-02 -2.6439060E-03 -4.9052061E-02  0.0000000E+00
  2.0799350E+02 -1.0728331E-03  1.1807391E-02 -2.4089207E-03 -4.8221614E-02  0.0000000E+00
  2.0799350E+02 -8.0235202E-04  1.0634764E-02 -1.5239078E-03 -4.7328864E-02  0.0000000E+00
  2.0799350E+02 -5.6717208E-04  9.0956597E-03 -3.3467132E-04 -4.6384967E-02  0.0000000E+00
  2.0799350E+02 -3.5275498E-04  7.1237520E-03  8.6782572E-04 -4.5405385E-02  0.0000000E+00
  2.0799350E+02 -1.4842450E-04  4.7144218E-03  1.8991726E-03 -4.4398823E-02  0.0000000E+00
  2.0799350E+02  3.7860527E-05  2.1015030E-03  2.6416152E-03 -4.3370604E-02  0.0000000E+00
  2.0799350E+02  1.6961543E-04 -2.0421714E-04  2.9980994E-03 -4.2327541E-02  0.0000000E+00
  2.0799350E+02  1.9650631E-04 -1.6468843E-03  2.9062372E-03 -4.1269159E-02  0.0000000E+00
  2.0799350E+02  1.0400075E-04 -2.1062809E-03  2.4454987E-03 -4.0201255E-02  0.0000000E+00
  2.0799350E+02 -1.2415496E-04 -1.8937589E-03  1.8729256E-03 -3.9133389E-02  0.0000000E+00
  2.0799350E+02 -3.5811660E-04 -1.0808575E-03  1.3333986E-03 -3.8073019E-02  0.0000000E+00
  2.0799350E+02 -5.7557560E-04 -3.9211491E-04  9.5955923E-04 -3.7025380E-02  0.0000000E+00
  2.0799350E+02 -7.8219350E-04 -1.0254680E-04  7.7002479E-04 -3.5986310E-02  0.0000000E+00
  2.0799350E+02 -9.5646214E-04 -2.3986828E-04  7.3113902E-04 -3.4955008E-02  0.0000000E+00
  2.0799350E+02 -1.0718513E-03 -6.7797220E-04  7.7934221E-04 -3.3937170E-02  0.0000000E+00
  2.0799350E+02 -1.1113447E-03 -1.2218998E-03  8.4939967E-04 -3.2931404E-02  0.0000000E+00
  2.0799350E+02 -1.0708735E-03 -1.6711278E-03  9.0054480E-04 -3.1944134E-02  0.0000000E+00
  2.0799350E+02 -9.6006126E-04 -1.8794865E-03  9.3430918E-04 -3.0977458E-02  0.0000000E+00
  2.0799350E+02 -7.9911161E-04 -1.7901770E-03  9.9519901E-04 -3.0034851E-02  0.0000000E+00
  2.0799350E+02 -6.1822357E-04 -1.4638662E-03  1.1484518E-03 -2.9125082E-02  0.0000000E+00
  2.0799350E+02 -4.5681129E-04 -1.0897774E-03  1.4285858E-03 -2.8249235E-02  0.0000000E+00
  2.0799350E+02 -3.7130405E-04 -9.8485353E-04  1.7508196E-03 -2.7400717E-02  0.0000000E+00
  2.0799350E+02 -3.4262822E-04 -1.1189012E-03  1.9419806E-03 -2.6578645E-02  0.0000000E+00
  2.0799350E+02 -2.8412013E-04 -1.1554052E-03  2.0173567E-03 -2.5777846E-02  0.0000000E+00
  2.0799350E+02 -1.9821620E-04 -1.1416136E-03  1.9602963E-03 -2.4996998E-02  0.0000000E+00
  2.0799350E+02 -7.8412950E-05 -9.6680536E-04  1.8052225E-03 -2.4238723E-02  0.0000000E+00
  2.0799350E+02  4.8819817E-05 -6.2750535E-04  1.5790330E-03 -2.3502439E-02  0.0000000E+00
  2.0799350E+02  1.5085585E-04 -1.7934733E-04  1.3147567E-03 -2.2790135E-02  0.0000000E+00
  2.0799350E+02  2.0621857E-04  3.0303172E-04  1.0501911E-03 -2.2098245E-02  0.0000000E+00
  2.0799350E+02  2.0957042E-04  7.4299554E-04  8.2613108E-04 -2.1428244E-02  0.0000000E+00
  2.0799350E+02  1.7162475E-04  1.0807051E-03  6.7412373E-04 -2.0777739E-02  0.0000000E+00
  2.0799350E+02  1.1274544E-04  1.2756568E-03  6.0894629E-04 -2.0144029E-02  0.0000000E+00
  2.0799350E+02  5.5268687E-05  1.3081450E-03  6.2153491E-04 -1.9527093E-02  0.0000000E+00
  2.0799350E+02  1.4336397E-05  1.1817868E-03  6.7720127E-04 -1.8922789E-02  0.0000000E+00
  2.0799350E+02 -7.9997897E-06  9.2309051E-04  7.2411295E-04 -1.8326928E-02  0.0000000E+00
  2.0799350E+02 -2.4572648E-05  5.9024556E-04  7.1263479E-04 -1.7739732E-02  0.0000000E+00
  2.0799350E+02 -5.8362800E-05  2.8303193E-04  6.3088531E-04 -1.7160781E-02  0.0000000E+00
  2.0799350E+02 -6.0335314E-05  2.6143152E-05  5.3024406E-04 -1.6592342E-02  0.0000000E+00
  2.0799350E+02 -3.8757412E-05 -1.0601189E-04  3.9682338E-04 -1.6033649E-02  0.0000000E+00
  2.0799350E+02 -1.2763307E-05 -1.0083371E-04  2.4070629E-04 -1.5488873E-02  0.0000000E+00
  2.0799350E+02  2.6742430E-05 -4.8884230E-05  9.3578339E-05 -1.4960795E-02  0.0000000E+00
  2.0799350E+02  6.7663904E-05 -1.2544832E-05 -1.3376785E-05 -1.4448522E-02  0.0000000E+00
  2.0799350E+02  9.3839220E-05 -3.1671893E-05 -5.7190036E-05 -1.3954389E-02  0.0000000E+00
  2.0799350E+02  9.5369795E-05 -1.2689529E-04 -2.8646568E-05 -1.3477196E-02  0.0000000E+00
  2.0799350E+02  7.1883731E-05 -3.0299374E-04  6.8997171E-05 -1.3015156E-02  0.0000000E+00
  2.0799350E+02  3.1935949E-05 -5.4943792E-04  2.2201420E-04 -1.2568524E-02  0.0000000E+00
  2.0799350E+02 -1.1208729E-05 -8.4499974E-04  4.1238864E-04 -1.2134223E-02  0.0000000E+00
  2.0799350E+02 -4.4363296E-05 -1.1571759E-03  6.2088000E-04 -1.1712648E-02  0.0000000E+00
  2.0799350E+02 -5.9958453E-05 -1.4497204E-03  8.3343391E-04 -1.1302395E-02  0.0000000E+00
  2.0799350E+02 -5.8893485E-05 -1.6867515E-03  1.0422130E-03 -1.0902713E-02  0.0000000E+00
  2.0799350E+02 -5.0456174E-05 -1.8399098E-03  1.2429651E-03 -1.0515254E-02  0.0000000E+00
  2.0799350E+02 -4.7073511E-05 -1.9022613E-03  1.4310780E-03 -1.0139014E-02  0.0000000E+00
  2.0799350E+02 -5.2512674E-05 -1.9012546E-03  1.5880794E-03 -9.7712642E-03  0.0000000E+00
  2.0799350E+02 -4.5410685E-05 -1.8493579E-03  1.6861275E-03 -9.4110534E-03  0.0000000E+00
  2.0799350E+02 -5.0242827E-05 -1.7538541E-03  1.7206245E-03 -9.0619972E-03  0.0000000E+00
  2.0799350E+02 -6.1656605E-05 -1.7469342E-03  1.6881470E-03 -8.7199815E-03  0.0000000E+00
  2.0799350E+02 -6.4285221E-05 -1.7507573E-03  1.6269960E-03 -8.3848788E-03  0.0000000E+00
  2.0799350E+02 -5.6172304E-05 -1.7153333E-03  1.5461871E-03 -8.0557821E-03  0.0000000E+00
  2.0799350E+02 -4.1369816E-05 -1.6166607E-03  1.4427578E-03 -7.7333888E-03  0.0000000E+00
  2.0799350E+02 -2.5015128E-05 -1.4522648E-03  1.3114059E-03 -7.4162857E-03  0.0000000E+00
  2.0799350E+02 -1.0894594E-05 -1.2374557E-03  1.1519770E-03 -7.1057605E-03  0.0000000E+00
  2.0799350E+02 -3.5895352E-07 -9.9747969E-04  9.7003371E-04 -6.8017851E-03  0.0000000E+00
  2.0799350E+02  7.2346064E-06 -7.6185775E-04  7.7664264E-04 -6.5046502E-03  0.0000000E+00
  2.0799350E+02  1.3439936E-05 -5.5969489E-04  5.8695117E-04 -6.2163099E-03  0.0000000E+00
  2.0799350E+02  1.9485127E-05 -4.1164279E-04  4.1452800E-04 -5.9369508E-03  0.0000000E+00
  2.0799350E+02  2.5148072E-05 -3.2740036E-04  2.6906593E-04 -5.6664618E-03  0.0000000E+00
  2.0799350E+02  2.8375260E-05 -3.0334680E-04  1.5461480E-04 -5.4056889E-03  0.0000000E+00
  2.0799350E+02  2.6192233E-05 -3.2158917E-04  6.7477813E-05 -5.1530684E-03  0.0000000E+00
  2.0799350E+02  1.7236535E-05 -3.5317192E-04  5.0294758E-07 -4.9085502E-03  0.0000000E+00
  2.0799350E+02  6.4809329E-06 -3.6419509E-04 -5.1529564E-05 -4.6707719E-03  0.0000000E+00
  2.0799350E+02  2.2980837E-06 -3.4129072E-04 -8.6952092E-05 -4.4392335E-03  0.0000000E+00
  2.0799350E+02  5.0350469E-06 -3.0730633E-04 -1.1707196E-04 -4.2141158E-03  0.0000000E+00
  2.0799350E+02  1.4394147E-05 -2.8335187E-04 -1.1997489E-04 -3.9949426E-03  0.0000000E+00
  2.0799350E+02  2.1704543E-05 -2.8885072E-04 -9.2593344E-05 -3.7835312E-03  0.0000000E+00
  2.0799350E+02  2.4140814E-05 -3.2204157E-04 -4.5735091E-05 -3.5801251E-03  0.0000000E+00
  2.0799350E+02  2.1963569E-05 -3.7062100E-04  5.5947842E-06 -3.3845907E-03  0.0000000E+00
  2.0799350E+02  1.6752885E-05 -4.1887925E-04  4.7832964E-05 -3.1974324E-03  0.0000000E+00
  2.0799350E+02  1.0282105E-05 -4.5343756E-04  7.2643320E-05 -3.0177691E-03  0.0000000E+00
  2.0799350E+02  3.9746039E-06 -4.6594417E-04  7.7438023E-05 -2.8445645E-03  0.0000000E+00
  2.0799350E+02 -1.1942716E-06 -4.5433897E-04  6.4718084E-05 -2.6776344E-03  0.0000000E+00
  2.0799350E+02 -4.6692470E-06 -4.2262885E-04  4.0209344E-05 -2.5156268E-03  0.0000000E+00
  2.0799350E+02 -6.0512807E-06 -3.7949474E-04  1.0624244E-05 -2.3585385E-03  0.0000000E+00
  2.0799350E+02 -5.0177135E-06 -3.3551514E-04 -1.8885455E-05 -2.2057215E-03  0.0000000E+00
  2.0799350E+02 -1.5478648E-02  1.5476649E-02  6.5497319E-17 -2.1404089E-02  0.0000000E+00
  2.0799350E+02 -6.5001386E-03  1.4688948E-02  3.9905583E-04 -2.1611591E-02  0.0000000E+00
  2.0799350E+02  3.0233703E-03  1.3305297E-03  5.8468621E-04 -2.1834745E-02  0.0000000E+00
  2.0799350E+02  8.0124130E-03 -7.9237672E-03  8.5778262E-04 -2.2112740E-02  0.0000000E+00
  2.0799350E+02  9.4040396E-03 -1.2386563E-02  9.7548592E-04 -2.2422798E-02  0.0000000E+00
  2.0799350E+02  8.1964288E-03 -1.2952095E-02  6.9395854E-04 -2.2729033E-02  0.0000000E+00
  2.0799350E+02  5.6093583E-03 -1.1225857E-02  3.0957655E-04 -2.3022453E-02  0.0000000E+00
  2.0799350E+02  3.0222432E-03 -9.2586872E-03 -2.6631034E-04 -2.3324628E-02  0.0000000E+00
  2.0799350E+02  1.3840062E-03 -8.4424514E-03 -4.9463381E-04 -2.3661799E-02  0.0000000E+00
  2.0799350E+02  6.2115892E-04 -7.2162528E-03 -5.7297069E-04 -2.4079126E-02  0.0000000E+00
  2.0799350E+02  7.1291000E-05 -4.9267380E-03 -1.3089361E-03 -2.4583760E-02  0.0000000E+00
  2.0799350E+02 -3.0419435E-04 -2.0567166E-03 -2.5223006E-03 -2.5165339E-02  0.0000000E+00
  2.0799350E+02 -4.1707196E-04  7.3744462E-04 -3.3673021E-03 -2.5805059E-02  0.0000000E+00
  2.0799350E+02 -3.2707130E-04  3.1284573E-03 -3.4141273E-03 -2.6465556E-02  0.0000000E+00
  2.0799350E+02 -1.7826296E-04  5.0748639E-03 -3.0351343E-03 -2.7095307E-02  0.0000000E+00
  2.0799350E+02  3.9057939E-05  6.6189874E-03 -2.3448046E-03 -2.7677602E-02  0.0000000E+00
  2.0799350E+02  2.4127839E-04  7.9336488E-03 -1.5495529E-03 -2.8182152E-02  0.0000000E+00
  2.0799350E+02  4.0692072E-04  8.9292930E-03 -1.0292291E-03 -2.8600846E-02  0.0000000E+00
