          atime         tdf_uu         tdf_vv         tdf_ww         pm1avg           tavg
  2.0799350E+02 -6.8842005E-06 -3.3840332E-07  1.7903284E-07 -5.1768939E-02  0.0000000E+00
  2.0799350E+02  3.0750504E-03  8.5839053E-05 -2.6676991E-04 -5.1810476E-02  0.0000000E+00
  2.0799350E+02  1.2813072E-02  6.3282626E-04 -5.0312290E-04 -5.1832752E-02  0.0000000E+00
  2.0799350E+02 -2.5670647E-03  1.8580123E-03 -1.4320378E-03 -5.1839544E-02  0.0000000E+00
  2.0799350E+02 -2.8840008E-02  3.3842060E-03 -4.0685056E-03 -5.1809062E-02  0.0000000E+00
  2.0799350E+02 -2.8603658E-02  4.5576254E-03 -7.9655486E-03 -5.1753684E-02  0.0000000E+00
  2.0799350E+02 -1.3282778E-02  4.7576932E-03 -8.8634521E-03 -5.1705599E-02  0.0000000E+00
  2.0799350E+02  1.2458751E-03  2.5671866E-03 -7.1024168E-03 -5.1690854E-02  0.0000000E+00
  2.0799350E+02  8.1156756E-03 -2.1366074E-03 -4.0336755E-03 -5.1704730E-02  0.0000000E+00
  2.0799350E+02  9.0688165E-03 -8.0217400E-03 -8.0407975E-04 -5.1713309E-02  0.0000000E+00
  2.0799350E+02  7.4945408E-03 -1.3501865E-02  1.4681880E-03 -5.1676756E-02  0.0000000E+00
  2.0799350E+02  4.7464239E-03 -1.7372694E-02  2.1456996E-03 -5.1554776E-02  0.0000000E+00
  2.0799350E+02  7.9542695E-04 -1.9053200E-02  1.5807773E-03 -5.1314032E-02  0.0000000E+00
  2.0799350E+02 -4.0042178E-03 -1.8849708E-02  7.0381300E-04 -5.0939513E-02  0.0000000E+00
  2.0799350E+02 -8.4511012E-03 -1.7800281E-02 -7.0681709E-06 -5.0430306E-02  0.0000000E+00
  2.0799350E+02 -1.1812143E-02 -1.6494513E-02 -1.3639432E-03 -4.9795416E-02  0.0000000E+00
  2.0799350E+02 -1.4687687E-02 -1.5146356E-02 -2.3528159E-03 -4.9052061E-02  0.0000000E+00
  2.0799350E+02 -1.6474733E-02 -1.3217861E-02 -3.2680416E-03 -4.8221614E-02  0.0000000E+00
  2.0799350E+02 -1.6759716E-02 -1.0490165E-02 -4.1175319E-03 -4.7328864E-02  0.0000000E+00
  2.0799350E+02 -1.6334740E-02 -7.3434006E-03 -4.6346376E-03 -4.6384967E-02  0.0000000E+00
  2.0799350E+02 -1.5962503E-02 -4.3292174E-03 -4.6880084E-03 -4.5405385E-02  0.0000000E+00
  2.0799350E+02 -1.5836177E-02 -1.8421166E-03 -4.3770078E-03 -4.4398823E-02  0.0000000E+00
  2.0799350E+02 -1.5577149E-02 -1.4864668E-05 -3.9120531E-03 -4.3370604E-02  0.0000000E+00
  2.0799350E+02 -1.4612843E-02  1.2413486E-03 -3.4327393E-03 -4.2327541E-02  0.0000000E+00
  2.0799350E+02 -1.2783069E-02  2.0699198E-03 -2.8719368E-03 -4.1269159E-02  0.0000000E+00
  2.0799350E+02 -1.1025268E-02  2.3220997E-03 -2.0123252E-03 -4.0201255E-02  0.0000000E+00
  2.0799350E+02 -8.3857546E-03  2.1458819E-03 -9.7139548E-04 -3.9133389E-02  0.0000000E+00
  2.0799350E+02 -5.9430815E-03  1.5001210E-03 -5.1946030E-04 -3.8073019E-02  0.0000000E+00
  2.0799350E+02 -4.7855082E-03  1.0145599E-03 -3.4490923E-05 -3.7025380E-02  0.0000000E+00
  2.0799350E+02 -4.1190529E-03  1.1177996E-03  5.6587717E-04 -3.5986310E-02  0.0000000E+00
  2.0799350E+02 -3.3366611E-03  1.7578856E-03  1.0989788E-03 -3.4955008E-02  0.0000000E+00
  2.0799350E+02 -2.1709271E-03  2.6482093E-03  1.4260157E-03 -3.3937170E-02  0.0000000E+00
  2.0799350E+02 -6.6356792E-04  3.4625394E-03  1.5593747E-03 -3.2931404E-02  0.0000000E+00
  2.0799350E+02  9.4412887E-04  3.9487138E-03  1.6169930E-03 -3.1944134E-02  0.0000000E+00
  2.0799350E+02  2.3939691E-03  4.0036969E-03  1.7107750E-03 -3.0977458E-02  0.0000000E+00
  2.0799350E+02  3.5384915E-03  3.6762821E-03  1.8278047E-03 -3.0034851E-02  0.0000000E+00
  2.0799350E+02  4.3776260E-03  3.1314655E-03  1.7763498E-03 -2.9125082E-02  0.0000000E+00
  2.0799350E+02  4.9510198E-03  2.5592620E-03  1.2678045E-03 -2.8249235E-02  0.0000000E+00
  2.0799350E+02  4.9799698E-03  2.0458667E-03  1.9556767E-04 -2.7400717E-02  0.0000000E+00
