          atime           conv           prod        pres_tr        pres_df        garbage
  2.0799350E+02  1.8193562E-06 -3.1936336E-09  1.4274002E-05  2.3697610E-05  6.4295529E-06
  2.0799350E+02  1.4004586E-03  3.8780137E-03  1.7625718E-03  1.7658419E-03 -1.0082160E-08
  2.0799350E+02  5.0788221E-03  2.9548638E-02 -4.5373404E-03 -4.4699308E-03  0.0000000E+00
  2.0799350E+02  8.3217978E-03  7.2257804E-02 -9.4187487E-03 -9.4205059E-03  0.0000000E+00
  2.0799350E+02  8.1022697E-03  9.3477833E-02 -1.0701672E-02 -1.0588847E-02  0.0000000E+00
  2.0799350E+02  8.1197041E-03  8.2322125E-02 -9.9436503E-03 -9.9374056E-03  0.0000000E+00
  2.0799350E+02  6.4813280E-03  5.9520900E-02 -9.0241673E-03 -8.9305029E-03  0.0000000E+00
  2.0799350E+02  3.4103502E-03  4.0242568E-02 -8.2712948E-03 -8.2164926E-03  6.8136945E-07
  2.0799350E+02 -9.4329913E-04  2.7600361E-02 -7.1431852E-03 -7.1379649E-03 -3.2666093E-07
  2.0799350E+02 -5.3047810E-03  1.9898347E-02 -5.3837637E-03 -5.4403868E-03  4.0644708E-07
  2.0799350E+02 -9.0412323E-03  1.5413119E-02 -3.1557556E-03 -3.2175847E-03 -1.3243377E-07
  2.0799350E+02 -1.2074244E-02  1.2881815E-02 -8.1938077E-04 -8.4350579E-04 -1.6935169E-07
  2.0799350E+02 -1.4496197E-02  1.1505358E-02  1.2445621E-03  1.2514182E-03  1.6364140E-07
  2.0799350E+02 -1.6483434E-02  1.0792303E-02  2.7638271E-03  2.8174697E-03 -1.1902844E-08
  2.0799350E+02 -1.8190383E-02  1.0420313E-02  3.6836631E-03  3.8057882E-03 -3.0055563E-08
  2.0799350E+02 -1.9391394E-02  1.0232088E-02  4.0659122E-03  4.1936752E-03  0.0000000E+00
  2.0799350E+02 -2.0034077E-02  1.0221465E-02  4.1229603E-03  4.2339402E-03  0.0000000E+00
  2.0799350E+02 -1.9531698E-02  1.0309160E-02  4.1052312E-03  4.1628186E-03  0.0000000E+00
  2.0799350E+02 -1.8175079E-02  1.0438415E-02  4.0477125E-03  4.1542523E-03  0.0000000E+00
  2.0799350E+02 -1.6501334E-02  1.0571875E-02  3.9104146E-03  4.0969081E-03  0.0000000E+00
  2.0799350E+02 -1.4861493E-02  1.0661532E-02  3.6087527E-03  3.8194114E-03  0.0000000E+00
  2.0799350E+02 -1.3349318E-02  1.0661107E-02  3.0744107E-03  3.2325850E-03  0.0000000E+00
  2.0799350E+02 -1.1955218E-02  1.0552623E-02  2.3169320E-03  2.3904894E-03  0.0000000E+00
  2.0799350E+02 -1.0715612E-02  1.0370804E-02  1.4598737E-03  1.4817489E-03  0.0000000E+00
  2.0799350E+02 -9.6411437E-03  1.0198152E-02  6.9797982E-04  7.2792957E-04  0.0000000E+00
  2.0799350E+02 -8.2702655E-03  1.0113097E-02  1.7019348E-04  2.2160926E-04  0.0000000E+00
  2.0799350E+02 -6.9413678E-03  1.0055009E-02 -6.7433001E-05 -7.2494113E-05  8.7335366E-07
  2.0799350E+02 -5.3511586E-03  9.9547180E-03 -7.6509796E-05 -5.2787749E-05 -8.4062783E-07
  2.0799350E+02 -3.9590478E-03  9.7270218E-03 -1.8814521E-05 -4.0656381E-06 -4.0957940E-08
  2.0799350E+02 -3.0955706E-03  9.3596160E-03 -3.0280910E-05 -5.7357757E-05  4.1761377E-07
  2.0799350E+02 -2.5208107E-03  8.8971655E-03 -1.9011260E-04 -2.3259570E-04  2.1693549E-07
  2.0799350E+02 -1.9040046E-03  8.4053014E-03 -4.8103666E-04 -4.8524066E-04 -1.4412169E-07
  2.0799350E+02 -1.0581359E-03  7.9389684E-03 -8.0609438E-04 -7.4192239E-04 -2.5287971E-07
  2.0799350E+02 -1.3726242E-05  7.5350484E-03 -1.0324982E-03 -9.2072826E-04 -7.6253668E-08
  2.0799350E+02  1.0476828E-03  7.2022987E-03 -1.0551748E-03 -9.5261929E-04  1.3797869E-07
