          atime        pres_st        turb_df           diss        visc_df        garbage
  2.0799350E+02  1.0390031E-05 -3.5217855E-06 -3.7851445E-02  3.7720448E-02 -3.1936336E-09
  2.0799350E+02  6.5568328E-06  1.4470598E-03 -3.3164912E-02  2.7374495E-02  3.8780137E-03
  2.0799350E+02  2.1451925E-05  6.4713877E-03 -3.8548318E-02  1.2190838E-02  2.9548638E-02
  2.0799350E+02  1.2917242E-05 -1.0705451E-03 -3.8932386E-02 -1.4728500E-02  7.2257804E-02
  2.0799350E+02  1.5075300E-05 -1.4762154E-02 -3.8304612E-02 -2.1143727E-02  9.3477833E-02
  2.0799350E+02 -1.4075115E-06 -1.6005791E-02 -3.5700072E-02 -1.3260942E-02  8.2322125E-02
  2.0799350E+02 -9.1054260E-06 -8.6942684E-03 -3.0602260E-02 -5.2961922E-03  5.9520900E-02
  2.0799350E+02 -7.3296302E-06 -1.6446775E-03 -2.6333236E-02 -9.9422975E-04  4.0242568E-02
  2.0799350E+02  1.6955439E-06  9.7269636E-04 -2.3542500E-02  8.1894170E-04  2.7600361E-02
  2.0799350E+02  8.3812506E-06  1.2149839E-04 -2.1931222E-02  1.3748077E-03  1.9898347E-02
  2.0799350E+02  9.5507957E-06 -2.2695681E-03 -2.0935119E-02  1.2345206E-03  1.5413119E-02
  2.0799350E+02  7.7243631E-06 -5.2402852E-03 -2.0238099E-02  9.1304241E-04  1.2881815E-02
  2.0799350E+02 -9.9903176E-07 -8.3384978E-03 -1.9708804E-02  5.3090174E-04  1.1505358E-02
  2.0799350E+02  3.0557957E-06 -1.1075057E-02 -1.9281923E-02  1.2329380E-04  1.0792303E-02
  2.0799350E+02  2.7409697E-05 -1.3129225E-02 -1.8875646E-02 -1.1064049E-04  1.0420313E-02
  2.0799350E+02  2.2732862E-05 -1.4835300E-02 -1.8493916E-02 -2.6586009E-04  1.0232088E-02
  2.0799350E+02  3.3480414E-05 -1.6093429E-02 -1.8010068E-02 -4.0813616E-04  1.0221465E-02
  2.0799350E+02  2.5769627E-05 -1.6480318E-02 -1.7466610E-02 -4.3472432E-04  1.0309160E-02
  2.0799350E+02  2.8766197E-05 -1.5683706E-02 -1.6914912E-02 -4.3869222E-04  1.0438415E-02
  2.0799350E+02  3.2081600E-05 -1.4156389E-02 -1.6343757E-02 -4.6513345E-04  1.0571875E-02
  2.0799350E+02  2.8357527E-05 -1.2489864E-02 -1.5767025E-02 -4.8850234E-04  1.0661532E-02
  2.0799350E+02  2.2566019E-05 -1.1027651E-02 -1.5218743E-02 -4.4741154E-04  1.0661107E-02
  2.0799350E+02  2.2987775E-05 -9.7520333E-03 -1.4720803E-02 -3.0635604E-04  1.0552623E-02
  2.0799350E+02  2.8915853E-05 -8.4021166E-03 -1.4251766E-02 -1.1864057E-04  1.0370804E-02
  2.0799350E+02  3.0011303E-05 -6.7925428E-03 -1.3749408E-02 -5.7168322E-05  1.0198152E-02
  2.0799350E+02  3.2262847E-05 -5.3577466E-03 -1.3202285E-02 -3.9111787E-04  1.0113097E-02
  2.0799350E+02  2.4729010E-05 -3.6056341E-03 -1.2663537E-02 -7.1224211E-04  1.0055009E-02
  2.0799350E+02  1.0429351E-05 -2.4812104E-03 -1.2165535E-02 -4.8036292E-04  9.9547180E-03
  2.0799350E+02  2.8722855E-06 -1.9027196E-03 -1.1660159E-02 -2.6912382E-04  9.7270218E-03
  2.0799350E+02 -2.9501567E-06 -1.2176881E-03 -1.1134836E-02 -1.9075572E-04  9.3596160E-03
  2.0799350E+02 -5.4538296E-06 -2.3989840E-04 -1.0619981E-02 -1.9809481E-04  8.8971655E-03
  2.0799350E+02 -3.1494700E-06  9.5164897E-04 -1.0146998E-02 -2.1620934E-04  8.4053014E-03
  2.0799350E+02  2.9133539E-06  2.1791731E-03 -9.7238220E-03 -2.0360734E-04  7.9389684E-03
  2.0799350E+02  9.5723781E-06  3.2549178E-03 -9.3422611E-03 -1.6215799E-04  7.5350484E-03
  2.0799350E+02  1.3579727E-05  4.0542205E-03 -8.9839168E-03 -1.1564852E-04  7.2022987E-03
  2.0799350E+02  1.3664376E-05  4.5212892E-03 -8.6369379E-03 -7.7501025E-05  6.9280044E-03
  2.0799350E+02  1.1444399E-05  4.6427206E-03 -8.3068642E-03 -2.7859369E-05  6.6883601E-03
  2.0799350E+02  9.7404336E-06  4.3890432E-03 -8.0090243E-03  8.0751843E-05  6.4588277E-03
  2.0799350E+02  6.9384477E-06  3.6107021E-03 -7.7457951E-03  2.6829947E-04  6.2308439E-03
  2.0799350E+02  1.9823345E-06  2.7722552E-03 -7.4563551E-03  3.5168421E-04  6.0328400E-03
  2.0799350E+02  1.3929314E-06  2.1899717E-03 -7.1136448E-03  3.4712590E-04  5.8281036E-03
  2.0799350E+02 -1.0186465E-07  1.6925065E-03 -6.7727334E-03  3.1806682E-04  5.6090396E-03
  2.0799350E+02 -8.8007098E-07  1.4276596E-03 -6.4603589E-03  2.5674755E-04  5.3925018E-03
  2.0799350E+02 -5.6661552E-07  1.3088859E-03 -6.1860291E-03  1.7940733E-04  5.1901576E-03
  2.0799350E+02  5.5716587E-07  1.1904353E-03 -5.9504938E-03  1.0805199E-04  5.0085073E-03
  2.0799350E+02  1.9882328E-06  9.6609661E-04 -5.7478253E-03  5.8462310E-05  4.8467896E-03
  2.0799350E+02  3.2698848E-06  6.1216115E-04 -5.5725633E-03  3.6371228E-05  4.7010186E-03
  2.0799350E+02  4.1568648E-06  1.8087337E-04 -5.4192029E-03  3.6935286E-05  4.5639464E-03
  2.0799350E+02  4.6412553E-06 -2.3136706E-04 -5.2842660E-03  4.8714046E-05  4.4283385E-03
  2.0799350E+02  4.8939218E-06 -5.2665612E-04 -5.1663998E-03  5.8903681E-05  4.2898356E-03
  2.0799350E+02  5.1339016E-06 -6.5288657E-04 -5.0633775E-03  5.9406544E-05  4.1471806E-03
  2.0799350E+02  5.4308319E-06 -6.2455788E-04 -4.9704216E-03  5.1605701E-05  4.0036852E-03
  2.0799350E+02  5.4682064E-06 -5.1432501E-04 -4.8772466E-03  4.8867339E-05  3.8674753E-03
  2.0799350E+02  4.2848674E-06 -3.9279763E-04 -4.7628216E-03  7.4953173E-05  3.7474797E-03
  2.0799350E+02  1.1498893E-06 -2.6330716E-04 -4.6026475E-03  3.4741950E-05  3.6168509E-03
  2.0799350E+02 -1.1450385E-06 -1.4104614E-05 -4.4385521E-03 -4.2275641E-05  3.4964458E-03
  2.0799350E+02 -2.1259155E-06  1.9656447E-04 -4.2853352E-03 -7.7302996E-05  3.4099191E-03
  2.0799350E+02 -2.0841818E-06  2.8260678E-04 -4.1442751E-03 -9.3135569E-05  3.3415131E-03
  2.0799350E+02 -1.5313975E-06  2.6752449E-04 -4.0133700E-03 -1.0086969E-04  3.2769343E-03
  2.0799350E+02 -9.2321892E-07  2.1759274E-04 -3.8911361E-03 -1.0477692E-04  3.2070081E-03
  2.0799350E+02 -5.2824989E-07  1.9892723E-04 -3.7759553E-03 -1.0590074E-04  3.1276543E-03
  2.0799350E+02 -4.1435385E-07  2.5337186E-04 -3.6672864E-03 -1.0402016E-04  3.0396600E-03
  2.0799350E+02 -5.0318552E-07  3.8880355E-04 -3.5661680E-03 -9.8654989E-05  2.9477588E-03
  2.0799350E+02 -6.6166954E-07  5.8252534E-04 -3.4735169E-03 -8.9281307E-05  2.8574934E-03
