          atime            tkk            imb            div        garbage        garbage
  2.0799350E+02  3.8968397E-09 -1.2206684E-04  6.4295529E-06 -3.1936336E-09  2.3697610E-05
  2.0799350E+02  2.2640985E-03 -1.0323025E-04 -1.0082160E-08  3.8780137E-03  1.7658419E-03
  2.0799350E+02  8.3861774E-03  4.6383044E-05  0.0000000E+00  2.9548638E-02 -4.4699308E-03
  2.0799350E+02  1.6096196E-02 -2.1417322E-04  0.0000000E+00  7.2257804E-02 -9.4205059E-03
  2.0799350E+02  2.1916881E-02  4.6339907E-04  0.0000000E+00  9.3477833E-02 -1.0588847E-02
  2.0799350E+02  2.4787493E-02 -7.0803344E-04  0.0000000E+00  8.2322125E-02 -9.9374056E-03
  2.0799350E+02  2.5713968E-02 -5.7731594E-04  0.0000000E+00  5.9520900E-02 -8.9305029E-03
  2.0799350E+02  2.5815783E-02 -4.1122025E-04  6.8136945E-07  4.0242568E-02 -8.2164926E-03
  2.0799350E+02  2.5736136E-02 -3.5038693E-04 -3.2666093E-07  2.7600361E-02 -7.1379649E-03
  2.0799350E+02  2.5747598E-02 -6.1555116E-04  4.0644708E-07  1.9898347E-02 -5.4403868E-03
  2.0799350E+02  2.5922352E-02 -6.7157123E-04 -1.3243377E-07  1.5413119E-02 -3.2175847E-03
  2.0799350E+02  2.6232885E-02 -4.2866365E-04 -1.6935169E-07  1.2881815E-02 -8.4350579E-04
  2.0799350E+02  2.6619443E-02 -2.7028212E-04  1.6364140E-07  1.1505358E-02  1.2514182E-03
  2.0799350E+02  2.7021308E-02 -1.9412167E-04 -1.1902844E-08  1.0792303E-02  2.8174697E-03
  2.0799350E+02  2.7397104E-02  1.7884795E-04 -3.0055563E-08  1.0420313E-02  3.8057882E-03
  2.0799350E+02  2.7728686E-02  9.4319384E-05  0.0000000E+00  1.0232088E-02  4.1936752E-03
  2.0799350E+02  2.8007504E-02 -1.3313139E-04  0.0000000E+00  1.0221465E-02  4.2339402E-03
  2.0799350E+02  2.8231633E-02 -4.3556312E-04  0.0000000E+00  1.0309160E-02  4.1628186E-03
  2.0799350E+02  2.8398317E-02 -3.7610465E-04  0.0000000E+00  1.0438415E-02  4.1542523E-03
  2.0799350E+02  2.8498249E-02  1.8344238E-05  0.0000000E+00  1.0571875E-02  4.0969081E-03
  2.0799350E+02  2.8518640E-02  3.8638615E-04  0.0000000E+00  1.0661532E-02  3.8194114E-03
  2.0799350E+02  2.8453477E-02  3.9103095E-04  0.0000000E+00  1.0661107E-02  3.2325850E-03
  2.0799350E+02  2.8309516E-02  4.5581233E-05  0.0000000E+00  1.0552623E-02  2.3904894E-03
  2.0799350E+02  2.8108572E-02 -2.2623326E-04  0.0000000E+00  1.0370804E-02  1.4817489E-03
  2.0799350E+02  2.7875579E-02 -6.1843866E-05  0.0000000E+00  1.0198152E-02  7.2792957E-04
  2.0799350E+02  2.7612686E-02 -3.9759371E-04  0.0000000E+00  1.0113097E-02  2.2160926E-04
  2.0799350E+02  2.7301597E-02 -5.2469471E-05  8.7335366E-07  1.0055009E-02 -7.2494113E-05
  2.0799350E+02  2.6900221E-02  1.0225815E-04 -8.4062783E-07  9.9547180E-03 -5.2787749E-05
  2.0799350E+02  2.6450829E-02 -1.6474723E-04 -4.0957940E-08  9.7270218E-03 -4.0656381E-06
  2.0799350E+02  2.5983922E-02 -1.1837447E-04  4.1761377E-07  9.3596160E-03 -5.7357757E-05
  2.0799350E+02  2.5507864E-02  1.6988931E-04  2.1693549E-07  8.8971655E-03 -2.3259570E-04
  2.0799350E+02  2.5025170E-02  4.1671149E-04 -1.4412169E-07  8.4053014E-03 -4.8524066E-04
  2.0799350E+02  2.4534020E-02  4.4275362E-04 -2.5287971E-07  7.9389684E-03 -7.4192239E-04
  2.0799350E+02  2.4038226E-02  2.6677509E-04 -7.6253668E-08  7.5350484E-03 -9.2072826E-04
  2.0799350E+02  2.3541098E-02  5.4096275E-05  1.3797869E-07  7.2022987E-03 -9.5261929E-04
  2.0799350E+02  2.3046538E-02 -1.6165560E-05  1.4593342E-07  6.9280044E-03 -7.9704479E-04
  2.0799350E+02  2.2560125E-02  1.0513601E-04 -3.5899950E-08  6.6883601E-03 -4.6681902E-04
  2.0799350E+02  2.2083617E-02  2.4802602E-04 -1.1172256E-07  6.4588277E-03 -5.9001440E-05
  2.0799350E+02  2.1620457E-02  5.9325427E-05  6.4104760E-08  6.2308439E-03  1.9733099E-04
  2.0799350E+02  2.1193797E-02 -1.8891758E-04  0.0000000E+00  6.0328400E-03  2.4022558E-04
  2.0799350E+02  2.0802246E-02  3.1935782E-05  0.0000000E+00  5.8281036E-03  2.8891570E-04
  2.0799350E+02  2.0447936E-02  1.8505603E-04  0.0000000E+00  5.6090396E-03  3.1023325E-04
  2.0799350E+02  2.0131089E-02  2.4330727E-04  0.0000000E+00  5.3925018E-03  3.8000208E-04
  2.0799350E+02  1.9843213E-02  2.5100540E-04  0.0000000E+00  5.1901576E-03  5.0017372E-04
  2.0799350E+02  1.9574491E-02  2.5236934E-04  0.0000000E+00  5.0085073E-03  6.4313262E-04
  2.0799350E+02  1.9314121E-02  2.6122152E-04  0.0000000E+00  4.8467896E-03  7.7972069E-04
  2.0799350E+02  1.9056314E-02  2.6071734E-04  0.0000000E+00  4.7010186E-03  8.8934852E-04
  2.0799350E+02  1.8797557E-02  2.2193027E-04  0.0000000E+00  4.5639464E-03  9.6322678E-04
  2.0799350E+02  1.8537552E-02  1.2887931E-04  0.0000000E+00  4.4283385E-03  9.9867425E-04
  2.0799350E+02  1.8279487E-02 -2.1244710E-08  0.0000000E+00  4.2898356E-03  9.9247432E-04
  2.0799350E+02  1.8025823E-02 -1.0865497E-04  0.0000000E+00  4.1471806E-03  9.3666221E-04
  2.0799350E+02  1.7778430E-02 -1.2606745E-04  0.0000000E+00  4.0036852E-03  8.1960184E-04
  2.0799350E+02  1.7539097E-02 -2.9675602E-05  0.0000000E+00  3.8674753E-03  6.3915385E-04
  2.0799350E+02  1.7306560E-02  4.0245405E-05  0.0000000E+00  3.7474797E-03  4.2777722E-04
  2.0799350E+02  1.7085019E-02 -1.7141409E-04  2.1296927E-06  3.6168509E-03  2.4802595E-04
  2.0799350E+02  1.6869881E-02 -2.1095339E-05 -7.6075771E-07  3.4964458E-03  1.2602704E-04
  2.0799350E+02  1.6649181E-02  1.7588933E-04 -5.6908027E-07  3.4099191E-03  6.3554639E-05
  2.0799350E+02  1.6420321E-02  2.3953589E-04  1.2402599E-07  3.3415131E-03  3.5718270E-05
  2.0799350E+02  1.6182095E-02  1.9290260E-04  4.1936623E-07  3.2769343E-03  2.0871144E-05
  2.0799350E+02  1.5936082E-02  1.2084915E-04  2.7668087E-07  3.2070081E-03  2.4886458E-06
  2.0799350E+02  1.5682569E-02  9.0358147E-05 -2.9705062E-08  3.1276543E-03 -3.0086034E-05
  2.0799350E+02  1.5421299E-02  1.1915852E-04 -2.3550780E-07  3.0396600E-03 -8.1056420E-05
  2.0799350E+02  1.5152932E-02  1.7810140E-04 -2.2772325E-07  2.9477588E-03 -1.4774389E-04
  2.0799350E+02  1.4876038E-02  2.1590544E-04 -5.9793926E-08  2.8574934E-03 -2.2190992E-04
  2.0799350E+02  1.4591437E-02  1.9173195E-04  1.1907289E-07  2.7742875E-03 -2.9032957E-04
  2.0799350E+02  1.4299228E-02  1.0425022E-04  1.7176510E-07  2.7003204E-03 -3.3812248E-04
  2.0799350E+02  1.4000536E-02  2.2212203E-06  6.6509919E-08  2.6336853E-03 -3.5171598E-04
  2.0799350E+02  1.3699190E-02 -3.3762278E-05 -8.5547774E-08  2.5682732E-03 -3.2370045E-04
  2.0799350E+02  1.3398028E-02  4.4885990E-05 -1.0149595E-07  2.4940305E-03 -2.5912840E-04
  2.0799350E+02  1.3099413E-02  1.3688881E-04  5.1491724E-08  2.3999623E-03 -1.8284393E-04
  2.0799350E+02  1.2807433E-02  2.2100187E-05  0.0000000E+00  2.2827339E-03 -1.0432055E-04
  2.0799350E+02  1.2522920E-02  1.2318321E-04  0.0000000E+00  2.1637375E-03 -4.1736233E-05
  2.0799350E+02  1.2245687E-02  1.5919201E-04  0.0000000E+00  2.0481238E-03 -6.0221867E-05
  2.0799350E+02  1.1980757E-02  1.5441908E-04  0.0000000E+00  1.9375489E-03 -9.4023251E-05
  2.0799350E+02  1.1730718E-02  1.3778673E-04  0.0000000E+00  1.8318884E-03 -1.1265925E-04
  2.0799350E+02  1.1497155E-02  1.3034734E-04  0.0000000E+00  1.7309280E-03 -1.0763635E-04
  2.0799350E+02  1.1277949E-02  1.3984743E-04  0.0000000E+00  1.6337686E-03 -8.2937030E-05
  2.0799350E+02  1.1071146E-02  1.6135087E-04  0.0000000E+00  1.5406345E-03 -4.8186641E-05
  2.0799350E+02  1.0872721E-02  1.8186738E-04  0.0000000E+00  1.4516979E-03 -1.3902470E-05
  2.0799350E+02  1.0678425E-02  1.8694577E-04  0.0000000E+00  1.3674961E-03  1.1009745E-05
  2.0799350E+02  1.0485337E-02  1.6757004E-04  0.0000000E+00  1.2890827E-03  2.0348106E-05
  2.0799350E+02  1.0290259E-02  1.2554753E-04  0.0000000E+00  1.2168032E-03  1.1185167E-05
  2.0799350E+02  1.0091093E-02  7.5192437E-05  0.0000000E+00  1.1505119E-03 -1.6593178E-05
  2.0799350E+02  9.8880761E-03  4.0314612E-05  0.0000000E+00  1.0897059E-03 -6.0178368E-05
  2.0799350E+02  9.6811641E-03  4.3078386E-05  0.0000000E+00  1.0327266E-03 -1.1395956E-04
  2.0799350E+02  9.4725390E-03  8.4702522E-05  0.0000000E+00  9.7792914E-04 -1.6771622E-04
  2.0799350E+02  9.2632643E-03  1.1496293E-04  0.0000000E+00  9.2357733E-04 -2.0462186E-04
  2.0799350E+02  9.0537476E-03  6.1932974E-05  3.2181337E-06  8.6793923E-04 -2.1297237E-04
  2.0799350E+02  8.8430673E-03  5.5585798E-05 -5.4904336E-07  8.0432749E-04 -2.0967162E-04
  2.0799350E+02  8.6314719E-03  6.1269170E-05 -7.2364014E-07  7.3756790E-04 -1.9446631E-04
  2.0799350E+02  8.4211229E-03  7.1014043E-05 -4.6669151E-08  6.7218806E-04 -1.7986976E-04
  2.0799350E+02  8.2121934E-03  7.9092283E-05  3.8123627E-07  6.0976806E-04 -1.7181792E-04
  2.0799350E+02  8.0049188E-03  8.2291303E-05  3.6265889E-07  5.5044421E-04 -1.7153132E-04
  2.0799350E+02  7.8011344E-03  7.9763204E-05  9.1389438E-08  4.9402096E-04 -1.7714670E-04
