          atime          uplus          yplus           Wshr          trash          trash
  2.0799350E+02  1.4459218E-03  1.4678812E-03  2.2167600E-03  8.6062000E-02  8.6062000E-02
  2.0799350E+02  1.8934297E+00  1.2536693E+00  2.2167600E-03  9.1626000E-02  9.1626000E-02
  2.0799350E+02  4.8733360E+00  2.5058708E+00  2.2167600E-03  9.7190000E-02  9.7190000E-02
  2.0799350E+02  8.2752056E+00  3.7571720E+00  2.2167600E-03  1.0275000E-01  1.0275000E-01
  2.0799350E+02  1.1338121E+01  5.0107238E+00  2.2167600E-03  1.0832000E-01  1.0832000E-01
  2.0799350E+02  1.3629596E+01  6.2620250E+00  2.2167600E-03  1.1388000E-01  1.1388000E-01
  2.0799350E+02  1.5153188E+01  7.5155768E+00  2.2167600E-03  1.1945000E-01  1.1945000E-01
  2.0799350E+02  1.6106506E+01  8.7668780E+00  2.2167600E-03  1.2501000E-01  1.2501000E-01
  2.0799350E+02  1.6704103E+01  1.0018179E+01  2.2167600E-03  1.3057000E-01  1.3057000E-01
  2.0799350E+02  1.7094423E+01  1.1271731E+01  2.2167600E-03  1.3614000E-01  1.3614000E-01
  2.0799350E+02  1.7367163E+01  1.2523032E+01  2.2167600E-03  1.4170000E-01  1.4170000E-01
  2.0799350E+02  1.7576525E+01  1.3774333E+01  2.2167600E-03  1.4726000E-01  1.4726000E-01
  2.0799350E+02  1.7752608E+01  1.5027885E+01  2.2167600E-03  1.5283000E-01  1.5283000E-01
  2.0799350E+02  1.7910503E+01  1.6279186E+01  2.2167600E-03  1.5839000E-01  1.5839000E-01
  2.0799350E+02  1.8058505E+01  1.7532738E+01  2.2167600E-03  1.6396000E-01  1.6396000E-01
  2.0799350E+02  1.8199569E+01  1.8784039E+01  2.2167600E-03  1.6952000E-01  1.6952000E-01
  2.0799350E+02  1.8336825E+01  2.0035341E+01  2.2167600E-03  1.7508000E-01  1.7508000E-01
  2.0799350E+02  1.8473056E+01  2.1288892E+01  2.2167600E-03  1.8065000E-01  1.8065000E-01
  2.0799350E+02  1.8608958E+01  2.2540194E+01  2.2167600E-03  1.8621000E-01  1.8621000E-01
  2.0799350E+02  1.8745532E+01  2.3793745E+01  2.2167600E-03  1.9178000E-01  1.9178000E-01
  2.0799350E+02  1.8882331E+01  2.5045047E+01  2.2167600E-03  1.9734000E-01  1.9734000E-01
  2.0799350E+02  1.9019290E+01  2.6296348E+01  2.2167600E-03  2.0290000E-01  2.0290000E-01
  2.0799350E+02  1.9156121E+01  2.7549900E+01  2.2167600E-03  2.0847000E-01  2.0847000E-01
  2.0799350E+02  1.9291801E+01  2.8801201E+01  2.2167600E-03  2.1403000E-01  2.1403000E-01
  2.0799350E+02  1.9426507E+01  3.0052502E+01  2.2167600E-03  2.1959000E-01  2.1959000E-01
  2.0799350E+02  1.9561649E+01  3.1306054E+01  2.2167600E-03  2.2516000E-01  2.2516000E-01
  2.0799350E+02  1.9698085E+01  3.2557355E+01  2.2167600E-03  2.3072000E-01  2.3072000E-01
  2.0799350E+02  1.9836540E+01  3.3810907E+01  2.2167600E-03  2.3629000E-01  2.3629000E-01
  2.0799350E+02  1.9975164E+01  3.5062208E+01  2.2167600E-03  2.4185000E-01  2.4185000E-01
  2.0799350E+02  2.0112216E+01  3.6313509E+01  2.2167600E-03  2.4741000E-01  2.4741000E-01
  2.0799350E+02  2.0246551E+01  3.7567061E+01  2.2167600E-03  2.5298000E-01  2.5298000E-01
  2.0799350E+02  2.0377046E+01  3.8818362E+01  2.2167600E-03  2.5854000E-01  2.5854000E-01
  2.0799350E+02  2.0504197E+01  4.0071914E+01  2.2167600E-03  2.6411000E-01  2.6411000E-01
  2.0799350E+02  2.0628043E+01  4.1323215E+01  2.2167600E-03  2.6967000E-01  2.6967000E-01
  2.0799350E+02  2.0749505E+01  4.2574517E+01  2.2167600E-03  2.7523000E-01  2.7523000E-01
  2.0799350E+02  2.0869427E+01  4.3828068E+01  2.2167600E-03  2.8080000E-01  2.8080000E-01
  2.0799350E+02  2.0987761E+01  4.5079370E+01  2.2167600E-03  2.8636000E-01  2.8636000E-01
  2.0799350E+02  2.1104829E+01  4.6330671E+01  2.2167600E-03  2.9192000E-01  2.9192000E-01
  2.0799350E+02  2.1220858E+01  4.7584223E+01  2.2167600E-03  2.9749000E-01  2.9749000E-01
  2.0799350E+02  2.1335558E+01  4.8835524E+01  2.2167600E-03  3.0305000E-01  3.0305000E-01
  2.0799350E+02  2.1449535E+01  5.0089076E+01  2.2167600E-03  3.0862000E-01  3.0862000E-01
  2.0799350E+02  2.1562085E+01  5.1340377E+01  2.2167600E-03  3.1418000E-01  3.1418000E-01
  2.0799350E+02  2.1673140E+01  5.2591678E+01  2.2167600E-03  3.1974000E-01  3.1974000E-01
  2.0799350E+02  2.1782850E+01  5.3845230E+01  2.2167600E-03  3.2531000E-01  3.2531000E-01
  2.0799350E+02  2.1890903E+01  5.5096531E+01  2.2167600E-03  3.3087000E-01  3.3087000E-01
  2.0799350E+02  2.1997828E+01  5.6350083E+01  2.2167600E-03  3.3644000E-01  3.3644000E-01
  2.0799350E+02  2.2103376E+01  5.7601384E+01  2.2167600E-03  3.4200000E-01  3.4200000E-01
  2.0799350E+02  2.2207834E+01  5.8852685E+01  2.2167600E-03  3.4756000E-01  3.4756000E-01
  2.0799350E+02  2.2311410E+01  6.0106237E+01  2.2167600E-03  3.5313000E-01  3.5313000E-01
  2.0799350E+02  2.2413676E+01  6.1357538E+01  2.2167600E-03  3.5869000E-01  3.5869000E-01
  2.0799350E+02  2.2514684E+01  6.2608840E+01  2.2167600E-03  3.6425000E-01  3.6425000E-01
  2.0799350E+02  2.2614400E+01  6.3862391E+01  2.2167600E-03  3.6982000E-01  3.6982000E-01
  2.0799350E+02  2.2712204E+01  6.5113693E+01  2.2167600E-03  3.7538000E-01  3.7538000E-01
  2.0799350E+02  2.2808149E+01  6.6367244E+01  2.2167600E-03  3.8095000E-01  3.8095000E-01
  2.0799350E+02  2.2902031E+01  6.7618546E+01  2.2167600E-03  3.8651000E-01  3.8651000E-01
  2.0799350E+02  2.2993442E+01  6.8869847E+01  2.2167600E-03  3.9207000E-01  3.9207000E-01
  2.0799350E+02  2.3083084E+01  7.0123399E+01  2.2167600E-03  3.9764000E-01  3.9764000E-01
  2.0799350E+02  2.3171326E+01  7.1374700E+01  2.2167600E-03  4.0320000E-01  4.0320000E-01
  2.0799350E+02  2.3258721E+01  7.2628252E+01  2.2167600E-03  4.0877000E-01  4.0877000E-01
  2.0799350E+02  2.3344925E+01  7.3879553E+01  2.2167600E-03  4.1433000E-01  4.1433000E-01
  2.0799350E+02  2.3429952E+01  7.5130854E+01  2.2167600E-03  4.1989000E-01  4.1989000E-01
  2.0799350E+02  2.3513809E+01  7.6384406E+01  2.2167600E-03  4.2546000E-01  4.2546000E-01
  2.0799350E+02  2.3596128E+01  7.7635707E+01  2.2167600E-03  4.3102000E-01  4.3102000E-01
  2.0799350E+02  2.3677258E+01  7.8889259E+01  2.2167600E-03  4.3659000E-01  4.3659000E-01
