          atime         vdf_uu         vdf_vv         vdf_ww         pm1avg           tavg
  2.0799350E+02  4.0641664E-02  1.3118911E-03  3.3487342E-02 -5.1768939E-02  0.0000000E+00
  2.0799350E+02  4.8812853E-02  1.5270539E-03  4.4090821E-03 -5.1810476E-02  0.0000000E+00
  2.0799350E+02  2.0190067E-02  1.2706584E-03  2.9209515E-03 -5.1832752E-02  0.0000000E+00
  2.0799350E+02 -3.2660632E-02  8.3640267E-04  2.3672299E-03 -5.1839544E-02  0.0000000E+00
  2.0799350E+02 -4.1850155E-02  8.1137716E-04 -1.2486764E-03 -5.1809062E-02  0.0000000E+00
  2.0799350E+02 -2.2586804E-02  8.8445158E-04 -4.8195317E-03 -5.1753684E-02  0.0000000E+00
  2.0799350E+02 -5.7208915E-03  8.3460356E-04 -5.7060963E-03 -5.1705599E-02  0.0000000E+00
  2.0799350E+02  1.9831477E-03  6.0776080E-04 -4.5793680E-03 -5.1690854E-02  0.0000000E+00
  2.0799350E+02  4.0233339E-03  9.4502872E-05 -2.4799534E-03 -5.1704730E-02  0.0000000E+00
  2.0799350E+02  4.3102038E-03 -4.5933546E-04 -1.1012529E-03 -5.1713309E-02  0.0000000E+00
  2.0799350E+02  3.7052232E-03 -8.7192925E-04 -3.6425277E-04 -5.1676756E-02  0.0000000E+00
  2.0799350E+02  2.9412332E-03 -1.0958025E-03 -1.9345872E-05 -5.1554776E-02  0.0000000E+00
  2.0799350E+02  2.2545596E-03 -1.1868801E-03 -5.8759837E-06 -5.1314032E-02  0.0000000E+00
  2.0799350E+02  1.6918940E-03 -1.2339442E-03 -2.1136217E-04 -5.0939513E-02  0.0000000E+00
  2.0799350E+02  1.3553664E-03 -1.2806927E-03 -2.9595469E-04 -5.0430306E-02  0.0000000E+00
  2.0799350E+02  8.7494002E-04 -1.2538050E-03 -1.5285515E-04 -4.9795416E-02  0.0000000E+00
  2.0799350E+02  1.3195796E-04 -1.0701040E-03  1.2187369E-04 -4.9052061E-02  0.0000000E+00
  2.0799350E+02 -2.2295103E-04 -8.2493632E-04  1.7843871E-04 -4.8221614E-02  0.0000000E+00
  2.0799350E+02 -2.5771852E-04 -5.8127601E-04 -3.8389915E-05 -4.7328864E-02  0.0000000E+00
  2.0799350E+02 -2.1300146E-04 -3.6283744E-04 -3.5442801E-04 -4.6384967E-02  0.0000000E+00
  2.0799350E+02 -2.4426114E-04 -1.6798406E-04 -5.6475949E-04 -4.5405385E-02  0.0000000E+00
  2.0799350E+02 -3.5622693E-04  1.0144593E-05 -5.4874075E-04 -4.4398823E-02  0.0000000E+00
  2.0799350E+02 -4.6110770E-04  1.5997406E-04 -3.1157844E-04 -4.3370604E-02  0.0000000E+00
  2.0799350E+02 -4.9219796E-04  2.4206832E-04  1.2848495E-05 -4.2327541E-02  0.0000000E+00
  2.0799350E+02 -5.1057590E-04  2.0844370E-04  1.8779556E-04 -4.1269159E-02  0.0000000E+00
  2.0799350E+02 -7.3501785E-04  5.7869467E-05 -1.0508735E-04 -4.0201255E-02  0.0000000E+00
  2.0799350E+02 -1.1061650E-03  1.9940698E-07 -3.1851865E-04 -3.9133389E-02  0.0000000E+00
  2.0799350E+02 -8.9231520E-04  4.0655929E-05 -1.0906656E-04 -3.8073019E-02  0.0000000E+00
  2.0799350E+02 -6.2290873E-04  4.5646600E-05  3.9014494E-05 -3.7025380E-02  0.0000000E+00
  2.0799350E+02 -4.8839396E-04  1.6151180E-05  9.0731334E-05 -3.5986310E-02  0.0000000E+00
  2.0799350E+02 -4.6019351E-04 -1.2992960E-05  7.6996840E-05 -3.4955008E-02  0.0000000E+00
  2.0799350E+02 -4.6274090E-04 -1.2845044E-05  4.3167269E-05 -3.3937170E-02  0.0000000E+00
  2.0799350E+02 -4.4974070E-04  2.2467878E-05  2.0058136E-05 -3.2931404E-02  0.0000000E+00
  2.0799350E+02 -4.1476533E-04  7.5977186E-05  1.4472166E-05 -3.1944134E-02  0.0000000E+00
  2.0799350E+02 -3.6476141E-04  1.1959896E-04  1.3865423E-05 -3.0977458E-02  0.0000000E+00
  2.0799350E+02 -2.8690396E-04  1.3028669E-04  1.6152259E-06 -3.0034851E-02  0.0000000E+00
  2.0799350E+02 -1.3908941E-04  1.0542452E-04 -2.2053849E-05 -2.9125082E-02  0.0000000E+00
  2.0799350E+02  1.0824922E-04  7.1229581E-05 -1.7975116E-05 -2.8249235E-02  0.0000000E+00
  2.0799350E+02  3.4720528E-04  7.7808072E-05  1.1158558E-04 -2.7400717E-02  0.0000000E+00
  2.0799350E+02  3.7269902E-04  1.1634415E-04  2.1432526E-04 -2.6578645E-02  0.0000000E+00
  2.0799350E+02  4.5079481E-04  9.2293767E-05  1.5116323E-04 -2.5777846E-02  0.0000000E+00
  2.0799350E+02  4.5310376E-04  6.1992108E-05  1.2103778E-04 -2.4996998E-02  0.0000000E+00
  2.0799350E+02  3.7219072E-04  4.2128822E-05  9.9175563E-05 -2.4238723E-02  0.0000000E+00
  2.0799350E+02  2.5053428E-04  3.3034993E-05  7.5245388E-05 -2.3502439E-02  0.0000000E+00
  2.0799350E+02  1.3996201E-04  2.8361799E-05  4.7780164E-05 -2.2790135E-02  0.0000000E+00
  2.0799350E+02  7.5918961E-05  2.1243926E-05  1.9761733E-05 -2.2098245E-02  0.0000000E+00
  2.0799350E+02  6.8795399E-05  7.8479494E-06 -3.9008933E-06 -2.1428244E-02  0.0000000E+00
  2.0799350E+02  1.0410020E-04 -1.1584986E-05 -1.8644640E-05 -2.0777739E-02  0.0000000E+00
  2.0799350E+02  1.5200619E-04 -3.3332777E-05 -2.1245317E-05 -2.0144029E-02  0.0000000E+00
  2.0799350E+02  1.8023590E-04 -5.1790962E-05 -1.0637575E-05 -1.9527093E-02  0.0000000E+00
  2.0799350E+02  1.6941624E-04 -6.2081060E-05  1.1477907E-05 -1.8922789E-02  0.0000000E+00
  2.0799350E+02  1.2540808E-04 -6.2281260E-05  4.0084578E-05 -1.8326928E-02  0.0000000E+00
  2.0799350E+02  8.7482890E-05 -5.5376667E-05  6.5628454E-05 -1.7739732E-02  0.0000000E+00
  2.0799350E+02  1.2721202E-04 -5.0068342E-05  7.2762672E-05 -1.7160781E-02  0.0000000E+00
  2.0799350E+02  1.3726493E-04 -5.6950487E-05 -1.0830546E-05 -1.6592342E-02  0.0000000E+00
  2.0799350E+02  2.2309619E-05 -5.8175386E-05 -4.8685515E-05 -1.6033649E-02  0.0000000E+00
  2.0799350E+02 -7.6948086E-05 -5.5128045E-05 -2.2529862E-05 -1.5488873E-02  0.0000000E+00
  2.0799350E+02 -1.5025206E-04 -5.2260076E-05  1.6241001E-05 -1.4960795E-02  0.0000000E+00
  2.0799350E+02 -1.9391977E-04 -5.0803051E-05  4.2983446E-05 -1.4448522E-02  0.0000000E+00
  2.0799350E+02 -2.0953979E-04 -4.9834001E-05  4.9819950E-05 -1.3954389E-02  0.0000000E+00
  2.0799350E+02 -2.0315695E-04 -4.7380828E-05  3.8736296E-05 -1.3477196E-02  0.0000000E+00
  2.0799350E+02 -1.8267950E-04 -4.1503601E-05  1.6142770E-05 -1.3015156E-02  0.0000000E+00
  2.0799350E+02 -1.5576545E-04 -3.1257839E-05 -1.0286688E-05 -1.2568524E-02  0.0000000E+00
  2.0799350E+02 -1.2741453E-04 -1.7232243E-05 -3.3915838E-05 -1.2134223E-02  0.0000000E+00
  2.0799350E+02 -9.8964131E-05 -1.8967690E-06 -4.9740371E-05 -1.1712648E-02  0.0000000E+00
  2.0799350E+02 -6.7669249E-05  1.0904036E-05 -5.4848616E-05 -1.1302395E-02  0.0000000E+00
  2.0799350E+02 -2.8497255E-05  1.6872161E-05 -4.7943627E-05 -1.0902713E-02  0.0000000E+00
  2.0799350E+02  2.1715894E-05  1.3066776E-05 -2.9095868E-05 -1.0515254E-02  0.0000000E+00
  2.0799350E+02  7.8030987E-05  7.2483646E-07  4.6991965E-07 -1.0139014E-02  0.0000000E+00
  2.0799350E+02  1.1731593E-04 -1.1012294E-05  3.8002308E-05 -9.7712642E-03  0.0000000E+00
  2.0799350E+02  1.1107200E-04 -1.0706350E-05  5.0006295E-05 -9.4110534E-03  0.0000000E+00
  2.0799350E+02  1.4629687E-04 -2.0038577E-05  3.3457292E-05 -9.0619972E-03  0.0000000E+00
  2.0799350E+02  1.6900753E-04 -2.2600337E-05  5.4160949E-05 -8.7199815E-03  0.0000000E+00
  2.0799350E+02  1.6298189E-04 -1.7793543E-05  8.1666926E-05 -8.3848788E-03  0.0000000E+00
  2.0799350E+02  1.3322000E-04 -6.4703304E-06  9.9398738E-05 -8.0557821E-03  0.0000000E+00
  2.0799350E+02  9.2410280E-05  9.3708154E-06  1.0084320E-04 -7.7333888E-03  0.0000000E+00
  2.0799350E+02  5.2174916E-05  2.7206794E-05  8.6529509E-05 -7.4162857E-03  0.0000000E+00
  2.0799350E+02  1.9647437E-05  4.4253392E-05  6.1243105E-05 -7.1057605E-03  0.0000000E+00
  2.0799350E+02 -3.5899012E-06  5.8120316E-05  3.1585181E-05 -6.8017851E-03  0.0000000E+00
  2.0799350E+02 -1.9566660E-05  6.7068571E-05  4.1362989E-06 -6.5046502E-03  0.0000000E+00
  2.0799350E+02 -3.1118642E-05  7.0265571E-05 -1.5793138E-05 -6.2163099E-03  0.0000000E+00
  2.0799350E+02 -3.9239209E-05  6.8028891E-05 -2.5455649E-05 -5.9369508E-03  0.0000000E+00
  2.0799350E+02 -4.1211604E-05  6.1713107E-05 -2.4975051E-05 -5.6664618E-03  0.0000000E+00
  2.0799350E+02 -3.1060451E-05  5.3558141E-05 -1.7503675E-05 -5.4056889E-03  0.0000000E+00
