          atime        conv_uu        conv_vv        conv_ww         pm1avg           tavg
  5.2507600E+01  8.3405568E-07  9.1932374E-08 -1.1755311E-07 -1.6777692E-01  0.0000000E+00
  5.2507600E+01 -1.5453123E-02 -4.0569248E-04 -2.5817318E-03 -1.6583748E-01  0.0000000E+00
  5.2507600E+01 -7.1442287E-02 -3.7019140E-03 -2.3764058E-02 -1.6365922E-01  0.0000000E+00
  5.2507600E+01 -1.1829430E-01 -9.6819240E-03 -7.7889336E-02 -1.6075111E-01  0.0000000E+00
  5.2507600E+01 -1.1392042E-01 -1.3974773E-02 -1.5760163E-01 -1.5702896E-01  0.0000000E+00
  5.2507600E+01 -5.4300218E-02 -1.3729561E-02 -2.3722266E-01 -1.5267107E-01  0.0000000E+00
  5.2507600E+01  3.2495098E-02 -9.7400670E-03 -2.8890038E-01 -1.4796173E-01  0.0000000E+00
  5.2507600E+01  1.0292913E-01 -4.2083612E-03 -3.0056126E-01 -1.4316552E-01  0.0000000E+00
  5.2507600E+01  1.2470647E-01  1.0775304E-03 -2.7911161E-01 -1.3847443E-01  0.0000000E+00
  5.2507600E+01  1.0150962E-01  5.0881726E-03 -2.4138622E-01 -1.3399650E-01  0.0000000E+00
  5.2507600E+01  6.4666774E-02  7.5840996E-03 -2.0098200E-01 -1.2975733E-01  0.0000000E+00
  5.2507600E+01  3.7211502E-02  8.6584121E-03 -1.6551971E-01 -1.2583826E-01  0.0000000E+00
  5.2507600E+01  2.2006269E-02  8.6041744E-03 -1.3607487E-01 -1.2220246E-01  0.0000000E+00
  5.2507600E+01  1.2564569E-02  7.7643937E-03 -1.1180484E-01 -1.1883440E-01  0.0000000E+00
  5.2507600E+01  4.8396275E-03  6.5402401E-03 -9.2381324E-02 -1.1571404E-01  0.0000000E+00
  5.2507600E+01 -2.5447005E-03  5.2664867E-03 -7.7479201E-02 -1.1281439E-01  0.0000000E+00
  5.2507600E+01 -7.8052134E-03  4.1164567E-03 -6.6180418E-02 -1.1011313E-01  0.0000000E+00
  5.2507600E+01 -1.0610940E-02  3.0748965E-03 -5.7794211E-02 -1.0758773E-01  0.0000000E+00
  5.2507600E+01 -1.1623833E-02  2.1492154E-03 -5.1460160E-02 -1.0521973E-01  0.0000000E+00
  5.2507600E+01 -1.2248790E-02  1.4276113E-03 -4.6501158E-02 -1.0299255E-01  0.0000000E+00
  5.2507600E+01 -1.3465202E-02  9.9107623E-04 -4.2402564E-02 -1.0089261E-01  0.0000000E+00
