          atime          uvcov          vwcov          wucov         pm1avg           tavg
  5.2507600E+01 -3.2002451E-14 -1.0655313E-15 -1.0985501E-15 -1.6777692E-01  0.0000000E+00
  5.2507600E+01  7.3449867E-05  9.6133530E-07  2.9245133E-05 -1.6583748E-01  0.0000000E+00
  5.2507600E+01  4.5260346E-04  5.7469299E-06  1.0544644E-04 -1.6365922E-01  0.0000000E+00
  5.2507600E+01  1.0705837E-03  1.3971919E-05  1.9665412E-04 -1.6075111E-01  0.0000000E+00
  5.2507600E+01  1.6108269E-03  2.2998757E-05  2.6579640E-04 -1.5702896E-01  0.0000000E+00
  5.2507600E+01  1.8181956E-03  3.0029543E-05  2.9409570E-04 -1.5267107E-01  0.0000000E+00
  5.2507600E+01  1.6566216E-03  3.2718480E-05  2.8490757E-04 -1.4796173E-01  0.0000000E+00
  5.2507600E+01  1.2462251E-03  2.9320042E-05  2.5155736E-04 -1.4316552E-01  0.0000000E+00
  5.2507600E+01  7.2993689E-04  1.9547305E-05  2.0696857E-04 -1.3847443E-01  0.0000000E+00
  5.2507600E+01  2.0479256E-04  4.7497934E-06  1.5875911E-04 -1.3399650E-01  0.0000000E+00
  5.2507600E+01 -2.9112456E-04 -1.2991644E-05  1.0979841E-04 -1.2975733E-01  0.0000000E+00
  5.2507600E+01 -7.4147495E-04 -3.0969843E-05  6.2228384E-05 -1.2583826E-01  0.0000000E+00
  5.2507600E+01 -1.1544479E-03 -4.7084810E-05  1.7486354E-05 -1.2220246E-01  0.0000000E+00
  5.2507600E+01 -1.5368107E-03 -5.9312612E-05 -2.1817948E-05 -1.1883440E-01  0.0000000E+00
  5.2507600E+01 -1.8928908E-03 -6.6089744E-05 -5.2371675E-05 -1.1571404E-01  0.0000000E+00
  5.2507600E+01 -2.2258998E-03 -6.6339088E-05 -7.1623071E-05 -1.1281439E-01  0.0000000E+00
  5.2507600E+01 -2.5375997E-03 -5.9991748E-05 -7.7845548E-05 -1.1011313E-01  0.0000000E+00
  5.2507600E+01 -2.8310543E-03 -4.7619462E-05 -7.0694380E-05 -1.0758773E-01  0.0000000E+00
  5.2507600E+01 -3.1087971E-03 -3.0446453E-05 -5.0427043E-05 -1.0521973E-01  0.0000000E+00
  5.2507600E+01 -3.3722752E-03 -1.0182486E-05 -1.7996729E-05 -1.0299255E-01  0.0000000E+00
  5.2507600E+01 -3.6221046E-03  1.1109117E-05  2.4855965E-05 -1.0089261E-01  0.0000000E+00
