          atime         pdf_uu         pdf_vv         pdf_ww         pm1avg           tavg
  5.2507600E+01  3.4082687E-06  1.4221319E-04  2.1552191E-08 -1.6777692E-01  0.0000000E+00
  5.2507600E+01 -2.0302869E-01  1.6349561E-01  4.7414079E-03 -1.6583748E-01  0.0000000E+00
  5.2507600E+01 -2.9106608E-01  1.9683617E-01  8.9946530E-03 -1.6365922E-01  0.0000000E+00
  5.2507600E+01 -2.6917112E-01  1.3317980E-01  1.2363089E-02 -1.6075111E-01  0.0000000E+00
  5.2507600E+01 -1.7874632E-01  3.0640158E-02  1.4568879E-02 -1.5702896E-01  0.0000000E+00
  5.2507600E+01 -7.4836528E-02 -5.6592661E-02  1.5646781E-02 -1.5267107E-01  0.0000000E+00
  5.2507600E+01  6.4283863E-03 -1.0399424E-01  1.5868454E-02 -1.4796173E-01  0.0000000E+00
  5.2507600E+01  5.6204766E-02 -1.1454056E-01  1.5479316E-02 -1.4316552E-01  0.0000000E+00
  5.2507600E+01  8.0982163E-02 -1.0278406E-01  1.4559326E-02 -1.3847443E-01  0.0000000E+00
  5.2507600E+01  9.1549237E-02 -8.2913624E-02  1.3145192E-02 -1.3399650E-01  0.0000000E+00
  5.2507600E+01  9.5640377E-02 -6.2980918E-02  1.1362387E-02 -1.2975733E-01  0.0000000E+00
  5.2507600E+01  9.7333736E-02 -4.6364133E-02  9.4335656E-03 -1.2583826E-01  0.0000000E+00
  5.2507600E+01  9.8193067E-02 -3.3178551E-02  7.5102809E-03 -1.2220246E-01  0.0000000E+00
  5.2507600E+01  9.8455652E-02 -2.2556802E-02  5.6564186E-03 -1.1883440E-01  0.0000000E+00
  5.2507600E+01  9.8205747E-02 -1.3606717E-02  3.8376842E-03 -1.1571404E-01  0.0000000E+00
  5.2507600E+01  9.7618990E-02 -5.9857266E-03  2.0372380E-03 -1.1281439E-01  0.0000000E+00
  5.2507600E+01  9.6728284E-02  4.5612794E-04  3.1071947E-04 -1.1011313E-01  0.0000000E+00
  5.2507600E+01  9.5386863E-02  5.7776809E-03 -1.2424743E-03 -1.0758773E-01  0.0000000E+00
  5.2507600E+01  9.3549819E-02  1.0067493E-02 -2.5027027E-03 -1.0521973E-01  0.0000000E+00
  5.2507600E+01  9.1496431E-02  1.3353455E-02 -3.4011673E-03 -1.0299255E-01  0.0000000E+00
  5.2507600E+01  8.9506806E-02  1.5662140E-02 -3.9394501E-03 -1.0089261E-01  0.0000000E+00
  5.2507600E+01  8.7710833E-02  1.7059916E-02 -4.1757989E-03 -9.8909240E-02  0.0000000E+00
  5.2507600E+01  8.6061203E-02  1.7672983E-02 -4.1927816E-03 -9.7033848E-02  0.0000000E+00
  5.2507600E+01  8.4382292E-02  1.7683495E-02 -4.0609288E-03 -9.5258902E-02  0.0000000E+00
  5.2507600E+01  8.2446677E-02  1.7298932E-02 -3.8129867E-03 -9.3577136E-02  0.0000000E+00
  5.2507600E+01  8.0031065E-02  1.6691901E-02 -3.4434040E-03 -9.1981466E-02  0.0000000E+00
  5.2507600E+01  7.6958804E-02  1.5933342E-02 -2.9440278E-03 -9.0465884E-02  0.0000000E+00
  5.2507600E+01  7.3680595E-02  1.5164907E-02 -2.3052911E-03 -8.9022828E-02  0.0000000E+00
  5.2507600E+01  7.0237812E-02  1.4292123E-02 -1.5633880E-03 -8.7647193E-02  0.0000000E+00
  5.2507600E+01  6.6951368E-02  1.3414110E-02 -7.6715680E-04 -8.6333083E-02  0.0000000E+00
  5.2507600E+01  6.3967171E-02  1.2577720E-02  2.9193626E-05 -8.5066532E-02  0.0000000E+00
  5.2507600E+01  6.1385418E-02  1.1821558E-02  7.6545537E-04 -8.3862011E-02  0.0000000E+00
  5.2507600E+01  5.9165565E-02  1.1149935E-02  1.4217019E-03 -8.2706360E-02  0.0000000E+00
  5.2507600E+01  5.7247740E-02  1.0563114E-02  1.9954273E-03 -8.1596271E-02  0.0000000E+00
  5.2507600E+01  5.5553530E-02  1.0052383E-02  2.5018995E-03 -8.0528678E-02  0.0000000E+00
  5.2507600E+01  5.4004255E-02  9.6005981E-03  2.9645637E-03 -7.9500711E-02  0.0000000E+00
  5.2507600E+01  5.2533949E-02  9.1844107E-03  3.4041470E-03 -7.8509674E-02  0.0000000E+00
  5.2507600E+01  5.1097505E-02  8.7807747E-03  3.8291650E-03 -7.7553032E-02  0.0000000E+00
  5.2507600E+01  4.9674465E-02  8.3803314E-03  4.2305318E-03 -7.6628393E-02  0.0000000E+00
  5.2507600E+01  4.8268920E-02  8.0102656E-03  4.5829739E-03 -7.5733461E-02  0.0000000E+00
  5.2507600E+01  4.6905994E-02  7.7692291E-03  4.8559502E-03 -7.4865927E-02  0.0000000E+00
  5.2507600E+01  4.5562523E-02  7.5771958E-03  5.0300093E-03 -7.4023761E-02  0.0000000E+00
  5.2507600E+01  4.4246384E-02  7.5025035E-03  5.1044514E-03 -7.3205267E-02  0.0000000E+00
  5.2507600E+01  4.2984591E-02  7.5411030E-03  5.0790414E-03 -7.2408694E-02  0.0000000E+00
  5.2507600E+01  4.1779355E-02  7.6691621E-03  4.9687298E-03 -7.1632561E-02  0.0000000E+00
  5.2507600E+01  4.0624006E-02  7.8710272E-03  4.7965711E-03 -7.0875631E-02  0.0000000E+00
  5.2507600E+01  3.9510589E-02  8.1338673E-03  4.5870998E-03 -7.0136831E-02  0.0000000E+00
  5.2507600E+01  3.8434260E-02  8.4446601E-03  4.3615573E-03 -6.9415251E-02  0.0000000E+00
  5.2507600E+01  3.7395094E-02  8.7890202E-03  4.1348086E-03 -6.8710068E-02  0.0000000E+00
  5.2507600E+01  3.6397900E-02  9.1513650E-03  3.9137863E-03 -6.8020552E-02  0.0000000E+00
  5.2507600E+01  3.5443824E-02  9.5185897E-03  3.6956977E-03 -6.7341103E-02  0.0000000E+00
  5.2507600E+01  3.4555658E-02  9.8705807E-03  3.4753800E-03 -6.6681121E-02  0.0000000E+00
  5.2507600E+01  3.3733043E-02  1.0197756E-02  3.2378440E-03 -6.6034963E-02  0.0000000E+00
  5.2507600E+01  3.2978777E-02  1.0490644E-02  2.9676266E-03 -6.5402158E-02  0.0000000E+00
  5.2507600E+01  3.2290397E-02  1.0741912E-02  2.6508374E-03 -6.4782216E-02  0.0000000E+00
  5.2507600E+01  3.1660559E-02  1.0944016E-02  2.2793777E-03 -6.4174686E-02  0.0000000E+00
  5.2507600E+01  3.1079606E-02  1.1084663E-02  1.8555520E-03 -6.3579152E-02  0.0000000E+00
  5.2507600E+01  3.0540913E-02  1.1139598E-02  1.3969148E-03 -6.2995112E-02  0.0000000E+00
  5.2507600E+01  3.0032974E-02  1.1152430E-02  9.3514013E-04 -6.2422257E-02  0.0000000E+00
  5.2507600E+01  2.9543494E-02  1.1060834E-02  4.6056705E-04 -6.1860033E-02  0.0000000E+00
  5.2507600E+01  2.9078944E-02  1.0836261E-02  5.4605914E-06 -6.1307881E-02  0.0000000E+00
  5.2507600E+01  2.8633387E-02  1.0495310E-02 -4.1619520E-04 -6.0765404E-02  0.0000000E+00
  5.2507600E+01  2.8194576E-02  1.0055694E-02 -8.0551964E-04 -6.0231936E-02  0.0000000E+00
  5.2507600E+01  2.7747979E-02  9.5344662E-03 -1.1682063E-03 -5.9706984E-02  0.0000000E+00
  5.2507600E+01  2.7279623E-02  8.9465421E-03 -1.5079590E-03 -5.9189947E-02  0.0000000E+00
  5.2507600E+01  2.6777925E-02  8.3035738E-03 -1.8232372E-03 -5.8680266E-02  0.0000000E+00
  5.2507600E+01  2.6234657E-02  7.6132384E-03 -2.1066545E-03 -5.8177417E-02  0.0000000E+00
  5.2507600E+01  2.5645227E-02  6.8789956E-03 -2.3463758E-03 -5.7680911E-02  0.0000000E+00
  5.2507600E+01  2.5008424E-02  6.1003743E-03 -2.5288565E-03 -5.7190300E-02  0.0000000E+00
  5.2507600E+01  2.4325800E-02  5.2738445E-03 -2.6422685E-03 -5.6705199E-02  0.0000000E+00
