          atime         prd_uu         prd_vv         prd_ww         pm1avg           tavg
  5.2507600E+01 -5.1630644E-11  1.3751705E-13 -1.8322583E-14 -1.6777692E-01  0.0000000E+00
  5.2507600E+01  2.0597121E-02  3.4810786E-04 -6.8290505E-05 -1.6583748E-01  0.0000000E+00
  5.2507600E+01  1.2023288E-01  3.4000702E-03 -5.6783258E-04 -1.6365922E-01  0.0000000E+00
  5.2507600E+01  2.6749041E-01  9.4681571E-03 -1.9254900E-03 -1.6075111E-01  0.0000000E+00
  5.2507600E+01  3.7437688E-01  1.4330657E-02 -4.3450637E-03 -1.5702896E-01  0.0000000E+00
  5.2507600E+01  3.9067646E-01  1.4294358E-02 -7.6221042E-03 -1.5267107E-01  0.0000000E+00
  5.2507600E+01  3.3212926E-01  9.8594128E-03 -1.1228358E-02 -1.4796173E-01  0.0000000E+00
  5.2507600E+01  2.4351826E-01  4.1243698E-03 -1.4592404E-02 -1.4316552E-01  0.0000000E+00
  5.2507600E+01  1.5942144E-01 -4.5848566E-04 -1.7349221E-02 -1.3847443E-01  0.0000000E+00
  5.2507600E+01  9.3656458E-02 -3.0790833E-03 -1.9406226E-02 -1.3399650E-01  0.0000000E+00
  5.2507600E+01  4.6284696E-02 -4.0228593E-03 -2.0856107E-02 -1.2975733E-01  0.0000000E+00
  5.2507600E+01  1.3631778E-02 -3.8133553E-03 -2.1812448E-02 -1.2583826E-01  0.0000000E+00
  5.2507600E+01 -9.1207767E-03 -2.8880741E-03 -2.2406743E-02 -1.2220246E-01  0.0000000E+00
  5.2507600E+01 -2.4997362E-02 -1.5524646E-03 -2.2724559E-02 -1.1883440E-01  0.0000000E+00
  5.2507600E+01 -3.5958039E-02 -3.9467600E-05 -2.2826719E-02 -1.1571404E-01  0.0000000E+00
  5.2507600E+01 -4.3481862E-02  1.5549817E-03 -2.2761914E-02 -1.1281439E-01  0.0000000E+00
  5.2507600E+01 -4.8597430E-02  3.1253146E-03 -2.2568619E-02 -1.1011313E-01  0.0000000E+00
  5.2507600E+01 -5.2004576E-02  4.6603087E-03 -2.2274304E-02 -1.0758773E-01  0.0000000E+00
  5.2507600E+01 -5.3995568E-02  6.0830411E-03 -2.1901375E-02 -1.0521973E-01  0.0000000E+00
  5.2507600E+01 -5.4743745E-02  7.3356034E-03 -2.1468313E-02 -1.0299255E-01  0.0000000E+00
  5.2507600E+01 -5.4438605E-02  8.3819370E-03 -2.0989013E-02 -1.0089261E-01  0.0000000E+00
  5.2507600E+01 -5.3333755E-02  9.2140075E-03 -2.0472921E-02 -9.8909240E-02  0.0000000E+00
  5.2507600E+01 -5.1731527E-02  9.8560975E-03 -1.9925928E-02 -9.7033848E-02  0.0000000E+00
  5.2507600E+01 -4.9928121E-02  1.0361997E-02 -1.9351993E-02 -9.5258902E-02  0.0000000E+00
  5.2507600E+01 -4.8143225E-02  1.0800160E-02 -1.8755539E-02 -9.3577136E-02  0.0000000E+00
  5.2507600E+01 -4.6457257E-02  1.1219570E-02 -1.8144084E-02 -9.1981466E-02  0.0000000E+00
  5.2507600E+01 -4.4792520E-02  1.1606757E-02 -1.7532635E-02 -9.0465884E-02  0.0000000E+00
  5.2507600E+01 -4.3118502E-02  1.1994188E-02 -1.6939334E-02 -8.9022828E-02  0.0000000E+00
  5.2507600E+01 -4.1356232E-02  1.2334625E-02 -1.6382294E-02 -8.7647193E-02  0.0000000E+00
  5.2507600E+01 -3.9531558E-02  1.2632379E-02 -1.5874146E-02 -8.6333083E-02  0.0000000E+00
  5.2507600E+01 -3.7681658E-02  1.2893773E-02 -1.5414510E-02 -8.5066532E-02  0.0000000E+00
  5.2507600E+01 -3.5888350E-02  1.3119968E-02 -1.5006313E-02 -8.3862011E-02  0.0000000E+00
  5.2507600E+01 -3.4182109E-02  1.3318050E-02 -1.4638151E-02 -8.2706360E-02  0.0000000E+00
  5.2507600E+01 -3.2589570E-02  1.3492333E-02 -1.4300178E-02 -8.1596271E-02  0.0000000E+00
  5.2507600E+01 -3.1117854E-02  1.3645512E-02 -1.3981990E-02 -8.0528678E-02  0.0000000E+00
  5.2507600E+01 -2.9756646E-02  1.3777847E-02 -1.3673577E-02 -7.9500711E-02  0.0000000E+00
  5.2507600E+01 -2.8483269E-02  1.3886676E-02 -1.3365818E-02 -7.8509674E-02  0.0000000E+00
  5.2507600E+01 -2.7269646E-02  1.3966486E-02 -1.3050570E-02 -7.7553032E-02  0.0000000E+00
  5.2507600E+01 -2.6090013E-02  1.4009777E-02 -1.2720379E-02 -7.6628393E-02  0.0000000E+00
  5.2507600E+01 -2.4928455E-02  1.4008990E-02 -1.2367930E-02 -7.5733461E-02  0.0000000E+00
  5.2507600E+01 -2.3783808E-02  1.3959490E-02 -1.1984853E-02 -7.4865927E-02  0.0000000E+00
  5.2507600E+01 -2.2653777E-02  1.3861031E-02 -1.1570243E-02 -7.4023761E-02  0.0000000E+00
  5.2507600E+01 -2.1544283E-02  1.3713714E-02 -1.1126812E-02 -7.3205267E-02  0.0000000E+00
  5.2507600E+01 -2.0483295E-02  1.3524847E-02 -1.0661122E-02 -7.2408694E-02  0.0000000E+00
  5.2507600E+01 -1.9482817E-02  1.3301769E-02 -1.0181718E-02 -7.1632561E-02  0.0000000E+00
  5.2507600E+01 -1.8543934E-02  1.3050641E-02 -9.6962968E-03 -7.0875631E-02  0.0000000E+00
  5.2507600E+01 -1.7658778E-02  1.2775756E-02 -9.2100291E-03 -7.0136831E-02  0.0000000E+00
  5.2507600E+01 -1.6814681E-02  1.2479247E-02 -8.7249791E-03 -6.9415251E-02  0.0000000E+00
  5.2507600E+01 -1.5994828E-02  1.2161109E-02 -8.2398667E-03 -6.8710068E-02  0.0000000E+00
  5.2507600E+01 -1.5181365E-02  1.1819454E-02 -7.7506028E-03 -6.8020552E-02  0.0000000E+00
  5.2507600E+01 -1.4350553E-02  1.1448139E-02 -7.2473260E-03 -6.7341103E-02  0.0000000E+00
  5.2507600E+01 -1.3498913E-02  1.1048484E-02 -6.7303613E-03 -6.6681121E-02  0.0000000E+00
  5.2507600E+01 -1.2606104E-02  1.0613779E-02 -6.1893613E-03 -6.6034963E-02  0.0000000E+00
  5.2507600E+01 -1.1663158E-02  1.0140562E-02 -5.6192145E-03 -6.5402158E-02  0.0000000E+00
  5.2507600E+01 -1.0663616E-02  9.6270242E-03 -5.0176010E-03 -6.4782216E-02  0.0000000E+00
  5.2507600E+01 -9.6054428E-03  9.0736853E-03 -4.3859406E-03 -6.4174686E-02  0.0000000E+00
  5.2507600E+01 -8.4911198E-03  8.4840992E-03 -3.7300145E-03 -6.3579152E-02  0.0000000E+00
  5.2507600E+01 -7.3258277E-03  7.8655671E-03 -3.0601870E-03 -6.2995112E-02  0.0000000E+00
  5.2507600E+01 -6.1088048E-03  7.2283540E-03 -2.3893823E-03 -6.2422257E-02  0.0000000E+00
  5.2507600E+01 -4.8715900E-03  6.5809327E-03 -1.7260069E-03 -6.1860033E-02  0.0000000E+00
  5.2507600E+01 -3.6527273E-03  5.9428318E-03 -1.0853915E-03 -6.1307881E-02  0.0000000E+00
  5.2507600E+01 -2.4726619E-03  5.3284743E-03 -4.7999528E-04 -6.0765404E-02  0.0000000E+00
  5.2507600E+01 -1.3383938E-03  4.7470376E-03  8.1337251E-05 -6.0231936E-02  0.0000000E+00
  5.2507600E+01 -2.5372886E-04  4.2035888E-03  5.9289884E-04 -5.9706984E-02  0.0000000E+00
  5.2507600E+01  7.8150707E-04  3.7004250E-03  1.0516053E-03 -5.9189947E-02  0.0000000E+00
  5.2507600E+01  1.7672675E-03  3.2378981E-03  1.4565335E-03 -5.8680266E-02  0.0000000E+00
  5.2507600E+01  2.7023260E-03  2.8151326E-03  1.8084791E-03 -5.8177417E-02  0.0000000E+00
  5.2507600E+01  3.5837467E-03  2.4305425E-03  2.1095450E-03 -5.7680911E-02  0.0000000E+00
  5.2507600E+01  4.4070241E-03  2.0821935E-03  2.3627623E-03 -5.7190300E-02  0.0000000E+00
  5.2507600E+01  5.1663581E-03  1.7680186E-03  2.5717392E-03 -5.6705199E-02  0.0000000E+00
  5.2507600E+01  5.8625198E-03  1.4840500E-03  2.7414813E-03 -5.6221625E-02  0.0000000E+00
  5.2507600E+01  6.4798980E-03  1.2324149E-03  2.8733771E-03 -5.5746441E-02  0.0000000E+00
  5.2507600E+01  7.0244467E-03  1.0090786E-03  2.9724822E-03 -5.5275664E-02  0.0000000E+00
  5.2507600E+01  7.4983070E-03  8.1213864E-04  3.0419886E-03 -5.4809054E-02  0.0000000E+00
  5.2507600E+01  7.9101691E-03  6.3978746E-04  3.0845185E-03 -5.4346307E-02  0.0000000E+00
  5.2507600E+01  8.2755838E-03  4.9033047E-04  3.1020322E-03 -5.3887083E-02  0.0000000E+00
  5.2507600E+01  8.6156899E-03  3.6214977E-04  3.0957170E-03 -5.3431083E-02  0.0000000E+00
  5.2507600E+01  8.9586723E-03  2.5398184E-04  3.0660355E-03 -5.2977956E-02  0.0000000E+00
  5.2507600E+01  9.3232223E-03  1.6087927E-04  3.0124999E-03 -5.2527737E-02  0.0000000E+00
  5.2507600E+01  9.6558184E-03  1.0351079E-04  2.9223273E-03 -5.2079986E-02  0.0000000E+00
  5.2507600E+01  9.9525077E-03  8.5621074E-05  2.7923351E-03 -5.1634591E-02  0.0000000E+00
  5.2507600E+01  1.0218301E-02  1.0610537E-04  2.6210597E-03 -5.1191522E-02  0.0000000E+00
  5.2507600E+01  1.0460502E-02  1.6268907E-04  2.4082700E-03 -5.0750705E-02  0.0000000E+00
  5.2507600E+01  1.0684116E-02  2.5216680E-04  2.1550668E-03 -5.0312151E-02  0.0000000E+00
  5.2507600E+01  1.0893409E-02  3.7088635E-04  1.8643983E-03 -4.9875865E-02  0.0000000E+00
  5.2507600E+01  1.1090044E-02  5.1485388E-04  1.5409056E-03 -4.9441902E-02  0.0000000E+00
  5.2507600E+01  1.1273366E-02  6.7986463E-04  1.1908020E-03 -4.9010364E-02  0.0000000E+00
  5.2507600E+01  1.1440809E-02  8.6154950E-04  8.2159629E-04 -4.8581386E-02  0.0000000E+00
  5.2507600E+01  1.1588409E-02  1.0553708E-03  4.4169480E-04 -4.8155141E-02  0.0000000E+00
  5.2507600E+01  1.1712702E-02  1.2566131E-03  6.0124775E-05 -4.7731811E-02  0.0000000E+00
  5.2507600E+01  1.1810262E-02  1.4618115E-03 -3.1694137E-04 -4.7308498E-02  0.0000000E+00
  5.2507600E+01  1.1877804E-02  1.6627004E-03 -6.7530700E-04 -4.6891620E-02  0.0000000E+00
  5.2507600E+01  1.1917123E-02  1.8553079E-03 -1.0099330E-03 -4.6478241E-02  0.0000000E+00
  5.2507600E+01  1.1930764E-02  2.0339396E-03 -1.3142381E-03 -4.6068509E-02  0.0000000E+00
  5.2507600E+01  1.1925321E-02  2.1928041E-03 -1.5828608E-03 -4.5662571E-02  0.0000000E+00
  5.2507600E+01  1.1909314E-02  2.3262078E-03 -1.8119320E-03 -4.5260541E-02  0.0000000E+00
  5.2507600E+01  1.1892307E-02  2.4288568E-03 -1.9989372E-03 -4.4862481E-02  0.0000000E+00
  5.2507600E+01  1.1884366E-02  2.4962818E-03 -2.1423485E-03 -4.4468502E-02  0.0000000E+00
  5.2507600E+01  1.1892091E-02  2.5254021E-03 -2.2411726E-03 -4.4078692E-02  0.0000000E+00
  5.2507600E+01  1.1915754E-02  2.5152515E-03 -2.2940965E-03 -4.3693194E-02  0.0000000E+00
  5.2507600E+01  1.1951844E-02  2.4694843E-03 -2.3035798E-03 -4.3312082E-02  0.0000000E+00
  5.2507600E+01  1.1966465E-02  2.3882923E-03 -2.2640629E-03 -4.2935183E-02  0.0000000E+00
  5.2507600E+01  1.1939289E-02  2.2800781E-03 -2.1806621E-03 -4.2562623E-02  0.0000000E+00
  5.2507600E+01  1.1877390E-02  2.1578352E-03 -2.0712628E-03 -4.2194384E-02  0.0000000E+00
  5.2507600E+01  1.1787913E-02  2.0313490E-03 -1.9496738E-03 -4.1830366E-02  0.0000000E+00
  5.2507600E+01  1.1677650E-02  1.9076566E-03 -1.8260338E-03 -4.1470517E-02  0.0000000E+00
  5.2507600E+01  1.1552090E-02  1.7914423E-03 -1.7072012E-03 -4.1114698E-02  0.0000000E+00
  5.2507600E+01  1.1415462E-02  1.6854748E-03 -1.5972597E-03 -4.0762859E-02  0.0000000E+00
  5.2507600E+01  1.1269995E-02  1.5909204E-03 -1.4979242E-03 -4.0414736E-02  0.0000000E+00
  5.2507600E+01  1.1116552E-02  1.5077538E-03 -1.4091094E-03 -4.0070127E-02  0.0000000E+00
  5.2507600E+01  1.0953507E-02  1.4345963E-03 -1.3288631E-03 -3.9726408E-02  0.0000000E+00
  5.2507600E+01  1.0781588E-02  1.3709980E-03 -1.2560602E-03 -3.9388308E-02  0.0000000E+00
