          atime         pst_uu         pst_vv         pst_ww         pm1avg           tavg
  5.2507600E+01 -2.0817261E-06  1.3991406E-04  2.5989003E-08 -1.6777692E-01  0.0000000E+00
  5.2507600E+01 -1.7748169E-01  1.6570352E-01  1.1909602E-02 -1.6583748E-01  0.0000000E+00
  5.2507600E+01 -2.3807039E-01  2.0620499E-01  3.1914139E-02 -1.6365922E-01  0.0000000E+00
  5.2507600E+01 -2.0659226E-01  1.5359606E-01  5.3009915E-02 -1.6075111E-01  0.0000000E+00
  5.2507600E+01 -1.2853931E-01  5.9347400E-02  6.9258252E-02 -1.5702896E-01  0.0000000E+00
  5.2507600E+01 -4.9803823E-02 -2.7887634E-02  7.7945795E-02 -1.5267107E-01  0.0000000E+00
  5.2507600E+01  3.8412239E-03 -8.3087112E-02  7.9549263E-02 -1.4796173E-01  0.0000000E+00
  5.2507600E+01  2.9008416E-02 -1.0493454E-01  7.6207706E-02 -1.4316552E-01  0.0000000E+00
  5.2507600E+01  3.4227671E-02 -1.0424700E-01  7.0182696E-02 -1.3847443E-01  0.0000000E+00
  5.2507600E+01  3.0098275E-02 -9.3236649E-02  6.3121420E-02 -1.3399650E-01  0.0000000E+00
  5.2507600E+01  2.3685880E-02 -7.9800715E-02  5.5941999E-02 -1.2975733E-01  0.0000000E+00
  5.2507600E+01  1.8410933E-02 -6.7783017E-02  4.9193906E-02 -1.2583826E-01  0.0000000E+00
  5.2507600E+01  1.4871814E-02 -5.7891229E-02  4.2909427E-02 -1.2220246E-01  0.0000000E+00
  5.2507600E+01  1.2586225E-02 -4.9656538E-02  3.7025439E-02 -1.1883440E-01  0.0000000E+00
  5.2507600E+01  1.1099702E-02 -4.2517340E-02  3.1465108E-02 -1.1571404E-01  0.0000000E+00
  5.2507600E+01  1.0134563E-02 -3.6268628E-02  2.6189924E-02 -1.1281439E-01  0.0000000E+00
  5.2507600E+01  9.5596748E-03 -3.0719381E-02  2.1240194E-02 -1.1011313E-01  0.0000000E+00
  5.2507600E+01  9.2288269E-03 -2.5868486E-02  1.6692578E-02 -1.0758773E-01  0.0000000E+00
  5.2507600E+01  8.9874944E-03 -2.1610365E-02  1.2646662E-02 -1.0521973E-01  0.0000000E+00
  5.2507600E+01  8.7393963E-03 -1.7910072E-02  9.1688571E-03 -1.0299255E-01  0.0000000E+00
  5.2507600E+01  8.4586004E-03 -1.4755937E-02  6.2711346E-03 -1.0089261E-01  0.0000000E+00
  5.2507600E+01  8.1708609E-03 -1.2129772E-02  3.9138877E-03 -9.8909240E-02  0.0000000E+00
  5.2507600E+01  7.9192337E-03 -9.9924897E-03  2.0241532E-03 -9.7033848E-02  0.0000000E+00
  5.2507600E+01  7.7290138E-03 -8.2829223E-03  5.2041155E-04 -9.5258902E-02  0.0000000E+00
  5.2507600E+01  7.5869020E-03 -6.9273128E-03 -6.6504461E-04 -9.3577136E-02  0.0000000E+00
  5.2507600E+01  7.4504093E-03 -5.8599434E-03 -1.5732567E-03 -9.1981466E-02  0.0000000E+00
  5.2507600E+01  7.2988594E-03 -5.0418300E-03 -2.2290792E-03 -9.0465884E-02  0.0000000E+00
  5.2507600E+01  7.1403116E-03 -4.4450506E-03 -2.6572991E-03 -8.9022828E-02  0.0000000E+00
  5.2507600E+01  7.0045306E-03 -4.0821463E-03 -2.8919613E-03 -8.7647193E-02  0.0000000E+00
  5.2507600E+01  6.9246897E-03 -3.9188269E-03 -2.9882143E-03 -8.6333083E-02  0.0000000E+00
  5.2507600E+01  6.9140206E-03 -3.9052856E-03 -3.0046336E-03 -8.5066532E-02  0.0000000E+00
  5.2507600E+01  6.9743401E-03 -3.9928436E-03 -2.9899786E-03 -8.3862011E-02  0.0000000E+00
  5.2507600E+01  7.1016708E-03 -4.1439569E-03 -2.9769915E-03 -8.2706360E-02  0.0000000E+00
  5.2507600E+01  7.2909193E-03 -4.3371851E-03 -2.9809533E-03 -8.1596271E-02  0.0000000E+00
  5.2507600E+01  7.5374552E-03 -4.5657136E-03 -3.0031506E-03 -8.0528678E-02  0.0000000E+00
  5.2507600E+01  7.8375545E-03 -4.8329210E-03 -3.0364855E-03 -7.9500711E-02  0.0000000E+00
  5.2507600E+01  8.1877632E-03 -5.1456629E-03 -3.0720864E-03 -7.8509674E-02  0.0000000E+00
  5.2507600E+01  8.5835758E-03 -5.5065319E-03 -3.1054320E-03 -7.7553032E-02  0.0000000E+00
  5.2507600E+01  9.0178268E-03 -5.9063567E-03 -3.1404999E-03 -7.6628393E-02  0.0000000E+00
  5.2507600E+01  9.4792101E-03 -6.3178237E-03 -3.1908410E-03 -7.5733461E-02  0.0000000E+00
  5.2507600E+01  9.9511792E-03 -6.6940954E-03 -3.2733641E-03 -7.4865927E-02  0.0000000E+00
  5.2507600E+01  1.0416348E-02 -7.0417230E-03 -3.3953654E-03 -7.4023761E-02  0.0000000E+00
  5.2507600E+01  1.0866579E-02 -7.3394655E-03 -3.5466422E-03 -7.3205267E-02  0.0000000E+00
  5.2507600E+01  1.1299355E-02 -7.5940258E-03 -3.7178814E-03 -7.2408694E-02  0.0000000E+00
  5.2507600E+01  1.1706395E-02 -7.8145452E-03 -3.8957757E-03 -7.1632561E-02  0.0000000E+00
  5.2507600E+01  1.2077707E-02 -8.0030569E-03 -4.0694651E-03 -7.0875631E-02  0.0000000E+00
  5.2507600E+01  1.2404629E-02 -8.1587108E-03 -4.2309529E-03 -7.0136831E-02  0.0000000E+00
  5.2507600E+01  1.2682326E-02 -8.2781303E-03 -4.3782902E-03 -6.9415251E-02  0.0000000E+00
  5.2507600E+01  1.2910417E-02 -8.3589012E-03 -4.5133430E-03 -6.8710068E-02  0.0000000E+00
  5.2507600E+01  1.3093523E-02 -8.3994436E-03 -4.6427074E-03 -6.8020552E-02  0.0000000E+00
  5.2507600E+01  1.3241707E-02 -8.4000092E-03 -4.7770339E-03 -6.7341103E-02  0.0000000E+00
  5.2507600E+01  1.3365570E-02 -8.3633856E-03 -4.9256004E-03 -6.6681121E-02  0.0000000E+00
  5.2507600E+01  1.3480037E-02 -8.2951308E-03 -5.0989395E-03 -6.6034963E-02  0.0000000E+00
  5.2507600E+01  1.3600256E-02 -8.2027383E-03 -5.3056370E-03 -6.5402158E-02  0.0000000E+00
  5.2507600E+01  1.3738650E-02 -8.0955261E-03 -5.5491180E-03 -6.4782216E-02  0.0000000E+00
  5.2507600E+01  1.3904079E-02 -7.9836329E-03 -5.8276938E-03 -6.4174686E-02  0.0000000E+00
  5.2507600E+01  1.4100104E-02 -7.8771544E-03 -6.1338074E-03 -6.3579152E-02  0.0000000E+00
  5.2507600E+01  1.4321977E-02 -7.7834956E-03 -6.4540910E-03 -6.2995112E-02  0.0000000E+00
